ID|NAME|COST|TYPE|POWER|TOUGHNESS|ORACLE|SET|RARITY|LANG|ARTIST|COLLNUM|TEXT|GATHERERID|TCGID|PROPERTIES
8994ab1d-771b-48cf-ab33-5a0c0acbc223|Elesh Norn, Mother of Machines|{4}{W}|Legendary Creature - Phyrexian Praetor|4|7|Vigilance<br>If a permanent entering causes a triggered ability of a permanent you control to trigger, that ability triggers an additional time.<br>Permanents entering don't cause abilities of permanents your opponents control to trigger.<BR><a href="https://api.scryfall.com/cards/8994ab1d-771b-48cf-ab33-5a0c0acbc223/rulings">Rulings</a>|Phyrexia: All Will Be One Promos|Mythic||Martina Fačková|10p|R$ 18.27 F$ 21.13<br>Finishes: nonfoil:foil:<br>Promos: promopack:stamped:<br><br><a href="https://scryfall.com/card/pone/10p/elesh-norn-mother-of-machines?utm_source=api">Scryfall</a>|0|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/8/9/8994ab1d-771b-48cf-ab33-5a0c0acbc223.jpg?1675701322}
96ff08c5-2086-4749-853a-74d37940048a|Elesh Norn, Mother of Machines|{4}{W}|Legendary Creature - Phyrexian Praetor|4|7|Vigilance<br>If a permanent entering causes a triggered ability of a permanent you control to trigger, that ability triggers an additional time.<br>Permanents entering don't cause abilities of permanents your opponents control to trigger.<BR><a href="https://api.scryfall.com/cards/96ff08c5-2086-4749-853a-74d37940048a/rulings">Rulings</a>|Phyrexia: All Will Be One Promos|Mythic||Martina Fačková|10s|F$ 35.20<br>Finishes: foil:<br>Promos: prerelease:datestamped:<br><br><a href="https://scryfall.com/card/pone/10s/elesh-norn-mother-of-machines?utm_source=api">Scryfall</a>|0|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/9/6/96ff08c5-2086-4749-853a-74d37940048a.jpg?1675701025}
e59f26e7-c26b-4819-a7a3-69ed35ff0bc5|The Eternal Wanderer|{4}{W}{W}|Legendary Planeswalker|||No more than one creature can attack The Eternal Wanderer each combat.<br>+1: Exile up to one target artifact or creature. Return that card to the battlefield under its owner's control at the beginning of that player's next end step.<br>0: Create a 2/2 white Samurai creature token with double strike.<br>−4: For each player, choose a creature that player controls. Each player sacrifices all creatures they control not chosen this way.<BR><a href="https://api.scryfall.com/cards/e59f26e7-c26b-4819-a7a3-69ed35ff0bc5/rulings">Rulings</a>|Phyrexia: All Will Be One Promos|Rare||Alix Branwyn|11p|R$ 1.02 F$ 1.61<br>Finishes: nonfoil:foil:<br>Promos: promopack:stamped:<br><br><a href="https://scryfall.com/card/pone/11p/the-eternal-wanderer?utm_source=api">Scryfall</a>|0|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/e/5/e59f26e7-c26b-4819-a7a3-69ed35ff0bc5.jpg?1675701302}
654a32de-a0a8-45f6-9c9c-94e462a8dd23|The Eternal Wanderer|{4}{W}{W}|Legendary Planeswalker|||No more than one creature can attack The Eternal Wanderer each combat.<br>+1: Exile up to one target artifact or creature. Return that card to the battlefield under its owner's control at the beginning of that player's next end step.<br>0: Create a 2/2 white Samurai creature token with double strike.<br>−4: For each player, choose a creature that player controls. Each player sacrifices all creatures they control not chosen this way.<BR><a href="https://api.scryfall.com/cards/654a32de-a0a8-45f6-9c9c-94e462a8dd23/rulings">Rulings</a>|Phyrexia: All Will Be One Promos|Rare||Alix Branwyn|11s|F$ 2.58<br>Finishes: foil:<br>Promos: prerelease:datestamped:<br><br><a href="https://scryfall.com/card/pone/11s/the-eternal-wanderer?utm_source=api">Scryfall</a>|0|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/6/5/654a32de-a0a8-45f6-9c9c-94e462a8dd23.jpg?1675701011}
1c14e3dd-14c4-44d7-bf8e-4342991d6d70|Kemba, Kha Enduring|{1}{W}|Legendary Creature - Cat Cleric|2|2|Whenever Kemba or another Cat you control enters, attach up to one target Equipment you control to that creature.<br>Equipped creatures you control get +1/+1.<br>{3}{W}{W}: Create a 2/2 white Cat creature token.<BR><a href="https://api.scryfall.com/cards/1c14e3dd-14c4-44d7-bf8e-4342991d6d70/rulings">Rulings</a>|Phyrexia: All Will Be One Promos|Rare||Zoltan Boros|19p|R$ 0.62 F$ 0.48<br>Finishes: nonfoil:foil:<br>Promos: promopack:stamped:<br><br><a href="https://scryfall.com/card/pone/19p/kemba-kha-enduring?utm_source=api">Scryfall</a>|0|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/1/c/1c14e3dd-14c4-44d7-bf8e-4342991d6d70.jpg?1675701279}
2256e72d-a3bc-45b3-9676-ca5017872386|Kemba, Kha Enduring|{1}{W}|Legendary Creature - Cat Cleric|2|2|Whenever Kemba or another Cat you control enters, attach up to one target Equipment you control to that creature.<br>Equipped creatures you control get +1/+1.<br>{3}{W}{W}: Create a 2/2 white Cat creature token.<BR><a href="https://api.scryfall.com/cards/2256e72d-a3bc-45b3-9676-ca5017872386/rulings">Rulings</a>|Phyrexia: All Will Be One Promos|Rare||Zoltan Boros|19s|F$ 0.76<br>Finishes: foil:<br>Promos: prerelease:datestamped:<br><br><a href="https://scryfall.com/card/pone/19s/kemba-kha-enduring?utm_source=api">Scryfall</a>|0|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/2/2/2256e72d-a3bc-45b3-9676-ca5017872386.jpg?1675700997}
09381c85-d38d-4a5b-9d6c-526d10f1f722|Mondrak, Glory Dominus|{2}{W}{W}|Legendary Creature - Phyrexian Horror|4|4|If one or more tokens would be created under your control, twice that many of those tokens are created instead.<br>{1}{W/P}{W/P}, Sacrifice two other artifacts and/or creatures: Put an indestructible counter on Mondrak. ({W/P} can be paid with either {W} or 2 life.)<BR><a href="https://api.scryfall.com/cards/09381c85-d38d-4a5b-9d6c-526d10f1f722/rulings">Rulings</a>|Phyrexia: All Will Be One Promos|Mythic||Jason A. Engle|23p|R$ 31.69 F$ 35.00<br>Finishes: nonfoil:foil:<br>Promos: promopack:stamped:<br><br><a href="https://scryfall.com/card/pone/23p/mondrak-glory-dominus?utm_source=api">Scryfall</a>|0|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/0/9/09381c85-d38d-4a5b-9d6c-526d10f1f722.jpg?1675701255}
1016251d-b84a-4934-a1d7-339d7f54078d|Mondrak, Glory Dominus|{2}{W}{W}|Legendary Creature - Phyrexian Horror|4|4|If one or more tokens would be created under your control, twice that many of those tokens are created instead.<br>{1}{W/P}{W/P}, Sacrifice two other artifacts and/or creatures: Put an indestructible counter on Mondrak. ({W/P} can be paid with either {W} or 2 life.)<BR><a href="https://api.scryfall.com/cards/1016251d-b84a-4934-a1d7-339d7f54078d/rulings">Rulings</a>|Phyrexia: All Will Be One Promos|Mythic||Jason A. Engle|23s|F$ 50.90<br>Finishes: foil:<br>Promos: prerelease:datestamped:<br><br><a href="https://scryfall.com/card/pone/23s/mondrak-glory-dominus?utm_source=api">Scryfall</a>|0|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/1/0/1016251d-b84a-4934-a1d7-339d7f54078d.jpg?1675700982}
d22c8c7d-3adf-417c-8e95-871bbb62f079|Norn's Wellspring|{1}{W}|Artifact|||Whenever a creature you control dies, scry 1 and put an oil counter on this artifact.<br>{1}, {T}, Remove two oil counters from this artifact: Draw a card.<BR><a href="https://api.scryfall.com/cards/d22c8c7d-3adf-417c-8e95-871bbb62f079/rulings">Rulings</a>|Phyrexia: All Will Be One Promos|Rare||Jonas De Ro|24p|R$ 0.31 F$ 0.35<br>Finishes: nonfoil:foil:<br>Promos: promopack:stamped:<br><br><a href="https://scryfall.com/card/pone/24p/norns-wellspring?utm_source=api">Scryfall</a>|0|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/d/2/d22c8c7d-3adf-417c-8e95-871bbb62f079.jpg?1675701225}
91206b27-f2d0-42df-924c-b112f900a353|Norn's Wellspring|{1}{W}|Artifact|||Whenever a creature you control dies, scry 1 and put an oil counter on this artifact.<br>{1}, {T}, Remove two oil counters from this artifact: Draw a card.<BR><a href="https://api.scryfall.com/cards/91206b27-f2d0-42df-924c-b112f900a353/rulings">Rulings</a>|Phyrexia: All Will Be One Promos|Rare||Jonas De Ro|24s|F$ 0.45<br>Finishes: foil:<br>Promos: prerelease:datestamped:<br><br><a href="https://scryfall.com/card/pone/24s/norns-wellspring?utm_source=api">Scryfall</a>|0|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/9/1/91206b27-f2d0-42df-924c-b112f900a353.jpg?1675700952}
9a4c503b-7144-4015-9f65-ce1acda95b72|Phyrexian Vindicator|{W}{W}{W}{W}|Creature - Phyrexian Horror|5|5|Flying<br>If damage would be dealt to this creature, prevent that damage. When damage is prevented this way, this creature deals that much damage to any other target.<BR><a href="https://api.scryfall.com/cards/9a4c503b-7144-4015-9f65-ce1acda95b72/rulings">Rulings</a>|Phyrexia: All Will Be One Promos|Mythic||Denys Tsiperko|27p|R$ 5.08 F$ 5.62<br>Finishes: nonfoil:foil:<br>Promos: promopack:stamped:<br><br><a href="https://scryfall.com/card/pone/27p/phyrexian-vindicator?utm_source=api">Scryfall</a>|0|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/9/a/9a4c503b-7144-4015-9f65-ce1acda95b72.jpg?1675701203}
6ec9455a-4b72-4f57-8ef0-3f52cb4cd2eb|Phyrexian Vindicator|{W}{W}{W}{W}|Creature - Phyrexian Horror|5|5|Flying<br>If damage would be dealt to this creature, prevent that damage. When damage is prevented this way, this creature deals that much damage to any other target.<BR><a href="https://api.scryfall.com/cards/6ec9455a-4b72-4f57-8ef0-3f52cb4cd2eb/rulings">Rulings</a>|Phyrexia: All Will Be One Promos|Mythic||Denys Tsiperko|27s|F$ 8.14<br>Finishes: foil:<br>Promos: prerelease:datestamped:<br><br><a href="https://scryfall.com/card/pone/27s/phyrexian-vindicator?utm_source=api">Scryfall</a>|0|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/6/e/6ec9455a-4b72-4f57-8ef0-3f52cb4cd2eb.jpg?1675700901}
2c7229b7-26f6-4c1f-b7c5-4cf6ca96fe20|Skrelv, Defector Mite|{W}|Legendary Artifact Creature - Phyrexian Mite|1|1|Toxic 1 (Players dealt combat damage by this creature also get a poison counter.)<br>Skrelv can't block.<br>{W/P}, {T}: Choose a color. Another target creature you control gains toxic 1 and hexproof from that color until end of turn. It can't be blocked by creatures of that color this turn. ({W/P} can be paid with either {W} or 2 life.)<BR><a href="https://api.scryfall.com/cards/2c7229b7-26f6-4c1f-b7c5-4cf6ca96fe20/rulings">Rulings</a>|Phyrexia: All Will Be One Promos|Rare||Brian Valeza|33p|R$ 2.02 F$ 2.45<br>Finishes: nonfoil:foil:<br>Promos: promopack:stamped:<br><br><a href="https://scryfall.com/card/pone/33p/skrelv-defector-mite?utm_source=api">Scryfall</a>|0|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/2/c/2c7229b7-26f6-4c1f-b7c5-4cf6ca96fe20.jpg?1675701180}
e600521e-e086-423c-984a-578370b85dd5|Skrelv, Defector Mite|{W}|Legendary Artifact Creature - Phyrexian Mite|1|1|Toxic 1 (Players dealt combat damage by this creature also get a poison counter.)<br>Skrelv can't block.<br>{W/P}, {T}: Choose a color. Another target creature you control gains toxic 1 and hexproof from that color until end of turn. It can't be blocked by creatures of that color this turn. ({W/P} can be paid with either {W} or 2 life.)<BR><a href="https://api.scryfall.com/cards/e600521e-e086-423c-984a-578370b85dd5/rulings">Rulings</a>|Phyrexia: All Will Be One Promos|Rare||Brian Valeza|33s|F$ 3.54<br>Finishes: foil:<br>Promos: prerelease:datestamped:<br><br><a href="https://scryfall.com/card/pone/33s/skrelv-defector-mite?utm_source=api">Scryfall</a>|0|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/e/6/e600521e-e086-423c-984a-578370b85dd5.jpg?1675700886}
a32e124d-73e5-4fab-ba51-a6db26511862|Skrelv's Hive|{1}{W}|Enchantment|||At the beginning of your upkeep, you lose 1 life and create a 1/1 colorless Phyrexian Mite artifact creature token with toxic 1 and "This token can't block."<br>Corrupted — As long as an opponent has three or more poison counters, creatures you control with toxic have lifelink.<BR><a href="https://api.scryfall.com/cards/a32e124d-73e5-4fab-ba51-a6db26511862/rulings">Rulings</a>|Phyrexia: All Will Be One Promos|Rare||Heonhwa Choe|34p|R$ 2.14 F$ 2.72<br>Finishes: nonfoil:foil:<br>Promos: promopack:stamped:<br><br><a href="https://scryfall.com/card/pone/34p/skrelvs-hive?utm_source=api">Scryfall</a>|0|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/a/3/a32e124d-73e5-4fab-ba51-a6db26511862.jpg?1675701158}
