ID|NAME|COST|TYPE|POWER|TOUGHNESS|ORACLE|SET|RARITY|LANG|ARTIST|COLLNUM|TEXT|GATHERERID|TCGID|PROPERTIES
6d223b9f-f3fb-46cf-93e7-ddd21124f086|Gideon's Phalanx|{5}{W}{W}|Instant|||Create four 2/2 white Knight creature tokens with vigilance.<br>Spell mastery — If there are two or more instant and/or sorcery cards in your graveyard, creatures you control gain indestructible until end of turn.<BR><a href="https://api.scryfall.com/cards/6d223b9f-f3fb-46cf-93e7-ddd21124f086/rulings">Rulings</a>|Magic Origins Promos|Rare||James Ryman|14s|F$ 0.47<br>Finishes: foil:<br>Promos: setpromo:prerelease:datestamped:<br><br><a href="https://scryfall.com/card/pori/14s/gideons-phalanx?utm_source=api">Scryfall</a>|0|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/6/d/6d223b9f-f3fb-46cf-93e7-ddd21124f086.jpg?1562915274}
98599d53-35f6-489f-8bce-9525615bcb20|Hixus, Prison Warden|{3}{W}{W}|Legendary Creature - Human Soldier|4|4|Flash (You may cast this spell any time you could cast an instant.)<br>Whenever a creature deals combat damage to you, if Hixus entered this turn, exile that creature until Hixus leaves the battlefield. (That creature returns under its owner's control.)<BR><a href="https://api.scryfall.com/cards/98599d53-35f6-489f-8bce-9525615bcb20/rulings">Rulings</a>|Magic Origins Promos|Rare||Magali Villeneuve|19|F$ 0.27<br>Finishes: foil:<br>Promos: setpromo:intropack:<br><br><a href="https://scryfall.com/card/pori/19/hixus-prison-warden?utm_source=api">Scryfall</a>|0|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/9/8/98599d53-35f6-489f-8bce-9525615bcb20.jpg?1562923274}
1d685282-abeb-4697-9e8b-fa5dc7d139d5|Hixus, Prison Warden|{3}{W}{W}|Legendary Creature - Human Soldier|4|4|Flash (You may cast this spell any time you could cast an instant.)<br>Whenever a creature deals combat damage to you, if Hixus entered this turn, exile that creature until Hixus leaves the battlefield. (That creature returns under its owner's control.)<BR><a href="https://api.scryfall.com/cards/1d685282-abeb-4697-9e8b-fa5dc7d139d5/rulings">Rulings</a>|Magic Origins Promos|Rare||Chris Rallis|19s|F$ 0.67<br>Finishes: foil:<br>Promos: setpromo:prerelease:datestamped:<br><br><a href="https://scryfall.com/card/pori/19s/hixus-prison-warden?utm_source=api">Scryfall</a>|0|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/1/d/1d685282-abeb-4697-9e8b-fa5dc7d139d5.jpg?1562900487}
74b3616d-4088-49fc-acfe-07a148eef388|Knight of the White Orchid|{W}{W}|Creature - Human Knight|2|2|First strike<br>When this creature enters, if an opponent controls more lands than you, you may search your library for a Plains card, put it onto the battlefield, then shuffle.<BR><a href="https://api.scryfall.com/cards/74b3616d-4088-49fc-acfe-07a148eef388/rulings">Rulings</a>|Magic Origins Promos|Rare||Mark Zug|21s|F$ 10.72<br>Finishes: foil:<br>Promos: setpromo:prerelease:datestamped:<br><br><a href="https://scryfall.com/card/pori/21s/knight-of-the-white-orchid?utm_source=api">Scryfall</a>|0|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/7/4/74b3616d-4088-49fc-acfe-07a148eef388.jpg?1562916632}
3c52157c-aafa-4d6d-8d2d-3a471e6ee10c|Kytheon, Hero of Akros // Gideon, Battle-Forged|{W}|Legendary Creature - Human Soldier|2|1|At end of combat, if Kytheon and at least two other creatures attacked this combat, exile Kytheon, then return him to the battlefield transformed under his owner's control.<br>{2}{W}: Kytheon gains indestructible until end of turn.<BR><a href="https://api.scryfall.com/cards/3c52157c-aafa-4d6d-8d2d-3a471e6ee10c/rulings">Rulings</a>|Magic Origins Promos|Mythic||Willian Murai|23s|F$ 2.31<br>Finishes: foil:<br>Promos: setpromo:prerelease:datestamped:<br><br><a href="https://scryfall.com/card/pori/23s/kytheon-hero-of-akros-gideon-battle-forged?utm_source=api">Scryfall</a>|0|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/3/c/3c52157c-aafa-4d6d-8d2d-3a471e6ee10c.jpg?1562906092, FLIPID=-3c52157c-aafa-4d6d-8d2d-3a471e6ee10c}
-3c52157c-aafa-4d6d-8d2d-3a471e6ee10c|Kytheon, Hero of Akros // Gideon, Battle-Forged (transform)||Legendary Planeswalker - Gideon|||+2: Up to one target creature an opponent controls attacks Gideon during its controller's next turn if able.<br>+1: Until your next turn, target creature gains indestructible. Untap that creature.<br>0: Until end of turn, Gideon becomes a 4/4 Human Soldier creature with indestructible that's still a planeswalker. Prevent all damage that would be dealt to him this turn.<BR><a href="https://api.scryfall.com/cards/3c52157c-aafa-4d6d-8d2d-3a471e6ee10c/rulings">Rulings</a>|Magic Origins Promos|Mythic||Willian Murai|23sb|Finishes: foil:<br>Promos: setpromo:prerelease:datestamped:<br><br><a href="https://scryfall.com/card/pori/23s/kytheon-hero-of-akros-gideon-battle-forged?utm_source=api">Scryfall</a>|0|0|{IMAGE_URL=https://cards.scryfall.io/normal/back/3/c/3c52157c-aafa-4d6d-8d2d-3a471e6ee10c.jpg?1562906092, FLIPID=3c52157c-aafa-4d6d-8d2d-3a471e6ee10c}
1c9d2dd8-cdcf-4a89-ac5d-b00c13ce94ff|Kytheon's Irregulars|{2}{W}{W}|Creature - Human Soldier|4|3|Renown 1 (When this creature deals combat damage to a player, if it isn't renowned, put a +1/+1 counter on it and it becomes renowned.)<br>{W}{W}: Tap target creature.<BR><a href="https://api.scryfall.com/cards/1c9d2dd8-cdcf-4a89-ac5d-b00c13ce94ff/rulings">Rulings</a>|Magic Origins Promos|Rare||Mark Winters|24s|F$ 0.44<br>Finishes: foil:<br>Promos: setpromo:prerelease:datestamped:<br><br><a href="https://scryfall.com/card/pori/24s/kytheons-irregulars?utm_source=api">Scryfall</a>|0|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/1/c/1c9d2dd8-cdcf-4a89-ac5d-b00c13ce94ff.jpg?1562900308}
da218c9a-e9a9-4911-9561-623c77afbb74|Relic Seeker|{1}{W}|Creature - Human Soldier|2|2|Renown 1 (When this creature deals combat damage to a player, if it isn't renowned, put a +1/+1 counter on it and it becomes renowned.)<br>When this creature becomes renowned, you may search your library for an Equipment card, reveal it, put it into your hand, then shuffle.<BR><a href="https://api.scryfall.com/cards/da218c9a-e9a9-4911-9561-623c77afbb74/rulings">Rulings</a>|Magic Origins Promos|Rare||Deruchenko Alexander|29|F$ 0.32<br>Finishes: foil:<br>Promos: setpromo:buyabox:<br><br><a href="https://scryfall.com/card/pori/29/relic-seeker?utm_source=api">Scryfall</a>|0|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/d/a/da218c9a-e9a9-4911-9561-623c77afbb74.jpg?1562935739}
de02cea5-0304-4838-866a-e792ef548031|Relic Seeker|{1}{W}|Creature - Human Soldier|2|2|Renown 1 (When this creature deals combat damage to a player, if it isn't renowned, put a +1/+1 counter on it and it becomes renowned.)<br>When this creature becomes renowned, you may search your library for an Equipment card, reveal it, put it into your hand, then shuffle.<BR><a href="https://api.scryfall.com/cards/de02cea5-0304-4838-866a-e792ef548031/rulings">Rulings</a>|Magic Origins Promos|Rare||Volkan Baǵa|29s|F$ 0.81<br>Finishes: foil:<br>Promos: setpromo:prerelease:datestamped:<br><br><a href="https://scryfall.com/card/pori/29s/relic-seeker?utm_source=api">Scryfall</a>|0|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/d/e/de02cea5-0304-4838-866a-e792ef548031.jpg?1562936423}
de44f156-ee4d-48e0-88ac-02a45257bcf3|Tragic Arrogance|{3}{W}{W}|Sorcery|||For each player, you choose from among the permanents that player controls an artifact, a creature, an enchantment, and a planeswalker. Then each player sacrifices all other nonland permanents they control.<BR><a href="https://api.scryfall.com/cards/de44f156-ee4d-48e0-88ac-02a45257bcf3/rulings">Rulings</a>|Magic Origins Promos|Rare||Winona Nelson|38s|F$ 5.13<br>Finishes: foil:<br>Promos: setpromo:prerelease:datestamped:<br><br><a href="https://scryfall.com/card/pori/38s/tragic-arrogance?utm_source=api">Scryfall</a>|0|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/d/e/de44f156-ee4d-48e0-88ac-02a45257bcf3.jpg?1562936476}
0a2f674c-6d7e-470b-9b4f-d37ce4c038d3|Vryn Wingmare|{2}{W}|Creature - Pegasus|2|1|Flying<br>Noncreature spells cost {1} more to cast.<BR><a href="https://api.scryfall.com/cards/0a2f674c-6d7e-470b-9b4f-d37ce4c038d3/rulings">Rulings</a>|Magic Origins Promos|Rare||Seb McKinnon|40s|F$ 1.94<br>Finishes: foil:<br>Promos: setpromo:prerelease:datestamped:<br><br><a href="https://scryfall.com/card/pori/40s/vryn-wingmare?utm_source=api">Scryfall</a>|0|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/0/a/0a2f674c-6d7e-470b-9b4f-d37ce4c038d3.jpg?1562896958}
028ed496-6472-490b-8b1d-fe3c667fb7ba|Alhammarret, High Arbiter|{5}{U}{U}|Legendary Creature - Sphinx|5|5|Flying<br>As Alhammarret enters, each opponent reveals their hand. You choose the name of a nonland card revealed this way.<br>Your opponents can't cast spells with the chosen name (as long as this creature is on the battlefield).<BR><a href="https://api.scryfall.com/cards/028ed496-6472-490b-8b1d-fe3c667fb7ba/rulings">Rulings</a>|Magic Origins Promos|Rare||Richard Wright|43|F$ 0.31<br>Finishes: foil:<br>Promos: setpromo:intropack:<br><br><a href="https://scryfall.com/card/pori/43/alhammarret-high-arbiter?utm_source=api">Scryfall</a>|0|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/0/2/028ed496-6472-490b-8b1d-fe3c667fb7ba.jpg?1562895471}
