ID|NAME|COST|TYPE|POWER|TOUGHNESS|ORACLE|SET|RARITY|LANG|ARTIST|COLLNUM|TEXT|PROPERTIES
f020aa2f-cc1b-4bb4-bf05-4050ea935d66|Aerith Gainsborough|{2}{W}|Legendary Creature - Human Cleric|2|2|Lifelink<br>Whenever you gain life, put a +1/+1 counter on Aerith Gainsborough.<br>When Aerith Gainsborough dies, put X +1/+1 counters on each legendary creature you control, where X is the number of +1/+1 counters on Aerith Gainsborough.|Pro Tour Promos|Rare||Susumu Kuroi|2025-3|Finishes: nonfoil:<br>FullArt: true<br>Promos: tourney:ffvii:<br>https://scryfall.com/card/ppro/2025-3/aerith-gainsborough?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/f/0/f020aa2f-cc1b-4bb4-bf05-4050ea935d66.jpg?1748939957}
17fca517-aafa-49d2-98a4-fa7dea14d116|Aether Vial|{1}|Artifact|||At the beginning of your upkeep, you may put a charge counter on this artifact.<br>{T}: You may put a creature card with mana value equal to the number of charge counters on this artifact from your hand onto the battlefield.|Pro Tour Promos|Rare||Billy Christian|2020-3|Finishes: foil:<br>Promos: tourney:<br>https://scryfall.com/card/ppro/2020-3/aether-vial?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/1/7/17fca517-aafa-49d2-98a4-fa7dea14d116.jpg?1688218851}
570ca3e8-1563-4cef-8559-776982a78838|Cloud, Midgar Mercenary|{W}{W}|Legendary Creature - Human Soldier Mercenary|2|1|When Cloud enters, search your library for an Equipment card, reveal it, put it into your hand, then shuffle.<br>As long as Cloud is equipped, if an ability of Cloud or an Equipment attached to it triggers, that ability triggers an additional time.|Pro Tour Promos|Mythic||Tetsuya Nomura|2025-1|Finishes: nonfoil:foil:<br>FullArt: true<br>Promos: tourney:ffvii:<br>https://scryfall.com/card/ppro/2025-1/cloud-midgar-mercenary?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/5/7/570ca3e8-1563-4cef-8559-776982a78838.jpg?1747972148}
38806839-c820-4a19-a92c-70f6f21d2aea|Cryptic Command|{1}{U}{U}{U}|Instant|||Choose two —<br>• Counter target spell.<br>• Return target permanent to its owner's hand.<br>• Tap all creatures your opponents control.<br>• Draw a card.|Pro Tour Promos|Rare||Jason Rainville|2020-1|Finishes: foil:<br>Promos: tourney:<br>https://scryfall.com/card/ppro/2020-1/cryptic-command?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/3/8/38806839-c820-4a19-a92c-70f6f21d2aea.jpg?1584829107}
ff51dade-d015-44f2-bfe7-862e511a08e2|Lava Spike|{R}|Sorcery - Arcane|||Lava Spike deals 3 damage to target player or planeswalker.|Pro Tour Promos|Rare||Igor Kieryluk|2022-1|Finishes: nonfoil:foil:<br>Promos: tourney:<br>https://scryfall.com/card/ppro/2022-1/lava-spike?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/f/f/ff51dade-d015-44f2-bfe7-862e511a08e2.jpg?1659662142}
76cc445b-ccd4-4c93-8c7c-fa6582567111|Nykthos, Shrine to Nyx||Legendary Land|||{T}: Add {C}.<br>{2}, {T}: Choose a color. Add an amount of mana of that color equal to your devotion to that color. (Your devotion to a color is the number of mana symbols of that color in the mana costs of permanents you control.)|Pro Tour Promos|Rare||Alayna Danner|2022-3|Finishes: nonfoil:foil:<br>Promos: tourney:<br>https://scryfall.com/card/ppro/2022-3/nykthos-shrine-to-nyx?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/7/6/76cc445b-ccd4-4c93-8c7c-fa6582567111.jpg?1659662115}
e2c1a061-149b-4b56-ae3c-2be7b31eaa13|Teferi, Hero of Dominaria|{3}{W}{U}|Legendary Planeswalker - Teferi|||+1: Draw a card. At the beginning of the next end step, untap up to two lands.<br>−3: Put target nonland permanent into its owner's library third from the top.<br>−8: You get an emblem with "Whenever you draw a card, exile target permanent an opponent controls."|Pro Tour Promos|Mythic||Chris Rallis|2022-2|Finishes: nonfoil:foil:<br>Promos: tourney:<br>https://scryfall.com/card/ppro/2022-2/teferi-hero-of-dominaria?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/e/2/e2c1a061-149b-4b56-ae3c-2be7b31eaa13.jpg?1676051115}
4f97addf-6cd6-42c1-81e8-c9857fe4167e|Eternal Dragon|{5}{W}{W}|Creature - Dragon Spirit|5|5|Flying<br>{3}{W}{W}: Return this card from your graveyard to your hand. Activate only during your upkeep.<br>Plainscycling {2} ({2}, Discard this card: Search your library for a Plains card, reveal it, put it into your hand, then shuffle.)|Pro Tour Promos|Rare||Adam Rex|2007|Finishes: foil:<br>Promos: tourney:<br>https://scryfall.com/card/ppro/2007/eternal-dragon?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/4/f/4f97addf-6cd6-42c1-81e8-c9857fe4167e.jpg?1562636747}
08eaeb6b-e21d-4e40-ae8a-265be03fe7d0|Mirari's Wake|{3}{G}{W}|Enchantment|||Creatures you control get +1/+1.<br>Whenever you tap a land for mana, add one mana of any type that land produced.|Pro Tour Promos|Rare||Volkan Baǵa|2008|Finishes: foil:<br>Promos: tourney:<br>https://scryfall.com/card/ppro/2008/miraris-wake?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/0/8/08eaeb6b-e21d-4e40-ae8a-265be03fe7d0.jpg?1562636669}
39bfa133-81cd-4254-883d-bf7f3f23e903|Treva, the Renewer|{3}{G}{W}{U}|Legendary Creature - Dragon|6|6|Flying<br>Whenever Treva deals combat damage to a player, you may pay {2}{W}. If you do, choose a color, then you gain 1 life for each permanent of that color.|Pro Tour Promos|Rare||Jean-Sébastien Rossbach|2009|Finishes: foil:<br>Promos: tourney:<br>https://scryfall.com/card/ppro/2009/treva-the-renewer?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/3/9/39bfa133-81cd-4254-883d-bf7f3f23e903.jpg?1562636724}
605974f0-6a76-4eb6-b611-6155529ba17d|Avatar of Woe|{6}{B}{B}|Creature - Avatar|6|5|If there are ten or more creature cards total in all graveyards, this spell costs {6} less to cast.<br>Fear (This creature can't be blocked except by artifact creatures and/or black creatures.)<br>{T}: Destroy target creature. It can't be regenerated.|Pro Tour Promos|Rare||rk post|2010|Finishes: foil:<br>Promos: tourney:<br>https://scryfall.com/card/ppro/2010/avatar-of-woe?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/6/0/605974f0-6a76-4eb6-b611-6155529ba17d.jpg?1562636757}
e0dd3245-b4d0-43ce-9c98-c3c5bc1767a1|Ajani Goldmane|{2}{W}{W}|Legendary Planeswalker - Ajani|||+1: You gain 2 life.<br>−1: Put a +1/+1 counter on each creature you control. Those creatures gain vigilance until end of turn.<br>−6: Create a white Avatar creature token. It has "This token's power and toughness are each equal to your life total."|Pro Tour Promos|Mythic||Christopher Moeller|2011|Finishes: foil:<br>Promos: tourney:<br>https://scryfall.com/card/ppro/2011/ajani-goldmane?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/e/0/e0dd3245-b4d0-43ce-9c98-c3c5bc1767a1.jpg?1562636869}
16a5f644-771f-4c31-a595-0881003e7676|Liliana of the Veil|{1}{B}{B}|Legendary Planeswalker - Liliana|||+1: Each player discards a card.<br>−2: Target player sacrifices a creature.<br>−6: Separate all permanents target player controls into two piles. That player sacrifices all permanents in the pile of their choice.|Pro Tour Promos|Mythic||Steve Argyle|2015|Finishes: foil:<br>Promos: tourney:<br>https://scryfall.com/card/ppro/2015/liliana-of-the-veil?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/1/6/16a5f644-771f-4c31-a595-0881003e7676.jpg?1562636684}
befab3d3-87ce-4b55-a6c9-51db8dd41f71|Snapcaster Mage|{1}{U}|Creature - Human Wizard|2|1|Flash<br>When this creature enters, target instant or sorcery card in your graveyard gains flashback until end of turn. The flashback cost is equal to its mana cost. (You may cast that card from your graveyard for its flashback cost. Then exile it.)|Pro Tour Promos|Mythic||Joseph Meehan|2016|Finishes: foil:<br>Promos: tourney:<br>https://scryfall.com/card/ppro/2016/snapcaster-mage?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/b/e/befab3d3-87ce-4b55-a6c9-51db8dd41f71.jpg?1562636839}
