ID|NAME|COST|TYPE|POWER|TOUGHNESS|ORACLE|SET|RARITY|LANG|ARTIST|COLLNUM|TEXT|GATHERERID|TCGID|PROPERTIES
f5833bc8-dfbe-42d1-b47a-c107ff4f5916|Deadbridge Goliath|{2}{G}{G}|Creature - Insect|5|5|Scavenge {4}{G}{G} ({4}{G}{G}, Exile this card from your graveyard: Put a number of +1/+1 counters equal to this card's power on target creature. Scavenge only as a sorcery.)<BR><a href="https://api.scryfall.com/cards/f5833bc8-dfbe-42d1-b47a-c107ff4f5916/rulings">Rulings</a>|Return to Ravnica Promos|Rare||Nils Hamm|120★|F$ 0.43<br>Finishes: foil:<br>Promos: setpromo:datestamped:release:<br><br><a href="https://scryfall.com/card/prtr/120%E2%98%85/deadbridge-goliath?utm_source=api">Scryfall</a>|0|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/f/5/f5833bc8-dfbe-42d1-b47a-c107ff4f5916.jpg?1605371271}
07baef91-d7fd-4890-8c00-62f1a416dc76|Archon of the Triumvirate|{5}{W}{U}|Creature - Archon|4|5|Flying<br>Whenever this creature attacks, detain up to two target nonland permanents your opponents control. (Until your next turn, those permanents can't attack or block and their activated abilities can't be activated.)<BR><a href="https://api.scryfall.com/cards/07baef91-d7fd-4890-8c00-62f1a416dc76/rulings">Rulings</a>|Return to Ravnica Promos|Rare||Svetlin Velinov|142★|F$ 0.43<br>Finishes: foil:<br>Promos: setpromo:datestamped:prerelease:<br><br><a href="https://scryfall.com/card/prtr/142%E2%98%85/archon-of-the-triumvirate?utm_source=api">Scryfall</a>|0|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/0/7/07baef91-d7fd-4890-8c00-62f1a416dc76.jpg?1605370633}
f7c622d7-c8e4-4eaa-8102-3fae136559cb|Carnival Hellsteed|{4}{B}{R}|Creature - Nightmare Horse|5|4|First strike, haste<br>Unleash (You may have this creature enter with a +1/+1 counter on it. It can't block as long as it has a +1/+1 counter on it.)<BR><a href="https://api.scryfall.com/cards/f7c622d7-c8e4-4eaa-8102-3fae136559cb/rulings">Rulings</a>|Return to Ravnica Promos|Rare||Min Yum|147★|F$ 0.34<br>Finishes: foil:<br>Promos: setpromo:datestamped:prerelease:<br><br><a href="https://scryfall.com/card/prtr/147%E2%98%85/carnival-hellsteed?utm_source=api">Scryfall</a>|0|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/f/7/f7c622d7-c8e4-4eaa-8102-3fae136559cb.jpg?1605370637}
b519f1ed-0411-4c85-a266-3c4f2895000a|Corpsejack Menace|{2}{B}{G}|Creature - Fungus|4|4|If one or more +1/+1 counters would be put on a creature you control, twice that many +1/+1 counters are put on it instead.<BR><a href="https://api.scryfall.com/cards/b519f1ed-0411-4c85-a266-3c4f2895000a/rulings">Rulings</a>|Return to Ravnica Promos|Rare||Vincent Proce|152★|F$ 1.75<br>Finishes: foil:<br>Promos: setpromo:datestamped:prerelease:<br><br><a href="https://scryfall.com/card/prtr/152%E2%98%85/corpsejack-menace?utm_source=api">Scryfall</a>|0|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/b/5/b519f1ed-0411-4c85-a266-3c4f2895000a.jpg?1605370641}
ecc43058-6708-489f-a88f-33930c58ebce|Dreg Mangler|{1}{B}{G}|Creature - Plant Zombie|3|3|Haste<br>Scavenge {3}{B}{G} ({3}{B}{G}, Exile this card from your graveyard: Put a number of +1/+1 counters equal to this card's power on target creature. Scavenge only as a sorcery.)<BR><a href="https://api.scryfall.com/cards/ecc43058-6708-489f-a88f-33930c58ebce/rulings">Rulings</a>|Return to Ravnica Promos|Uncommon||Svetlin Velinov|158|F$ 0.24<br>Finishes: foil:<br>Promos: giftbox:setpromo:<br><br><a href="https://scryfall.com/card/prtr/158/dreg-mangler?utm_source=api">Scryfall</a>|0|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/e/c/ecc43058-6708-489f-a88f-33930c58ebce.jpg?1571662574}
ba617296-3cce-4933-8939-dde6445225e2|Hypersonic Dragon|{3}{U}{R}|Creature - Dragon|4|4|Flying, haste<br>You may cast sorcery spells as though they had flash. (You may cast them any time you could cast an instant.)<BR><a href="https://api.scryfall.com/cards/ba617296-3cce-4933-8939-dde6445225e2/rulings">Rulings</a>|Return to Ravnica Promos|Rare||Volkan Baǵa|170★|F$ 0.66<br>Finishes: foil:<br>Promos: setpromo:datestamped:prerelease:<br><br><a href="https://scryfall.com/card/prtr/170%E2%98%85/hypersonic-dragon?utm_source=api">Scryfall</a>|0|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/b/a/ba617296-3cce-4933-8939-dde6445225e2.jpg?1605370730}
35e3b17c-1af9-4a6d-9cbe-e9d23ea52c53|Supreme Verdict|{1}{W}{W}{U}|Sorcery|||This spell can't be countered.<br>Destroy all creatures.<BR><a href="https://api.scryfall.com/cards/35e3b17c-1af9-4a6d-9cbe-e9d23ea52c53/rulings">Rulings</a>|Return to Ravnica Promos|Rare||John Avon|201★|F$ 4.12<br>Finishes: foil:<br>Promos: setpromo:buyabox:<br><br><a href="https://scryfall.com/card/prtr/201%E2%98%85/supreme-verdict?utm_source=api">Scryfall</a>|0|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/3/5/35e3b17c-1af9-4a6d-9cbe-e9d23ea52c53.jpg?1662280975}
d0b9097b-e2c8-4d9f-abb3-1cb410888988|Cryptborn Horror|{1}{B/R}{B/R}|Creature - Horror|0|0|Trample<br>This creature enters with X +1/+1 counters on it, where X is the total life lost by your opponents this turn.<BR><a href="https://api.scryfall.com/cards/d0b9097b-e2c8-4d9f-abb3-1cb410888988/rulings">Rulings</a>|Return to Ravnica Promos|Rare||Nils Hamm|212|F$ 0.95<br>Finishes: foil:<br>FullArt: true<br>Promos: setpromo:gameday:<br><br><a href="https://scryfall.com/card/prtr/212/cryptborn-horror?utm_source=api">Scryfall</a>|0|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/d/0/d0b9097b-e2c8-4d9f-abb3-1cb410888988.jpg?1562497068}
d88f8449-748f-4843-b4a2-480f6ebd384d|Dryad Militant|{G/W}|Creature - Dryad Soldier|2|1|({G/W} can be paid with either {G} or {W}.)<br>If an instant or sorcery card would be put into a graveyard from anywhere, exile it instead.<BR><a href="https://api.scryfall.com/cards/d88f8449-748f-4843-b4a2-480f6ebd384d/rulings">Rulings</a>|Return to Ravnica Promos|Uncommon||Ryan Pancoast|214|R$ 0.49 <br>Finishes: nonfoil:<br>FullArt: true<br>Promos: setpromo:gameday:<br><br><a href="https://scryfall.com/card/prtr/214/dryad-militant?utm_source=api">Scryfall</a>|0|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/d/8/d88f8449-748f-4843-b4a2-480f6ebd384d.jpg?1681501668}
b164a0b4-b2b8-4ea6-b271-e89291d0d4b3|Grove of the Guardian||Land|||{T}: Add {C}.<br>{3}{G}{W}, {T}, Tap two untapped creatures you control, Sacrifice this land: Create an 8/8 green and white Elemental creature token with vigilance.<BR><a href="https://api.scryfall.com/cards/b164a0b4-b2b8-4ea6-b271-e89291d0d4b3/rulings">Rulings</a>|Return to Ravnica Promos|Rare||Yeong-Hao Han|240★|F$ 0.29<br>Finishes: foil:<br>Promos: setpromo:datestamped:prerelease:<br><br><a href="https://scryfall.com/card/prtr/240%E2%98%85/grove-of-the-guardian?utm_source=api">Scryfall</a>|0|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/b/1/b164a0b4-b2b8-4ea6-b271-e89291d0d4b3.jpg?1605370738}
