ID|NAME|COST|TYPE|POWER|TOUGHNESS|ORACLE|SET|RARITY|LANG|ARTIST|COLLNUM|TEXT|PROPERTIES
scry_8004052e-cb88-4ca6-a563-5396f13f7c6d|Plains||Basic Land - Plains|||({T}: Add {W}.)|RNA Ravnica Weekend|Common||Alayna Danner|B01|Finishes: foil:<br>https://scryfall.com/card/prw2/B01/plains?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/8/0/8004052e-cb88-4ca6-a563-5396f13f7c6d.jpg?1581038229}
scry_9f71d5d2-49a5-4d5c-a218-8f0634c57d94|Island||Basic Land - Island|||({T}: Add {U}.)|RNA Ravnica Weekend|Common||Alayna Danner|B02|Finishes: foil:<br>https://scryfall.com/card/prw2/B02/island?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/9/f/9f71d5d2-49a5-4d5c-a218-8f0634c57d94.jpg?1581038223}
scry_378318f0-c45b-4e02-a3c7-931796e8796a|Plains||Basic Land - Plains|||({T}: Add {W}.)|RNA Ravnica Weekend|Common||Ravenna Tran|B03|Finishes: foil:<br>https://scryfall.com/card/prw2/B03/plains?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/3/7/378318f0-c45b-4e02-a3c7-931796e8796a.jpg?1581038194}
scry_ac3772ad-581e-4ed6-9813-aa15cba27085|Swamp||Basic Land - Swamp|||({T}: Add {B}.)|RNA Ravnica Weekend|Common||Ravenna Tran|B04|Finishes: foil:<br>https://scryfall.com/card/prw2/B04/swamp?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/a/c/ac3772ad-581e-4ed6-9813-aa15cba27085.jpg?1581038198}
scry_7562f3d1-bde9-4f5d-a51a-01e6d0578695|Swamp||Basic Land - Swamp|||({T}: Add {B}.)|RNA Ravnica Weekend|Common||Dimitar Marinski|B05|Finishes: foil:<br>https://scryfall.com/card/prw2/B05/swamp?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/7/5/7562f3d1-bde9-4f5d-a51a-01e6d0578695.jpg?1581038202}
scry_280cbdd4-57e1-49a0-a9b0-60b2d9fb9ac9|Mountain||Basic Land - Mountain|||({T}: Add {R}.)|RNA Ravnica Weekend|Common||Dimitar Marinski|B06|Finishes: foil:<br>https://scryfall.com/card/prw2/B06/mountain?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/2/8/280cbdd4-57e1-49a0-a9b0-60b2d9fb9ac9.jpg?1581038206}
scry_8b95a588-8dd1-49f7-92d8-34e2237769f2|Mountain||Basic Land - Mountain|||({T}: Add {R}.)|RNA Ravnica Weekend|Common||James Paick|B07|Finishes: foil:<br>https://scryfall.com/card/prw2/B07/mountain?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/8/b/8b95a588-8dd1-49f7-92d8-34e2237769f2.jpg?1581038209}
scry_abe92f9f-635a-4c76-95cc-163715553057|Forest||Basic Land - Forest|||({T}: Add {G}.)|RNA Ravnica Weekend|Common||James Paick|B08|Finishes: foil:<br>https://scryfall.com/card/prw2/B08/forest?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/a/b/abe92f9f-635a-4c76-95cc-163715553057.jpg?1581038213}
scry_b79ec1ab-99ac-4552-891e-839067f606fc|Forest||Basic Land - Forest|||({T}: Add {G}.)|RNA Ravnica Weekend|Common||Yeong-Hao Han|B09|Finishes: foil:<br>https://scryfall.com/card/prw2/B09/forest?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/b/7/b79ec1ab-99ac-4552-891e-839067f606fc.jpg?1581038262}
scry_ac709474-7790-483f-9ed5-ea7abccfce53|Island||Basic Land - Island|||({T}: Add {U}.)|RNA Ravnica Weekend|Common||Yeong-Hao Han|B10|Finishes: foil:<br>https://scryfall.com/card/prw2/B10/island?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/a/c/ac709474-7790-483f-9ed5-ea7abccfce53.jpg?1553195352}
