ID|NAME|COST|TYPE|POWER|TOUGHNESS|ORACLE|SET|RARITY|LANG|ARTIST|COLLNUM|TEXT|GATHERERID|TCGID|PROPERTIES
249cfc69-062a-43d4-9f09-7a8ba976f899|Kytheon, Hero of Akros // Gideon, Battle-Forged|{W}|Legendary Creature - Human Soldier|2|1|At end of combat, if Kytheon and at least two other creatures attacked this combat, exile Kytheon, then return him to the battlefield transformed under his owner's control.<br>{2}{W}: Kytheon gains indestructible until end of turn.<BR><a href="https://api.scryfall.com/cards/249cfc69-062a-43d4-9f09-7a8ba976f899/rulings">Rulings</a>|San Diego Comic-Con 2015|Mythic||Wayne Reynolds|23|Finishes: foil:<br>Promos: convention:<br><br><a href="https://scryfall.com/card/ps15/23/kytheon-hero-of-akros-gideon-battle-forged?utm_source=api">Scryfall</a>|0|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/2/4/249cfc69-062a-43d4-9f09-7a8ba976f899.jpg?1739043966, FLIPID=-249cfc69-062a-43d4-9f09-7a8ba976f899}
-249cfc69-062a-43d4-9f09-7a8ba976f899|Kytheon, Hero of Akros // Gideon, Battle-Forged (transform)||Legendary Planeswalker - Gideon|||+2: Up to one target creature an opponent controls attacks Gideon during its controller's next turn if able.<br>+1: Until your next turn, target creature gains indestructible. Untap that creature.<br>0: Until end of turn, Gideon becomes a 4/4 Human Soldier creature with indestructible that's still a planeswalker. Prevent all damage that would be dealt to him this turn.<BR><a href="https://api.scryfall.com/cards/249cfc69-062a-43d4-9f09-7a8ba976f899/rulings">Rulings</a>|San Diego Comic-Con 2015|Mythic||Wayne Reynolds|23b|Finishes: foil:<br>Promos: convention:<br><br><a href="https://scryfall.com/card/ps15/23/kytheon-hero-of-akros-gideon-battle-forged?utm_source=api">Scryfall</a>|0|0|{IMAGE_URL=https://cards.scryfall.io/normal/back/2/4/249cfc69-062a-43d4-9f09-7a8ba976f899.jpg?1739043966, FLIPID=249cfc69-062a-43d4-9f09-7a8ba976f899}
e7b5705f-dc56-41af-a781-8a41aaa7c5b8|Jace, Vryn's Prodigy // Jace, Telepath Unbound|{1}{U}|Legendary Creature - Human Wizard|0|2|{T}: Draw a card, then discard a card. If there are five or more cards in your graveyard, exile Jace, then return him to the battlefield transformed under his owner's control.<BR><a href="https://api.scryfall.com/cards/e7b5705f-dc56-41af-a781-8a41aaa7c5b8/rulings">Rulings</a>|San Diego Comic-Con 2015|Mythic||Wayne Reynolds|60|Finishes: foil:<br>Promos: convention:<br><br><a href="https://scryfall.com/card/ps15/60/jace-vryns-prodigy-jace-telepath-unbound?utm_source=api">Scryfall</a>|0|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/e/7/e7b5705f-dc56-41af-a781-8a41aaa7c5b8.jpg?1739043971, FLIPID=-e7b5705f-dc56-41af-a781-8a41aaa7c5b8}
-e7b5705f-dc56-41af-a781-8a41aaa7c5b8|Jace, Vryn's Prodigy // Jace, Telepath Unbound (transform)||Legendary Planeswalker - Jace|||+1: Up to one target creature gets -2/-0 until your next turn.<br>−3: You may cast target instant or sorcery card from your graveyard this turn. If that spell would be put into your graveyard, exile it instead.<br>−9: You get an emblem with "Whenever you cast a spell, target opponent mills five cards."<BR><a href="https://api.scryfall.com/cards/e7b5705f-dc56-41af-a781-8a41aaa7c5b8/rulings">Rulings</a>|San Diego Comic-Con 2015|Mythic||Wayne Reynolds|60b|Finishes: foil:<br>Promos: convention:<br><br><a href="https://scryfall.com/card/ps15/60/jace-vryns-prodigy-jace-telepath-unbound?utm_source=api">Scryfall</a>|0|0|{IMAGE_URL=https://cards.scryfall.io/normal/back/e/7/e7b5705f-dc56-41af-a781-8a41aaa7c5b8.jpg?1739043971, FLIPID=e7b5705f-dc56-41af-a781-8a41aaa7c5b8}
d93a27d8-26cf-410b-a8a9-707239134951|Liliana, Heretical Healer // Liliana, Defiant Necromancer|{1}{B}{B}|Legendary Creature - Human Cleric|2|3|Lifelink<br>Whenever another nontoken creature you control dies, exile Liliana, Heretical Healer, then return her to the battlefield transformed under her owner's control. If you do, create a 2/2 black Zombie creature token.<BR><a href="https://api.scryfall.com/cards/d93a27d8-26cf-410b-a8a9-707239134951/rulings">Rulings</a>|San Diego Comic-Con 2015|Mythic||Wayne Reynolds|106|Finishes: foil:<br>Promos: convention:<br><br><a href="https://scryfall.com/card/ps15/106/liliana-heretical-healer-liliana-defiant-necromancer?utm_source=api">Scryfall</a>|0|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/d/9/d93a27d8-26cf-410b-a8a9-707239134951.jpg?1739043976, FLIPID=-d93a27d8-26cf-410b-a8a9-707239134951}
-d93a27d8-26cf-410b-a8a9-707239134951|Liliana, Heretical Healer // Liliana, Defiant Necromancer (transform)||Legendary Planeswalker - Liliana|||+2: Each player discards a card.<br>−X: Return target nonlegendary creature card with mana value X from your graveyard to the battlefield.<br>−8: You get an emblem with "Whenever a creature dies, return it to the battlefield under your control at the beginning of the next end step."<BR><a href="https://api.scryfall.com/cards/d93a27d8-26cf-410b-a8a9-707239134951/rulings">Rulings</a>|San Diego Comic-Con 2015|Mythic||Wayne Reynolds|106b|Finishes: foil:<br>Promos: convention:<br><br><a href="https://scryfall.com/card/ps15/106/liliana-heretical-healer-liliana-defiant-necromancer?utm_source=api">Scryfall</a>|0|0|{IMAGE_URL=https://cards.scryfall.io/normal/back/d/9/d93a27d8-26cf-410b-a8a9-707239134951.jpg?1739043976, FLIPID=d93a27d8-26cf-410b-a8a9-707239134951}
2b567975-53b5-4716-831d-e65612285d51|Chandra, Fire of Kaladesh // Chandra, Roaring Flame|{1}{R}{R}|Legendary Creature - Human Shaman|2|2|Whenever you cast a red spell, untap Chandra.<br>{T}: Chandra deals 1 damage to target player or planeswalker. If Chandra has dealt 3 or more damage this turn, exile her, then return her to the battlefield transformed under her owner's control.<BR><a href="https://api.scryfall.com/cards/2b567975-53b5-4716-831d-e65612285d51/rulings">Rulings</a>|San Diego Comic-Con 2015|Mythic||Wayne Reynolds|135|Finishes: foil:<br>Promos: convention:<br><br><a href="https://scryfall.com/card/ps15/135/chandra-fire-of-kaladesh-chandra-roaring-flame?utm_source=api">Scryfall</a>|0|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/2/b/2b567975-53b5-4716-831d-e65612285d51.jpg?1739043981, FLIPID=-2b567975-53b5-4716-831d-e65612285d51}
-2b567975-53b5-4716-831d-e65612285d51|Chandra, Fire of Kaladesh // Chandra, Roaring Flame (transform)||Legendary Planeswalker - Chandra|||+1: Chandra deals 2 damage to target player or planeswalker.<br>−2: Chandra deals 2 damage to target creature.<br>−7: Chandra deals 6 damage to each opponent. Each player dealt damage this way gets an emblem with "At the beginning of your upkeep, this emblem deals 3 damage to you."<BR><a href="https://api.scryfall.com/cards/2b567975-53b5-4716-831d-e65612285d51/rulings">Rulings</a>|San Diego Comic-Con 2015|Mythic||Wayne Reynolds|135b|Finishes: foil:<br>Promos: convention:<br><br><a href="https://scryfall.com/card/ps15/135/chandra-fire-of-kaladesh-chandra-roaring-flame?utm_source=api">Scryfall</a>|0|0|{IMAGE_URL=https://cards.scryfall.io/normal/back/2/b/2b567975-53b5-4716-831d-e65612285d51.jpg?1739043981, FLIPID=2b567975-53b5-4716-831d-e65612285d51}
008b1ea5-1a8d-4a9d-b208-421fea2f9c58|Nissa, Vastwood Seer // Nissa, Sage Animist|{2}{G}|Legendary Creature - Elf Scout|2|2|When Nissa enters, you may search your library for a basic Forest card, reveal it, put it into your hand, then shuffle.<br>Whenever a land you control enters, if you control seven or more lands, exile Nissa, then return her to the battlefield transformed under her owner's control.<BR><a href="https://api.scryfall.com/cards/008b1ea5-1a8d-4a9d-b208-421fea2f9c58/rulings">Rulings</a>|San Diego Comic-Con 2015|Mythic||Wayne Reynolds|189|Finishes: foil:<br>Promos: convention:<br><br><a href="https://scryfall.com/card/ps15/189/nissa-vastwood-seer-nissa-sage-animist?utm_source=api">Scryfall</a>|0|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/0/0/008b1ea5-1a8d-4a9d-b208-421fea2f9c58.jpg?1739043985, FLIPID=-008b1ea5-1a8d-4a9d-b208-421fea2f9c58}
-008b1ea5-1a8d-4a9d-b208-421fea2f9c58|Nissa, Vastwood Seer // Nissa, Sage Animist (transform)||Legendary Planeswalker - Nissa|||+1: Reveal the top card of your library. If it's a land card, put it onto the battlefield. Otherwise, put it into your hand.<br>−2: Create Ashaya, the Awoken World, a legendary 4/4 green Elemental creature token.<br>−7: Untap up to six target lands. They become 6/6 Elemental creatures. They're still lands.<BR><a href="https://api.scryfall.com/cards/008b1ea5-1a8d-4a9d-b208-421fea2f9c58/rulings">Rulings</a>|San Diego Comic-Con 2015|Mythic||Wayne Reynolds|189b|Finishes: foil:<br>Promos: convention:<br><br><a href="https://scryfall.com/card/ps15/189/nissa-vastwood-seer-nissa-sage-animist?utm_source=api">Scryfall</a>|0|0|{IMAGE_URL=https://cards.scryfall.io/normal/back/0/0/008b1ea5-1a8d-4a9d-b208-421fea2f9c58.jpg?1739043985, FLIPID=008b1ea5-1a8d-4a9d-b208-421fea2f9c58}
