ID|NAME|COST|TYPE|POWER|TOUGHNESS|ORACLE|SET|RARITY|LANG|ARTIST|COLLNUM|TEXT|GATHERERID|TCGID|PROPERTIES
555451d8-52c2-448a-9015-40fcd874b381|Always Watching|{1}{W}{W}|Enchantment|||Nontoken creatures you control get +1/+1 and have vigilance.<BR><a href="https://api.scryfall.com/cards/555451d8-52c2-448a-9015-40fcd874b381/rulings">Rulings</a>|Shadows over Innistrad Promos|Rare||Chase Stone|1s|F$ 3.74<br>Finishes: foil:<br>Promos: setpromo:prerelease:datestamped:<br><br><a href="https://scryfall.com/card/psoi/1s/always-watching?utm_source=api">Scryfall</a>|0|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/5/5/555451d8-52c2-448a-9015-40fcd874b381.jpg?1562910659}
870668b9-96b6-4216-97c0-b48078224c64|Angel of Deliverance|{6}{W}{W}|Creature - Angel|6|6|Flying<br>Delirium — Whenever this creature deals damage, if there are four or more card types among cards in your graveyard, exile target creature an opponent controls.<BR><a href="https://api.scryfall.com/cards/870668b9-96b6-4216-97c0-b48078224c64/rulings">Rulings</a>|Shadows over Innistrad Promos|Rare||Chris Rahn|2|F$ 0.24<br>Finishes: foil:<br>Promos: setpromo:datestamped:release:<br><br><a href="https://scryfall.com/card/psoi/2/angel-of-deliverance?utm_source=api">Scryfall</a>|0|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/8/7/870668b9-96b6-4216-97c0-b48078224c64.jpg?1562920017}
8b0d7b21-3533-4271-bc2e-e2a031010cd5|Angel of Deliverance|{6}{W}{W}|Creature - Angel|6|6|Flying<br>Delirium — Whenever this creature deals damage, if there are four or more card types among cards in your graveyard, exile target creature an opponent controls.<BR><a href="https://api.scryfall.com/cards/8b0d7b21-3533-4271-bc2e-e2a031010cd5/rulings">Rulings</a>|Shadows over Innistrad Promos|Rare||Joseph Meehan|2s|F$ 0.30<br>Finishes: foil:<br>Promos: setpromo:prerelease:datestamped:<br><br><a href="https://scryfall.com/card/psoi/2s/angel-of-deliverance?utm_source=api">Scryfall</a>|0|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/8/b/8b0d7b21-3533-4271-bc2e-e2a031010cd5.jpg?1562920782}
7dfc573c-79b9-4fd9-b721-725323a320a8|Archangel Avacyn // Avacyn, the Purifier|{3}{W}{W}|Legendary Creature - Angel|4|4|Flash<br>Flying, vigilance<br>When Archangel Avacyn enters, creatures you control gain indestructible until end of turn.<br>When a non-Angel creature you control dies, transform Archangel Avacyn at the beginning of the next upkeep.<BR><a href="https://api.scryfall.com/cards/7dfc573c-79b9-4fd9-b721-725323a320a8/rulings">Rulings</a>|Shadows over Innistrad Promos|Mythic||James Ryman|5s|F$ 9.41<br>Finishes: foil:<br>Promos: setpromo:prerelease:datestamped:<br><br><a href="https://scryfall.com/card/psoi/5s/archangel-avacyn-avacyn-the-purifier?utm_source=api">Scryfall</a>|0|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/7/d/7dfc573c-79b9-4fd9-b721-725323a320a8.jpg?1596137521, FLIPID=-7dfc573c-79b9-4fd9-b721-725323a320a8}
-7dfc573c-79b9-4fd9-b721-725323a320a8|Archangel Avacyn // Avacyn, the Purifier (transform)||Legendary Creature - Angel|6|5|Flying<br>When this creature transforms into Avacyn, the Purifier, it deals 3 damage to each other creature and each opponent.<BR><a href="https://api.scryfall.com/cards/7dfc573c-79b9-4fd9-b721-725323a320a8/rulings">Rulings</a>|Shadows over Innistrad Promos|Mythic||James Ryman|5sb|Finishes: foil:<br>Promos: setpromo:prerelease:datestamped:<br><br><a href="https://scryfall.com/card/psoi/5s/archangel-avacyn-avacyn-the-purifier?utm_source=api">Scryfall</a>|0|0|{IMAGE_URL=https://cards.scryfall.io/normal/back/7/d/7dfc573c-79b9-4fd9-b721-725323a320a8.jpg?1596137521, FLIPID=7dfc573c-79b9-4fd9-b721-725323a320a8}
c13941e8-8bc2-4037-a2cb-0a56bf1ecda9|Bygone Bishop|{2}{W}|Creature - Spirit Cleric|2|3|Flying<br>Whenever you cast a creature spell with mana value 3 or less, investigate. (Create a Clue token. It's an artifact with "{2}, Sacrifice this token: Draw a card.")<BR><a href="https://api.scryfall.com/cards/c13941e8-8bc2-4037-a2cb-0a56bf1ecda9/rulings">Rulings</a>|Shadows over Innistrad Promos|Rare||Jason A. Engle|8s|F$ 1.91<br>Finishes: foil:<br>Promos: setpromo:prerelease:datestamped:<br><br><a href="https://scryfall.com/card/psoi/8s/bygone-bishop?utm_source=api">Scryfall</a>|0|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/c/1/c13941e8-8bc2-4037-a2cb-0a56bf1ecda9.jpg?1562931081}
77c3e441-1a4a-4144-83a4-e6a17d43bade|Declaration in Stone|{1}{W}|Sorcery|||Exile target creature and all other creatures its controller controls with the same name as that creature. That player investigates for each nontoken creature exiled this way.<BR><a href="https://api.scryfall.com/cards/77c3e441-1a4a-4144-83a4-e6a17d43bade/rulings">Rulings</a>|Shadows over Innistrad Promos|Rare||Tyler Jacobson|12s|F$ 2.10<br>Finishes: foil:<br>Promos: setpromo:prerelease:datestamped:<br><br><a href="https://scryfall.com/card/psoi/12s/declaration-in-stone?utm_source=api">Scryfall</a>|0|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/7/7/77c3e441-1a4a-4144-83a4-e6a17d43bade.jpg?1562917147}
541af167-d28a-4d34-9bbe-d93be71d1f73|Descend upon the Sinful|{4}{W}{W}|Sorcery|||Exile all creatures.<br>Delirium — Create a 4/4 white Angel creature token with flying if there are four or more card types among cards in your graveyard.<BR><a href="https://api.scryfall.com/cards/541af167-d28a-4d34-9bbe-d93be71d1f73/rulings">Rulings</a>|Shadows over Innistrad Promos|Mythic||Tyler Jacobson|13s|F$ 3.25<br>Finishes: foil:<br>Promos: setpromo:prerelease:datestamped:<br><br><a href="https://scryfall.com/card/psoi/13s/descend-upon-the-sinful?utm_source=api">Scryfall</a>|0|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/5/4/541af167-d28a-4d34-9bbe-d93be71d1f73.jpg?1562910438}
9be960b2-8151-4ca0-8d85-c1150044475a|Drogskol Cavalry|{5}{W}{W}|Creature - Spirit Knight|4|4|Flying<br>Whenever another Spirit you control enters, you gain 2 life.<br>{3}{W}: Create a 1/1 white Spirit creature token with flying.<BR><a href="https://api.scryfall.com/cards/9be960b2-8151-4ca0-8d85-c1150044475a/rulings">Rulings</a>|Shadows over Innistrad Promos|Rare||Johann Bodin|15|F$ 0.49<br>Finishes: foil:<br>Promos: setpromo:intropack:<br><br><a href="https://scryfall.com/card/psoi/15/drogskol-cavalry?utm_source=api">Scryfall</a>|0|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/9/b/9be960b2-8151-4ca0-8d85-c1150044475a.jpg?1562924048}
1a5c6454-67fa-4afb-885e-5cdd595c57ab|Drogskol Cavalry|{5}{W}{W}|Creature - Spirit Knight|4|4|Flying<br>Whenever another Spirit you control enters, you gain 2 life.<br>{3}{W}: Create a 1/1 white Spirit creature token with flying.<BR><a href="https://api.scryfall.com/cards/1a5c6454-67fa-4afb-885e-5cdd595c57ab/rulings">Rulings</a>|Shadows over Innistrad Promos|Rare||Igor Kieryluk|15s|F$ 3.62<br>Finishes: foil:<br>Promos: setpromo:prerelease:datestamped:<br><br><a href="https://scryfall.com/card/psoi/15s/drogskol-cavalry?utm_source=api">Scryfall</a>|0|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/1/a/1a5c6454-67fa-4afb-885e-5cdd595c57ab.jpg?1562899946}
