ID|NAME|COST|TYPE|POWER|TOUGHNESS|ORACLE|SET|RARITY|LANG|ARTIST|COLLNUM|TEXT|PROPERTIES
c8ad9739-1f15-45ba-9d26-7080decb8f5a|Anti-Venom, Horrifying Healer|{W}{W}{W}{W}{W}|Legendary Creature - Symbiote Hero|5|5|When Anti-Venom enters, if he was cast, return target creature card from your graveyard to the battlefield.<br>If damage would be dealt to Anti-Venom, prevent that damage and put that many +1/+1 counters on him.|Marvel's Spider-Man Promos|Mythic||Néstor Ossandón Leal|1s|Finishes: foil:<br>Promos: prerelease:datestamped:universesbeyond:<br><br><a href="https://scryfall.com/card/pspm/1s/anti-venom-horrifying-healer?utm_source=api">Scryfall</a>|{IMAGE_URL=https://cards.scryfall.io/normal/front/c/8/c8ad9739-1f15-45ba-9d26-7080decb8f5a.jpg?1758882171}
0d9ea1ad-686d-4f62-8cd8-b2f40097d2c5|Arachne, Psionic Weaver|{2}{W}|Legendary Creature - Spider Human Hero|3|3|Web-slinging {W} (You may cast this spell for {W} if you also return a tapped creature you control to its owner's hand.)<br>As Arachne enters, look at an opponent's hand, then choose a card type other than creature.<br>Spells of the chosen type cost {1} more to cast.|Marvel's Spider-Man Promos|Rare||Steve Argyle|2s|Finishes: foil:<br>Promos: prerelease:datestamped:universesbeyond:<br><br><a href="https://scryfall.com/card/pspm/2s/arachne-psionic-weaver?utm_source=api">Scryfall</a>|{IMAGE_URL=https://cards.scryfall.io/normal/front/0/d/0d9ea1ad-686d-4f62-8cd8-b2f40097d2c5.jpg?1758882273}
82dc9984-ee11-4031-a60b-824f803332fc|Friendly Neighborhood|{3}{W}|Enchantment - Aura|||Enchant land<br>When this Aura enters, create three 1/1 green and white Human Citizen creature tokens.<br>Enchanted land has "{1}, {T}: Target creature gets +1/+1 until end of turn for each creature you control. Activate only as a sorcery."|Marvel's Spider-Man Promos|Rare||Pablo Mendoza|8s|Finishes: foil:<br>Promos: prerelease:datestamped:universesbeyond:<br><br><a href="https://scryfall.com/card/pspm/8s/friendly-neighborhood?utm_source=api">Scryfall</a>|{IMAGE_URL=https://cards.scryfall.io/normal/front/8/2/82dc9984-ee11-4031-a60b-824f803332fc.jpg?1758882013}
365f4cef-984e-4c84-9c5d-8a5cc1d8a7bb|Origin of Spider-Man|{1}{W}|Enchantment - Saga|||(As this Saga enters and after your draw step, add a lore counter. Sacrifice after III.)<br>I — Create a 2/1 green Spider creature token with reach.<br>II — Put a +1/+1 counter on target creature you control. It becomes a legendary Spider Hero in addition to its other types.<br>III — Target creature you control gains double strike until end of turn.|Marvel's Spider-Man Promos|Rare||Bill Sienkiewicz|9s|Finishes: foil:<br>Promos: prerelease:datestamped:universesbeyond:<br><br><a href="https://scryfall.com/card/pspm/9s/origin-of-spider-man?utm_source=api">Scryfall</a>|{IMAGE_URL=https://cards.scryfall.io/normal/front/3/6/365f4cef-984e-4c84-9c5d-8a5cc1d8a7bb.jpg?1758882390}
92fe7e10-bdb2-4c15-b16b-99a602cff457|Peter Parker // Amazing Spider-Man|{1}{W}|Legendary Creature - Human Scientist Hero|0|1|When Peter Parker enters, create a 2/1 green Spider creature token with reach.<br>{1}{G}{W}{U}: Transform Peter Parker. Activate only as a sorcery.|Marvel's Spider-Man Promos|Mythic||Thanh Tuấn|10s|Finishes: foil:<br>Promos: prerelease:datestamped:universesbeyond:<br><br><a href="https://scryfall.com/card/pspm/10s/peter-parker-amazing-spider-man?utm_source=api">Scryfall</a>|{IMAGE_URL=https://cards.scryfall.io/normal/front/9/2/92fe7e10-bdb2-4c15-b16b-99a602cff457.jpg?1758882117, FLIPID=-92fe7e10-bdb2-4c15-b16b-99a602cff457}
-92fe7e10-bdb2-4c15-b16b-99a602cff457|Peter Parker // Amazing Spider-Man (modal_dfc)|{1}{G}{W}{U}|Legendary Creature - Spider Human Hero|4|4|Vigilance, reach<br>Each legendary spell you cast that's one or more colors has web-slinging {G}{W}{U}. (You may cast a spell for its web-slinging cost if you also return a tapped creature you control to its owner's hand.)|Marvel's Spider-Man Promos|Mythic||Thanh Tuấn|10sb|Finishes: foil:<br>Promos: prerelease:datestamped:universesbeyond:<br><br><a href="https://scryfall.com/card/pspm/10s/peter-parker-amazing-spider-man?utm_source=api">Scryfall</a>|{IMAGE_URL=https://cards.scryfall.io/normal/back/9/2/92fe7e10-bdb2-4c15-b16b-99a602cff457.jpg?1758882117, FLIPID=92fe7e10-bdb2-4c15-b16b-99a602cff457}
ff76e26a-5868-416a-a61d-b8ea257b639e|Rent Is Due|{W}|Enchantment|||At the beginning of your end step, you may tap two untapped creatures and/or Treasures you control. If you do, draw a card. Otherwise, sacrifice this enchantment.|Marvel's Spider-Man Promos|Rare||Gal Or|11s|Finishes: foil:<br>Promos: prerelease:datestamped:universesbeyond:<br><br><a href="https://scryfall.com/card/pspm/11s/rent-is-due?utm_source=api">Scryfall</a>|{IMAGE_URL=https://cards.scryfall.io/normal/front/f/f/ff76e26a-5868-416a-a61d-b8ea257b639e.jpg?1758882457}
8c72c239-f551-45cd-ad66-10ec65b1e56a|Spectacular Spider-Man|{1}{W}|Legendary Creature - Spider Human Hero|3|2|Flash<br>{1}: Spectacular Spider-Man gains flying until end of turn.<br>{1}, Sacrifice Spectacular Spider-Man: Creatures you control gain hexproof and indestructible until end of turn.|Marvel's Spider-Man Promos|Rare||Roberta Ingranata|14s|Finishes: foil:<br>Promos: prerelease:datestamped:universesbeyond:<br><br><a href="https://scryfall.com/card/pspm/14s/spectacular-spider-man?utm_source=api">Scryfall</a>|{IMAGE_URL=https://cards.scryfall.io/normal/front/8/c/8c72c239-f551-45cd-ad66-10ec65b1e56a.jpg?1758882094}
ec6cb136-38c4-459f-a002-9bac0b5e99a5|With Great Power...|{3}{W}|Enchantment - Aura|||Enchant creature you control<br>Enchanted creature gets +2/+2 for each Aura and Equipment attached to it.<br>All damage that would be dealt to you is dealt to enchanted creature instead.|Marvel's Spider-Man Promos|Rare||E. M. Gist|24s|Finishes: foil:<br>Promos: prerelease:datestamped:universesbeyond:<br><br><a href="https://scryfall.com/card/pspm/24s/with-great-power?utm_source=api">Scryfall</a>|{IMAGE_URL=https://cards.scryfall.io/normal/front/e/c/ec6cb136-38c4-459f-a002-9bac0b5e99a5.jpg?1758882629}
2da59ecc-6377-4242-af1c-b24b1a014459|The Clone Saga|{3}{U}|Enchantment - Saga|||(As this Saga enters and after your draw step, add a lore counter. Sacrifice after III.)<br>I — Surveil 3.<br>II — When you next cast a creature spell this turn, copy it, except the copy isn't legendary.<br>III — Choose a card name. Whenever a creature with the chosen name deals combat damage to a player this turn, draw a card.|Marvel's Spider-Man Promos|Rare||Bill Sienkiewicz|28s|Finishes: foil:<br>Promos: prerelease:datestamped:universesbeyond:<br><br><a href="https://scryfall.com/card/pspm/28s/the-clone-saga?utm_source=api">Scryfall</a>|{IMAGE_URL=https://cards.scryfall.io/normal/front/2/d/2da59ecc-6377-4242-af1c-b24b1a014459.jpg?1758882355}
ed08526c-ea2a-4902-aae0-705cfa696980|Hide on the Ceiling|{X}{U}|Instant|||Exile X target artifacts and/or creatures. Return the exiled cards to the battlefield under their owners' control at the beginning of the next end step.|Marvel's Spider-Man Promos|Rare||Fariba Khamseh|32s|Finishes: foil:<br>Promos: prerelease:datestamped:universesbeyond:<br><br><a href="https://scryfall.com/card/pspm/32s/hide-on-the-ceiling?utm_source=api">Scryfall</a>|{IMAGE_URL=https://cards.scryfall.io/normal/front/e/d/ed08526c-ea2a-4902-aae0-705cfa696980.jpg?1758882264}
2322f64f-177d-4118-8b37-f4566db18615|Hydro-Man, Fluid Felon|{U}{U}|Legendary Creature - Elemental Villain|2|2|Whenever you cast a blue spell, if Hydro-Man is a creature, he gets +1/+1 until end of turn.<br>At the beginning of your end step, untap Hydro-Man. Until your next turn, he becomes a land and gains "{T}: Add {U}." (He's not a creature during that time.)|Marvel's Spider-Man Promos|Rare||Borja Pindado|33s|Finishes: foil:<br>Promos: prerelease:datestamped:universesbeyond:<br><br><a href="https://scryfall.com/card/pspm/33s/hydro-man-fluid-felon?utm_source=api">Scryfall</a>|{IMAGE_URL=https://cards.scryfall.io/normal/front/2/3/2322f64f-177d-4118-8b37-f4566db18615.jpg?1758882552}
25ecd453-64de-4cb2-9766-5e4bf13724fd|Impostor Syndrome|{4}{U}{U}|Enchantment|||Whenever a nontoken creature you control deals combat damage to a player, create a token that's a copy of it, except it isn't legendary.|Marvel's Spider-Man Promos|Mythic||Javier Charro|34s|Finishes: foil:<br>Promos: prerelease:datestamped:universesbeyond:<br><br><a href="https://scryfall.com/card/pspm/34s/impostor-syndrome?utm_source=api">Scryfall</a>|{IMAGE_URL=https://cards.scryfall.io/normal/front/2/5/25ecd453-64de-4cb2-9766-5e4bf13724fd.jpg?1758881963}
