ID|NAME|COST|TYPE|POWER|TOUGHNESS|ORACLE|SET|RARITY|LANG|ARTIST|COLLNUM|TEXT|PROPERTIES
scry_15425ce4-0541-460b-9d50-8de388837a34|Thran Quarry||Land|||At the beginning of the end step, if you control no creatures, sacrifice this land.<br>{T}: Add one mana of any color.|Junior Super Series|Rare||Michael Sutfin|1|Finishes: foil:<br>Promos: tourney:<br>https://scryfall.com/card/psus/1/thran-quarry?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/1/5/15425ce4-0541-460b-9d50-8de388837a34.jpg?1562701912}
scry_f842e304-a488-401c-8762-005a8b3f7d94|Serra Avatar|{4}{W}{W}{W}|Creature - Avatar|*|*|Serra Avatar's power and toughness are each equal to your life total.<br>When Serra Avatar is put into a graveyard from anywhere, shuffle it into its owner's library.|Junior Super Series|Rare||Dermot Power|2|Finishes: foil:<br>Promos: tourney:<br>https://scryfall.com/card/psus/2/serra-avatar?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/f/8/f842e304-a488-401c-8762-005a8b3f7d94.jpg?1562702451}
scry_53bc792d-a9ad-4a20-930d-5a526382463c|Lord of Atlantis|{U}{U}|Creature - Merfolk|2|2|Other Merfolk get +1/+1 and have islandwalk. (They can't be blocked as long as defending player controls an Island.)|Junior Super Series|Rare||Melissa A. Benson|3|Finishes: foil:<br>Promos: tourney:<br>https://scryfall.com/card/psus/3/lord-of-atlantis?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/5/3/53bc792d-a9ad-4a20-930d-5a526382463c.jpg?1562702071}
scry_c84ed73b-3c01-4658-b6fe-6eb98c0aad4c|Crusade|{W}{W}|Enchantment|||White creatures get +1/+1.|Junior Super Series|Rare||Mark Poole|4|Finishes: foil:<br>Promos: tourney:<br>https://scryfall.com/card/psus/4/crusade?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/c/8/c84ed73b-3c01-4658-b6fe-6eb98c0aad4c.jpg?1562702323}
scry_92932329-ae39-42b4-820e-2ba2b0fdd417|Elvish Lyrist|{G}|Creature - Elf|1|1|{G}, {T}, Sacrifice this creature: Destroy target enchantment.|Junior Super Series|Rare||Rebecca Guay|5|Finishes: foil:<br>Promos: tourney:<br>https://scryfall.com/card/psus/5/elvish-lyrist?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/9/2/92932329-ae39-42b4-820e-2ba2b0fdd417.jpg?1595442645}
scry_32b525ab-5454-44e2-8dc7-ef5ef210f892|City of Brass||Land|||Whenever this land becomes tapped, it deals 1 damage to you.<br>{T}: Add one mana of any color.|Junior Super Series|Rare||Mark Tedin|6|Finishes: foil:<br>Promos: tourney:<br>https://scryfall.com/card/psus/6/city-of-brass?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/3/2/32b525ab-5454-44e2-8dc7-ef5ef210f892.jpg?1562702014}
scry_90344750-1db7-4f9b-91ab-00117033ce38|Volcanic Hammer|{1}{R}|Sorcery|||Volcanic Hammer deals 3 damage to any target.|Junior Super Series|Rare||Christopher Rush|7|Finishes: foil:<br>Promos: tourney:<br>https://scryfall.com/card/psus/7/volcanic-hammer?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/9/0/90344750-1db7-4f9b-91ab-00117033ce38.jpg?1562702201}
scry_7faa4674-c4fa-4395-ad6b-d80989e05ec5|Giant Growth|{G}|Instant|||Target creature gets +3/+3 until end of turn.|Junior Super Series|Rare||Terese Nielsen|8|Finishes: foil:<br>Promos: tourney:<br>https://scryfall.com/card/psus/8/giant-growth?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/7/f/7faa4674-c4fa-4395-ad6b-d80989e05ec5.jpg?1562702164}
scry_98e6db52-3bf1-44e6-ba97-e0ed4e9a646c|Two-Headed Dragon|{4}{R}{R}|Creature - Dragon|4|4|Flying<br>Menace (This creature can't be blocked except by two or more creatures.)<br>This creature can block an additional creature each combat.<br>{1}{R}: This creature gets +2/+0 until end of turn.|Junior Super Series|Rare||Sam Wood|9|Finishes: foil:<br>Promos: tourney:<br>https://scryfall.com/card/psus/9/two-headed-dragon?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/9/8/98e6db52-3bf1-44e6-ba97-e0ed4e9a646c.jpg?1562702212}
scry_72e6a305-8dee-4aeb-808e-2847bce44133|Slith Firewalker|{R}{R}|Creature - Slith|1|1|Haste<br>Whenever this creature deals combat damage to a player, put a +1/+1 counter on it.|Junior Super Series|Rare||Justin Sweet|10|Finishes: foil:<br>Promos: tourney:<br>https://scryfall.com/card/psus/10/slith-firewalker?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/7/2/72e6a305-8dee-4aeb-808e-2847bce44133.jpg?1565982909}
scry_230281e4-1cee-4cf8-a73c-63a21c5eb60b|Royal Assassin|{1}{B}{B}|Creature - Human Assassin|1|1|{T}: Destroy target tapped creature.|Junior Super Series|Rare||Tom Wänerstrand|11|Finishes: foil:<br>Promos: tourney:<br>https://scryfall.com/card/psus/11/royal-assassin?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/2/3/230281e4-1cee-4cf8-a73c-63a21c5eb60b.jpg?1562701947}
scry_f630b943-4ca2-4168-8522-3fd2cfacab5a|Sakura-Tribe Elder|{1}{G}|Creature - Snake Shaman|1|1|Sacrifice this creature: Search your library for a basic land card, put that card onto the battlefield tapped, then shuffle.|Junior Super Series|Rare||Carl Critchlow|12|Finishes: foil:<br>Promos: tourney:<br>https://scryfall.com/card/psus/12/sakura-tribe-elder?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/f/6/f630b943-4ca2-4168-8522-3fd2cfacab5a.jpg?1622087204}
scry_d6e922f4-46e9-4a9a-ac3d-8dd2e7fc9527|Shard Phoenix|{4}{R}|Creature - Phoenix|2|2|Flying (This creature can't be blocked except by creatures with flying or reach.)<br>Sacrifice this creature: It deals 2 damage to each creature without flying.<br>{R}{R}{R}: Return this card from your graveyard to your hand. Activate only during your upkeep.|Junior Super Series|Rare||Ron Spencer|13|Finishes: foil:<br>Promos: tourney:<br>https://scryfall.com/card/psus/13/shard-phoenix?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/d/6/d6e922f4-46e9-4a9a-ac3d-8dd2e7fc9527.jpg?1562702371}
