ID|NAME|COST|TYPE|POWER|TOUGHNESS|ORACLE|SET|RARITY|LANG|ARTIST|COLLNUM|TEXT|PROPERTIES
281172b9-15ce-4128-afe5-17cd47d87dc9|Ugin, Eye of the Storms|{7}|Legendary Planeswalker - Ugin|||When you cast this spell, exile up to one target permanent that's one or more colors.<br>Whenever you cast a colorless spell, exile up to one target permanent that's one or more colors.<br>+2: You gain 3 life and draw a card.<br>0: Add {C}{C}{C}.<br>−11: Search your library for any number of colorless nonland cards, exile them, then shuffle. Until end of turn, you may cast those cards without paying their mana costs.|Tarkir: Dragonstorm Promos|Mythic||Joshua Raphael|1p|Finishes: nonfoil:foil:<br>Promos: promopack:stamped:<br><br><a href="https://scryfall.com/card/ptdm/1p/ugin-eye-of-the-storms?utm_source=api">Scryfall</a>|{IMAGE_URL=https://cards.scryfall.io/normal/front/2/8/281172b9-15ce-4128-afe5-17cd47d87dc9.jpg?1744835416}
6484b08e-3e04-4e57-9270-48af08ba06ea|Ugin, Eye of the Storms|{7}|Legendary Planeswalker - Ugin|||When you cast this spell, exile up to one target permanent that's one or more colors.<br>Whenever you cast a colorless spell, exile up to one target permanent that's one or more colors.<br>+2: You gain 3 life and draw a card.<br>0: Add {C}{C}{C}.<br>−11: Search your library for any number of colorless nonland cards, exile them, then shuffle. Until end of turn, you may cast those cards without paying their mana costs.|Tarkir: Dragonstorm Promos|Mythic||Joshua Raphael|1s|Finishes: foil:<br>Promos: prerelease:datestamped:<br><br><a href="https://scryfall.com/card/ptdm/1s/ugin-eye-of-the-storms?utm_source=api">Scryfall</a>|{IMAGE_URL=https://cards.scryfall.io/normal/front/6/4/6484b08e-3e04-4e57-9270-48af08ba06ea.jpg?1744835431}
6440247a-c48c-445b-a6d4-679bca2a178f|Anafenza, Unyielding Lineage|{2}{W}|Legendary Creature - Spirit Soldier|2|2|Flash<br>First strike<br>Whenever another nontoken creature you control dies, Anafenza endures 2. (Put two +1/+1 counters on it or create a 2/2 white Spirit creature token.)|Tarkir: Dragonstorm Promos|Rare||Matt Stewart|2p|Finishes: nonfoil:foil:<br>Promos: promopack:stamped:<br><br><a href="https://scryfall.com/card/ptdm/2p/anafenza-unyielding-lineage?utm_source=api">Scryfall</a>|{IMAGE_URL=https://cards.scryfall.io/normal/front/6/4/6440247a-c48c-445b-a6d4-679bca2a178f.jpg?1756053865}
71197d52-0685-4f7d-bc1f-bcbab9eb61a0|Anafenza, Unyielding Lineage|{2}{W}|Legendary Creature - Spirit Soldier|2|2|Flash<br>First strike<br>Whenever another nontoken creature you control dies, Anafenza endures 2. (Put two +1/+1 counters on it or create a 2/2 white Spirit creature token.)|Tarkir: Dragonstorm Promos|Rare||Matt Stewart|2s|Finishes: foil:<br>Promos: prerelease:datestamped:<br><br><a href="https://scryfall.com/card/ptdm/2s/anafenza-unyielding-lineage?utm_source=api">Scryfall</a>|{IMAGE_URL=https://cards.scryfall.io/normal/front/7/1/71197d52-0685-4f7d-bc1f-bcbab9eb61a0.jpg?1756053877}
defca2d7-a4ae-4724-b5eb-7cafc98e726c|Clarion Conqueror|{2}{W}|Creature - Dragon|3|3|Flying<br>Activated abilities of artifacts, creatures, and planeswalkers can't be activated.|Tarkir: Dragonstorm Promos|Rare||Nathaniel Himawan|5p|Finishes: nonfoil:foil:<br>Promos: promopack:stamped:<br><br><a href="https://scryfall.com/card/ptdm/5p/clarion-conqueror?utm_source=api">Scryfall</a>|{IMAGE_URL=https://cards.scryfall.io/normal/front/d/e/defca2d7-a4ae-4724-b5eb-7cafc98e726c.jpg?1744838337}
8400052e-0ef0-4b16-8bf9-b34c10dfe6b1|Clarion Conqueror|{2}{W}|Creature - Dragon|3|3|Flying<br>Activated abilities of artifacts, creatures, and planeswalkers can't be activated.|Tarkir: Dragonstorm Promos|Rare||Nathaniel Himawan|5s|Finishes: foil:<br>Promos: prerelease:datestamped:<br><br><a href="https://scryfall.com/card/ptdm/5s/clarion-conqueror?utm_source=api">Scryfall</a>|{IMAGE_URL=https://cards.scryfall.io/normal/front/8/4/8400052e-0ef0-4b16-8bf9-b34c10dfe6b1.jpg?1744838332}
83f5909b-06eb-446a-8102-1421d4662ba4|Elspeth, Storm Slayer|{3}{W}{W}|Legendary Planeswalker - Elspeth|||If one or more tokens would be created under your control, twice that many of those tokens are created instead.<br>+1: Create a 1/1 white Soldier creature token.<br>0: Put a +1/+1 counter on each creature you control. Those creatures gain flying until your next turn.<br>−3: Destroy target creature an opponent controls with mana value 3 or greater.|Tarkir: Dragonstorm Promos|Mythic||Ekaterina Burmak|11p|Finishes: nonfoil:foil:<br>Promos: promopack:stamped:<br><br><a href="https://scryfall.com/card/ptdm/11p/elspeth-storm-slayer?utm_source=api">Scryfall</a>|{IMAGE_URL=https://cards.scryfall.io/normal/front/8/3/83f5909b-06eb-446a-8102-1421d4662ba4.jpg?1744666059}
38455aba-58d4-4f4c-96b8-fed5faad7ee7|Elspeth, Storm Slayer|{3}{W}{W}|Legendary Planeswalker - Elspeth|||If one or more tokens would be created under your control, twice that many of those tokens are created instead.<br>+1: Create a 1/1 white Soldier creature token.<br>0: Put a +1/+1 counter on each creature you control. Those creatures gain flying until your next turn.<br>−3: Destroy target creature an opponent controls with mana value 3 or greater.|Tarkir: Dragonstorm Promos|Mythic||Ekaterina Burmak|11s|Finishes: foil:<br>Promos: prerelease:datestamped:<br><br><a href="https://scryfall.com/card/ptdm/11s/elspeth-storm-slayer?utm_source=api">Scryfall</a>|{IMAGE_URL=https://cards.scryfall.io/normal/front/3/8/38455aba-58d4-4f4c-96b8-fed5faad7ee7.jpg?1744666122}
a9e2b9e3-6671-433d-8b45-5a9bf8fc5807|Sage of the Skies|{2}{W}|Creature - Human Monk|2|3|When you cast this spell, if you've cast another spell this turn, copy this spell. (The copy becomes a token.)<br>Flying, lifelink|Tarkir: Dragonstorm Promos|Rare||Justyna Dura|22p|Finishes: nonfoil:foil:<br>Promos: promopack:stamped:<br><br><a href="https://scryfall.com/card/ptdm/22p/sage-of-the-skies?utm_source=api">Scryfall</a>|{IMAGE_URL=https://cards.scryfall.io/normal/front/a/9/a9e2b9e3-6671-433d-8b45-5a9bf8fc5807.jpg?1744666023}
88ba02ff-f2e7-4341-8e0f-e911ad255879|Sage of the Skies|{2}{W}|Creature - Human Monk|2|3|When you cast this spell, if you've cast another spell this turn, copy this spell. (The copy becomes a token.)<br>Flying, lifelink|Tarkir: Dragonstorm Promos|Rare||Justyna Dura|22s|Finishes: foil:<br>Promos: prerelease:datestamped:<br><br><a href="https://scryfall.com/card/ptdm/22s/sage-of-the-skies?utm_source=api">Scryfall</a>|{IMAGE_URL=https://cards.scryfall.io/normal/front/8/8/88ba02ff-f2e7-4341-8e0f-e911ad255879.jpg?1744666085}
