ID|NAME|COST|TYPE|POWER|TOUGHNESS|ORACLE|SET|RARITY|LANG|ARTIST|COLLNUM|TEXT|GATHERERID|TCGID|PROPERTIES
9d049a62-c047-4c67-8b7e-519e71b96c3b|Celestial Archon|{3}{W}{W}|Enchantment Creature - Archon|4|4|Bestow {5}{W}{W} (If you cast this card for its bestow cost, it's an Aura spell with enchant creature. It becomes a creature again if it's not attached.)<br>Flying, first strike<br>Enchanted creature gets +4/+4 and has flying and first strike.<BR><a href="https://api.scryfall.com/cards/9d049a62-c047-4c67-8b7e-519e71b96c3b/rulings">Rulings</a>|Theros Promos|Rare||Wesley Burt|3★|F$ 0.26<br>Finishes: foil:<br>Promos: setpromo:datestamped:prerelease:<br><br><a href="https://scryfall.com/card/pths/3%E2%98%85/celestial-archon?utm_source=api">Scryfall</a>|0|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/9/d/9d049a62-c047-4c67-8b7e-519e71b96c3b.jpg?1605370638}
955d5107-5caf-45fc-8c6b-8383bbd220f3|Phalanx Leader|{W}{W}|Creature - Human Soldier|1|1|Heroic — Whenever you cast a spell that targets this creature, put a +1/+1 counter on each creature you control.<BR><a href="https://api.scryfall.com/cards/955d5107-5caf-45fc-8c6b-8383bbd220f3/rulings">Rulings</a>|Theros Promos|Uncommon||Raymond Swanland|26|R$ 0.41 <br>Finishes: nonfoil:<br>FullArt: true<br>Promos: setpromo:gameday:<br><br><a href="https://scryfall.com/card/pths/26/phalanx-leader?utm_source=api">Scryfall</a>|0|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/9/5/955d5107-5caf-45fc-8c6b-8383bbd220f3.jpg?1632556742}
228b8b54-e49b-48b3-8ed3-f863244e77c1|Bident of Thassa|{2}{U}{U}|Legendary Enchantment Artifact|||Whenever a creature you control deals combat damage to a player, you may draw a card.<br>{1}{U}, {T}: Creatures your opponents control attack this turn if able.<BR><a href="https://api.scryfall.com/cards/228b8b54-e49b-48b3-8ed3-f863244e77c1/rulings">Rulings</a>|Theros Promos|Rare||Ryan Yee|42★|F$ 1.11<br>Finishes: foil:<br>Promos: setpromo:datestamped:release:<br><br><a href="https://scryfall.com/card/pths/42%E2%98%85/bident-of-thassa?utm_source=api">Scryfall</a>|0|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/2/2/228b8b54-e49b-48b3-8ed3-f863244e77c1.jpg?1605371180}
94a9e54d-f023-4b89-9743-66cb6a3e286a|Shipbreaker Kraken|{4}{U}{U}|Creature - Kraken|6|6|{6}{U}{U}: Monstrosity 4. (If this creature isn't monstrous, put four +1/+1 counters on it and it becomes monstrous.)<br>When this creature becomes monstrous, tap up to four target creatures. Those creatures don't untap during their controllers' untap steps for as long as you control this creature.<BR><a href="https://api.scryfall.com/cards/94a9e54d-f023-4b89-9743-66cb6a3e286a/rulings">Rulings</a>|Theros Promos|Rare||Svetlin Velinov|63★|F$ 0.45<br>Finishes: foil:<br>Promos: setpromo:datestamped:prerelease:<br><br><a href="https://scryfall.com/card/pths/63%E2%98%85/shipbreaker-kraken?utm_source=api">Scryfall</a>|0|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/9/4/94a9e54d-f023-4b89-9743-66cb6a3e286a.jpg?1605370829}
ef41929a-737c-4fbc-8f74-3af0a8d67145|Abhorrent Overlord|{5}{B}{B}|Creature - Demon|6|6|Flying<br>When this creature enters, create a number of 1/1 black Harpy creature tokens with flying equal to your devotion to black. (Each {B} in the mana costs of permanents you control counts toward your devotion to black.)<br>At the beginning of your upkeep, sacrifice a creature.<BR><a href="https://api.scryfall.com/cards/ef41929a-737c-4fbc-8f74-3af0a8d67145/rulings">Rulings</a>|Theros Promos|Rare||Dave Kendall|75★|F$ 0.83<br>Finishes: foil:<br>Promos: setpromo:datestamped:prerelease:<br><br><a href="https://scryfall.com/card/pths/75%E2%98%85/abhorrent-overlord?utm_source=api">Scryfall</a>|0|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/e/f/ef41929a-737c-4fbc-8f74-3af0a8d67145.jpg?1605370628}
77b85aef-2f4b-4318-8f29-8adfbee92628|Nighthowler|{1}{B}{B}|Enchantment Creature - Horror|0|0|Bestow {2}{B}{B} (If you cast this card for its bestow cost, it's an Aura spell with enchant creature. It becomes a creature again if it's not attached.)<br>This creature and enchanted creature each get +X/+X, where X is the number of creature cards in all graveyards.<BR><a href="https://api.scryfall.com/cards/77b85aef-2f4b-4318-8f29-8adfbee92628/rulings">Rulings</a>|Theros Promos|Rare||Seb McKinnon|98|F$ 3.85<br>Finishes: foil:<br>FullArt: true<br>Promos: setpromo:gameday:<br><br><a href="https://scryfall.com/card/pths/98/nighthowler?utm_source=api">Scryfall</a>|0|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/7/7/77b85aef-2f4b-4318-8f29-8adfbee92628.jpg?1562636771}
46fe9fbe-59a7-4aa4-947d-c178487d1929|Ember Swallower|{2}{R}{R}|Creature - Elemental|4|5|{5}{R}{R}: Monstrosity 3. (If this creature isn't monstrous, put three +1/+1 counters on it and it becomes monstrous.)<br>When this creature becomes monstrous, each player sacrifices three lands of their choice.<BR><a href="https://api.scryfall.com/cards/46fe9fbe-59a7-4aa4-947d-c178487d1929/rulings">Rulings</a>|Theros Promos|Rare||Vincent Proce|120★|F$ 0.26<br>Finishes: foil:<br>Promos: setpromo:datestamped:prerelease:<br><br><a href="https://scryfall.com/card/pths/120%E2%98%85/ember-swallower?utm_source=api">Scryfall</a>|0|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/4/6/46fe9fbe-59a7-4aa4-947d-c178487d1929.jpg?1605370681}
8875aa5a-7105-4d53-97cd-c2e386371f67|Anthousa, Setessan Hero|{3}{G}{G}|Legendary Creature - Human Warrior|4|5|Heroic — Whenever you cast a spell that targets Anthousa, up to three target lands you control each become 2/2 Warrior creatures until end of turn. They're still lands.<BR><a href="https://api.scryfall.com/cards/8875aa5a-7105-4d53-97cd-c2e386371f67/rulings">Rulings</a>|Theros Promos|Rare||Howard Lyon|149★|F$ 0.23<br>Finishes: foil:<br>Promos: setpromo:datestamped:prerelease:<br><br><a href="https://scryfall.com/card/pths/149%E2%98%85/anthousa-setessan-hero?utm_source=api">Scryfall</a>|0|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/8/8/8875aa5a-7105-4d53-97cd-c2e386371f67.jpg?1605370631}
579f4800-8fd0-44c8-ab46-acf4a5d20384|Karametra's Acolyte|{3}{G}|Creature - Human Druid|1|4|{T}: Add an amount of {G} equal to your devotion to green. (Each {G} in the mana costs of permanents you control counts toward your devotion to green.)<BR><a href="https://api.scryfall.com/cards/579f4800-8fd0-44c8-ab46-acf4a5d20384/rulings">Rulings</a>|Theros Promos|Uncommon||Dan Murayama Scott|160|F$ 1.10<br>Finishes: foil:<br>Promos: giftbox:setpromo:<br><br><a href="https://scryfall.com/card/pths/160/karametras-acolyte?utm_source=api">Scryfall</a>|0|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/5/7/579f4800-8fd0-44c8-ab46-acf4a5d20384.jpg?1576556202}
962717fa-c502-46af-8574-4222e8151679|Sylvan Caryatid|{1}{G}|Creature - Plant|0|3|Defender, hexproof<br>{T}: Add one mana of any color.<BR><a href="https://api.scryfall.com/cards/962717fa-c502-46af-8574-4222e8151679/rulings">Rulings</a>|Theros Promos|Rare||Lars Grant-West|180★|F$ 3.69<br>Finishes: foil:<br>Promos: setpromo:buyabox:<br><br><a href="https://scryfall.com/card/pths/180%E2%98%85/sylvan-caryatid?utm_source=api">Scryfall</a>|0|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/9/6/962717fa-c502-46af-8574-4222e8151679.jpg?1662280992}
