ID|NAME|COST|TYPE|POWER|TOUGHNESS|ORACLE|SET|RARITY|LANG|ARTIST|COLLNUM|TEXT|PROPERTIES
824bbcda-f9ef-4f32-a414-6af3ad7d3b3a|Aang's Iceberg|{2}{W}|Enchantment|||Flash<br>When this enchantment enters, exile up to one other target nonland permanent until this enchantment leaves the battlefield.<br>Waterbend {3}: Sacrifice this enchantment. If you do, scry 2. (While paying a waterbend cost, you can tap your artifacts and creatures to help. Each one pays for {1}.)|Avatar: The Last Airbender Promos|Rare||Matteo Bassini|5s|Finishes: foil:<br>Promos: prerelease:datestamped:universesbeyond:<br><br><a href="https://scryfall.com/card/ptla/5s/aangs-iceberg?utm_source=api">Scryfall</a>|{IMAGE_URL=https://cards.scryfall.io/normal/front/8/2/824bbcda-f9ef-4f32-a414-6af3ad7d3b3a.jpg?1765672951}
1f9fd623-d45d-4c8a-b7e7-4c4ad1e80816|Airbender Ascension|{1}{W}|Enchantment|||When this enchantment enters, airbend up to one target creature.<br>Whenever a creature you control enters, put a quest counter on this enchantment.<br>At the beginning of your end step, if this enchantment has four or more quest counters on it, exile up to one target creature you control, then return it to the battlefield under its owner's control.|Avatar: The Last Airbender Promos|Rare||Shiren|6s|Finishes: foil:<br>Promos: prerelease:datestamped:universesbeyond:<br><br><a href="https://scryfall.com/card/ptla/6s/airbender-ascension?utm_source=api">Scryfall</a>|{IMAGE_URL=https://cards.scryfall.io/normal/front/1/f/1f9fd623-d45d-4c8a-b7e7-4c4ad1e80816.jpg?1765673047}
ff3fd671-2250-411b-a8fb-4b16b681c1e9|Appa, Steadfast Guardian|{2}{W}{W}|Legendary Creature - Bison Ally|3|4|Flash<br>Flying<br>When Appa enters, airbend any number of other target nonland permanents you control. (Exile them. While each one is exiled, its owner may cast it for {2} rather than its mana cost.)<br>Whenever you cast a spell from exile, create a 1/1 white Ally creature token.|Avatar: The Last Airbender Promos|Mythic||Maël Ollivier-Henry|10s|Finishes: foil:<br>Promos: prerelease:datestamped:universesbeyond:<br><br><a href="https://scryfall.com/card/ptla/10s/appa-steadfast-guardian?utm_source=api">Scryfall</a>|{IMAGE_URL=https://cards.scryfall.io/normal/front/f/f/ff3fd671-2250-411b-a8fb-4b16b681c1e9.jpg?1765673004}
32ce61cb-e94a-491c-8863-fa88bc49ae8a|Avatar's Wrath|{2}{W}{W}|Sorcery|||Choose up to one target creature, then airbend all other creatures. (Exile them. While each one is exiled, its owner may cast it for {2} rather than its mana cost.)<br>Until your next turn, your opponents can't cast spells from anywhere other than their hands.<br>Exile Avatar's Wrath.|Avatar: The Last Airbender Promos|Rare||Ainezu|12s|Finishes: foil:<br>Promos: prerelease:datestamped:universesbeyond:<br><br><a href="https://scryfall.com/card/ptla/12s/avatars-wrath?utm_source=api">Scryfall</a>|{IMAGE_URL=https://cards.scryfall.io/normal/front/3/2/32ce61cb-e94a-491c-8863-fa88bc49ae8a.jpg?1765672792}
c1623c90-6ba3-4366-bb92-3c614484be5e|Hakoda, Selfless Commander|{3}{W}|Legendary Creature - Human Warrior Ally|3|5|Vigilance<br>You may look at the top card of your library any time.<br>You may cast Ally spells from the top of your library.<br>Sacrifice Hakoda: Creatures you control get +0/+5 and gain indestructible until end of turn.|Avatar: The Last Airbender Promos|Rare||Rafater|23s|Finishes: foil:<br>Promos: prerelease:datestamped:universesbeyond:<br><br><a href="https://scryfall.com/card/ptla/23s/hakoda-selfless-commander?utm_source=api">Scryfall</a>|{IMAGE_URL=https://cards.scryfall.io/normal/front/c/1/c1623c90-6ba3-4366-bb92-3c614484be5e.jpg?1765673056}
da4c41f1-5584-4c20-a105-f467e8204a55|The Legend of Yangchen // Avatar Yangchen|{3}{W}{W}|Enchantment - Saga|||(As this Saga enters and after your draw step, add a lore counter.)<br>I — Starting with you, each player chooses up to one permanent with mana value 3 or greater from among permanents your opponents control. Exile those permanents.<br>II — You may have target opponent draw three cards. If you do, draw three cards.<br>III — Exile this Saga, then return it to the battlefield transformed under your control.|Avatar: The Last Airbender Promos|Mythic||Kuno|27s|Finishes: foil:<br>Promos: prerelease:datestamped:universesbeyond:<br><br><a href="https://scryfall.com/card/ptla/27s/the-legend-of-yangchen-avatar-yangchen?utm_source=api">Scryfall</a>|{IMAGE_URL=https://cards.scryfall.io/normal/front/d/a/da4c41f1-5584-4c20-a105-f467e8204a55.jpg?1765673116, FLIPID=-da4c41f1-5584-4c20-a105-f467e8204a55}
-da4c41f1-5584-4c20-a105-f467e8204a55|The Legend of Yangchen // Avatar Yangchen (transform)||Legendary Creature - Avatar|4|5|Flying<br>Whenever you cast your second spell each turn, airbend up to one other target nonland permanent. (Exile it. While it's exiled, its owner may cast it for {2} rather than its mana cost.)|Avatar: The Last Airbender Promos|Mythic||Kuno|27sb|Finishes: foil:<br>Promos: prerelease:datestamped:universesbeyond:<br><br><a href="https://scryfall.com/card/ptla/27s/the-legend-of-yangchen-avatar-yangchen?utm_source=api">Scryfall</a>|{IMAGE_URL=https://cards.scryfall.io/normal/back/d/a/da4c41f1-5584-4c20-a105-f467e8204a55.jpg?1765673116, FLIPID=da4c41f1-5584-4c20-a105-f467e8204a55}
5740f9d1-dc1d-45ec-9f3e-f520fe37ff03|Momo, Friendly Flier|{W}|Legendary Creature - Lemur Bat Ally|1|1|Flying<br>The first non-Lemur creature spell with flying you cast during each of your turns costs {1} less to cast.<br>Whenever another creature you control with flying enters, Momo gets +1/+1 until end of turn.|Avatar: The Last Airbender Promos|Rare||Brandon L. Hunt|29s|Finishes: foil:<br>Promos: prerelease:datestamped:universesbeyond:<br><br><a href="https://scryfall.com/card/ptla/29s/momo-friendly-flier?utm_source=api">Scryfall</a>|{IMAGE_URL=https://cards.scryfall.io/normal/front/5/7/5740f9d1-dc1d-45ec-9f3e-f520fe37ff03.jpg?1765673220}
9214c619-3139-4e86-b7fd-beecdc18d087|South Pole Voyager|{1}{W}|Creature - Human Scout Ally|2|2|Whenever this creature or another Ally you control enters, you gain 1 life. If this is the second time this ability has resolved this turn, draw a card.|Avatar: The Last Airbender Promos|Rare||Tition|35s|Finishes: foil:<br>Promos: prerelease:datestamped:universesbeyond:<br><br><a href="https://scryfall.com/card/ptla/35s/south-pole-voyager?utm_source=api">Scryfall</a>|{IMAGE_URL=https://cards.scryfall.io/normal/front/9/2/9214c619-3139-4e86-b7fd-beecdc18d087.jpg?1765672825}
b6472b1e-3033-4084-96fe-b82353958975|Suki, Courageous Rescuer|{1}{W}{W}|Legendary Creature - Human Warrior Ally|2|4|Other creatures you control get +1/+0.<br>Whenever another permanent you control leaves the battlefield during your turn, create a 1/1 white Ally creature token. This ability triggers only once each turn.|Avatar: The Last Airbender Promos|Rare||Tky|37s|Finishes: foil:<br>Promos: prerelease:datestamped:universesbeyond:<br><br><a href="https://scryfall.com/card/ptla/37s/suki-courageous-rescuer?utm_source=api">Scryfall</a>|{IMAGE_URL=https://cards.scryfall.io/normal/front/b/6/b6472b1e-3033-4084-96fe-b82353958975.jpg?1765672733}
