ID|NAME|COST|TYPE|POWER|TOUGHNESS|ORACLE|SET|RARITY|LANG|ARTIST|COLLNUM|TEXT|GATHERERID|TCGID|PROPERTIES
38cd438d-be12-40aa-bd6c-be55e88b63ce|Emrakul, the Aeons Torn|{15}|Legendary Creature - Eldrazi|15|15|This spell can't be countered.<br>When you cast this spell, take an extra turn after this one.<br>Flying, protection from spells that are one or more colors, annihilator 6<br>When Emrakul is put into a graveyard from anywhere, its owner shuffles their graveyard into their library.<BR><a href="https://api.scryfall.com/cards/38cd438d-be12-40aa-bd6c-be55e88b63ce/rulings">Rulings</a>|Ultimate Box Topper|Mythic||Mark Tedin|U1|F$ 50.35<br>MID: 457105<br>Finishes: foil:<br>Promos: boxtopper:<br><br><a href="https://scryfall.com/card/puma/U1/emrakul-the-aeons-torn?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=457105&printed=false">Gatherer</a>|457105|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/3/8/38cd438d-be12-40aa-bd6c-be55e88b63ce.jpg?1586440564}
247689bc-b97c-4a2a-8854-1cde24a185b0|Karn Liberated|{7}|Legendary Planeswalker - Karn|||+4: Target player exiles a card from their hand.<br>−3: Exile target permanent.<br>−14: Restart the game, leaving in exile all non-Aura permanent cards exiled with Karn. Then put those cards onto the battlefield under your control.<BR><a href="https://api.scryfall.com/cards/247689bc-b97c-4a2a-8854-1cde24a185b0/rulings">Rulings</a>|Ultimate Box Topper|Mythic||Jason Chan|U2|F$ 16.96<br>MID: 457106<br>Finishes: foil:<br>Promos: boxtopper:<br><br><a href="https://scryfall.com/card/puma/U2/karn-liberated?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=457106&printed=false">Gatherer</a>|457106|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/2/4/247689bc-b97c-4a2a-8854-1cde24a185b0.jpg?1586440529}
fedb3888-a020-4c13-a845-0b5c808b96d3|Kozilek, Butcher of Truth|{10}|Legendary Creature - Eldrazi|12|12|When you cast this spell, draw four cards.<br>Annihilator 4 (Whenever this creature attacks, defending player sacrifices four permanents of their choice.)<br>When Kozilek is put into a graveyard from anywhere, its owner shuffles their graveyard into their library.<BR><a href="https://api.scryfall.com/cards/fedb3888-a020-4c13-a845-0b5c808b96d3/rulings">Rulings</a>|Ultimate Box Topper|Mythic||Michael Komarck|U3|F$ 71.02<br>MID: 457107<br>Finishes: foil:<br>Promos: boxtopper:<br><br><a href="https://scryfall.com/card/puma/U3/kozilek-butcher-of-truth?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=457107&printed=false">Gatherer</a>|457107|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/f/e/fedb3888-a020-4c13-a845-0b5c808b96d3.jpg?1586440516}
d8705c3e-d620-43fb-8773-65b412f555ef|Ulamog, the Infinite Gyre|{11}|Legendary Creature - Eldrazi|10|10|When you cast this spell, destroy target permanent.<br>Indestructible<br>Annihilator 4 (Whenever this creature attacks, defending player sacrifices four permanents of their choice.)<br>When Ulamog is put into a graveyard from anywhere, its owner shuffles their graveyard into their library.<BR><a href="https://api.scryfall.com/cards/d8705c3e-d620-43fb-8773-65b412f555ef/rulings">Rulings</a>|Ultimate Box Topper|Mythic||Aleksi Briclot|U4|F$ 54.21<br>MID: 457108<br>Finishes: foil:<br>Promos: boxtopper:<br><br><a href="https://scryfall.com/card/puma/U4/ulamog-the-infinite-gyre?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=457108&printed=false">Gatherer</a>|457108|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/d/8/d8705c3e-d620-43fb-8773-65b412f555ef.jpg?1586440401}
ee203ede-b9af-4f97-84ca-597debf2efd0|Snapcaster Mage|{1}{U}|Creature - Human Wizard|2|1|Flash<br>When this creature enters, target instant or sorcery card in your graveyard gains flashback until end of turn. The flashback cost is equal to its mana cost. (You may cast that card from your graveyard for its flashback cost. Then exile it.)<BR><a href="https://api.scryfall.com/cards/ee203ede-b9af-4f97-84ca-597debf2efd0/rulings">Rulings</a>|Ultimate Box Topper|Mythic||Ryan Alexander Lee|U5|F$ 48.27<br>MID: 457109<br>Finishes: foil:<br>Promos: boxtopper:<br><br><a href="https://scryfall.com/card/puma/U5/snapcaster-mage?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=457109&printed=false">Gatherer</a>|457109|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/e/e/ee203ede-b9af-4f97-84ca-597debf2efd0.jpg?1586440448}
7b821fbd-5186-45bd-b154-176a1436d24d|Temporal Manipulation|{3}{U}{U}|Sorcery|||Take an extra turn after this one.<BR><a href="https://api.scryfall.com/cards/7b821fbd-5186-45bd-b154-176a1436d24d/rulings">Rulings</a>|Ultimate Box Topper|Mythic||Franz Vohwinkel|U6|F$ 15.14<br>MID: 457110<br>Finishes: foil:<br>Promos: boxtopper:<br><br><a href="https://scryfall.com/card/puma/U6/temporal-manipulation?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=457110&printed=false">Gatherer</a>|457110|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/7/b/7b821fbd-5186-45bd-b154-176a1436d24d.jpg?1586440422}
25dd861f-ee63-4d79-b31b-173c9c336426|Bitterblossom|{1}{B}|Kindred Enchantment - Faerie|||At the beginning of your upkeep, you lose 1 life and create a 1/1 black Faerie Rogue creature token with flying.<BR><a href="https://api.scryfall.com/cards/25dd861f-ee63-4d79-b31b-173c9c336426/rulings">Rulings</a>|Ultimate Box Topper|Mythic||Jesper Ejsing|U7|F$ 29.67<br>MID: 457111<br>Finishes: foil:<br>Promos: boxtopper:<br><br><a href="https://scryfall.com/card/puma/U7/bitterblossom?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=457111&printed=false">Gatherer</a>|457111|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/2/5/25dd861f-ee63-4d79-b31b-173c9c336426.jpg?1586440567}
2d957ecf-93e7-4a32-88bc-4d10feaab4ea|Demonic Tutor|{1}{B}|Sorcery|||Search your library for a card, put that card into your hand, then shuffle.<BR><a href="https://api.scryfall.com/cards/2d957ecf-93e7-4a32-88bc-4d10feaab4ea/rulings">Rulings</a>|Ultimate Box Topper|Mythic||Zack Stella|U8|F$ 92.81<br>MID: 457112<br>Finishes: foil:<br>Promos: boxtopper:<br><br><a href="https://scryfall.com/card/puma/U8/demonic-tutor?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=457112&printed=false">Gatherer</a>|457112|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/2/d/2d957ecf-93e7-4a32-88bc-4d10feaab4ea.jpg?1586440564}
35b6baa0-508a-403c-89a0-f6ea04aa93a8|Goryo's Vengeance|{1}{B}|Instant - Arcane|||Return target legendary creature card from your graveyard to the battlefield. That creature gains haste. Exile it at the beginning of the next end step.<br>Splice onto Arcane {2}{B} (As you cast an Arcane spell, you may reveal this card from your hand and pay its splice cost. If you do, add this card's effects to that spell.)<BR><a href="https://api.scryfall.com/cards/35b6baa0-508a-403c-89a0-f6ea04aa93a8/rulings">Rulings</a>|Ultimate Box Topper|Mythic||Randy Vargas|U9|F$ 19.62<br>MID: 457113<br>Finishes: foil:<br>Promos: boxtopper:<br><br><a href="https://scryfall.com/card/puma/U9/goryos-vengeance?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=457113&printed=false">Gatherer</a>|457113|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/3/5/35b6baa0-508a-403c-89a0-f6ea04aa93a8.jpg?1586440531}
1e945c79-6c1e-404a-8993-655851566928|Liliana of the Veil|{1}{B}{B}|Legendary Planeswalker - Liliana|||+1: Each player discards a card.<br>−2: Target player sacrifices a creature.<br>−6: Separate all permanents target player controls into two piles. That player sacrifices all permanents in the pile of their choice.<BR><a href="https://api.scryfall.com/cards/1e945c79-6c1e-404a-8993-655851566928/rulings">Rulings</a>|Ultimate Box Topper|Mythic||Steve Argyle|U10|F$ 45.49<br>MID: 457114<br>Finishes: foil:<br>Promos: boxtopper:<br><br><a href="https://scryfall.com/card/puma/U10/liliana-of-the-veil?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=457114&printed=false">Gatherer</a>|457114|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/1/e/1e945c79-6c1e-404a-8993-655851566928.jpg?1586440482}
