ID|NAME|COST|TYPE|POWER|TOUGHNESS|ORACLE|SET|RARITY|LANG|ARTIST|COLLNUM|TEXT|PROPERTIES
-scry_f1ed1819-6e7b-432b-bedd-0ccda3c2ce15|Arguel's Blood Fast // Temple of Aclazotz (transform)||Legendary Land|||(Transforms from Arguel's Blood Fast.)<br>{T}: Add {B}.<br>{T}, Sacrifice a creature: You gain life equal to the sacrificed creature's toughness.|Ixalan Promos|Rare||Daarken|90sb|Finishes: foil:<br>Promos: setpromo:prerelease:datestamped:<br>https://scryfall.com/card/pxln/90s/arguels-blood-fast-temple-of-aclazotz?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/back/f/1/f1ed1819-6e7b-432b-bedd-0ccda3c2ce15.jpg?1562940470, FLIPID=scry_f1ed1819-6e7b-432b-bedd-0ccda3c2ce15}
-scry_c92712f9-2ee6-441e-b103-6d43410cf01d|Conqueror's Galleon // Conqueror's Foothold (transform)||Land|||(Transforms from Conqueror's Galleon.)<br>{T}: Add {C}.<br>{2}, {T}: Draw a card, then discard a card.<br>{4}, {T}: Draw a card.<br>{6}, {T}: Return target card from your graveyard to your hand.|Ixalan Promos|Rare||Emrah Elmasli|234sb|Finishes: foil:<br>Promos: setpromo:prerelease:datestamped:<br>https://scryfall.com/card/pxln/234s/conquerors-galleon-conquerors-foothold?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/back/c/9/c92712f9-2ee6-441e-b103-6d43410cf01d.jpg?1562932617, FLIPID=scry_c92712f9-2ee6-441e-b103-6d43410cf01d}
-scry_3d686db7-cd66-4d85-97a7-94263ef346e7|Dowsing Dagger // Lost Vale (transform)||Land|||(Transforms from Dowsing Dagger.)<br>{T}: Add three mana of any one color.|Ixalan Promos|Rare||Florian de Gesincourt|235sb|Finishes: foil:<br>Promos: setpromo:prerelease:datestamped:<br>https://scryfall.com/card/pxln/235s/dowsing-dagger-lost-vale?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/back/3/d/3d686db7-cd66-4d85-97a7-94263ef346e7.jpg?1562906312, FLIPID=scry_3d686db7-cd66-4d85-97a7-94263ef346e7}
-scry_7ea26869-d923-42e1-9b34-3993f63f64b4|Growing Rites of Itlimoc // Itlimoc, Cradle of the Sun (transform)||Legendary Land|||(Transforms from Growing Rites of Itlimoc.)<br>{T}: Add {G}.<br>{T}: Add {G} for each creature you control.|Ixalan Promos|Rare||Grzegorz Rutkowski|191sb|Finishes: foil:<br>Promos: setpromo:prerelease:datestamped:<br>https://scryfall.com/card/pxln/191s/growing-rites-of-itlimoc-itlimoc-cradle-of-the-sun?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/back/7/e/7ea26869-d923-42e1-9b34-3993f63f64b4.jpg?1562918437, FLIPID=scry_7ea26869-d923-42e1-9b34-3993f63f64b4}
-scry_4ee6e3d4-8c42-4632-b573-1ef0f2dc2030|Legion's Landing // Adanto, the First Fort (transform)||Legendary Land|||(Transforms from Legion's Landing.)<br>{T}: Add {W}.<br>{2}{W}, {T}: Create a 1/1 white Vampire creature token with lifelink.|Ixalan Promos|Rare||Svetlin Velinov|22sb|Finishes: foil:<br>Promos: setpromo:prerelease:datestamped:<br>https://scryfall.com/card/pxln/22s/legions-landing-adanto-the-first-fort?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/back/4/e/4ee6e3d4-8c42-4632-b573-1ef0f2dc2030.jpg?1596137547, FLIPID=scry_4ee6e3d4-8c42-4632-b573-1ef0f2dc2030}
-scry_57c0e869-9324-4352-899c-61c0cc5484b9|Primal Amulet // Primal Wellspring (transform)||Land|||(Transforms from Primal Amulet.)<br>{T}: Add one mana of any color. When that mana is spent to cast an instant or sorcery spell, copy that spell and you may choose new targets for the copy.|Ixalan Promos|Rare||John Avon|243sb|Finishes: foil:<br>Promos: setpromo:prerelease:datestamped:<br>https://scryfall.com/card/pxln/243s/primal-amulet-primal-wellspring?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/back/5/7/57c0e869-9324-4352-899c-61c0cc5484b9.jpg?1562911164, FLIPID=scry_57c0e869-9324-4352-899c-61c0cc5484b9}
-scry_dd67b716-713c-4925-ac9c-0acaa705d5a5|Search for Azcanta // Azcanta, the Sunken Ruin (transform)||Legendary Land|||(Transforms from Search for Azcanta.)<br>{T}: Add {U}.<br>{2}{U}, {T}: Look at the top four cards of your library. You may reveal a noncreature, nonland card from among them and put it into your hand. Put the rest on the bottom of your library in any order.|Ixalan Promos|Rare||Magali Villeneuve|74sb|Finishes: foil:<br>Promos: setpromo:prerelease:datestamped:<br>https://scryfall.com/card/pxln/74s/search-for-azcanta-azcanta-the-sunken-ruin?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/back/d/d/dd67b716-713c-4925-ac9c-0acaa705d5a5.jpg?1562936275, FLIPID=scry_dd67b716-713c-4925-ac9c-0acaa705d5a5}
-scry_0529769c-b70e-4856-a8ad-59c304d90e3a|Thaumatic Compass // Spires of Orazca (transform)||Land|||(Transforms from Thaumatic Compass.)<br>{T}: Add {C}.<br>{T}: Untap target attacking creature an opponent controls and remove it from combat.|Ixalan Promos|Rare||Yeong-Hao Han|249sb|Finishes: foil:<br>Promos: setpromo:prerelease:datestamped:<br>https://scryfall.com/card/pxln/249s/thaumatic-compass-spires-of-orazca?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/back/0/5/0529769c-b70e-4856-a8ad-59c304d90e3a.jpg?1596137575, FLIPID=scry_0529769c-b70e-4856-a8ad-59c304d90e3a}
-scry_08ddcbee-906a-4b40-b585-99854dfd458c|Treasure Map // Treasure Cove (transform)||Land|||(Transforms from Treasure Map.)<br>{T}: Add {C}.<br>{T}, Sacrifice a Treasure: Draw a card.|Ixalan Promos|Rare||Cliff Childs|250sb|Finishes: foil:<br>Promos: setpromo:prerelease:datestamped:<br>https://scryfall.com/card/pxln/250s/treasure-map-treasure-cove?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/back/0/8/08ddcbee-906a-4b40-b585-99854dfd458c.jpg?1562896694, FLIPID=scry_08ddcbee-906a-4b40-b585-99854dfd458c}
-scry_0f4d3cec-bd91-4edd-9b6b-568e272e7891|Vance's Blasting Cannons // Spitfire Bastion (transform)||Legendary Land|||(Transforms from Vance's Blasting Cannons.)<br>{T}: Add {R}.<br>{2}{R}, {T}: Spitfire Bastion deals 3 damage to any target.|Ixalan Promos|Rare||Jonas De Ro|173sb|Finishes: foil:<br>Promos: setpromo:prerelease:datestamped:<br>https://scryfall.com/card/pxln/173s/vances-blasting-cannons-spitfire-bastion?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/back/0/f/0f4d3cec-bd91-4edd-9b6b-568e272e7891.jpg?1562897963, FLIPID=scry_0f4d3cec-bd91-4edd-9b6b-568e272e7891}
