ID|NAME|COST|TYPE|POWER|TOUGHNESS|ORACLE|SET|RARITY|LANG|ARTIST|COLLNUM|TEXT|PROPERTIES
scry_c7167648-7ef3-4e2e-ad32-72e8bcfa4b9f|Approach of the Second Sun|{6}{W}|Sorcery|||If this spell was cast from your hand and you've cast another spell named Approach of the Second Sun this game, you win the game. Otherwise, put Approach of the Second Sun into its owner's library seventh from the top and you gain 7 life.|Pioneer Challenger Decks 2021|Rare||Kev Walker|1|Finishes: nonfoil:<br>https://scryfall.com/card/q06/1/approach-of-the-second-sun?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/c/7/c7167648-7ef3-4e2e-ad32-72e8bcfa4b9f.jpg?1640736597}
scry_1fdabad5-7362-4663-8f70-c1bc4a00f0a4|Ethereal Armor|{W}|Enchantment - Aura|||Enchant creature<br>Enchanted creature gets +1/+1 for each enchantment you control and has first strike.|Pioneer Challenger Decks 2021|Common||Daarken|2|Finishes: nonfoil:<br>https://scryfall.com/card/q06/2/ethereal-armor?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/1/f/1fdabad5-7362-4663-8f70-c1bc4a00f0a4.jpg?1640736622}
scry_a9136b0e-b003-43ae-a6bf-b01ec0a06ff6|Isolate|{W}|Instant|||Exile target permanent with mana value 1.|Pioneer Challenger Decks 2021|Rare||Victor Adame Minguez|3|Finishes: nonfoil:<br>https://scryfall.com/card/q06/3/isolate?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/a/9/a9136b0e-b003-43ae-a6bf-b01ec0a06ff6.jpg?1640736648}
scry_1e10d03b-8070-446c-b282-c6972fe05b53|Silkwrap|{1}{W}|Enchantment|||When this enchantment enters, exile target creature with mana value 3 or less an opponent controls until this enchantment leaves the battlefield. (That creature returns under its owner's control.)|Pioneer Challenger Decks 2021|Uncommon||David Gaillet|4|Finishes: nonfoil:<br>https://scryfall.com/card/q06/4/silkwrap?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/1/e/1e10d03b-8070-446c-b282-c6972fe05b53.jpg?1640736675}
scry_b4672009-465c-4b85-88d4-a90a1762e026|Hidden Strings|{1}{U}|Sorcery|||You may tap or untap target permanent, then you may tap or untap another target permanent.<br>Cipher (Then you may exile this spell card encoded on a creature you control. Whenever that creature deals combat damage to a player, its controller may cast a copy of the encoded card without paying its mana cost.)|Pioneer Challenger Decks 2021|Common||Daarken|5|Finishes: nonfoil:<br>https://scryfall.com/card/q06/5/hidden-strings?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/b/4/b4672009-465c-4b85-88d4-a90a1762e026.jpg?1640736709}
scry_e885fd51-dba3-4ee5-acdd-b97238b6c678|Chandra, Torch of Defiance|{2}{R}{R}|Legendary Planeswalker - Chandra|||+1: Exile the top card of your library. You may cast that card. If you don't, Chandra deals 2 damage to each opponent.<br>+1: Add {R}{R}.<br>−3: Chandra deals 4 damage to target creature.<br>−7: You get an emblem with "Whenever you cast a spell, this emblem deals 5 damage to any target."|Pioneer Challenger Decks 2021|Mythic||Magali Villeneuve|6|Finishes: nonfoil:<br>https://scryfall.com/card/q06/6/chandra-torch-of-defiance?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/e/8/e885fd51-dba3-4ee5-acdd-b97238b6c678.jpg?1661551513}
scry_8da3eeb2-c3bb-44dc-bbfe-a8178b86d3e1|Searing Blood|{R}{R}|Instant|||Searing Blood deals 2 damage to target creature. When that creature dies this turn, Searing Blood deals 3 damage to the creature's controller.|Pioneer Challenger Decks 2021|Uncommon||Daniel Ljunggren|7|Finishes: nonfoil:<br>https://scryfall.com/card/q06/7/searing-blood?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/8/d/8da3eeb2-c3bb-44dc-bbfe-a8178b86d3e1.jpg?1640736824}
scry_ad60db28-d297-49c8-bb1a-dbce2736be55|Wild Slash|{R}|Instant|||Ferocious — If you control a creature with power 4 or greater, damage can't be prevented this turn.<br>Wild Slash deals 2 damage to any target.|Pioneer Challenger Decks 2021|Uncommon||Raymond Swanland|8|Finishes: nonfoil:<br>https://scryfall.com/card/q06/8/wild-slash?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/a/d/ad60db28-d297-49c8-bb1a-dbce2736be55.jpg?1640736854}
scry_7b76dafa-46ed-4b22-908a-8932505d4f4c|Lurrus of the Dream-Den|{1}{W/B}{W/B}|Legendary Creature - Cat Nightmare|3|2|Companion — Each permanent card in your starting deck has mana value 2 or less. (If this card is your chosen companion, you may put it into your hand from outside the game for {3} as a sorcery.)<br>Lifelink<br>Once during each of your turns, you may cast a permanent spell with mana value 2 or less from your graveyard.|Pioneer Challenger Decks 2021|Rare||Slawomir Maniak|9|Finishes: nonfoil:<br>https://scryfall.com/card/q06/9/lurrus-of-the-dream-den?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/7/b/7b76dafa-46ed-4b22-908a-8932505d4f4c.jpg?1681424521}
scry_e12283da-3b85-4d9f-af11-5ebc2bc5e6c8|Spell Queller|{1}{W}{U}|Creature - Spirit|2|3|Flash<br>Flying<br>When this creature enters, exile target spell with mana value 4 or less.<br>When this creature leaves the battlefield, the exiled card's owner may cast that card without paying its mana cost.|Pioneer Challenger Decks 2021|Rare||Adam Paquette|10|Finishes: nonfoil:<br>https://scryfall.com/card/q06/10/spell-queller?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/e/1/e12283da-3b85-4d9f-af11-5ebc2bc5e6c8.jpg?1640736913}
