ID|NAME|COST|TYPE|POWER|TOUGHNESS|ORACLE|SET|RARITY|LANG|ARTIST|COLLNUM|TEXT|PROPERTIES
942d6414-11e1-4822-9c5d-e4f96846a85f|Auratouched Mage|{5}{W}|Creature - Human Wizard|3|3|When this creature enters, search your library for an Aura card that could enchant it. If this creature is still on the battlefield, put that Aura card onto the battlefield attached to it. Otherwise, reveal the Aura card and put it into your hand. Then shuffle.|Ravnica: City of Guilds|Uncommon||Jeff Miracola|1|MID: 87952<br>Finishes: nonfoil:foil:<br>https://scryfall.com/card/rav/1/auratouched-mage?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/9/4/942d6414-11e1-4822-9c5d-e4f96846a85f.jpg?1598913405}
a7bd976e-56c7-482e-8d2f-073b0b589274|Bathe in Light|{1}{W}|Instant|||Radiance — Choose a color. Target creature and each other creature that shares a color with it gain protection from the chosen color until end of turn.|Ravnica: City of Guilds|Uncommon||Alex Horley-Orlandelli|2|MID: 87910<br>Finishes: nonfoil:foil:<br>https://scryfall.com/card/rav/2/bathe-in-light?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/a/7/a7bd976e-56c7-482e-8d2f-073b0b589274.jpg?1598913422}
f23110b5-0dd4-49a2-8991-bc673aed53c9|Benevolent Ancestor|{2}{W}|Creature - Spirit|0|4|Defender (This creature can't attack.)<br>{T}: Prevent the next 1 damage that would be dealt to any target this turn.|Ravnica: City of Guilds|Common||Nick Percival|3|MID: 89047<br>Finishes: nonfoil:foil:<br>https://scryfall.com/card/rav/3/benevolent-ancestor?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/f/2/f23110b5-0dd4-49a2-8991-bc673aed53c9.jpg?1598913437}
cd0bc05b-ec48-41fd-a97a-ffb0d5a2dee0|Blazing Archon|{6}{W}{W}{W}|Creature - Archon|5|6|Flying<br>Creatures can't attack you.|Ravnica: City of Guilds|Rare||Zoltan Boros & Gabor Szikszai|4|MID: 83754<br>Finishes: nonfoil:foil:<br>https://scryfall.com/card/rav/4/blazing-archon?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/c/d/cd0bc05b-ec48-41fd-a97a-ffb0d5a2dee0.jpg?1598913451}
c46b2f5c-3c7a-4421-9d6f-81197e93d8d0|Boros Fury-Shield|{2}{W}|Instant|||Prevent all combat damage that would be dealt by target attacking or blocking creature this turn. If {R} was spent to cast this spell, Boros Fury-Shield deals damage to that creature's controller equal to the creature's power.|Ravnica: City of Guilds|Common||Wayne England|5|MID: 89006<br>Finishes: nonfoil:foil:<br>https://scryfall.com/card/rav/5/boros-fury-shield?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/c/4/c46b2f5c-3c7a-4421-9d6f-81197e93d8d0.jpg?1598913470}
0c33d3fe-cdd3-4829-8f10-6611f063983b|Caregiver|{W}|Creature - Human Cleric|1|1|{W}, Sacrifice a creature: Prevent the next 1 damage that would be dealt to any target this turn.|Ravnica: City of Guilds|Common||William Simpson|6|MID: 83612<br>Finishes: nonfoil:foil:<br>https://scryfall.com/card/rav/6/caregiver?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/0/c/0c33d3fe-cdd3-4829-8f10-6611f063983b.jpg?1598913485}
23c22d01-1d14-4f73-a2db-a77f96a9a0e3|Chant of Vitu-Ghazi|{6}{W}{W}|Instant|||Convoke (Your creatures can help cast this spell. Each creature you tap while casting this spell pays for {1} or one mana of that creature's color.)<br>Prevent all damage that would be dealt by creatures this turn. You gain life equal to the damage prevented this way.|Ravnica: City of Guilds|Uncommon||Stephen Tappin|7|MID: 87957<br>Finishes: nonfoil:foil:<br>https://scryfall.com/card/rav/7/chant-of-vitu-ghazi?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/2/3/23c22d01-1d14-4f73-a2db-a77f96a9a0e3.jpg?1598913503}
4afa3367-eb7e-4c92-96a1-2b6865b24f52|Concerted Effort|{2}{W}{W}|Enchantment|||At the beginning of each upkeep, creatures you control gain flying until end of turn if a creature you control has flying. The same is true for fear, first strike, double strike, landwalk, protection, trample, and vigilance.|Ravnica: City of Guilds|Rare||Michael Sutfin|8|MID: 89109<br>Finishes: nonfoil:foil:<br>https://scryfall.com/card/rav/8/concerted-effort?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/4/a/4afa3367-eb7e-4c92-96a1-2b6865b24f52.jpg?1598913524}
cd663560-915a-4762-a3a6-0b9f6d7a9c64|Conclave Equenaut|{4}{W}{W}|Creature - Human Soldier|3|3|Convoke (Your creatures can help cast this spell. Each creature you tap while casting this spell pays for {1} or one mana of that creature's color.)<br>Flying|Ravnica: City of Guilds|Common||Terese Nielsen|9|MID: 87915<br>Finishes: nonfoil:foil:<br>https://scryfall.com/card/rav/9/conclave-equenaut?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/c/d/cd663560-915a-4762-a3a6-0b9f6d7a9c64.jpg?1598913540}
83854443-736b-4650-8a7e-e123ee6e0b8b|Conclave Phalanx|{4}{W}|Creature - Human Soldier|2|4|Convoke (Your creatures can help cast this spell. Each creature you tap while casting this spell pays for {1} or one mana of that creature's color.)<br>When this creature enters, you gain 1 life for each creature you control.|Ravnica: City of Guilds|Uncommon||Wayne Reynolds|10|MID: 89010<br>Finishes: nonfoil:foil:<br>https://scryfall.com/card/rav/10/conclave-phalanx?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/8/3/83854443-736b-4650-8a7e-e123ee6e0b8b.jpg?1598913552}
