ID|NAME|COST|TYPE|POWER|TOUGHNESS|ORACLE|SET|RARITY|LANG|ARTIST|COLLNUM|TEXT|PROPERTIES
f30d3dce-d1ef-4370-b68c-cd7c3bba3e04|Alabaster Potion|{X}{W}{W}|Instant|||Choose one —<br>• Target player gains X life.<br>• Prevent the next X damage that would be dealt to any target this turn.|Renaissance|Common|French|Harold McNeill|2|Finishes: nonfoil:<br>https://scryfall.com/card/ren/2/fr/potion-dalb%C3%A2tre-(alabaster-potion)?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/f/3/f30d3dce-d1ef-4370-b68c-cd7c3bba3e04.jpg?1562940659}
f88df7b1-080e-4c58-94e5-a82f01a20831|Amrou Kithkin|{W}{W}|Creature - Kithkin|1|1|This creature can't be blocked by creatures with power 3 or greater.|Renaissance|Common|French|Quinton Hoover|3|Finishes: nonfoil:<br>https://scryfall.com/card/ren/3/fr/amrou-sangami-(amrou-kithkin)?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/f/8/f88df7b1-080e-4c58-94e5-a82f01a20831.jpg?1562941698}
f277d201-9171-40a1-a425-0f80becf51e0|Angry Mob|{2}{W}{W}|Creature - Human|2+*|2+*|Trample<br>During your turn, Angry Mob's power and toughness are each equal to 2 plus the number of Swamps your opponents control. During turns other than yours, Angry Mob's power and toughness are each 2.|Renaissance|Uncommon|French|Drew Tucker|4|Finishes: nonfoil:<br>https://scryfall.com/card/ren/4/fr/foule-en-col%C3%A8re-(angry-mob)?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/f/2/f277d201-9171-40a1-a425-0f80becf51e0.jpg?1562940555}
840289aa-bc83-41f6-86ea-bb848793776b|Brainwash|{W}|Enchantment - Aura|||Enchant creature<br>Enchanted creature can't attack unless its controller pays {3}.|Renaissance|Common|French|Pete Venters|6|Finishes: nonfoil:<br>https://scryfall.com/card/ren/6/fr/lavage-de-cerveau-(brainwash)?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/8/4/840289aa-bc83-41f6-86ea-bb848793776b.jpg?1562919494}
de110603-19c6-4157-9cca-04f4b0a663bb|Circle of Protection: Artifacts|{1}{W}|Enchantment|||{2}: The next time an artifact source of your choice would deal damage to you this turn, prevent that damage.|Renaissance|Uncommon|French|Pete Venters|7|Finishes: nonfoil:<br>https://scryfall.com/card/ren/7/fr/cercle-de-protection:-artefacts-(circle-of-protection:-artifacts)?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/d/e/de110603-19c6-4157-9cca-04f4b0a663bb.jpg?1562936439}
8dd92623-d3a6-4f32-bd19-1a1c40e29190|Divine Transformation|{2}{W}{W}|Enchantment - Aura|||Enchant creature<br>Enchanted creature gets +3/+3.|Renaissance|Uncommon|French|NéNé Thomas|8|Finishes: nonfoil:<br>https://scryfall.com/card/ren/8/fr/transformation-divine-(divine-transformation)?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/8/d/8dd92623-d3a6-4f32-bd19-1a1c40e29190.jpg?1562921271}
035ebd9e-b243-40a0-b8f6-cf040cd2ff6f|Elder Land Wurm|{4}{W}{W}{W}|Creature - Dragon Wurm|5|5|Defender, trample<br>When this creature blocks, it loses defender.|Renaissance|Uncommon|French|Quinton Hoover|9|Finishes: nonfoil:<br>https://scryfall.com/card/ren/9/fr/guivre-terrestre-ancestrale-(elder-land-wurm)?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/0/3/035ebd9e-b243-40a0-b8f6-cf040cd2ff6f.jpg?1562895624}
1cf22249-d6b3-425c-9d5e-828975943738|Fortified Area|{1}{W}{W}|Enchantment|||Wall creatures you control get +1/+0 and have banding. (Any creatures with banding, and up to one without, can attack in a band. Bands are blocked as a group. If any creatures with banding you control are blocking or being blocked by a creature, you divide that creature's combat damage, not its controller, among any of the creatures it's being blocked by or is blocking.)|Renaissance|Uncommon|French|Randy Asplund-Faith|11|Finishes: nonfoil:<br>https://scryfall.com/card/ren/11/fr/aire-fortifi%C3%A9e-(fortified-area)?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/1/c/1cf22249-d6b3-425c-9d5e-828975943738.jpg?1562900400}
b78e8994-c1af-4c61-9fb6-3d81edb7a938|Kismet|{3}{W}|Enchantment|||Artifacts, creatures, and lands your opponents control enter tapped.|Renaissance|Uncommon|French|Kaja Foglio|12|Finishes: nonfoil:<br>https://scryfall.com/card/ren/12/fr/destin%C3%A9e-(kismet)?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/b/7/b78e8994-c1af-4c61-9fb6-3d81edb7a938.jpg?1562929147}
f987a61a-1c8d-4d78-b67a-c60899ea1efa|Land Tax|{W}|Enchantment|||At the beginning of your upkeep, if an opponent controls more lands than you, you may search your library for up to three basic land cards, reveal them, put them into your hand, then shuffle.|Renaissance|Uncommon|French|Brian Snõddy|13|Finishes: nonfoil:<br>https://scryfall.com/card/ren/13/fr/contribution-fonci%C3%A8re-(land-tax)?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/f/9/f987a61a-1c8d-4d78-b67a-c60899ea1efa.jpg?1562941892}
