ID|NAME|COST|TYPE|POWER|TOUGHNESS|ORACLE|SET|RARITY|LANG|ARTIST|COLLNUM|TEXT|GATHERERID|TCGID|PROPERTIES
bb38b274-805c-41a3-8cba-c78e03d5dcd9|Alabaster Potion|{X}{W}{W}|Instant|||Choose one —<br>• Target player gains X life.<br>• Prevent the next X damage that would be dealt to any target this turn.<BR><a href="https://api.scryfall.com/cards/bb38b274-805c-41a3-8cba-c78e03d5dcd9/rulings">Rulings</a>|Rivals Quick Start Set|Common||Harold McNeill|1|Finishes: nonfoil:<br><br><a href="https://scryfall.com/card/rqs/1/alabaster-potion?utm_source=api">Scryfall</a>|0|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/b/b/bb38b274-805c-41a3-8cba-c78e03d5dcd9.jpg?1559593297}
e2207592-db18-4f61-83f1-58bfde97c50f|Circle of Protection: Black|{1}{W}|Enchantment|||{1}: The next time a black source of your choice would deal damage to you this turn, prevent that damage.<BR><a href="https://api.scryfall.com/cards/e2207592-db18-4f61-83f1-58bfde97c50f/rulings">Rulings</a>|Rivals Quick Start Set|Common||Jesper Myrfors|2|Finishes: nonfoil:<br><br><a href="https://scryfall.com/card/rqs/2/circle-of-protection:-black?utm_source=api">Scryfall</a>|0|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/e/2/e2207592-db18-4f61-83f1-58bfde97c50f.jpg?1559593323}
5d079dc3-7268-4bac-a1bc-6533efe517ab|Circle of Protection: Red|{1}{W}|Enchantment|||{1}: The next time a red source of your choice would deal damage to you this turn, prevent that damage.<BR><a href="https://api.scryfall.com/cards/5d079dc3-7268-4bac-a1bc-6533efe517ab/rulings">Rulings</a>|Rivals Quick Start Set|Common||Mark Tedin|3|Finishes: nonfoil:<br><br><a href="https://scryfall.com/card/rqs/3/circle-of-protection:-red?utm_source=api">Scryfall</a>|0|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/5/d/5d079dc3-7268-4bac-a1bc-6533efe517ab.jpg?1559593257}
cd7e6bd1-6866-46e5-9c74-c4d72b8e491d|Healing Salve|{W}|Instant|||Choose one —<br>• Target player gains 3 life.<br>• Prevent the next 3 damage that would be dealt to any target this turn.<BR><a href="https://api.scryfall.com/cards/cd7e6bd1-6866-46e5-9c74-c4d72b8e491d/rulings">Rulings</a>|Rivals Quick Start Set|Common||Dan Frazier|4|Finishes: nonfoil:<br><br><a href="https://scryfall.com/card/rqs/4/healing-salve?utm_source=api">Scryfall</a>|0|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/c/d/cd7e6bd1-6866-46e5-9c74-c4d72b8e491d.jpg?1559593211}
3bbdd92c-5965-4e64-9302-8c448f42f32d|Mesa Pegasus|{1}{W}|Creature - Pegasus|1|1|Flying; banding (Any creatures with banding, and up to one without, can attack in a band. Bands are blocked as a group. If any creatures with banding you control are blocking or being blocked by a creature, you divide that creature's combat damage, not its controller, among any of the creatures it's being blocked by or is blocking.)<BR><a href="https://api.scryfall.com/cards/3bbdd92c-5965-4e64-9302-8c448f42f32d/rulings">Rulings</a>|Rivals Quick Start Set|Common||Melissa A. Benson|5|Finishes: nonfoil:<br><br><a href="https://scryfall.com/card/rqs/5/mesa-pegasus?utm_source=api">Scryfall</a>|0|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/3/b/3bbdd92c-5965-4e64-9302-8c448f42f32d.jpg?1559593216}
b291c1ae-2a0f-4a11-892a-7aa5c7021b0f|Pearled Unicorn|{2}{W}|Creature - Unicorn|2|2|<BR><a href="https://api.scryfall.com/cards/b291c1ae-2a0f-4a11-892a-7aa5c7021b0f/rulings">Rulings</a>|Rivals Quick Start Set|Common||Cornelius Brudi|6|Finishes: nonfoil:<br><br><a href="https://scryfall.com/card/rqs/6/pearled-unicorn?utm_source=api">Scryfall</a>|0|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/b/2/b291c1ae-2a0f-4a11-892a-7aa5c7021b0f.jpg?1559593269}
d73c4e60-94e4-4a30-9366-f401a1166f67|Reverse Damage|{1}{W}{W}|Instant|||The next time a source of your choice would deal damage to you this turn, prevent that damage. You gain life equal to the damage prevented this way.<BR><a href="https://api.scryfall.com/cards/d73c4e60-94e4-4a30-9366-f401a1166f67/rulings">Rulings</a>|Rivals Quick Start Set|Rare||Dameon Willich|7|Finishes: nonfoil:<br><br><a href="https://scryfall.com/card/rqs/7/reverse-damage?utm_source=api">Scryfall</a>|0|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/d/7/d73c4e60-94e4-4a30-9366-f401a1166f67.jpg?1559593178}
c8bf4f80-c5fd-47f3-9477-e8dce2d8eb72|Energy Flux|{2}{U}|Enchantment|||All artifacts have "At the beginning of your upkeep, sacrifice this artifact unless you pay {2}."<BR><a href="https://api.scryfall.com/cards/c8bf4f80-c5fd-47f3-9477-e8dce2d8eb72/rulings">Rulings</a>|Rivals Quick Start Set|Uncommon||Kaja Foglio|8|Finishes: nonfoil:<br><br><a href="https://scryfall.com/card/rqs/8/energy-flux?utm_source=api">Scryfall</a>|0|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/c/8/c8bf4f80-c5fd-47f3-9477-e8dce2d8eb72.jpg?1559593220}
f87ea9f3-4dc4-4d79-854d-665915278c91|Feedback|{2}{U}|Enchantment - Aura|||Enchant enchantment<br>At the beginning of the upkeep of enchanted enchantment's controller, this Aura deals 1 damage to that player.<BR><a href="https://api.scryfall.com/cards/f87ea9f3-4dc4-4d79-854d-665915278c91/rulings">Rulings</a>|Rivals Quick Start Set|Uncommon||Quinton Hoover|9|Finishes: nonfoil:<br><br><a href="https://scryfall.com/card/rqs/9/feedback?utm_source=api">Scryfall</a>|0|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/f/8/f87ea9f3-4dc4-4d79-854d-665915278c91.jpg?1559593277}
c3ec67cb-dc35-457d-baba-313a1a3f5953|Merfolk of the Pearl Trident|{U}|Creature - Merfolk|1|1|<BR><a href="https://api.scryfall.com/cards/c3ec67cb-dc35-457d-baba-313a1a3f5953/rulings">Rulings</a>|Rivals Quick Start Set|Common||Jeff A. Menges|10|Finishes: nonfoil:<br><br><a href="https://scryfall.com/card/rqs/10/merfolk-of-the-pearl-trident?utm_source=api">Scryfall</a>|0|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/c/3/c3ec67cb-dc35-457d-baba-313a1a3f5953.jpg?1559593335}
