ID|NAME|COST|TYPE|POWER|TOUGHNESS|ORACLE|SET|RARITY|LANG|ARTIST|COLLNUM|TEXT|GATHERERID|TCGID|PROPERTIES
f10d82f7-7759-457e-a9bb-f9a5bd968f82|Angel of Serenity|{4}{W}{W}{W}|Creature - Angel|5|6|Flying<br>When this creature enters, you may exile up to three other target creatures from the battlefield and/or creature cards from graveyards.<br>When this creature leaves the battlefield, return the exiled cards to their owners' hands.<BR><a href="https://api.scryfall.com/cards/f10d82f7-7759-457e-a9bb-f9a5bd968f82/rulings">Rulings</a>|Return to Ravnica|Mythic||Aleksi Briclot|1|R$ 1.11 F$ 8.68<br>MID: 253627<br>Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/rtr/1/angel-of-serenity?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=253627&printed=false">Gatherer</a>|253627|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/f/1/f10d82f7-7759-457e-a9bb-f9a5bd968f82.jpg?1562795279}
c03498c1-b7f7-41fb-8e2a-1c087d4e9990|Armory Guard|{3}{W}|Creature - Giant Soldier|2|5|This creature has vigilance as long as you control a Gate.<BR><a href="https://api.scryfall.com/cards/c03498c1-b7f7-41fb-8e2a-1c087d4e9990/rulings">Rulings</a>|Return to Ravnica|Common||Karl Kopinski|2|R$ 0.06 F$ 0.09<br>MID: 253570<br>Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/rtr/2/armory-guard?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=253570&printed=false">Gatherer</a>|253570|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/c/0/c03498c1-b7f7-41fb-8e2a-1c087d4e9990.jpg?1562792563}
498f74a2-7e5e-4082-97e7-b938d703f869|Arrest|{2}{W}|Enchantment - Aura|||Enchant creature<br>Enchanted creature can't attack or block, and its activated abilities can't be activated.<BR><a href="https://api.scryfall.com/cards/498f74a2-7e5e-4082-97e7-b938d703f869/rulings">Rulings</a>|Return to Ravnica|Uncommon||Greg Staples|3|R$ 0.11 F$ 0.49<br>MID: 253573<br>Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/rtr/3/arrest?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=253573&printed=false">Gatherer</a>|253573|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/4/9/498f74a2-7e5e-4082-97e7-b938d703f869.jpg?1562785762}
696678ff-44dc-4fe4-bf17-024e86cd0220|Avenging Arrow|{2}{W}|Instant|||Destroy target creature that dealt damage this turn.<BR><a href="https://api.scryfall.com/cards/696678ff-44dc-4fe4-bf17-024e86cd0220/rulings">Rulings</a>|Return to Ravnica|Common||James Ryman|4|R$ 0.12 F$ 0.15<br>MID: 265410<br>Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/rtr/4/avenging-arrow?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=265410&printed=false">Gatherer</a>|265410|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/6/9/696678ff-44dc-4fe4-bf17-024e86cd0220.jpg?1562787572}
199f7563-563e-483c-8317-5380a83db955|Azorius Arrester|{1}{W}|Creature - Human Soldier|2|1|When this creature enters, detain target creature an opponent controls. (Until your next turn, that creature can't attack or block and its activated abilities can't be activated.)<BR><a href="https://api.scryfall.com/cards/199f7563-563e-483c-8317-5380a83db955/rulings">Rulings</a>|Return to Ravnica|Common||Wayne Reynolds|5|R$ 0.08 F$ 0.22<br>MID: 270972<br>Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/rtr/5/azorius-arrester?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=270972&printed=false">Gatherer</a>|270972|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/1/9/199f7563-563e-483c-8317-5380a83db955.jpg?1562783287}
9f56272e-c05e-446b-8871-e3783dd29a8b|Azorius Justiciar|{2}{W}{W}|Creature - Human Wizard|2|2|When this creature enters, detain up to two target creatures your opponents control. (Until your next turn, those creatures can't attack or block and their activated abilities can't be activated.)<BR><a href="https://api.scryfall.com/cards/9f56272e-c05e-446b-8871-e3783dd29a8b/rulings">Rulings</a>|Return to Ravnica|Uncommon||Chris Rahn|6|R$ 0.05 F$ 0.27<br>MID: 270795<br>Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/rtr/6/azorius-justiciar?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=270795&printed=false">Gatherer</a>|270795|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/9/f/9f56272e-c05e-446b-8871-e3783dd29a8b.jpg?1562790727}
b07bb2fe-3a9b-47d0-864b-99a662d9544b|Bazaar Krovod|{4}{W}|Creature - Beast|2|5|Whenever this creature attacks, another target attacking creature gets +0/+2 until end of turn. Untap that creature.<BR><a href="https://api.scryfall.com/cards/b07bb2fe-3a9b-47d0-864b-99a662d9544b/rulings">Rulings</a>|Return to Ravnica|Uncommon||Lars Grant-West|7|R$ 0.18 F$ 0.17<br>MID: 253589<br>Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/rtr/7/bazaar-krovod?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=253589&printed=false">Gatherer</a>|253589|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/b/0/b07bb2fe-3a9b-47d0-864b-99a662d9544b.jpg?1562791650}
f0333d0b-ae42-48aa-83d8-a4f2c7483a46|Concordia Pegasus|{1}{W}|Creature - Pegasus|1|3|Flying<BR><a href="https://api.scryfall.com/cards/f0333d0b-ae42-48aa-83d8-a4f2c7483a46/rulings">Rulings</a>|Return to Ravnica|Common||Winona Nelson|8|R$ 0.10 <br>MID: 253558<br>Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/rtr/8/concordia-pegasus?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=253558&printed=false">Gatherer</a>|253558|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/f/0/f0333d0b-ae42-48aa-83d8-a4f2c7483a46.jpg?1562795225}
76960e65-e5c7-4414-b9a5-37d7b2ded4a0|Ethereal Armor|{W}|Enchantment - Aura|||Enchant creature<br>Enchanted creature gets +1/+1 for each enchantment you control and has first strike.<BR><a href="https://api.scryfall.com/cards/76960e65-e5c7-4414-b9a5-37d7b2ded4a0/rulings">Rulings</a>|Return to Ravnica|Common||Daarken|9|R$ 0.34 F$ 5.29<br>MID: 265414<br>Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/rtr/9/ethereal-armor?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=265414&printed=false">Gatherer</a>|265414|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/7/6/76960e65-e5c7-4414-b9a5-37d7b2ded4a0.jpg?1562788397}
befef095-3429-4dd7-aa01-2f7f619675d4|Eyes in the Skies|{3}{W}|Instant|||Create a 1/1 white Bird creature token with flying, then populate. (Create a token that's a copy of a creature token you control.)<BR><a href="https://api.scryfall.com/cards/befef095-3429-4dd7-aa01-2f7f619675d4/rulings">Rulings</a>|Return to Ravnica|Common||James Ryman|10|R$ 0.03 F$ 0.24<br>MID: 253553<br>Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/rtr/10/eyes-in-the-skies?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=253553&printed=false">Gatherer</a>|253553|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/b/e/befef095-3429-4dd7-aa01-2f7f619675d4.jpg?1562792490}
