ID|NAME|COST|TYPE|POWER|TOUGHNESS|ORACLE|SET|RARITY|LANG|ARTIST|COLLNUM|TEXT|PROPERTIES
20391|Angel of Light|{4}{W}|Creature - Angel|3|3|Flying, vigilance|Starter 1999|Uncommon||Todd Lockwood|1|MID: 20391<br>Finishes: nonfoil:<br>https://scryfall.com/card/s99/1/angel-of-light?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/7/5/750ea219-b62d-49bd-9b30-8e0a62e75553.jpg?1562874552}
20392|Angel of Mercy|{4}{W}|Creature - Angel|3|3|Flying<br>When this creature enters, you gain 3 life.|Starter 1999|Uncommon||Melissa A. Benson|2|MID: 20392<br>Finishes: nonfoil:<br>https://scryfall.com/card/s99/2/angel-of-mercy?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/1/3/130ac12e-61de-4ae9-9295-47392c2208e7.jpg?1562873579}
20400|Angelic Blessing|{2}{W}|Sorcery|||Target creature gets +3/+3 and gains flying until end of turn. (It can't be blocked except by creatures with flying or reach.)|Starter 1999|Common||Mark Zug|3|MID: 20400<br>Finishes: nonfoil:<br>https://scryfall.com/card/s99/3/angelic-blessing?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/c/8/c862de28-f2d9-4524-af0c-3a6c5e24637b.jpg?1562875274}
12825|Archangel|{5}{W}{W}|Creature - Angel|5|5|Flying, vigilance|Starter 1999|Rare||Quinton Hoover|4|MID: 12825<br>Finishes: nonfoil:<br>https://scryfall.com/card/s99/4/archangel?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/2/6/26f40c78-9a10-46a9-9046-561c990736fc.jpg?1562873599}
21062|Ardent Militia|{4}{W}|Creature - Human Soldier|2|5|Vigilance|Starter 1999|Uncommon||Zina Saunders|5|MID: 21062<br>Finishes: nonfoil:<br>https://scryfall.com/card/s99/5/ardent-militia?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/b/3/b30a6e00-ff4d-4006-86a6-05102772b8e8.jpg?1562875045}
20387|Armageddon|{3}{W}|Sorcery|||Destroy all lands.|Starter 1999|Rare||Rob Alexander|6|MID: 20387<br>Finishes: nonfoil:<br>https://scryfall.com/card/s99/6/armageddon?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/f/1/f11679b6-d2a4-4201-862a-524e28959391.jpg?1562875744}
21024|Bargain|{2}{W}|Sorcery|||Target opponent draws a card.<br>You gain 7 life.|Starter 1999|Uncommon||Phil Foglio|7|MID: 21024<br>Finishes: nonfoil:<br>https://scryfall.com/card/s99/7/bargain?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/4/4/44330e87-dcd7-428a-8981-ad7209e37f3d.jpg?1562874061}
20388|Blinding Light|{2}{W}|Sorcery|||Tap all nonwhite creatures.|Starter 1999|Rare||John Coulthart|8|MID: 20388<br>Finishes: nonfoil:<br>https://scryfall.com/card/s99/8/blinding-light?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/4/6/46408a88-4e96-48c0-98e2-d0d3ccecf459.jpg?1562874067}
20396|Border Guard|{2}{W}|Creature - Human Soldier|1|4||Starter 1999|Common||Kev Walker|9|MID: 20396<br>Finishes: nonfoil:<br>https://scryfall.com/card/s99/9/border-guard?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/4/3/43cc74c6-f0e5-443d-a2b3-4dcbf5858034.jpg?1562874059}
21022|Breath of Life|{3}{W}|Sorcery|||Return target creature card from your graveyard to the battlefield.|Starter 1999|Uncommon||DiTerlizzi|10|MID: 21022<br>Finishes: nonfoil:<br>https://scryfall.com/card/s99/10/breath-of-life?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/5/b/5bdae766-9f3f-4a76-b383-f21f8163ee6c.jpg?1562874086}
20184|Champion Lancer|{4}{W}{W}|Creature - Human Knight|3|3|Prevent all damage that would be dealt to this creature by creatures.|Starter 1999|Rare||Chippy|11|MID: 20184<br>Finishes: nonfoil:<br>https://scryfall.com/card/s99/11/champion-lancer?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/2/6/26b4171b-2d49-4e06-a2fd-9fe3cfd6ce95.jpg?1562873597}
20402|Charging Paladin|{2}{W}|Creature - Human Knight|2|2|Whenever this creature attacks, it gets +0/+3 until end of turn.|Starter 1999|Uncommon||Kev Walker|12|MID: 20402<br>Finishes: nonfoil:<br>https://scryfall.com/card/s99/12/charging-paladin?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/0/5/0521088b-3198-459c-aa9f-fe1102c69bfc.jpg?1562873133}
21057|Devoted Hero|{W}|Creature - Elf Soldier|1|2||Starter 1999|Common||DiTerlizzi|13|MID: 21057<br>Finishes: nonfoil:<br>https://scryfall.com/card/s99/13/devoted-hero?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/c/0/c0cdbd28-958a-4955-badd-4848eef3f0fa.jpg?1562875264}
20395|Devout Monk|{W}|Creature - Human Monk Cleric|1|1|When this creature enters, you gain 1 life.|Starter 1999|Common||Daniel Gelon|14|MID: 20395<br>Finishes: nonfoil:<br>https://scryfall.com/card/s99/14/devout-monk?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/c/d/cd1101f5-0bc1-47fa-891b-206b9c1c7f79.jpg?1562875276}
21021|Eager Cadet|{W}|Creature - Human Soldier|1|1||Starter 1999|Common||Scott M. Fischer|15|MID: 21021<br>Finishes: nonfoil:<br>https://scryfall.com/card/s99/15/eager-cadet?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/d/1/d1e1ce2f-d8af-4fd0-975e-9d910d12b883.jpg?1562875282}
21063|False Peace|{W}|Sorcery|||Target player skips all combat phases of their next turn.|Starter 1999|Uncommon||Zina Saunders|16|MID: 21063<br>Finishes: nonfoil:<br>https://scryfall.com/card/s99/16/false-peace?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/1/a/1a07b620-6702-4c24-a6bb-03167c64be30.jpg?1562873585}
20398|Foot Soldiers|{3}{W}|Creature - Human Soldier|2|4||Starter 1999|Common||Kev Walker|17|MID: 20398<br>Finishes: nonfoil:<br>https://scryfall.com/card/s99/17/foot-soldiers?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/1/7/17ef8c63-fdc2-4520-b15b-a0b0e95ccc82.jpg?1562873580}
20386|Gerrard's Wisdom|{2}{W}{W}|Sorcery|||You gain 2 life for each card in your hand.|Starter 1999|Rare||Heather Hudson|18|MID: 20386<br>Finishes: nonfoil:<br>https://scryfall.com/card/s99/18/gerrards-wisdom?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/b/3/b38a3f26-0376-4f10-b630-7ec6659c0556.jpg?1562875046}
20397|Knight Errant|{1}{W}|Creature - Human Knight|2|2||Starter 1999|Common||Dan Frazier|19|MID: 20397<br>Finishes: nonfoil:<br>https://scryfall.com/card/s99/19/knight-errant?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/a/b/ab999296-8c32-4e08-8597-2ad8f13e9eb9.jpg?1562875036}
20390|Loyal Sentry|{W}|Creature - Human Soldier|1|1|When this creature blocks a creature, destroy that creature and this creature.|Starter 1999|Rare||Ron Spears|20|MID: 20390<br>Finishes: nonfoil:<br>https://scryfall.com/card/s99/20/loyal-sentry?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/e/5/e50b20e6-5853-405e-b2f5-3e302dc7103f.jpg?1562875297}
21060|Path of Peace|{3}{W}|Sorcery|||Destroy target creature. Its owner gains 4 life.|Starter 1999|Common||Val Mayerik|21|MID: 21060<br>Finishes: nonfoil:<br>https://scryfall.com/card/s99/21/path-of-peace?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/d/9/d9c55cbd-c59e-4cab-b425-2d735ed88f28.jpg?1562875288}
21023|Righteous Charge|{1}{W}{W}|Sorcery|||Creatures you control get +2/+2 until end of turn.|Starter 1999|Uncommon||Jeffrey R. Busch|22|MID: 21023<br>Finishes: nonfoil:<br>https://scryfall.com/card/s99/22/righteous-charge?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/f/1/f1bde9d5-953f-4e8d-9a24-6185cef0a304.jpg?1562875745}
21064|Righteous Fury|{4}{W}{W}|Sorcery|||Destroy all tapped creatures. You gain 2 life for each creature destroyed this way.|Starter 1999|Rare||Edward P. Beard, Jr.|23|MID: 21064<br>Finishes: nonfoil:<br>https://scryfall.com/card/s99/23/righteous-fury?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/8/f/8f241635-31c6-4cee-b4d6-f723faea80ba.jpg?1562874579}
21056|Royal Falcon|{1}{W}|Creature - Bird|1|1|Flying|Starter 1999|Common||Carl Critchlow|24|MID: 21056<br>Finishes: nonfoil:<br>https://scryfall.com/card/s99/24/royal-falcon?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/1/1/11270682-d751-49e7-9c84-e47bde2f2647.jpg?1562873574}
20394|Royal Trooper|{2}{W}|Creature - Human Soldier|2|2|Whenever this creature blocks, it gets +2/+2 until end of turn.|Starter 1999|Uncommon||Scott M. Fischer|25|MID: 20394<br>Finishes: nonfoil:<br>https://scryfall.com/card/s99/25/royal-trooper?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/1/d/1dc22489-6754-4418-a991-7046c14a0934.jpg?1562873589}
21061|Sacred Nectar|{1}{W}|Sorcery|||You gain 4 life.|Starter 1999|Common||Janine Johnston|26|MID: 21061<br>Finishes: nonfoil:<br>https://scryfall.com/card/s99/26/sacred-nectar?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/5/a/5adcc7b7-ccc8-4ccd-977f-cf3a10b69642.jpg?1687906491}
20399|Steadfastness|{1}{W}|Sorcery|||Creatures you control get +0/+3 until end of turn.|Starter 1999|Common||Kev Walker|27|MID: 20399<br>Finishes: nonfoil:<br>https://scryfall.com/card/s99/27/steadfastness?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/c/1/c1fafcb8-f1ee-4e76-bcfb-6aea4d49efc5.jpg?1562875266}
21059|Venerable Monk|{2}{W}|Creature - Human Monk Cleric|2|2|When this creature enters, you gain 2 life.|Starter 1999|Common||D. Alexander Gregory|28|MID: 21059<br>Finishes: nonfoil:<br>https://scryfall.com/card/s99/28/venerable-monk?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/5/7/571f8044-8137-492b-a702-b8ba28384928.jpg?1562874078}
20393|Vengeance|{3}{W}|Sorcery|||Destroy target tapped creature.|Starter 1999|Uncommon||Andrew Robinson|29|MID: 20393<br>Finishes: nonfoil:<br>https://scryfall.com/card/s99/29/vengeance?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/3/a/3a75ecf5-1a0d-4950-afdf-399f2f7bbf41.jpg?1562873612}
20403|Veteran Cavalier|{W}{W}|Creature - Human Knight|2|2|Vigilance (Attacking doesn't cause this creature to tap.)|Starter 1999|Uncommon||rk post|30|MID: 20403<br>Finishes: nonfoil:<br>https://scryfall.com/card/s99/30/veteran-cavalier?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/6/7/67301687-42a5-45b5-aeeb-d57da3ac0ce0.jpg?1562874543}
21058|Wild Griffin|{2}{W}|Creature - Griffin|2|2|Flying|Starter 1999|Common||Jeff Miracola|31|MID: 21058<br>Finishes: nonfoil:<br>https://scryfall.com/card/s99/31/wild-griffin?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/0/3/035fc0f8-5a2f-45d7-a482-2c80e6dd88d4.jpg?1562873129}
21041|Air Elemental|{3}{U}{U}|Creature - Elemental|4|4|Flying|Starter 1999|Uncommon||Doug Chaffee|32|MID: 21041<br>Finishes: nonfoil:<br>https://scryfall.com/card/s99/32/air-elemental?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/2/3/23773631-8f45-4e4b-929a-9ba691e79308.jpg?1562873592}
21025|Coral Eel|{1}{U}|Creature - Fish|2|1||Starter 1999|Common||Una Fricker|33|MID: 21025<br>Finishes: nonfoil:<br>https://scryfall.com/card/s99/33/coral-eel?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/b/f/bfe7084d-dab9-47ee-9813-9f79cc2c5c4c.jpg?1562875261}
20382|Counterspell|{U}{U}|Instant|||Counter target spell.|Starter 1999|Uncommon||Hannibal King|34|MID: 20382<br>Finishes: nonfoil:<br>https://scryfall.com/card/s99/34/counterspell?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/b/2/b2227782-6709-4d0a-82b4-5070a7ddb647.jpg?1562875043}
20182|Denizen of the Deep|{6}{U}{U}|Creature - Serpent|11|11|When this creature enters, return each other creature you control to its owner's hand.|Starter 1999|Rare||Anson Maddocks|35|MID: 20182<br>Finishes: nonfoil:<br>https://scryfall.com/card/s99/35/denizen-of-the-deep?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/9/5/95b00eca-065e-495e-947e-24eb79ffb1df.jpg?1562874582}
21044|Exhaustion|{2}{U}|Sorcery|||Creatures and lands target opponent controls don't untap during their next untap step.|Starter 1999|Uncommon||Paolo Parente|36|MID: 21044<br>Finishes: nonfoil:<br>https://scryfall.com/card/s99/36/exhaustion?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/5/a/5a9ecdcf-833f-4df8-83fc-4fb0487e625f.jpg?1562874081}
21036|Extinguish|{1}{U}|Instant|||Counter target sorcery spell.|Starter 1999|Common||Douglas Shuler|37|MID: 21036<br>Finishes: nonfoil:<br>https://scryfall.com/card/s99/37/extinguish?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/8/1/8194b7c8-74d1-488a-9d8e-8d9421a63bae.jpg?1562874566}
21035|Eye Spy|{U}|Sorcery|||Look at the top card of target player's library. You may put that card into their graveyard.|Starter 1999|Uncommon||DiTerlizzi|38|MID: 21035<br>Finishes: nonfoil:<br>https://scryfall.com/card/s99/38/eye-spy?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/7/4/74d0fa75-41dc-4fe9-af12-d9d4006b708f.jpg?1562874551}
21027|Giant Octopus|{3}{U}|Creature - Octopus|3|3||Starter 1999|Common||John Matson|39|MID: 21027<br>Finishes: nonfoil:<br>https://scryfall.com/card/s99/39/giant-octopus?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/5/8/589a6f67-d57d-4667-afd0-606cad2b7725.jpg?1562874080}
21043|Ingenious Thief|{1}{U}|Creature - Human Rogue|1|1|Flying<br>When this creature enters, look at target player's hand.|Starter 1999|Common||Dan Frazier|40|MID: 21043<br>Finishes: nonfoil:<br>https://scryfall.com/card/s99/40/ingenious-thief?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/9/7/97c47d9a-c942-4b17-99f1-ff7a24134f7c.jpg?1562875017}
21038|Man-o'-War|{2}{U}|Creature - Jellyfish|2|2|When this creature enters, return target creature to its owner's hand.|Starter 1999|Uncommon||Una Fricker|41|MID: 21038<br>Finishes: nonfoil:<br>https://scryfall.com/card/s99/41/man-o-war?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/a/7/a7a4a023-8867-4fb4-baf9-df7540b61725.jpg?1562875035}
21080|Merfolk of the Pearl Trident|{U}|Creature - Merfolk|1|1||Starter 1999|Common||DiTerlizzi|42|MID: 21080<br>Finishes: nonfoil:<br>https://scryfall.com/card/s99/42/merfolk-of-the-pearl-trident?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/3/1/318d2b4b-a495-488c-b6fb-1505117cdc02.jpg?1562873606}
21042|Owl Familiar|{1}{U}|Creature - Bird|1|1|Flying<br>When this creature enters, draw a card, then discard a card.|Starter 1999|Uncommon||Janine Johnston|43|MID: 21042<br>Finishes: nonfoil:<br>https://scryfall.com/card/s99/43/owl-familiar?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/8/6/8672a8fc-6420-4d75-8c45-b09f1547c468.jpg?1562874572}
21039|Phantom Warrior|{1}{U}{U}|Creature - Illusion Warrior|2|2|This creature can't be blocked.|Starter 1999|Rare||John Matson|44|MID: 21039<br>Finishes: nonfoil:<br>https://scryfall.com/card/s99/44/phantom-warrior?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/7/f/7ff1dfcd-fa5b-4f7c-8369-b502711b382f.jpg?1562874563}
21049|Piracy|{U}{U}|Sorcery|||Until end of turn, you may tap lands you don't control for mana. Spend this mana only to cast spells.|Starter 1999|Rare||Bradley Williams|45|MID: 21049<br>Finishes: nonfoil:<br>https://scryfall.com/card/s99/45/piracy?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/3/2/323e3084-8d84-474f-b208-a4637b1ccb51.jpg?1562873608}
21050|Psychic Transfer|{4}{U}|Sorcery|||If the difference between your life total and target player's life total is 5 or less, exchange life totals with that player.|Starter 1999|Rare||Dom!|46|MID: 21050<br>Finishes: nonfoil:<br>https://scryfall.com/card/s99/46/psychic-transfer?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/a/c/ac6d7d5a-697b-4251-bc18-4dcfe0aa5cc6.jpg?1562875038}
21069|Ransack|{3}{U}|Sorcery|||Look at the top five cards of target player's library. Put any number of them on the bottom of that library in any order and the rest on top of the library in any order.|Starter 1999|Rare||Ron Spencer|47|MID: 21069<br>Finishes: nonfoil:<br>https://scryfall.com/card/s99/47/ransack?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/9/7/97b8db82-4632-40fd-b1e2-7172ddf8d6de.jpg?1562875015}
21046|Relearn|{1}{U}{U}|Sorcery|||Return target instant or sorcery card from your graveyard to your hand.|Starter 1999|Uncommon||Zina Saunders|48|MID: 21046<br>Finishes: nonfoil:<br>https://scryfall.com/card/s99/48/relearn?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/c/5/c5f0f0cb-5f77-4887-a5be-463d5e5c47c6.jpg?1562875270}
21037|Remove Soul|{1}{U}|Instant|||Counter target creature spell.|Starter 1999|Common||Mike Dringenberg|49|MID: 21037<br>Finishes: nonfoil:<br>https://scryfall.com/card/s99/49/remove-soul?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/0/4/0415833b-2185-4de5-b184-d185e76835ae.jpg?1562873131}
21031|Sea Eagle|{1}{U}|Creature - Bird|1|1|Flying|Starter 1999|Common||Anthony S. Waters|50|MID: 21031<br>Finishes: nonfoil:<br>https://scryfall.com/card/s99/50/sea-eagle?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/1/b/1bddb733-2100-42f8-8ea1-a55d516c5958.jpg?1562873586}
21068|Sleight of Hand|{U}|Sorcery|||Look at the top two cards of your library. Put one of them into your hand and the other on the bottom of your library.|Starter 1999|Common||Phil Foglio|51|MID: 21068<br>Finishes: nonfoil:<br>https://scryfall.com/card/s99/51/sleight-of-hand?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/b/d/bd5768e3-40df-425c-bb1e-c3e67f390e18.jpg?1562875256}
21030|Snapping Drake|{3}{U}|Creature - Drake|3|2|Flying (This creature can't be blocked except by creatures with flying or reach.)|Starter 1999|Common||Christopher Rush|52|MID: 21030<br>Finishes: nonfoil:<br>https://scryfall.com/card/s99/52/snapping-drake?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/b/3/b3d6d8e7-2021-463c-b0a3-eb447f655d31.jpg?1562875048}
21028|Storm Crow|{1}{U}|Creature - Bird|1|2|Flying (This creature can't be blocked except by creatures with flying or reach.)|Starter 1999|Common||Una Fricker|53|MID: 21028<br>Finishes: nonfoil:<br>https://scryfall.com/card/s99/53/storm-crow?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/4/a/4aa8f4c4-8177-4c27-9d19-50ae159039ff.jpg?1562874071}
21047|Tidings|{3}{U}{U}|Sorcery|||Draw four cards.|Starter 1999|Uncommon||Pete Venters|54|MID: 21047<br>Finishes: nonfoil:<br>https://scryfall.com/card/s99/54/tidings?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/7/f/7fcb93dc-503e-45fa-99da-1597a8a0ab4e.jpg?1594065391}
21034|Time Ebb|{2}{U}|Sorcery|||Put target creature on top of its owner's library.|Starter 1999|Common||Alan Rabinowitz|55|MID: 21034<br>Finishes: nonfoil:<br>https://scryfall.com/card/s99/55/time-ebb?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/f/b/fb097554-cf94-470f-9e2f-a5f334afb4e1.jpg?1562875751}
21048|Time Warp|{3}{U}{U}|Sorcery|||Target player takes an extra turn after this one.|Starter 1999|Rare||Pete Venters|56|MID: 21048<br>Finishes: nonfoil:<br>https://scryfall.com/card/s99/56/time-warp?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/c/9/c967f376-3d54-417a-b4bc-c9dd3cf35703.jpg?1562875275}
21033|Touch of Brilliance|{3}{U}|Sorcery|||Draw two cards.|Starter 1999|Common||Kaja Foglio|57|MID: 21033<br>Finishes: nonfoil:<br>https://scryfall.com/card/s99/57/touch-of-brilliance?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/b/d/bddd159a-6a42-465c-afcc-69ad6695f35a.jpg?1562875258}
