ID|NAME|COST|TYPE|POWER|TOUGHNESS|ORACLE|SET|RARITY|LANG|ARTIST|COLLNUM|TEXT|PROPERTIES
scry_bcfe4a26-3ea8-404e-92bd-b453eee6c862|Flame Slash|{R}|Sorcery|||Flame Slash deals 4 damage to target creature.|Store Championships|Rare||Antonio José Manzanedo|1|Finishes: nonfoil:<br>FullArt: true<br>Promos: storechampionship:<br>https://scryfall.com/card/sch/1/flame-slash?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/b/c/bcfe4a26-3ea8-404e-92bd-b453eee6c862.jpg?1681579235}
scry_d378f4f8-ff9f-4389-86c8-23c5c4990b4c|Archmage's Charm|{U}{U}{U}|Instant|||Choose one —<br>• Counter target spell.<br>• Target player draws two cards.<br>• Gain control of target nonland permanent with mana value 1 or less.|Store Championships|Rare||Hector Ortiz|2|Finishes: foil:<br>FullArt: true<br>Promos: storechampionship:<br>https://scryfall.com/card/sch/2/archmages-charm?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/d/3/d378f4f8-ff9f-4389-86c8-23c5c4990b4c.jpg?1681579193}
scry_dd3b4ad5-6687-400e-b5c1-a04f577a2415|Dark Confidant|{1}{B}|Creature - Human Wizard|2|1|At the beginning of your upkeep, reveal the top card of your library and put that card into your hand. You lose life equal to its mana value.|Store Championships|Rare||Livia Prima|3|Finishes: foil:<br>FullArt: true<br>TextLess: true<br>Booster: true<br>Promos: storechampionship:<br>https://scryfall.com/card/sch/3/dark-confidant?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/d/d/dd3b4ad5-6687-400e-b5c1-a04f577a2415.jpg?1705388756}
scry_fc802c6b-5269-4f02-8b61-342931fea828|Spell Pierce|{U}|Instant|||Counter target noncreature spell unless its controller pays {2}.|Store Championships|Rare||Andrew Mar|4|Finishes: nonfoil:<br>FullArt: true<br>Promos: storechampionship:<br>https://scryfall.com/card/sch/4/spell-pierce?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/f/c/fc802c6b-5269-4f02-8b61-342931fea828.jpg?1681579265}
scry_226b1cc4-44be-4d8d-963a-93c84b09c7f0|Gilded Goose|{G}|Creature - Bird|0|2|Flying<br>When this creature enters, create a Food token. (It's an artifact with "{2}, {T}, Sacrifice this token: You gain 3 life.")<br>{1}{G}, {T}: Create a Food token.<br>{T}, Sacrifice a Food: Add one mana of any color.|Store Championships|Rare||Chris Seaman|5|Finishes: nonfoil:foil:<br>FullArt: true<br>Promos: storechampionship:<br>https://scryfall.com/card/sch/5/gilded-goose?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/2/2/226b1cc4-44be-4d8d-963a-93c84b09c7f0.jpg?1681579243}
scry_bd5b9fa3-7906-40b1-96cb-b19aa7e3a971|Omnath, Locus of Creation|{R}{G}{W}{U}|Legendary Creature - Elemental|4|4|When Omnath enters, draw a card.<br>Landfall — Whenever a land you control enters, you gain 4 life if this is the first time this ability has resolved this turn. If it's the second time, add {R}{G}{W}{U}. If it's the third time, Omnath deals 4 damage to each opponent and each planeswalker you don't control.|Store Championships|Mythic||John Tedrick|6|Finishes: foil:<br>FullArt: true<br>TextLess: true<br>Booster: true<br>Promos: storechampionship:<br>https://scryfall.com/card/sch/6/omnath-locus-of-creation?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/b/d/bd5b9fa3-7906-40b1-96cb-b19aa7e3a971.jpg?1721683351}
scry_29261589-ce89-435d-9497-bb8f8b911c7f|Annex Sentry|{2}{W}|Artifact Creature - Phyrexian Cleric|1|4|Toxic 1 (Players dealt combat damage by this creature also get a poison counter.)<br>When this creature enters, exile target artifact or creature an opponent controls with mana value 3 or less until this creature leaves the battlefield.|Store Championships|Rare||Sam Guay|7|Finishes: nonfoil:<br>FullArt: true<br>Promos: storechampionship:<br>https://scryfall.com/card/sch/7/annex-sentry?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/2/9/29261589-ce89-435d-9497-bb8f8b911c7f.jpg?1721683306}
scry_1ad1a82a-e606-4e80-820f-c498487fee70|Memory Deluge|{2}{U}{U}|Instant|||Look at the top X cards of your library, where X is the amount of mana spent to cast this spell. Put two of them into your hand and the rest on the bottom of your library in a random order.<br>Flashback {5}{U}{U} (You may cast this card from your graveyard for its flashback cost. Then exile it.)|Store Championships|Rare||Sam Guay|8|Finishes: nonfoil:foil:<br>FullArt: true<br>Promos: storechampionship:<br>https://scryfall.com/card/sch/8/memory-deluge?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/1/a/1ad1a82a-e606-4e80-820f-c498487fee70.jpg?1681579255}
scry_4d7fe406-d3b0-4c46-897c-fade707c8ffa|Koth, Fire of Resistance|{2}{R}{R}|Legendary Planeswalker - Koth|||+2: Search your library for a basic Mountain card, reveal it, put it into your hand, then shuffle.<br>−3: Koth deals damage to target creature equal to the number of Mountains you control.<br>−7: You get an emblem with "Whenever a Mountain you control enters, this emblem deals 4 damage to any target."|Store Championships|Rare||Kieran Yanner|9|Finishes: foil:<br>Promos: storechampionship:<br>https://scryfall.com/card/sch/9/koth-fire-of-resistance?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/4/d/4d7fe406-d3b0-4c46-897c-fade707c8ffa.jpg?1706699680}
scry_b63ca355-d66d-4259-8d6e-34ec2ba71e6e|Strangle|{R}|Sorcery|||Strangle deals 3 damage to target creature or planeswalker.|Store Championships|Rare||Sidharth Chaturvedi|10|Finishes: nonfoil:<br>FullArt: true<br>Promos: storechampionship:<br>https://scryfall.com/card/sch/10/strangle?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/b/6/b63ca355-d66d-4259-8d6e-34ec2ba71e6e.jpg?1681612427}
