ID|NAME|COST|TYPE|POWER|TOUGHNESS|ORACLE|SET|RARITY|LANG|ARTIST|COLLNUM|TEXT|GATHERERID|TCGID|PROPERTIES
9b6ae637-bdb7-4117-8539-e424159bad6f|Apothecary Initiate|{W}|Creature - Kithkin Cleric|1|1|Whenever a player casts a white spell, you may pay {1}. If you do, you gain 1 life.<BR><a href="https://api.scryfall.com/cards/9b6ae637-bdb7-4117-8539-e424159bad6f/rulings">Rulings</a>|Shadowmoor|Common||Kev Walker|1|R$ 0.13 F$ 0.42<br>MID: 141929<br>Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/shm/1/apothecary-initiate?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=141929&printed=false">Gatherer</a>|141929|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/9/b/9b6ae637-bdb7-4117-8539-e424159bad6f.jpg?1562833692}
f66dc28a-3d52-49cf-b1b3-0a1d335d0f5c|Armored Ascension|{3}{W}|Enchantment - Aura|||Enchant creature<br>Enchanted creature gets +1/+1 for each Plains you control and has flying.<BR><a href="https://api.scryfall.com/cards/f66dc28a-3d52-49cf-b1b3-0a1d335d0f5c/rulings">Rulings</a>|Shadowmoor|Uncommon||Matt Cavotta|2|R$ 0.30 F$ 1.92<br>MID: 146041<br>Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/shm/2/armored-ascension?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=146041&printed=false">Gatherer</a>|146041|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/f/6/f66dc28a-3d52-49cf-b1b3-0a1d335d0f5c.jpg?1562838247}
c5c54ec5-2917-4acf-b56f-8273781477f6|Ballynock Cohort|{2}{W}|Creature - Kithkin Soldier|2|2|First strike<br>This creature gets +1/+1 as long as you control another white creature.<BR><a href="https://api.scryfall.com/cards/c5c54ec5-2917-4acf-b56f-8273781477f6/rulings">Rulings</a>|Shadowmoor|Common||Jesper Ejsing|3|R$ 0.12 F$ 0.60<br>MID: 142045<br>Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/shm/3/ballynock-cohort?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=142045&printed=false">Gatherer</a>|142045|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/c/5/c5c54ec5-2917-4acf-b56f-8273781477f6.jpg?1562835753}
8888e0aa-3682-4800-9c50-fff5d5c9547d|Barrenton Medic|{4}{W}|Creature - Kithkin Cleric|0|4|{T}: Prevent the next 1 damage that would be dealt to any target this turn.<br>Put a -1/-1 counter on this creature: Untap this creature.<BR><a href="https://api.scryfall.com/cards/8888e0aa-3682-4800-9c50-fff5d5c9547d/rulings">Rulings</a>|Shadowmoor|Common||Trevor Hairsine|4|R$ 0.23 F$ 5.15<br>MID: 135451<br>Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/shm/4/barrenton-medic?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=135451&printed=false">Gatherer</a>|135451|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/8/8/8888e0aa-3682-4800-9c50-fff5d5c9547d.jpg?1562832730}
1a27ba4d-53af-427d-9e51-be04db077fac|Boon Reflection|{4}{W}|Enchantment|||If you would gain life, you gain twice that much life instead.<BR><a href="https://api.scryfall.com/cards/1a27ba4d-53af-427d-9e51-be04db077fac/rulings">Rulings</a>|Shadowmoor|Rare||Terese Nielsen & Ron Spencer|5|R$ 16.42 F$ 56.99<br>MID: 146751<br>Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/shm/5/boon-reflection?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=146751&printed=false">Gatherer</a>|146751|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/1/a/1a27ba4d-53af-427d-9e51-be04db077fac.jpg?1562827373}
12030927-7af2-448f-bc6b-c2035e0b799d|Goldenglow Moth|{W}|Creature - Insect|0|1|Flying<br>Whenever this creature blocks, you may gain 4 life.<BR><a href="https://api.scryfall.com/cards/12030927-7af2-448f-bc6b-c2035e0b799d/rulings">Rulings</a>|Shadowmoor|Common||Howard Lyon|6|R$ 0.13 F$ 0.70<br>MID: 159413<br>Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/shm/6/goldenglow-moth?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=159413&printed=false">Gatherer</a>|159413|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/1/2/12030927-7af2-448f-bc6b-c2035e0b799d.jpg?1562826946}
1177787f-bf1e-438b-9615-97d03b04128c|Greater Auramancy|{1}{W}|Enchantment|||Other enchantments you control have shroud. (A permanent with shroud can't be the target of spells or abilities.)<br>Enchanted creatures you control have shroud.<BR><a href="https://api.scryfall.com/cards/1177787f-bf1e-438b-9615-97d03b04128c/rulings">Rulings</a>|Shadowmoor|Rare||Chuck Lukacs|7|R$ 12.53 F$ 34.00<br>MID: 147425<br>Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/shm/7/greater-auramancy?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=147425&printed=false">Gatherer</a>|147425|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/1/1/1177787f-bf1e-438b-9615-97d03b04128c.jpg?1562826899}
c607ec00-2d44-485e-ad85-24c0c7a284f9|Inquisitor's Snare|{1}{W}|Instant|||Prevent all damage target attacking or blocking creature would deal this turn. If that creature is black or red, destroy it.<BR><a href="https://api.scryfall.com/cards/c607ec00-2d44-485e-ad85-24c0c7a284f9/rulings">Rulings</a>|Shadowmoor|Common||Michael Sutfin|8|R$ 0.17 F$ 0.35<br>MID: 158765<br>Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/shm/8/inquisitors-snare?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=158765&printed=false">Gatherer</a>|158765|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/c/6/c607ec00-2d44-485e-ad85-24c0c7a284f9.jpg?1562835766}
7f9a0afa-50e6-4bce-b261-4559fd31295e|Kithkin Rabble|{3}{W}|Creature - Kithkin|*|*|Vigilance<br>Kithkin Rabble's power and toughness are each equal to the number of white permanents you control.<BR><a href="https://api.scryfall.com/cards/7f9a0afa-50e6-4bce-b261-4559fd31295e/rulings">Rulings</a>|Shadowmoor|Uncommon||Omar Rayyan|9|R$ 0.19 F$ 1.40<br>MID: 158695<br>Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/shm/9/kithkin-rabble?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=158695&printed=false">Gatherer</a>|158695|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/7/f/7f9a0afa-50e6-4bce-b261-4559fd31295e.jpg?1562832303}
7e5102a7-2147-4e22-b683-c08b4a725617|Kithkin Shielddare|{1}{W}|Creature - Kithkin Soldier|1|1|{W}, {T}: Target blocking creature gets +2/+2 until end of turn.<BR><a href="https://api.scryfall.com/cards/7e5102a7-2147-4e22-b683-c08b4a725617/rulings">Rulings</a>|Shadowmoor|Common||Christopher Moeller|10|R$ 0.12 F$ 0.33<br>MID: 158238<br>Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/shm/10/kithkin-shielddare?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=158238&printed=false">Gatherer</a>|158238|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/7/e/7e5102a7-2147-4e22-b683-c08b4a725617.jpg?1562832218}
