ID|NAME|COST|TYPE|POWER|TOUGHNESS|ORACLE|SET|RARITY|LANG|ARTIST|COLLNUM|TEXT|GATHERERID|TCGID|PROPERTIES
0d656542-f0cd-485d-9d74-05573a2d49e4|Altar of the Brood|{1}|Artifact|||Whenever another permanent you control enters, each opponent mills a card.<BR><a href="https://api.scryfall.com/cards/0d656542-f0cd-485d-9d74-05573a2d49e4/rulings">Rulings</a>|Secret Lair Countdown|Rare||Josh Freydkis|1|R$ 6.98 F$ 7.75<br>Finishes: nonfoil:foil:<br>FullArt: true<br><br><a href="https://scryfall.com/card/slc/1/altar-of-the-brood?utm_source=api">Scryfall</a>|0|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/0/d/0d656542-f0cd-485d-9d74-05573a2d49e4.jpg?1763460015}
a6382dfc-cadf-41da-ae42-0da9f98074b4|Brain Freeze|{1}{U}|Instant|||Target player mills three cards.<br>Storm (When you cast this spell, copy it for each spell cast before it this turn. You may choose new targets for the copies.)<BR><a href="https://api.scryfall.com/cards/a6382dfc-cadf-41da-ae42-0da9f98074b4/rulings">Rulings</a>|Secret Lair Countdown|Rare||Your Cinema|2|R$ 7.76 F$ 9.93<br>Finishes: nonfoil:foil:<br>FullArt: true<br>Promos: poster:<br><br><a href="https://scryfall.com/card/slc/2/brain-freeze?utm_source=api">Scryfall</a>|0|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/a/6/a6382dfc-cadf-41da-ae42-0da9f98074b4.jpg?1763460033}
8894eed8-fc6b-4bc4-a8d0-daa628911967|Crop Rotation|{G}|Instant|||As an additional cost to cast this spell, sacrifice a land.<br>Search your library for a land card, put that card onto the battlefield, then shuffle.<BR><a href="https://api.scryfall.com/cards/8894eed8-fc6b-4bc4-a8d0-daa628911967/rulings">Rulings</a>|Secret Lair Countdown|Rare||Marcuscus|3|R$ 4.94 F$ 9.06<br>Finishes: nonfoil:foil:<br>FullArt: true<br><br><a href="https://scryfall.com/card/slc/3/crop-rotation?utm_source=api">Scryfall</a>|0|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/8/8/8894eed8-fc6b-4bc4-a8d0-daa628911967.jpg?1763460055}
4f2f0fda-592f-4420-9703-defa07ffa2dc|Demonic Consultation|{B}|Instant|||Choose a card name. Exile the top six cards of your library, then reveal cards from the top of your library until you reveal a card with the chosen name. Put that card into your hand and exile all other cards revealed this way.<BR><a href="https://api.scryfall.com/cards/4f2f0fda-592f-4420-9703-defa07ffa2dc/rulings">Rulings</a>|Secret Lair Countdown|Rare||Edward Steed|4|R$ 6.87 F$ 9.75<br>Finishes: nonfoil:foil:<br>FullArt: true<br>Promos: poster:<br><br><a href="https://scryfall.com/card/slc/4/demonic-consultation?utm_source=api">Scryfall</a>|0|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/4/f/4f2f0fda-592f-4420-9703-defa07ffa2dc.jpg?1763460091}
9d96d034-7c69-4aec-835c-233cf941db70|Eerie Ultimatum|{W}{W}{B}{B}{B}{G}{G}|Sorcery|||Return any number of permanent cards with different names from your graveyard to the battlefield.<BR><a href="https://api.scryfall.com/cards/9d96d034-7c69-4aec-835c-233cf941db70/rulings">Rulings</a>|Secret Lair Countdown|Rare||Alexander Khabbazi|5|R$ 1.21 F$ 1.53<br>Finishes: nonfoil:foil:<br>FullArt: true<br>Promos: poster:<br><br><a href="https://scryfall.com/card/slc/5/eerie-ultimatum?utm_source=api">Scryfall</a>|0|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/9/d/9d96d034-7c69-4aec-835c-233cf941db70.jpg?1763460104}
1e1f470f-1194-4a87-ab6e-3574f5731642|Field of the Dead||Land|||This land enters tapped.<br>{T}: Add {C}.<br>Whenever this land or another land you control enters, if you control seven or more lands with different names, create a 2/2 black Zombie creature token.<BR><a href="https://api.scryfall.com/cards/1e1f470f-1194-4a87-ab6e-3574f5731642/rulings">Rulings</a>|Secret Lair Countdown|Rare||Colby Nichols|6|R$ 25.32 F$ 28.78<br>Finishes: nonfoil:foil:<br>FullArt: true<br>Promos: poster:<br><br><a href="https://scryfall.com/card/slc/6/field-of-the-dead?utm_source=api">Scryfall</a>|0|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/1/e/1e1f470f-1194-4a87-ab6e-3574f5731642.jpg?1763460118}
d7655424-a6c9-4c90-bc27-b4b4c3d78d12|Gray Merchant of Asphodel|{3}{B}{B}|Creature - Zombie|2|4|When this creature enters, each opponent loses X life, where X is your devotion to black. You gain life equal to the life lost this way. (Each {B} in the mana costs of permanents you control counts toward your devotion to black.)<BR><a href="https://api.scryfall.com/cards/d7655424-a6c9-4c90-bc27-b4b4c3d78d12/rulings">Rulings</a>|Secret Lair Countdown|Rare||Jack Hughes|7|R$ 3.73 F$ 10.03<br>Finishes: nonfoil:foil:<br>FullArt: true<br><br><a href="https://scryfall.com/card/slc/7/gray-merchant-of-asphodel?utm_source=api">Scryfall</a>|0|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/d/7/d7655424-a6c9-4c90-bc27-b4b4c3d78d12.jpg?1763460146}
028a52c2-d641-49a5-a93b-4c5d01e67234|Hymn to Tourach|{B}{B}|Sorcery|||Target player discards two cards at random.<BR><a href="https://api.scryfall.com/cards/028a52c2-d641-49a5-a93b-4c5d01e67234/rulings">Rulings</a>|Secret Lair Countdown|Rare||Sophy Hollington|8|R$ 0.78 F$ 1.28<br>Finishes: nonfoil:foil:<br>FullArt: true<br>Promos: poster:<br><br><a href="https://scryfall.com/card/slc/8/hymn-to-tourach?utm_source=api">Scryfall</a>|0|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/0/2/028a52c2-d641-49a5-a93b-4c5d01e67234.jpg?1763460158}
d4f4ccdc-ffeb-4393-836d-f46204ad9b65|Isochron Scepter|{2}|Artifact|||Imprint — When this artifact enters, you may exile an instant card with mana value 2 or less from your hand.<br>{2}, {T}: You may copy the exiled card. If you do, you may cast the copy without paying its mana cost.<BR><a href="https://api.scryfall.com/cards/d4f4ccdc-ffeb-4393-836d-f46204ad9b65/rulings">Rulings</a>|Secret Lair Countdown|Rare||Kieran Yanner|9|R$ 8.40 F$ 8.07<br>Finishes: nonfoil:foil:<br>FullArt: true<br><br><a href="https://scryfall.com/card/slc/9/isochron-scepter?utm_source=api">Scryfall</a>|0|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/d/4/d4f4ccdc-ffeb-4393-836d-f46204ad9b65.jpg?1763460168}
1050fea7-307b-47fb-94f4-36f5cb481b2b|Junji, the Midnight Sky|{3}{B}{B}|Legendary Creature - Dragon Spirit|5|5|Flying, menace<br>When Junji dies, choose one —<br>• Each opponent discards two cards and loses 2 life.<br>• Put target non-Dragon creature card from a graveyard onto the battlefield under your control. You lose 2 life.<BR><a href="https://api.scryfall.com/cards/1050fea7-307b-47fb-94f4-36f5cb481b2b/rulings">Rulings</a>|Secret Lair Countdown|Mythic||Diego Andrade|10|R$ 1.94 F$ 4.54<br>Finishes: nonfoil:foil:<br>FullArt: true<br><br><a href="https://scryfall.com/card/slc/10/junji-the-midnight-sky?utm_source=api">Scryfall</a>|0|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/1/0/1050fea7-307b-47fb-94f4-36f5cb481b2b.jpg?1763460178}
