ID|NAME|COST|TYPE|POWER|TOUGHNESS|ORACLE|SET|RARITY|LANG|ARTIST|COLLNUM|TEXT|GATHERERID|TCGID|PROPERTIES
8c09e891-247f-43f2-8d9d-2187631fb083|Brainstorm|{U}|Instant|||Draw three cards, then put two cards from your hand on top of your library in any order.<BR><a href="https://api.scryfall.com/cards/8c09e891-247f-43f2-8d9d-2187631fb083/rulings">Rulings</a>|Secret Lair Promo|Rare||Justin Hernandez & Alexis Hernandez|1|Finishes: foil:<br>FullArt: true<br><br><a href="https://scryfall.com/card/slp/1/brainstorm?utm_source=api">Scryfall</a>|0|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/8/c/8c09e891-247f-43f2-8d9d-2187631fb083.jpg?1767700423}
10cde602-f47c-4dac-bf1b-e300c82e5fd5|Ragavan, Nimble Pilferer|{R}|Legendary Creature - Monkey Pirate|2|1|Whenever Ragavan deals combat damage to a player, create a Treasure token and exile the top card of that player's library. Until end of turn, you may cast that card.<br>Dash {1}{R} (You may cast this spell for its dash cost. If you do, it gains haste, and it's returned from the battlefield to its owner's hand at the beginning of the next end step.)<BR><a href="https://api.scryfall.com/cards/10cde602-f47c-4dac-bf1b-e300c82e5fd5/rulings">Rulings</a>|Secret Lair Promo|Mythic||NIARK1|2|Finishes: foil:<br>FullArt: true<br><br><a href="https://scryfall.com/card/slp/2/ragavan-nimble-pilferer?utm_source=api">Scryfall</a>|0|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/1/0/10cde602-f47c-4dac-bf1b-e300c82e5fd5.jpg?1741016497}
06f7cc6d-c26c-466d-9659-90902f6b3559|Fatal Push|{B}|Instant|||Destroy target creature if it has mana value 2 or less.<br>Revolt — Destroy that creature if it has mana value 4 or less instead if a permanent left the battlefield under your control this turn.<BR><a href="https://api.scryfall.com/cards/06f7cc6d-c26c-466d-9659-90902f6b3559/rulings">Rulings</a>|Secret Lair Promo|Rare||Ryan Roadkill|3|Finishes: foil:<br>FullArt: true<br><br><a href="https://scryfall.com/card/slp/3/fatal-push?utm_source=api">Scryfall</a>|0|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/0/6/06f7cc6d-c26c-466d-9659-90902f6b3559.jpg?1767741522}
f22650a0-278c-45a1-8e3c-66c2ae6e844a|Unholy Heat|{R}|Instant|||Unholy Heat deals 2 damage to target creature or planeswalker.<br>Delirium — Unholy Heat deals 6 damage instead if there are four or more card types among cards in your graveyard.<BR><a href="https://api.scryfall.com/cards/f22650a0-278c-45a1-8e3c-66c2ae6e844a/rulings">Rulings</a>|Secret Lair Promo|Rare||Cabrol|4|Finishes: nonfoil:foil:<br>FullArt: true<br><br><a href="https://scryfall.com/card/slp/4/unholy-heat?utm_source=api">Scryfall</a>|0|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/f/2/f22650a0-278c-45a1-8e3c-66c2ae6e844a.jpg?1692066759}
f743b688-25e8-421e-97b5-d294dda34817|Eldritch Evolution|{1}{G}{G}|Sorcery|||As an additional cost to cast this spell, sacrifice a creature.<br>Search your library for a creature card with mana value X or less, where X is 2 plus the sacrificed creature's mana value. Put that card onto the battlefield, then shuffle. Exile Eldritch Evolution.<BR><a href="https://api.scryfall.com/cards/f743b688-25e8-421e-97b5-d294dda34817/rulings">Rulings</a>|Secret Lair Promo|Rare||DZO|5|Finishes: nonfoil:foil:<br>FullArt: true<br><br><a href="https://scryfall.com/card/slp/5/eldritch-evolution?utm_source=api">Scryfall</a>|0|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/f/7/f743b688-25e8-421e-97b5-d294dda34817.jpg?1733527395}
3e64afdc-7623-4b88-a952-45243b4dff79|Ugin, the Spirit Dragon|{8}|Legendary Planeswalker - Ugin|||+2: Ugin deals 3 damage to any target.<br>−X: Exile each permanent with mana value X or less that's one or more colors.<br>−10: You gain 7 life, draw seven cards, then put up to seven permanent cards from your hand onto the battlefield.<BR><a href="https://api.scryfall.com/cards/3e64afdc-7623-4b88-a952-45243b4dff79/rulings">Rulings</a>|Secret Lair Promo|Mythic||Kelogsloops|6|Finishes: nonfoil:foil:<br>FullArt: true<br><br><a href="https://scryfall.com/card/slp/6/ugin-the-spirit-dragon?utm_source=api">Scryfall</a>|0|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/3/e/3e64afdc-7623-4b88-a952-45243b4dff79.jpg?1741210691}
134200c4-88af-4772-9031-a59669e8c2ec|An Offer You Can't Refuse|{U}|Instant|||Counter target noncreature spell. Its controller creates two Treasure tokens. (They're artifacts with "{T}, Sacrifice this token: Add one mana of any color.")<BR><a href="https://api.scryfall.com/cards/134200c4-88af-4772-9031-a59669e8c2ec/rulings">Rulings</a>|Secret Lair Promo|Rare||Miho Irie|7|Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/slp/7/an-offer-you-cant-refuse?utm_source=api">Scryfall</a>|0|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/1/3/134200c4-88af-4772-9031-a59669e8c2ec.jpg?1741211938}
bf954e31-015a-4646-8333-40225c847bcc|Death's Shadow|{B}|Creature - Avatar|13|13|This creature gets -X/-X, where X is your life total.<BR><a href="https://api.scryfall.com/cards/bf954e31-015a-4646-8333-40225c847bcc/rulings">Rulings</a>|Secret Lair Promo|Rare||Matt Stikker|8|Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/slp/8/deaths-shadow?utm_source=api">Scryfall</a>|0|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/b/f/bf954e31-015a-4646-8333-40225c847bcc.jpg?1733525691}
c8a826a3-bd19-4c56-9b86-d6547714c684|Dragonlord Silumgar|{4}{U}{B}|Legendary Creature - Elder Dragon|3|5|Flying, deathtouch<br>When Dragonlord Silumgar enters, gain control of target creature or planeswalker for as long as you control Dragonlord Silumgar.<BR><a href="https://api.scryfall.com/cards/c8a826a3-bd19-4c56-9b86-d6547714c684/rulings">Rulings</a>|Secret Lair Promo|Mythic||WolfSkullJack|9|Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/slp/9/dragonlord-silumgar?utm_source=api">Scryfall</a>|0|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/c/8/c8a826a3-bd19-4c56-9b86-d6547714c684.jpg?1733530818}
1da0b6bc-db7f-42e9-b37d-fa33030cde13|Relentless Rats|{1}{B}{B}|Creature - Rat|2|2|This creature gets +1/+1 for each other creature on the battlefield named Relentless Rats.<br>A deck can have any number of cards named Relentless Rats.<BR><a href="https://api.scryfall.com/cards/1da0b6bc-db7f-42e9-b37d-fa33030cde13/rulings">Rulings</a>|Secret Lair Promo|Rare||GodMachine|10|Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/slp/10/relentless-rats?utm_source=api">Scryfall</a>|0|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/1/d/1da0b6bc-db7f-42e9-b37d-fa33030cde13.jpg?1700656922}
cd52d335-337c-4ac8-8854-15850e2da093|Relentless Rats|{1}{B}{B}|Creature - Rat|2|2|This creature gets +1/+1 for each other creature on the battlefield named Relentless Rats.<br>A deck can have any number of cards named Relentless Rats.<BR><a href="https://api.scryfall.com/cards/cd52d335-337c-4ac8-8854-15850e2da093/rulings">Rulings</a>|Secret Lair Promo|Rare||Graham Yarrington|11|Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/slp/11/relentless-rats?utm_source=api">Scryfall</a>|0|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/c/d/cd52d335-337c-4ac8-8854-15850e2da093.jpg?1739496626}
d6ff821f-d60a-497e-9809-20fd0a80594c|Explore|{1}{G}|Sorcery|||You may play an additional land this turn.<br>Draw a card.<BR><a href="https://api.scryfall.com/cards/d6ff821f-d60a-497e-9809-20fd0a80594c/rulings">Rulings</a>|Secret Lair Promo|Rare||BLUMOO|12|Finishes: nonfoil:foil:<br>FullArt: true<br><br><a href="https://scryfall.com/card/slp/12/explore?utm_source=api">Scryfall</a>|0|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/d/6/d6ff821f-d60a-497e-9809-20fd0a80594c.jpg?1748138262}
2be401fd-491c-4283-b8b6-1073431205b9|Expressive Iteration|{U}{R}|Sorcery|||Look at the top three cards of your library. Put one of them into your hand, put one of them on the bottom of your library, and exile one of them. You may play the exiled card this turn.<BR><a href="https://api.scryfall.com/cards/2be401fd-491c-4283-b8b6-1073431205b9/rulings">Rulings</a>|Secret Lair Promo|Rare||Dominik Mayer|13|Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/slp/13/expressive-iteration?utm_source=api">Scryfall</a>|0|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/2/b/2be401fd-491c-4283-b8b6-1073431205b9.jpg?1748138306}
24b2acd2-ad1a-468c-bacf-00d94f642e6d|Valakut, the Molten Pinnacle||Land|||This land enters tapped.<br>Whenever a Mountain you control enters, if you control at least five other Mountains, you may have this land deal 3 damage to any target.<br>{T}: Add {R}.<BR><a href="https://api.scryfall.com/cards/24b2acd2-ad1a-468c-bacf-00d94f642e6d/rulings">Rulings</a>|Secret Lair Promo|Rare||Graham Yarrington|14|Finishes: nonfoil:foil:<br>FullArt: true<br><br><a href="https://scryfall.com/card/slp/14/valakut-the-molten-pinnacle?utm_source=api">Scryfall</a>|0|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/2/4/24b2acd2-ad1a-468c-bacf-00d94f642e6d.jpg?1748138266}
a31d1338-3085-47c5-ac7b-6aa34b91314a|Wrenn and Six|{R}{G}|Legendary Planeswalker - Wrenn|||+1: Return up to one target land card from your graveyard to your hand.<br>−1: Wrenn and Six deals 1 damage to any target.<br>−7: You get an emblem with "Instant and sorcery cards in your graveyard have retrace." (You may cast instant and sorcery cards from your graveyard by discarding a land card in addition to paying their other costs.)<BR><a href="https://api.scryfall.com/cards/a31d1338-3085-47c5-ac7b-6aa34b91314a/rulings">Rulings</a>|Secret Lair Promo|Mythic||Ricardo Cavolo|15|Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/slp/15/wrenn-and-six?utm_source=api">Scryfall</a>|0|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/a/3/a31d1338-3085-47c5-ac7b-6aa34b91314a.jpg?1739789067}
0de4d738-e71e-49ab-b842-e7ea785450e9|Dark Ritual|{B}|Instant|||Add {B}{B}{B}.<BR><a href="https://api.scryfall.com/cards/0de4d738-e71e-49ab-b842-e7ea785450e9/rulings">Rulings</a>|Secret Lair Promo|Rare||Wizard of Barge|16|Finishes: foil:<br>FullArt: true<br><br><a href="https://scryfall.com/card/slp/16/dark-ritual?utm_source=api">Scryfall</a>|0|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/0/d/0de4d738-e71e-49ab-b842-e7ea785450e9.jpg?1767700409}
d6954d23-86a7-47ed-bad9-7f92c0edb0e4|Murktide Regent|{5}{U}{U}|Creature - Dragon|3|3|Delve (Each card you exile from your graveyard while casting this spell pays for {1}.)<br>Flying<br>This creature enters with a +1/+1 counter on it for each instant and sorcery card exiled with it.<br>Whenever an instant or sorcery card leaves your graveyard, put a +1/+1 counter on this creature.<BR><a href="https://api.scryfall.com/cards/d6954d23-86a7-47ed-bad9-7f92c0edb0e4/rulings">Rulings</a>|Secret Lair Promo|Mythic||Rowynn Ellis|17|Finishes: foil:<br>FullArt: true<br><br><a href="https://scryfall.com/card/slp/17/murktide-regent?utm_source=api">Scryfall</a>|0|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/d/6/d6954d23-86a7-47ed-bad9-7f92c0edb0e4.jpg?1724395132}
6e745659-7007-48cc-9f82-a27363068c5e|Spell Pierce|{U}|Instant|||Counter target noncreature spell unless its controller pays {2}.<BR><a href="https://api.scryfall.com/cards/6e745659-7007-48cc-9f82-a27363068c5e/rulings">Rulings</a>|Secret Lair Promo|Rare||Michael Koehler|18|Finishes: foil:<br>FullArt: true<br><br><a href="https://scryfall.com/card/slp/18/spell-pierce?utm_source=api">Scryfall</a>|0|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/6/e/6e745659-7007-48cc-9f82-a27363068c5e.jpg?1700170237}
cd165fe9-7de3-4883-a258-e397472db606|Ponder|{U}|Sorcery|||Look at the top three cards of your library, then put them back in any order. You may shuffle.<br>Draw a card.<BR><a href="https://api.scryfall.com/cards/cd165fe9-7de3-4883-a258-e397472db606/rulings">Rulings</a>|Secret Lair Promo|Rare||Jay Ryan|19|Finishes: nonfoil:foil:<br>FullArt: true<br>Promos: poster:<br><br><a href="https://scryfall.com/card/slp/19/ponder?utm_source=api">Scryfall</a>|0|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/c/d/cd165fe9-7de3-4883-a258-e397472db606.jpg?1750929919}
f74afebc-452d-42bf-8cf4-9a7a8e91e315|Swords to Plowshares|{W}|Instant|||Exile target creature. Its controller gains life equal to its power.<BR><a href="https://api.scryfall.com/cards/f74afebc-452d-42bf-8cf4-9a7a8e91e315/rulings">Rulings</a>|Secret Lair Promo|Rare||Heiko Mueller|20|Finishes: nonfoil:foil:<br>FullArt: true<br><br><a href="https://scryfall.com/card/slp/20/swords-to-plowshares?utm_source=api">Scryfall</a>|0|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/f/7/f74afebc-452d-42bf-8cf4-9a7a8e91e315.jpg?1737998923}
074d2360-3ded-412d-90b5-2b8ab209fe47|Lightning Bolt|{R}|Instant|||Lightning Bolt deals 3 damage to any target.<BR><a href="https://api.scryfall.com/cards/074d2360-3ded-412d-90b5-2b8ab209fe47/rulings">Rulings</a>|Secret Lair Promo|Rare||Toru Terada|21|Finishes: foil:<br>Promos: convention:<br><br><a href="https://scryfall.com/card/slp/21/lightning-bolt?utm_source=api">Scryfall</a>|0|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/0/7/074d2360-3ded-412d-90b5-2b8ab209fe47.jpg?1759418362}
193ece2d-f7fa-4e9c-a991-6f8116f63673|Springleaf Drum|{1}|Artifact|||{T}, Tap an untapped creature you control: Add one mana of any color.<BR><a href="https://api.scryfall.com/cards/193ece2d-f7fa-4e9c-a991-6f8116f63673/rulings">Rulings</a>|Secret Lair Promo|Rare||John F. Malta|22|Finishes: nonfoil:foil:<br>FullArt: true<br><br><a href="https://scryfall.com/card/slp/22/springleaf-drum?utm_source=api">Scryfall</a>|0|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/1/9/193ece2d-f7fa-4e9c-a991-6f8116f63673.jpg?1748861029}
