ID|NAME|COST|TYPE|POWER|TOUGHNESS|ORACLE|SET|RARITY|LANG|ARTIST|COLLNUM|TEXT|PROPERTIES
c83542de-38ca-4aad-acba-189374be37e2|Arvinox, the Mind Flail|{4}{B}{B}{B}|Legendary Enchantment Creature - Horror|9|9|Arvinox isn't a creature unless you control three or more permanents you don't own.<br>At the beginning of your end step, exile the bottom card of each opponent's library face down. For as long as those cards remain exiled, you may look at them, you may cast permanent spells from among them, and you may spend mana as though it were mana of any color to cast those spells.|Universes Within|Mythic||Nikola Matkovic|1|Finishes: nonfoil:<br>https://scryfall.com/card/slx/1/arvinox-the-mind-flail?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/c/8/c83542de-38ca-4aad-acba-189374be37e2.jpg?1732546066}
83b0b716-bcb0-4044-b64a-354e3cbbd563|Bjorna, Nightfall Alchemist|{U}{R}|Legendary Creature - Human|1|3|{T}, Sacrifice an artifact: Bjorna, Nightfall Alchemist deals 1 damage to target creature. Goad that creature. (Until your next turn, that creature attacks each combat if able and attacks a player other than you if able.)<br>Friends forever (You can have two commanders if both have friends forever.)|Universes Within|Rare||Jamroz Gary|2|Finishes: nonfoil:<br>https://scryfall.com/card/slx/2/bjorna-nightfall-alchemist?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/8/3/83b0b716-bcb0-4044-b64a-354e3cbbd563.jpg?1677763540}
a09ffd51-8ea4-40a6-b64e-58f3acfee533|Cecily, Haunted Mage|{1}{U}{B}{R}|Legendary Creature - Human Wizard|3|5|Your maximum hand size is eleven.<br>Whenever Cecily, Haunted Mage attacks, you draw a card and you lose 1 life. Then if you have eleven or more cards in your hand, you may cast an instant or sorcery spell from your hand without paying its mana cost.<br>Friends forever (You can have two commanders if both have friends forever.)|Universes Within|Rare||Anastasia Balakchina|3|Finishes: nonfoil:<br>https://scryfall.com/card/slx/3/cecily-haunted-mage?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/a/0/a09ffd51-8ea4-40a6-b64e-58f3acfee533.jpg?1677763550}
95d197b3-fc56-43a2-981f-b5b905222b5c|Elmar, Ulvenwald Informant|{1}{R}{G}|Legendary Creature - Human|3|2|Haste<br>Whenever you cast your second spell each turn, untap target creature, then investigate. (Create a colorless Clue artifact token with "{2}, Sacrifice this artifact: Draw a card.")<br>Friends forever (You can have two commanders if both have friends forever.)|Universes Within|Rare||Eliz Roxs|4|Finishes: nonfoil:<br>https://scryfall.com/card/slx/4/elmar-ulvenwald-informant?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/9/5/95d197b3-fc56-43a2-981f-b5b905222b5c.jpg?1677763561}
59e1fa94-056a-4570-97b3-17e964077965|Hargilde, Kindly Runechanter|{2}{W}{U}|Legendary Creature - Human|2|3|{T}: Add {C}{C}. Spend this mana only to cast artifact spells or activate abilities of artifacts.<br>Friends forever (You can have two commanders if both have friends forever.)|Universes Within|Rare||David Sondered|5|Finishes: nonfoil:<br>https://scryfall.com/card/slx/5/hargilde-kindly-runechanter?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/5/9/59e1fa94-056a-4570-97b3-17e964077965.jpg?1677763570}
b867fb22-4f2a-47aa-9432-1bcc5e731947|Othelm, Sigardian Outcast|{1}{G}{W}|Legendary Creature - Human|2|2|{2}, {T}: Choose target creature card in your graveyard that was put there from the battlefield this turn. Return it to the battlefield tapped.<br>Friends forever (You can have two commanders if both have friends forever.)|Universes Within|Rare||Alexey Kruglov|6|Finishes: nonfoil:<br>https://scryfall.com/card/slx/6/othelm-sigardian-outcast?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/b/8/b867fb22-4f2a-47aa-9432-1bcc5e731947.jpg?1677763581}
e0a64924-068e-483f-91a6-d450b67b3c75|Sophina, Spearsage Deserter|{2}{R}{W}|Legendary Creature - Human Soldier|4|4|Menace<br>Whenever Sophina, Spearsage Deserter attacks, investigate once for each nontoken attacking creature. (To investigate, create a Clue token. It's an artifact with "{2}, Sacrifice this artifact: Draw a card.")<br>Friends forever (You can have two commanders if both have friends forever.)|Universes Within|Rare||Bartek Fedyczak|7|Finishes: nonfoil:<br>https://scryfall.com/card/slx/7/sophina-spearsage-deserter?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/e/0/e0a64924-068e-483f-91a6-d450b67b3c75.jpg?1677763591}
39491011-bdf6-4e61-8534-fe26c1571f8f|Wernog, Rider's Chaplain|{W}{B}|Legendary Creature - Human|1|2|When Wernog, Rider's Chaplain enters or leaves the battlefield, each opponent may investigate. Each opponent who doesn't loses 1 life. You investigate X times, where X is one plus the number of opponents who investigated this way.<br>Friends forever (You can have two commanders if both have friends forever.)|Universes Within|Rare||Diego Gisbert|8|Finishes: nonfoil:<br>https://scryfall.com/card/slx/8/wernog-riders-chaplain?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/3/9/39491011-bdf6-4e61-8534-fe26c1571f8f.jpg?1677763601}
823b019e-10c0-4712-8167-d4f37a71e782|Havengul Laboratory // Havengul Mystery||Legendary Land|||{T}: Add {C}.<br>{4}, {T}: Investigate. (Create a colorless Clue artifact token with "{2}, Sacrifice this artifact: Draw a card.")<br>At the beginning of your end step, if you sacrificed three or more Clues this turn, transform Havengul Laboratory.|Universes Within|Rare||Rafater|9|Finishes: nonfoil:<br>https://scryfall.com/card/slx/9/havengul-laboratory-havengul-mystery?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/8/2/823b019e-10c0-4712-8167-d4f37a71e782.jpg?1677763621, FLIPID=-823b019e-10c0-4712-8167-d4f37a71e782}
-823b019e-10c0-4712-8167-d4f37a71e782|Havengul Laboratory // Havengul Mystery (transform)||Legendary Land|||When this land transforms into Havengul Mystery, return target creature card from your graveyard to the battlefield.<br>When the creature put onto the battlefield with Havengul Mystery leaves the battlefield, transform Havengul Mystery.<br>{T}, Pay 1 life: Add {B}.|Universes Within|Rare||Rafater|9b|Finishes: nonfoil:<br>https://scryfall.com/card/slx/9/havengul-laboratory-havengul-mystery?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/back/8/2/823b019e-10c0-4712-8167-d4f37a71e782.jpg?1677763621, FLIPID=823b019e-10c0-4712-8167-d4f37a71e782}
ef84fedd-43a9-4c42-9f8a-e8147cc5eea2|Baldin, Century Herdmaster|{4}{W}{W}|Legendary Creature - Human Warrior|0|7|During your turn, each creature assigns combat damage equal to its toughness rather than its power.<br>Whenever Baldin attacks, up to one hundred target creatures each get +0/+X until end of turn, where X is the number of cards in your hand.|Universes Within|Rare||Zoltan Boros|10|Finishes: nonfoil:<br>https://scryfall.com/card/slx/10/baldin-century-herdmaster?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/e/f/ef84fedd-43a9-4c42-9f8a-e8147cc5eea2.jpg?1677763631}
f3a9eac0-cc71-48ae-bb60-ae26160f2000|Vikya, Scorching Stalwart|{2}{W}|Legendary Creature - Human Warrior|2|4|Training (Whenever this creature attacks with another creature with greater power, put a +1/+1 counter on this creature.)<br>{4}{R}, {Q}, Discard a card: Vikya, Scorching Stalwart deals damage equal to its power to any target. If excess damage was dealt to a creature this way, draw a card. ({Q} is the untap symbol.)|Universes Within|Rare||Zoltan Boros|11|Finishes: nonfoil:<br>https://scryfall.com/card/slx/11/vikya-scorching-stalwart?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/f/3/f3a9eac0-cc71-48ae-bb60-ae26160f2000.jpg?1677763641}
093aa76d-2154-4e71-a2bf-461d1afb887b|Aisha of Sparks and Smoke|{1}{R}{R}|Legendary Creature - Human Warrior|4|2|Prowess (Whenever you cast a noncreature spell, this creature gets +1/+1 until end of turn.)<br>{R/W}: Aisha of Sparks and Smoke gains first strike until end of turn.<br>Whenever Aisha deals combat damage, you may cast a sorcery spell from your hand with mana value less than or equal to that damage without paying its mana cost.|Universes Within|Rare||Evyn Fong|12|Finishes: nonfoil:<br>https://scryfall.com/card/slx/12/aisha-of-sparks-and-smoke?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/0/9/093aa76d-2154-4e71-a2bf-461d1afb887b.jpg?1678169853}
5aa862c3-69a3-4d6c-abe8-201e1868c204|The Howling Abomination|{3}{R}{G}|Legendary Creature - Human Beast Warrior|5|5|Haste<br>The Howling Abomination has trample as long as you've cast three or more spells this turn.<br>Whenever The Howling Abomination becomes the target of a spell, it gets +2/+2 until end of turn and deals 2 damage to each opponent.|Universes Within|Rare||Helge C. Balzer|13|Finishes: nonfoil:<br>https://scryfall.com/card/slx/13/the-howling-abomination?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/5/a/5aa862c3-69a3-4d6c-abe8-201e1868c204.jpg?1677763660}
d2f60c02-55f7-4584-b68c-f23e466b3b0b|Immard, the Stormcleaver|{1}{U}{R}{W}|Legendary Creature - Human Soldier|4|4|Whenever Immard, the Stormcleaver enters or attacks, put a charge counter on it or remove one from it. When you remove a counter this way, choose one —<br>• Immard deals 4 damage to any target.<br>• Immard gains lifelink and indestructible until end of turn.|Universes Within|Rare||Kai Carpenter|14|Finishes: nonfoil:<br>https://scryfall.com/card/slx/14/immard-the-stormcleaver?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/d/2/d2f60c02-55f7-4584-b68c-f23e466b3b0b.jpg?1677763670}
86123ab7-ee60-4ef2-8467-1ad420213eb1|Maarika, Brutal Gladiator|{2}{B}{R}{G}|Legendary Creature - Human Warrior|7|4|Maarika, Brutal Gladiator must be blocked if able.<br>As long as it's your turn, Maarika has indestructible.<br>Whenever Maarika deals damage to a creature, if that creature was dealt excess damage this turn, that creature's controller sacrifices a noncreature, nonland permanent.|Universes Within|Rare||Wisnu Tan|15|Finishes: nonfoil:<br>https://scryfall.com/card/slx/15/maarika-brutal-gladiator?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/8/6/86123ab7-ee60-4ef2-8467-1ad420213eb1.jpg?1677763680}
eb79f973-2384-4de4-81fb-14ba5a0e5556|Tadeas, Juniper Ascendant|{2}{G}{W}|Legendary Creature - Human Monk|1|3|Reach<br>Tadeas has hexproof unless it's attacking.<br>Whenever a creature you control with reach attacks, untap it and it can't be blocked by creatures with greater power this combat.<br>Whenever one or more creatures you control deal combat damage to a player, draw a card.|Universes Within|Rare||Alexander Mokhov|16|Finishes: nonfoil:<br>https://scryfall.com/card/slx/16/tadeas-juniper-ascendant?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/e/b/eb79f973-2384-4de4-81fb-14ba5a0e5556.jpg?1677763690}
87b56584-8a61-40bc-99b5-7434a681fcdc|Zethi, Arcane Blademaster|{1}{W}{U}|Legendary Creature - Human Soldier|3|3|Multikicker {W/U}<br>When Zethi, Arcane Blademaster enters, exile up to X target instant cards from your graveyard, where X is the number of times Zethi was kicked. Put a kick counter on each of them.<br>Whenever Zethi attacks, copy each exiled card you own with a kick counter on it. You may cast the copies.|Universes Within|Rare||Billy Christian|17|Finishes: nonfoil:<br>https://scryfall.com/card/slx/17/zethi-arcane-blademaster?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/8/7/87b56584-8a61-40bc-99b5-7434a681fcdc.jpg?1677763701}
b7848325-c46e-4e63-90d0-c9524380eb63|Greymond, Avacyn's Stalwart|{2}{W}{W}|Legendary Creature - Human Soldier|3|4|As Greymond, Avacyn's Stalwart enters, choose two abilities from among first strike, vigilance, and lifelink.<br>Humans you control have each of the chosen abilities.<br>As long as you control four or more Humans, Humans you control get +2/+2.|Universes Within|Mythic||Bram Sels|18|Finishes: nonfoil:<br>https://scryfall.com/card/slx/18/greymond-avacyns-stalwart?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/b/7/b7848325-c46e-4e63-90d0-c9524380eb63.jpg?1692516503}
8139bb44-47e8-4076-99ed-ad3623198ad9|Gisa's Favorite Shovel|{1}{B}|Legendary Artifact - Equipment|||Equipped creature gets +2/+0 and has menace.<br>Whenever equipped creature attacks, defending player sacrifices a creature of their choice. If they do, you create a Walker token.<br>Equip {4}|Universes Within|Mythic||Svetlin Velinov|19|Finishes: nonfoil:<br>https://scryfall.com/card/slx/19/gisas-favorite-shovel?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/8/1/8139bb44-47e8-4076-99ed-ad3623198ad9.jpg?1692516731}
f7cad73d-312c-4ea5-93c7-8a422b16f207|Enkira, Hostile Scavenger|{3}{B}{G}|Legendary Creature - Human Warrior|3|3|When Enkira, Hostile Scavenger enters, create two Walker tokens. (They're 2/2 black Zombie creatures.)<br>As long as Enkira is equipped, it must be blocked if able.<br>Whenever Enkira and at least two Zombies attack, Enkira gains indestructible until end of turn.|Universes Within|Mythic||Matt Stewart|20|Finishes: nonfoil:<br>https://scryfall.com/card/slx/20/enkira-hostile-scavenger?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/f/7/f7cad73d-312c-4ea5-93c7-8a422b16f207.jpg?1692535183}
