ID|NAME|COST|TYPE|POWER|TOUGHNESS|ORACLE|SET|RARITY|LANG|ARTIST|COLLNUM|TEXT|PROPERTIES
38d3b35d-3ae7-4f41-879f-e05146112b24|Amateur Hero|{2}{W}|Creature - Human Hero|3|3|When this creature enters, you gain 2 life.|Marvel's Spider-Man Eternal|Common||Anthony Devine|1|Finishes: nonfoil:foil:<br>Promos: universesbeyond:<br><br><a href="https://scryfall.com/card/spe/1/amateur-hero?utm_source=api">Scryfall</a>|{IMAGE_URL=https://cards.scryfall.io/normal/front/3/8/38d3b35d-3ae7-4f41-879f-e05146112b24.jpg?1757376312}
ddc2386e-18a4-49f0-9c08-da870dc6f96e|Amazing Alliance|{1}{W}{W}|Enchantment|||Creatures you control get +1/+1.<br>Whenever you attack with one or more legendary creatures, you gain that much life.|Marvel's Spider-Man Eternal|Rare||Filipe Pagliuso|2|Finishes: nonfoil:foil:<br>Promos: universesbeyond:<br><br><a href="https://scryfall.com/card/spe/2/amazing-alliance?utm_source=api">Scryfall</a>|{IMAGE_URL=https://cards.scryfall.io/normal/front/d/d/ddc2386e-18a4-49f0-9c08-da870dc6f96e.jpg?1759187571}
46734558-4af4-4773-8c13-59e110bacae9|MJ, Rising Star|{2}{W}|Legendary Creature - Human Performer|2|3|Vigilance (Attacking doesn't cause this creature to tap.)<br>Whenever you gain life, put a +1/+1 counter on MJ.|Marvel's Spider-Man Eternal|Uncommon||Bachzim|3|Finishes: nonfoil:foil:<br>Promos: universesbeyond:<br><br><a href="https://scryfall.com/card/spe/3/mj-rising-star?utm_source=api">Scryfall</a>|{IMAGE_URL=https://cards.scryfall.io/normal/front/4/6/46734558-4af4-4773-8c13-59e110bacae9.jpg?1757376324}
415bf221-215b-4c9f-b995-8d31ca95adc0|Spider-Man, Peter Parker|{3}{W}{W}|Legendary Creature - Spider Human Hero|4|4|Flying (This creature can't be blocked except by creatures with flying or reach.)<br>Whenever you gain life, put a +1/+1 counter on target creature you control. It gains indestructible until end of turn. (Damage and effects that say "destroy" don't destroy it.)|Marvel's Spider-Man Eternal|Mythic||Paolo Rivera|4|Finishes: nonfoil:foil:<br>Promos: universesbeyond:<br><br><a href="https://scryfall.com/card/spe/4/spider-man-peter-parker?utm_source=api">Scryfall</a>|{IMAGE_URL=https://cards.scryfall.io/normal/front/4/1/415bf221-215b-4c9f-b995-8d31ca95adc0.jpg?1757376330}
0c28edfe-8b30-41b6-889b-c42d5eca778b|Alchemax Slayer-Bots|{2}{U}|Artifact Creature - Robot Villain|2|2|When this creature enters, tap target creature an opponent controls and put a stun counter on it. (If a permanent with a stun counter would become untapped, remove one from it instead.)|Marvel's Spider-Man Eternal|Common||Kevin Glint|5|Finishes: nonfoil:foil:<br>Promos: universesbeyond:<br><br><a href="https://scryfall.com/card/spe/5/alchemax-slayer-bots?utm_source=api">Scryfall</a>|{IMAGE_URL=https://cards.scryfall.io/normal/front/0/c/0c28edfe-8b30-41b6-889b-c42d5eca778b.jpg?1757376336}
62a8b9a4-86cd-4fb3-bda6-a044a79cc6fd|Future Flight|{2}{U}{U}|Enchantment - Aura|||Enchant creature<br>When this Aura enters, draw two cards.<br>Enchanted creature gets +2/+0 and has flying. (It can't be blocked except by creatures with flying or reach.)|Marvel's Spider-Man Eternal|Rare||Lie Setiawan|6|Finishes: nonfoil:foil:<br>Promos: universesbeyond:<br><br><a href="https://scryfall.com/card/spe/6/future-flight?utm_source=api">Scryfall</a>|{IMAGE_URL=https://cards.scryfall.io/normal/front/6/2/62a8b9a4-86cd-4fb3-bda6-a044a79cc6fd.jpg?1757376343}
26ea86d7-34f8-4358-8fdf-a18e53397755|Lyla, Holographic Assistant|{3}{U}|Legendary Artifact Creature - Illusion Advisor|2|2|Whenever you draw a card, put a +1/+1 counter on target creature.|Marvel's Spider-Man Eternal|Uncommon||Nereida|7|Finishes: nonfoil:foil:<br>Promos: universesbeyond:<br><br><a href="https://scryfall.com/card/spe/7/lyla-holographic-assistant?utm_source=api">Scryfall</a>|{IMAGE_URL=https://cards.scryfall.io/normal/front/2/6/26ea86d7-34f8-4358-8fdf-a18e53397755.jpg?1762258448}
eca05fe2-f203-4e7c-ae90-41f1f2ae94cb|Spider-Man 2099, Miguel O'Hara|{4}{U}|Legendary Creature - Spider Human Hero|4|4|When Spider-Man 2099 enters, return up to one target creature to its owner's hand.<br>Whenever one or more creatures you control deal combat damage to a player, draw a card.|Marvel's Spider-Man Eternal|Mythic||Thanh Tuấn|8|Finishes: nonfoil:foil:<br>Promos: universesbeyond:<br><br><a href="https://scryfall.com/card/spe/8/spider-man-2099-miguel-ohara?utm_source=api">Scryfall</a>|{IMAGE_URL=https://cards.scryfall.io/normal/front/e/c/eca05fe2-f203-4e7c-ae90-41f1f2ae94cb.jpg?1757376355}
5fa7a8dc-67b3-4f96-af6e-98bb0a052d92|Grendel, Spawn of Knull|{3}{B}|Legendary Creature - Symbiote Dragon Villain|3|3|Flying (This creature can't be blocked except by creatures with flying or reach.)<br>Deathtouch (Any amount of damage this deals to a creature is enough to destroy it.)|Marvel's Spider-Man Eternal|Uncommon||Steve Prescott|9|Finishes: nonfoil:foil:<br>Promos: universesbeyond:<br><br><a href="https://scryfall.com/card/spe/9/grendel-spawn-of-knull?utm_source=api">Scryfall</a>|{IMAGE_URL=https://cards.scryfall.io/normal/front/5/f/5fa7a8dc-67b3-4f96-af6e-98bb0a052d92.jpg?1757376362}
d98f0e44-f5c7-4e08-8a4a-d0280f22d132|Lethal Protection|{3}{B}|Sorcery|||Destroy target creature. Return up to one target creature card from your graveyard to your hand.|Marvel's Spider-Man Eternal|Rare||Néstor Ossandón Leal|10|Finishes: nonfoil:foil:<br>Promos: universesbeyond:<br><br><a href="https://scryfall.com/card/spe/10/lethal-protection?utm_source=api">Scryfall</a>|{IMAGE_URL=https://cards.scryfall.io/normal/front/d/9/d98f0e44-f5c7-4e08-8a4a-d0280f22d132.jpg?1757376369}
