ID|NAME|COST|TYPE|POWER|TOUGHNESS|ORACLE|SET|RARITY|LANG|ARTIST|COLLNUM|TEXT|PROPERTIES
265b1462-dd9c-42af-8ba0-e840f8a651e2|Eldrazi Scion||Token Creature - Eldrazi Scion|1|1|Sacrifice this creature: Add {C}.|Double Masters 2022 Tokens|Common||Izzy|1|Finishes: nonfoil:foil:<br>https://scryfall.com/card/t2x2/1/eldrazi-scion?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/2/6/265b1462-dd9c-42af-8ba0-e840f8a651e2.jpg?1675454928}
c672ee51-0e77-463f-8586-191b413c44dd|Spirit||Token Creature - Spirit|1|1||Double Masters 2022 Tokens|Common||Daniel Ljunggren|2|Finishes: nonfoil:foil:<br>https://scryfall.com/card/t2x2/2/spirit?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/c/6/c672ee51-0e77-463f-8586-191b413c44dd.jpg?1675454937}
31434b32-b741-4a4d-813e-7006fe7ffa3c|Angel||Token Creature - Angel|4|4|Flying, vigilance|Double Masters 2022 Tokens|Common||Grzegorz Rutkowski|3|Finishes: nonfoil:foil:<br>https://scryfall.com/card/t2x2/3/angel?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/3/1/31434b32-b741-4a4d-813e-7006fe7ffa3c.jpg?1675454944}
12feaabf-7b3e-4cef-8d45-1b9bbe2baaf6|Aven Initiate||Token Creature - Zombie Bird Warrior|3|2|Flying|Double Masters 2022 Tokens|Common||Jakub Kasper|4|Finishes: nonfoil:foil:<br>https://scryfall.com/card/t2x2/4/aven-initiate?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/1/2/12feaabf-7b3e-4cef-8d45-1b9bbe2baaf6.jpg?1675454953}
b73ee667-09a1-40b9-85e8-902d9c06adcf|Knight||Token Creature - Knight|2|2|Vigilance|Double Masters 2022 Tokens|Common||Matt Stewart|5|Finishes: nonfoil:foil:<br>https://scryfall.com/card/t2x2/5/knight?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/b/7/b73ee667-09a1-40b9-85e8-902d9c06adcf.jpg?1675454961}
8f9d16af-2b50-426f-98d2-992d97a4a150|Monk||Token Creature - Monk|1|1|Prowess|Double Masters 2022 Tokens|Common||Steven Belledin|6|Finishes: nonfoil:foil:<br>https://scryfall.com/card/t2x2/6/monk?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/8/f/8f9d16af-2b50-426f-98d2-992d97a4a150.jpg?1675454973}
17763402-d0bc-44d8-8655-ceca164cae9d|Soldier||Token Creature - Soldier|1|1||Double Masters 2022 Tokens|Common||Magali Villeneuve|7|Finishes: nonfoil:foil:<br>https://scryfall.com/card/t2x2/7/soldier?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/1/7/17763402-d0bc-44d8-8655-ceca164cae9d.jpg?1675454981}
7ebb3b03-943e-4b5a-be04-f59316b81333|Spirit||Token Creature - Spirit|1|1|Flying|Double Masters 2022 Tokens|Common||Mike Sass|8|Finishes: nonfoil:foil:<br>https://scryfall.com/card/t2x2/8/spirit?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/7/e/7ebb3b03-943e-4b5a-be04-f59316b81333.jpg?1675454988}
287a7057-ce44-4082-a3da-8c09b8a88fba|Vampire||Token Creature - Vampire|1|1|Lifelink (Damage dealt by this creature also causes you to gain that much life.)|Double Masters 2022 Tokens|Common||John Severin Brassell|9|Finishes: nonfoil:foil:<br>https://scryfall.com/card/t2x2/9/vampire?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/2/8/287a7057-ce44-4082-a3da-8c09b8a88fba.jpg?1675454996}
958a4bb3-7f76-4f8a-8af6-439b09b3ee0f|Drake||Token Creature - Drake|2|2|Flying|Double Masters 2022 Tokens|Common||Svetlin Velinov|10|Finishes: nonfoil:foil:<br>https://scryfall.com/card/t2x2/10/drake?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/9/5/958a4bb3-7f76-4f8a-8af6-439b09b3ee0f.jpg?1675455005}
