ID|NAME|COST|TYPE|POWER|TOUGHNESS|ORACLE|SET|RARITY|LANG|ARTIST|COLLNUM|TEXT|PROPERTIES
d9662108-7a01-48d4-bb5d-edcbf1ed5a0d|Astartes Warrior||Token Creature - Astartes Warrior|2|2|Vigilance|Warhammer 40,000 Tokens|Common||Dmitriy Mironov|1|Finishes: nonfoil:<br>Promos: universesbeyond:<br><br><a href="https://scryfall.com/card/t40k/1/astartes-warrior?utm_source=api">Scryfall</a>|{IMAGE_URL=https://cards.scryfall.io/normal/front/d/9/d9662108-7a01-48d4-bb5d-edcbf1ed5a0d.jpg?1675455131}
2077e1c1-744b-4379-b4ab-220642873c2d|Astartes Warrior||Token Creature - Astartes Warrior|2|2|Vigilance|Warhammer 40,000 Tokens|Common||Dmitriy Mironov|1★|Finishes: foil:<br>Promos: surgefoil:universesbeyond:<br><br><a href="https://scryfall.com/card/t40k/1%E2%98%85/astartes-warrior?utm_source=api">Scryfall</a>|{IMAGE_URL=https://cards.scryfall.io/normal/front/2/0/2077e1c1-744b-4379-b4ab-220642873c2d.jpg?1680054433}
e546fbc7-4493-46dc-89f1-88333fdc8cfa|Soldier||Token Creature - Soldier|1|1||Warhammer 40,000 Tokens|Common||Lixin Yin|2|Finishes: nonfoil:<br>Promos: universesbeyond:<br><br><a href="https://scryfall.com/card/t40k/2/soldier?utm_source=api">Scryfall</a>|{IMAGE_URL=https://cards.scryfall.io/normal/front/e/5/e546fbc7-4493-46dc-89f1-88333fdc8cfa.jpg?1675455139}
01b7b4c9-3d39-40c6-a337-33b20c6d3f57|Soldier||Token Creature - Soldier|1|1||Warhammer 40,000 Tokens|Common||Lixin Yin|2★|Finishes: foil:<br>Promos: surgefoil:universesbeyond:<br><br><a href="https://scryfall.com/card/t40k/2%E2%98%85/soldier?utm_source=api">Scryfall</a>|{IMAGE_URL=https://cards.scryfall.io/normal/front/0/1/01b7b4c9-3d39-40c6-a337-33b20c6d3f57.jpg?1680054440}
5c9295e9-222f-4e7d-91c3-84479d5ec568|Soldier||Token Creature - Soldier|1|1||Warhammer 40,000 Tokens|Common||Lixin Yin|3|Finishes: nonfoil:<br>Promos: universesbeyond:<br><br><a href="https://scryfall.com/card/t40k/3/soldier?utm_source=api">Scryfall</a>|{IMAGE_URL=https://cards.scryfall.io/normal/front/5/c/5c9295e9-222f-4e7d-91c3-84479d5ec568.jpg?1675455147}
9c3e4d0f-6dac-4994-9348-9aa427acd9b2|Soldier||Token Creature - Soldier|1|1||Warhammer 40,000 Tokens|Common||Lixin Yin|3★|Finishes: foil:<br>Promos: surgefoil:universesbeyond:<br><br><a href="https://scryfall.com/card/t40k/3%E2%98%85/soldier?utm_source=api">Scryfall</a>|{IMAGE_URL=https://cards.scryfall.io/normal/front/9/c/9c3e4d0f-6dac-4994-9348-9aa427acd9b2.jpg?1680054448}
e90ca5c1-a76a-4bc4-a223-87e8df30c6de|Soldier||Token Creature - Soldier|1|1||Warhammer 40,000 Tokens|Common||Lixin Yin|4|Finishes: nonfoil:<br>Promos: universesbeyond:<br><br><a href="https://scryfall.com/card/t40k/4/soldier?utm_source=api">Scryfall</a>|{IMAGE_URL=https://cards.scryfall.io/normal/front/e/9/e90ca5c1-a76a-4bc4-a223-87e8df30c6de.jpg?1675455155}
f633b8c5-2cd1-4599-bfce-543ca5439b41|Soldier||Token Creature - Soldier|1|1||Warhammer 40,000 Tokens|Common||Lixin Yin|4★|Finishes: foil:<br>Promos: surgefoil:universesbeyond:<br><br><a href="https://scryfall.com/card/t40k/4%E2%98%85/soldier?utm_source=api">Scryfall</a>|{IMAGE_URL=https://cards.scryfall.io/normal/front/f/6/f633b8c5-2cd1-4599-bfce-543ca5439b41.jpg?1680054455}
aa796e45-1d95-44f7-927d-0cdd2f67da78|Space Marine Devastator||Token Creature - Astartes Warrior|3|3|When Space Marine Devastator enters the battlefield, destroy up to one target artifact or enchantment.|Warhammer 40,000 Tokens|Common||Dmitriy Mironov|5|Finishes: nonfoil:<br>Promos: universesbeyond:<br><br><a href="https://scryfall.com/card/t40k/5/space-marine-devastator?utm_source=api">Scryfall</a>|{IMAGE_URL=https://cards.scryfall.io/normal/front/a/a/aa796e45-1d95-44f7-927d-0cdd2f67da78.jpg?1675455163}
f7d6c117-0924-404a-9b06-5c28b830d316|Ultramarines Honour Guard||Token Creature - Astartes Warrior|2|2|Other creatures you control get +1/+1.|Warhammer 40,000 Tokens|Common||Jake Murray|6|Finishes: nonfoil:<br>Promos: universesbeyond:<br><br><a href="https://scryfall.com/card/t40k/6/ultramarines-honour-guard?utm_source=api">Scryfall</a>|{IMAGE_URL=https://cards.scryfall.io/normal/front/f/7/f7d6c117-0924-404a-9b06-5c28b830d316.jpg?1675455171}
