ID|NAME|COST|TYPE|POWER|TOUGHNESS|ORACLE|SET|RARITY|LANG|ARTIST|COLLNUM|TEXT|PROPERTIES
-8ce300b8-ab50-4c96-ba05-30701a249230|Fish // Kraken (double_faced_token)||Token Creature - Kraken|9|9||Masters 25 Tokens|Common||Dan Murayama Scott|5★b|Finishes: nonfoil:<br>https://scryfall.com/card/ta25/5%E2%98%85/fish-kraken?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/back/8/c/8ce300b8-ab50-4c96-ba05-30701a249230.jpg?1571316178, FLIPID=8ce300b8-ab50-4c96-ba05-30701a249230}
ef264a95-afe4-4b8c-9648-e8f95bfaed2a|Spirit||Token Creature - Spirit|1|1||Masters 25 Tokens|Common||Daniel Ljunggren|1|Finishes: nonfoil:<br>https://scryfall.com/card/ta25/1/spirit?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/e/f/ef264a95-afe4-4b8c-9648-e8f95bfaed2a.jpg?1562702434}
1671013a-2c15-44f0-b4bc-057eb5f727db|Angel||Token Creature - Angel|4|4|Flying|Masters 25 Tokens|Common||Anthony Palumbo|2|Finishes: nonfoil:<br>https://scryfall.com/card/ta25/2/angel?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/1/6/1671013a-2c15-44f0-b4bc-057eb5f727db.jpg?1562701916}
227a4e23-ff87-486b-aba1-32f1d8c33592|Soldier||Token Creature - Soldier|1|1||Masters 25 Tokens|Common||Greg Staples|3|Finishes: nonfoil:<br>https://scryfall.com/card/ta25/3/soldier?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/2/2/227a4e23-ff87-486b-aba1-32f1d8c33592.jpg?1562701943}
070b2ce3-33a7-42a5-b4c2-6b0ed2bf926a|Spirit||Token Creature - Spirit|1|1|Flying|Masters 25 Tokens|Common||Ryan Yee|4|Finishes: nonfoil:<br>https://scryfall.com/card/ta25/4/spirit?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/0/7/070b2ce3-33a7-42a5-b4c2-6b0ed2bf926a.jpg?1562701881}
9badcaa0-8abb-4654-b947-b5ff254a8d19|Fish||Token Creature - Fish|3|3|When this creature dies, create a 6/6 blue Whale creature token with "When this creature dies, create a 9/9 blue Kraken creature token."|Masters 25 Tokens|Common||Dan Murayama Scott|5|Finishes: nonfoil:<br>https://scryfall.com/card/ta25/5/fish?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/9/b/9badcaa0-8abb-4654-b947-b5ff254a8d19.jpg?1569406051}
8ce300b8-ab50-4c96-ba05-30701a249230|Fish // Kraken||Token Creature - Fish|3|3|When this creature dies, create a 6/6 blue Whale creature token with "When this creature dies, create a 9/9 blue Kraken creature token."|Masters 25 Tokens|Common||Dan Murayama Scott|5★|Finishes: nonfoil:<br>https://scryfall.com/card/ta25/5%E2%98%85/fish-kraken?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/8/c/8ce300b8-ab50-4c96-ba05-30701a249230.jpg?1571316178, FLIPID=-8ce300b8-ab50-4c96-ba05-30701a249230}
622397a1-6513-44b9-928a-388be06d4022|Kraken||Token Creature - Kraken|9|9||Masters 25 Tokens|Common||Dan Murayama Scott|6|Finishes: nonfoil:<br>https://scryfall.com/card/ta25/6/kraken?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/6/2/622397a1-6513-44b9-928a-388be06d4022.jpg?1562702085}
ab3331a0-5840-439d-9553-d4489c343f21|Whale||Token Creature - Whale|6|6|When this creature dies, create a 9/9 blue Kraken creature token.|Masters 25 Tokens|Common||Dan Murayama Scott|7|Finishes: nonfoil:<br>https://scryfall.com/card/ta25/7/whale?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/a/b/ab3331a0-5840-439d-9553-d4489c343f21.jpg?1562702249}
1abb1ab0-f8f4-44e8-b8a7-df37a8782e76|Skeleton||Token Creature - Skeleton|1|1|{B}: Regenerate this creature.|Masters 25 Tokens|Common||Thomas M. Baxa|8|Finishes: nonfoil:<br>https://scryfall.com/card/ta25/8/skeleton?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/1/a/1abb1ab0-f8f4-44e8-b8a7-df37a8782e76.jpg?1562701922}
