ID|NAME|COST|TYPE|POWER|TOUGHNESS|ORACLE|SET|RARITY|LANG|ARTIST|COLLNUM|TEXT|PROPERTIES
scry_5f01ffb6-8932-448e-b4f4-b71eb041bc6f|Angel||Token Creature - Angel|4|4|Flying|Forgotten Realms Commander Tokens|Common||Magali Villeneuve|1|Finishes: nonfoil:<br>https://scryfall.com/card/tafc/1/angel?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/5/f/5f01ffb6-8932-448e-b4f4-b71eb041bc6f.jpg?1641306322}
scry_26b128a3-1bb5-4bd7-a8c6-d33d5bf130aa|Knight||Token Creature - Knight|2|2|Vigilance|Forgotten Realms Commander Tokens|Common||Dan Murayama Scott|2|Finishes: nonfoil:<br>https://scryfall.com/card/tafc/2/knight?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/2/6/26b128a3-1bb5-4bd7-a8c6-d33d5bf130aa.jpg?1641306323}
scry_42a6bc0b-e76d-4c45-b39d-0186d9bc9c42|Illusion||Token Creature - Illusion|1|1|This creature gets +1/+0 for each other Illusion you control.|Forgotten Realms Commander Tokens|Common||Ilse Gort|3|Finishes: nonfoil:<br>https://scryfall.com/card/tafc/3/illusion?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/4/2/42a6bc0b-e76d-4c45-b39d-0186d9bc9c42.jpg?1641306328}
scry_aba3f11a-1be0-4915-8aec-225fa59eddce|Champion of Wits||Token Creature - Zombie Naga Wizard|4|4|When Champion of Wits enters the battlefield, you may draw cards equal to its power. If you do, discard two cards.|Forgotten Realms Commander Tokens|Common||Even Amundsen|4|Finishes: nonfoil:<br>https://scryfall.com/card/tafc/4/champion-of-wits?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/a/b/aba3f11a-1be0-4915-8aec-225fa59eddce.jpg?1746945732}
scry_209d3f3e-a41e-4d9b-a9bd-50d11e89b5ea|Rat||Token Creature - Rat|1|1||Forgotten Realms Commander Tokens|Common||Mike Bierek|5|Finishes: nonfoil:<br>https://scryfall.com/card/tafc/5/rat?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/2/0/209d3f3e-a41e-4d9b-a9bd-50d11e89b5ea.jpg?1641306327}
scry_c00df96e-38bf-4ecd-b362-ac2d0568e371|Dragon||Token Creature - Dragon|5|5|Flying|Forgotten Realms Commander Tokens|Common||Alex Konstad|6|Finishes: nonfoil:<br>https://scryfall.com/card/tafc/6/dragon?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/c/0/c00df96e-38bf-4ecd-b362-ac2d0568e371.jpg?1641306333}
scry_f5298f77-162b-4a02-9f8d-51ba8b600219|Beast||Token Creature - Beast|3|3||Forgotten Realms Commander Tokens|Common||John Donahue|7|Finishes: nonfoil:<br>https://scryfall.com/card/tafc/7/beast?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/f/5/f5298f77-162b-4a02-9f8d-51ba8b600219.jpg?1641306332}
scry_dab779fa-e30a-417c-9303-9cbf2d1fb559|Saproling||Token Creature - Saproling|1|1||Forgotten Realms Commander Tokens|Common||Mike Burns|8|Finishes: nonfoil:<br>https://scryfall.com/card/tafc/8/saproling?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/d/a/dab779fa-e30a-417c-9303-9cbf2d1fb559.jpg?1641306334}
scry_b997ace9-ea21-437c-b9cd-128d02f58fa7|Dragon Spirit||Token Creature - Dragon Spirit|5|4|When this creature deals damage, sacrifice it.|Forgotten Realms Commander Tokens|Common||Milivoj Ćeran|9|Finishes: nonfoil:<br>https://scryfall.com/card/tafc/9/dragon-spirit?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/b/9/b997ace9-ea21-437c-b9cd-128d02f58fa7.jpg?1641306337}
scry_267c4604-0366-471b-bad0-4e666d45310f|Clue||Token Artifact - Clue|||{2}, Sacrifice this token: Draw a card.|Forgotten Realms Commander Tokens|Common||Raoul Vitale|10|Finishes: nonfoil:<br>https://scryfall.com/card/tafc/10/clue?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/2/6/267c4604-0366-471b-bad0-4e666d45310f.jpg?1641306339}
scry_5bdec720-114c-4c27-9d27-911e3c6e635e|Servo||Token Artifact Creature - Servo|1|1||Forgotten Realms Commander Tokens|Common||Igor Kieryluk|11|Finishes: nonfoil:<br>https://scryfall.com/card/tafc/11/servo?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/5/b/5bdec720-114c-4c27-9d27-911e3c6e635e.jpg?1641306340}
scry_0b7388df-6f76-4e96-9a28-62c8c0e6c9d4|Thopter||Token Artifact Creature - Thopter|1|1|Flying|Forgotten Realms Commander Tokens|Common||Richard Wright|12|Finishes: nonfoil:<br>https://scryfall.com/card/tafc/12/thopter?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/0/b/0b7388df-6f76-4e96-9a28-62c8c0e6c9d4.jpg?1641306344}
scry_965970a4-50ca-4b8b-9589-b48713f27fc1|The Monarch||Card|||At the beginning of your end step, draw a card.<br>Whenever a creature deals combat damage to you, its controller becomes the monarch.|Forgotten Realms Commander Tokens|Common||Volkan Baǵa|13|Finishes: nonfoil:<br>https://scryfall.com/card/tafc/13/the-monarch?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/9/6/965970a4-50ca-4b8b-9589-b48713f27fc1.jpg?1641306346}
