ID|NAME|COST|TYPE|POWER|TOUGHNESS|ORACLE|SET|RARITY|LANG|ARTIST|COLLNUM|TEXT|PROPERTIES
scry_30ff04d5-ecaf-4be2-94f4-d5409f1c1e4e|Eldrazi||Token Creature - Eldrazi|10|10||Battle for Zendikar Tokens|Common||Jack Wang|1|Finishes: nonfoil:<br>Promos: setpromo:<br>https://scryfall.com/card/tbfz/1/eldrazi?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/3/0/30ff04d5-ecaf-4be2-94f4-d5409f1c1e4e.jpg?1562639735}
scry_b999a0fe-d2d0-4367-9abb-6ce5f3764f19|Eldrazi Scion||Token Creature - Eldrazi Scion|1|1|Sacrifice this creature: Add {C}.|Battle for Zendikar Tokens|Common||Izzy|2|Finishes: nonfoil:<br>Promos: setpromo:<br>https://scryfall.com/card/tbfz/2/eldrazi-scion?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/b/9/b999a0fe-d2d0-4367-9abb-6ce5f3764f19.jpg?1562640005}
scry_abcdf03d-d237-4ceb-91fa-8f95341af369|Eldrazi Scion||Token Creature - Eldrazi Scion|1|1|Sacrifice this creature: Add {C}.|Battle for Zendikar Tokens|Common||Winona Nelson|3|Finishes: nonfoil:<br>Promos: setpromo:<br>https://scryfall.com/card/tbfz/3/eldrazi-scion?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/a/b/abcdf03d-d237-4ceb-91fa-8f95341af369.jpg?1562639975}
scry_5a5c74d5-b219-4514-8fd6-62705459422c|Eldrazi Scion||Token Creature - Eldrazi Scion|1|1|Sacrifice this creature: Add {C}.|Battle for Zendikar Tokens|Common||Svetlin Velinov|4|Finishes: nonfoil:<br>Promos: setpromo:<br>https://scryfall.com/card/tbfz/4/eldrazi-scion?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/5/a/5a5c74d5-b219-4514-8fd6-62705459422c.jpg?1562639818}
scry_0419a202-6e32-4f0a-a032-72f6c00cae5e|Knight Ally||Token Creature - Knight Ally|2|2||Battle for Zendikar Tokens|Common||Josu Hernaiz|5|Finishes: nonfoil:<br>Promos: setpromo:<br>https://scryfall.com/card/tbfz/5/knight-ally?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/0/4/0419a202-6e32-4f0a-a032-72f6c00cae5e.jpg?1562639654}
scry_be224180-a482-4b94-8a9d-3a92ee0eb34b|Kor Ally||Token Creature - Kor Ally|1|1||Battle for Zendikar Tokens|Common||Jeremy Wilson|6|Finishes: nonfoil:<br>Promos: setpromo:<br>https://scryfall.com/card/tbfz/6/kor-ally?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/b/e/be224180-a482-4b94-8a9d-3a92ee0eb34b.jpg?1562640020}
scry_19ac0a35-fae7-49f9-ae96-4406df992dc9|Octopus||Token Creature - Octopus|8|8||Battle for Zendikar Tokens|Common||Craig J Spearing|7|Finishes: nonfoil:<br>Promos: setpromo:<br>https://scryfall.com/card/tbfz/7/octopus?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/1/9/19ac0a35-fae7-49f9-ae96-4406df992dc9.jpg?1562639696}
scry_e8e4b631-7374-4503-aa66-2a45a41972d3|Dragon||Token Creature - Dragon|5|5|Flying|Battle for Zendikar Tokens|Common||Raymond Swanland|8|Finishes: nonfoil:<br>Promos: setpromo:<br>https://scryfall.com/card/tbfz/8/dragon?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/e/8/e8e4b631-7374-4503-aa66-2a45a41972d3.jpg?1562640115}
scry_10cb10f5-e22a-4ccd-a1b0-c6f245b15f64|Elemental||Token Creature - Elemental|3|1|Trample, haste|Battle for Zendikar Tokens|Common||Victor Adame Minguez|9|Finishes: nonfoil:<br>Promos: setpromo:<br>https://scryfall.com/card/tbfz/9/elemental?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/1/0/10cb10f5-e22a-4ccd-a1b0-c6f245b15f64.jpg?1562639678}
scry_10a63c10-9bf9-4e0f-831c-830d7994a62a|Plant||Token Creature - Plant|1|1||Battle for Zendikar Tokens|Common||Sam Burley|10|Finishes: nonfoil:<br>Promos: setpromo:<br>https://scryfall.com/card/tbfz/10/plant?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/1/0/10a63c10-9bf9-4e0f-831c-830d7994a62a.jpg?1562639676}
