ID|NAME|COST|TYPE|POWER|TOUGHNESS|ORACLE|SET|RARITY|LANG|ARTIST|COLLNUM|TEXT|GATHERERID|TCGID|PROPERTIES
db388be3-ff31-4415-bc4b-de62f7223b1f|Copy||Token|||(This token can be used to represent a token that's a copy of a permanent.)<BR><a href="https://api.scryfall.com/cards/db388be3-ff31-4415-bc4b-de62f7223b1f/rulings">Rulings</a>|Bloomburrow Commander Tokens|Common||David Palumbo|1|Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/tblc/1/copy?utm_source=api">Scryfall</a>|0|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/d/b/db388be3-ff31-4415-bc4b-de62f7223b1f.jpg?1721161180}
5658b0e1-2c8e-4901-a478-f2a50ced40af|Eldrazi||Token Creature - Eldrazi|10|10|<BR><a href="https://api.scryfall.com/cards/5658b0e1-2c8e-4901-a478-f2a50ced40af/rulings">Rulings</a>|Bloomburrow Commander Tokens|Common||Jack Wang|2|Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/tblc/2/eldrazi?utm_source=api">Scryfall</a>|0|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/5/6/5658b0e1-2c8e-4901-a478-f2a50ced40af.jpg?1721426872}
72328455-560b-4ead-98bb-3c71b1e8baac|Bird||Token Creature - Bird|1|1|Flying<BR><a href="https://api.scryfall.com/cards/72328455-560b-4ead-98bb-3c71b1e8baac/rulings">Rulings</a>|Bloomburrow Commander Tokens|Common||Allen Douglas|3|Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/tblc/3/bird?utm_source=api">Scryfall</a>|0|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/7/2/72328455-560b-4ead-98bb-3c71b1e8baac.jpg?1721426913}
6c6c62a5-dd1d-4d37-a2da-6e4e6b5bec40|Elemental||Token Creature - Elemental|4|4|Flying<BR><a href="https://api.scryfall.com/cards/6c6c62a5-dd1d-4d37-a2da-6e4e6b5bec40/rulings">Rulings</a>|Bloomburrow Commander Tokens|Common||Svetlin Velinov|4|Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/tblc/4/elemental?utm_source=api">Scryfall</a>|0|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/6/c/6c6c62a5-dd1d-4d37-a2da-6e4e6b5bec40.jpg?1721426949}
3805aa7a-6384-45e0-868c-01265822c078|Goat||Token Creature - Goat|0|1|<BR><a href="https://api.scryfall.com/cards/3805aa7a-6384-45e0-868c-01265822c078/rulings">Rulings</a>|Bloomburrow Commander Tokens|Common||Forrest Imel|5|Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/tblc/5/goat?utm_source=api">Scryfall</a>|0|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/3/8/3805aa7a-6384-45e0-868c-01265822c078.jpg?1721426987}
602f3817-fde4-4982-822d-0a2953561118|Human||Token Creature - Human|1|1|<BR><a href="https://api.scryfall.com/cards/602f3817-fde4-4982-822d-0a2953561118/rulings">Rulings</a>|Bloomburrow Commander Tokens|Common||Ben Maier|6|Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/tblc/6/human?utm_source=api">Scryfall</a>|0|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/6/0/602f3817-fde4-4982-822d-0a2953561118.jpg?1721427027}
48703f7a-98af-4cf1-9782-4f344eeb2066|Human Soldier||Token Creature - Human Soldier|1|1|<BR><a href="https://api.scryfall.com/cards/48703f7a-98af-4cf1-9782-4f344eeb2066/rulings">Rulings</a>|Bloomburrow Commander Tokens|Common||Eric Deschamps|7|Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/tblc/7/human-soldier?utm_source=api">Scryfall</a>|0|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/4/8/48703f7a-98af-4cf1-9782-4f344eeb2066.jpg?1721427050}
10da848f-7f50-4bc4-b13e-a58acf3516e8|Soldier||Token Creature - Soldier|1|1|<BR><a href="https://api.scryfall.com/cards/10da848f-7f50-4bc4-b13e-a58acf3516e8/rulings">Rulings</a>|Bloomburrow Commander Tokens|Common||Jakub Kasper|8|Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/tblc/8/soldier?utm_source=api">Scryfall</a>|0|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/1/0/10da848f-7f50-4bc4-b13e-a58acf3516e8.jpg?1721427112}
5e981782-d6ca-4d84-a69c-7571df51e9f3|Spirit||Token Creature - Spirit|1|1|Flying<BR><a href="https://api.scryfall.com/cards/5e981782-d6ca-4d84-a69c-7571df51e9f3/rulings">Rulings</a>|Bloomburrow Commander Tokens|Common||Jason A. Engle|9|Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/tblc/9/spirit?utm_source=api">Scryfall</a>|0|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/5/e/5e981782-d6ca-4d84-a69c-7571df51e9f3.jpg?1721427142}
e3d40cb6-e227-40bc-9f6f-baa67e4edcec|Steelburr Champion|{2}{W}|Token Creature - Mouse Soldier|1|1|Vigilance<br>Whenever an opponent casts a noncreature spell, put a +1/+1 counter on this creature. (This token's mana cost is {2}{W}.)<BR><a href="https://api.scryfall.com/cards/e3d40cb6-e227-40bc-9f6f-baa67e4edcec/rulings">Rulings</a>|Bloomburrow Commander Tokens|Common||Josiah "Jo" Cameron|10|Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/tblc/10/steelburr-champion?utm_source=api">Scryfall</a>|0|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/e/3/e3d40cb6-e227-40bc-9f6f-baa67e4edcec.jpg?1721427177}
e0796ccd-b8ba-49c9-b76b-4fce55c242dc|Bird||Token Creature - Bird|2|2|Flying<BR><a href="https://api.scryfall.com/cards/e0796ccd-b8ba-49c9-b76b-4fce55c242dc/rulings">Rulings</a>|Bloomburrow Commander Tokens|Common||Tuan Duong Chu|11|Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/tblc/11/bird?utm_source=api">Scryfall</a>|0|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/e/0/e0796ccd-b8ba-49c9-b76b-4fce55c242dc.jpg?1721427206}
7561a5dd-56a3-41ee-a342-f7088930df0b|Faerie||Token Creature - Faerie|1|1|Flying<BR><a href="https://api.scryfall.com/cards/7561a5dd-56a3-41ee-a342-f7088930df0b/rulings">Rulings</a>|Bloomburrow Commander Tokens|Common||Irina Nordsol|12|Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/tblc/12/faerie?utm_source=api">Scryfall</a>|0|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/7/5/7561a5dd-56a3-41ee-a342-f7088930df0b.jpg?1721427235}
13374c5a-d39d-40c8-b9eb-c283dbad2cb9|Illusion||Token Creature - Illusion|*|*|<BR><a href="https://api.scryfall.com/cards/13374c5a-d39d-40c8-b9eb-c283dbad2cb9/rulings">Rulings</a>|Bloomburrow Commander Tokens|Common||Jason A. Engle|13|Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/tblc/13/illusion?utm_source=api">Scryfall</a>|0|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/1/3/13374c5a-d39d-40c8-b9eb-c283dbad2cb9.jpg?1721427259}
