ID|NAME|COST|TYPE|POWER|TOUGHNESS|ORACLE|SET|RARITY|LANG|ARTIST|COLLNUM|TEXT|PROPERTIES
43ec2f4d-d988-49a8-b2ac-598703fe8b26|Copy||Token|||(This token can be used to represent a token that's a copy of a permanent.)|The Brothers' War Commander Tokens|Common||David Palumbo|1|Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/tbrc/1/copy?utm_source=api">Scryfall</a>|{IMAGE_URL=https://cards.scryfall.io/normal/front/4/3/43ec2f4d-d988-49a8-b2ac-598703fe8b26.jpg?1675456346}
e0747a00-b43a-45de-947f-76d414159f92|Eldrazi||Token Creature - Eldrazi|10|10||The Brothers' War Commander Tokens|Common||Jack Wang|2|Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/tbrc/2/eldrazi?utm_source=api">Scryfall</a>|{IMAGE_URL=https://cards.scryfall.io/normal/front/e/0/e0747a00-b43a-45de-947f-76d414159f92.jpg?1675456364}
7fc777ba-4380-4d9d-8a0d-88e3213107cf|Goat||Token Creature - Goat|0|1||The Brothers' War Commander Tokens|Common||Forrest Imel|3|Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/tbrc/3/goat?utm_source=api">Scryfall</a>|{IMAGE_URL=https://cards.scryfall.io/normal/front/7/f/7fc777ba-4380-4d9d-8a0d-88e3213107cf.jpg?1675456372}
f1c9e102-7abb-4b72-867f-3aa2f51f6f77|Faerie||Token Creature - Faerie|1|1|Flying|The Brothers' War Commander Tokens|Common||Irina Nordsol|4|Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/tbrc/4/faerie?utm_source=api">Scryfall</a>|{IMAGE_URL=https://cards.scryfall.io/normal/front/f/1/f1c9e102-7abb-4b72-867f-3aa2f51f6f77.jpg?1675456379}
59d1db83-674d-4389-837d-564ee7ed07af|Phyrexian Myr||Token Artifact Creature - Phyrexian Myr|2|1||The Brothers' War Commander Tokens|Common||Daarken|5|Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/tbrc/5/phyrexian-myr?utm_source=api">Scryfall</a>|{IMAGE_URL=https://cards.scryfall.io/normal/front/5/9/59d1db83-674d-4389-837d-564ee7ed07af.jpg?1675456387}
cef0352e-f879-44f1-ac24-71bab8fbf6d5|Thopter||Token Artifact Creature - Thopter|1|1|Flying|The Brothers' War Commander Tokens|Common||Andrew Murray|6|Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/tbrc/6/thopter?utm_source=api">Scryfall</a>|{IMAGE_URL=https://cards.scryfall.io/normal/front/c/e/cef0352e-f879-44f1-ac24-71bab8fbf6d5.jpg?1675456395}
f602f9b0-a492-483f-9326-a06a0a63d047|Inkling||Token Creature - Inkling|2|1|Flying|The Brothers' War Commander Tokens|Common||Scott Murphy|7|Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/tbrc/7/inkling?utm_source=api">Scryfall</a>|{IMAGE_URL=https://cards.scryfall.io/normal/front/f/6/f602f9b0-a492-483f-9326-a06a0a63d047.jpg?1675456402}
35dd4d3f-ac03-4bf0-bae2-ad44f61578a8|Construct||Token Artifact Creature - Construct|1|1||The Brothers' War Commander Tokens|Common||Jokubas Uogintas|8|Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/tbrc/8/construct?utm_source=api">Scryfall</a>|{IMAGE_URL=https://cards.scryfall.io/normal/front/3/5/35dd4d3f-ac03-4bf0-bae2-ad44f61578a8.jpg?1757430349}
287ccbc9-2ffa-4fb3-97d8-2bd469c9411a|Mishra's Warform||Token Artifact Creature - Construct|4|4|(This token has the abilities and other types of the copied artifact.)|The Brothers' War Commander Tokens|Common||Tyler Walpole|9|Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/tbrc/9/mishras-warform?utm_source=api">Scryfall</a>|{IMAGE_URL=https://cards.scryfall.io/normal/front/2/8/287ccbc9-2ffa-4fb3-97d8-2bd469c9411a.jpg?1675456418}
43b8035b-3e3e-44bb-bfef-4c5474fcc7d8|Myr||Token Artifact Creature - Myr|1|1||The Brothers' War Commander Tokens|Common||Ryan Pancoast|10|Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/tbrc/10/myr?utm_source=api">Scryfall</a>|{IMAGE_URL=https://cards.scryfall.io/normal/front/4/3/43b8035b-3e3e-44bb-bfef-4c5474fcc7d8.jpg?1675456427}
