ID|NAME|COST|TYPE|POWER|TOUGHNESS|ORACLE|SET|RARITY|LANG|ARTIST|COLLNUM|TEXT|PROPERTIES
349e3241-8f9d-4c52-9848-e01b575fd372|Spirit||Token Creature - Spirit|2|2|Vigilance<br>Whenever you draw a card, put a +1/+1 counter on this creature.|The Brothers' War Tokens|Common||Tony Foti|1|Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/tbro/1/spirit?utm_source=api">Scryfall</a>|{IMAGE_URL=https://cards.scryfall.io/normal/front/3/4/349e3241-8f9d-4c52-9848-e01b575fd372.jpg?1675455446}
772dac39-269b-4a35-aad3-320279af833f|Bear||Token Creature - Bear|2|2||The Brothers' War Tokens|Common||Alexandre Honoré|2|Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/tbro/2/bear?utm_source=api">Scryfall</a>|{IMAGE_URL=https://cards.scryfall.io/normal/front/7/7/772dac39-269b-4a35-aad3-320279af833f.jpg?1675455454}
74de70f2-93b6-4fc5-8c4d-464f880d3c54|Forest Dryad||Token Land Creature - Forest Dryad|1|1|(This creature is affected by summoning sickness, and it has "{T}: Add {G}.")|The Brothers' War Tokens|Common||Donato Giancola|3|Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/tbro/3/forest-dryad?utm_source=api">Scryfall</a>|{IMAGE_URL=https://cards.scryfall.io/normal/front/7/4/74de70f2-93b6-4fc5-8c4d-464f880d3c54.jpg?1730838400}
087ab398-474f-4455-bef4-ea42c6913486|Construct||Token Artifact Creature - Construct|2|2||The Brothers' War Tokens|Common||Deruchenko Alexander|4|Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/tbro/4/construct?utm_source=api">Scryfall</a>|{IMAGE_URL=https://cards.scryfall.io/normal/front/0/8/087ab398-474f-4455-bef4-ea42c6913486.jpg?1675455468}
914fecab-24c0-4179-84d6-ded78c29134f|Construct||Token Artifact Creature - Construct|0|0|This creature gets +1/+1 for each artifact you control.|The Brothers' War Tokens|Common||Scott Murphy|5|Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/tbro/5/construct?utm_source=api">Scryfall</a>|{IMAGE_URL=https://cards.scryfall.io/normal/front/9/1/914fecab-24c0-4179-84d6-ded78c29134f.jpg?1675455476}
474c8cfe-71ce-46c7-8cf4-dfeae3c0e73b|Golem||Token Artifact Creature - Golem|*|*||The Brothers' War Tokens|Common||Olivier Bernard|6|Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/tbro/6/golem?utm_source=api">Scryfall</a>|{IMAGE_URL=https://cards.scryfall.io/normal/front/4/7/474c8cfe-71ce-46c7-8cf4-dfeae3c0e73b.jpg?1675455483}
d45fe4b6-aeaf-4f84-b660-c7b482ed8512|Powerstone||Token Artifact - Powerstone|||{T}: Add {C}. This mana can't be spent to cast a nonartifact spell.|The Brothers' War Tokens|Common||Karl Kopinski|7|Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/tbro/7/powerstone?utm_source=api">Scryfall</a>|{IMAGE_URL=https://cards.scryfall.io/normal/front/d/4/d45fe4b6-aeaf-4f84-b660-c7b482ed8512.jpg?1685189438}
37da5b54-ec55-46e3-9f0b-565cbbe1ac7a|Soldier||Token Artifact Creature - Soldier|1|1||The Brothers' War Tokens|Common||Gabor Szikszai|8|Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/tbro/8/soldier?utm_source=api">Scryfall</a>|{IMAGE_URL=https://cards.scryfall.io/normal/front/3/7/37da5b54-ec55-46e3-9f0b-565cbbe1ac7a.jpg?1675455498}
83981313-ff55-4030-ac82-d6a3087cf675|Soldier||Token Artifact Creature - Soldier|1|1||The Brothers' War Tokens|Common||Kev Walker|9|Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/tbro/9/soldier?utm_source=api">Scryfall</a>|{IMAGE_URL=https://cards.scryfall.io/normal/front/8/3/83981313-ff55-4030-ac82-d6a3087cf675.jpg?1675455506}
4501d15d-d306-4372-9516-bd63cf788f45|Thopter||Token Artifact Creature - Thopter|1|1|Flying|The Brothers' War Tokens|Common||Samuel Perin|10|Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/tbro/10/thopter?utm_source=api">Scryfall</a>|{IMAGE_URL=https://cards.scryfall.io/normal/front/4/5/4501d15d-d306-4372-9516-bd63cf788f45.jpg?1675455514}
fef47d03-9050-48ed-994f-f72582967dbd|Zombie||Token Artifact Creature - Zombie|3|3||The Brothers' War Tokens|Common||Kieran Yanner|11|Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/tbro/11/zombie?utm_source=api">Scryfall</a>|{IMAGE_URL=https://cards.scryfall.io/normal/front/f/e/fef47d03-9050-48ed-994f-f72582967dbd.jpg?1675455521}
9020571d-97fb-4f46-85ec-6cb3141bfc87|Saheeli, Filigree Master Emblem||Emblem|||Artifact creatures you control get +1/+1.<br>Artifact spells you cast cost {1} less to cast.|The Brothers' War Tokens|Common||Aurore Folny|12|Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/tbro/12/saheeli-filigree-master-emblem?utm_source=api">Scryfall</a>|{IMAGE_URL=https://cards.scryfall.io/normal/front/9/0/9020571d-97fb-4f46-85ec-6cb3141bfc87.jpg?1675455528}
