ID|NAME|COST|TYPE|POWER|TOUGHNESS|ORACLE|SET|RARITY|LANG|ARTIST|COLLNUM|TEXT|PROPERTIES
3d2f2bcc-0db9-4aa1-b63d-587c62468015|Minotaur Goreseeker||Creature - Minotaur|3|2|Haste<br>Minotaur Goreseeker attacks each turn if able.|Battle the Horde|Common||Wayne Reynolds|1|Finishes: nonfoil:<br>Promos: instore:<br>https://scryfall.com/card/tbth/1/minotaur-goreseeker?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/3/d/3d2f2bcc-0db9-4aa1-b63d-587c62468015.jpg?1734674514}
2c8e22f9-6b70-425c-a0a8-09b6101a286e|Minotaur Younghorn||Creature - Minotaur|2|2|Haste<br>Minotaur Younghorn attacks each turn if able.|Battle the Horde|Common||Scott Murphy|2|Finishes: nonfoil:<br>Promos: instore:<br>https://scryfall.com/card/tbth/2/minotaur-younghorn?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/2/c/2c8e22f9-6b70-425c-a0a8-09b6101a286e.jpg?1734674516}
553ae9d2-3807-4ca8-a575-7fa6667ee212|Mogis's Chosen||Creature - Minotaur|5|4|Mogis's Chosen enters the battlefield tapped.<br>Mogis's Chosen attacks each turn if able.|Battle the Horde|Common||Lars Grant-West|3|Finishes: nonfoil:<br>Promos: instore:<br>https://scryfall.com/card/tbth/3/mogiss-chosen?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/5/5/553ae9d2-3807-4ca8-a575-7fa6667ee212.jpg?1734674518}
1eda2434-523d-4e9c-a8f1-acbee5c87aac|Phoberos Reaver||Creature - Minotaur|2|3|Haste<br>Phoberos Reaver attacks each turn if able.|Battle the Horde|Common||Michael Komarck|4|Finishes: nonfoil:<br>Promos: instore:<br>https://scryfall.com/card/tbth/4/phoberos-reaver?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/1/e/1eda2434-523d-4e9c-a8f1-acbee5c87aac.jpg?1734674522}
938272b2-8e1c-4196-8557-c597735dd96e|Reckless Minotaur||Creature - Minotaur|4|1|Haste<br>Reckless Minotaur attacks each turn if able.<br>At the beginning of the end step, destroy Reckless Minotaur.|Battle the Horde|Common||Carl Critchlow|5|Finishes: nonfoil:<br>Promos: instore:<br>https://scryfall.com/card/tbth/5/reckless-minotaur?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/9/3/938272b2-8e1c-4196-8557-c597735dd96e.jpg?1734674527}
7e5d19fa-0f12-41cb-90a8-c027edbc893b|Consuming Rage||Sorcery|||Whenever a Minotaur attacks this turn, it gets +2/+0 until end of turn. Destroy that creature at end of combat.|Battle the Horde|Common||Svetlin Velinov|6|Finishes: nonfoil:<br>Promos: instore:<br>https://scryfall.com/card/tbth/6/consuming-rage?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/7/e/7e5d19fa-0f12-41cb-90a8-c027edbc893b.jpg?1562639885}
95e0a522-2395-438a-83bc-ea092e4286c3|Descend on the Prey||Sorcery|||Whenever a Minotaur attacks this turn, it gains first strike until end of turn and must be blocked this turn if able.|Battle the Horde|Common||Zoltan Boros|7|Finishes: nonfoil:<br>Promos: instore:<br>https://scryfall.com/card/tbth/7/descend-on-the-prey?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/9/5/95e0a522-2395-438a-83bc-ea092e4286c3.jpg?1562639935}
661e8959-4c63-439b-8cbf-837f84ad3e57|Intervention of Keranos||Sorcery|||At the beginning of combat this turn, Intervention of Keranos deals 3 damage to each creature.|Battle the Horde|Common||Dan Murayama Scott|8|Finishes: nonfoil:<br>Promos: instore:<br>https://scryfall.com/card/tbth/8/intervention-of-keranos?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/6/6/661e8959-4c63-439b-8cbf-837f84ad3e57.jpg?1562639836}
c58bacd4-e84b-4c73-802f-5f65e5c94a46|Touch of the Horned God||Sorcery|||Whenever a Minotaur attacks this turn, it gains deathtouch until end of turn.|Battle the Horde|Common||Svetlin Velinov|9|Finishes: nonfoil:<br>Promos: instore:<br>https://scryfall.com/card/tbth/9/touch-of-the-horned-god?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/c/5/c58bacd4-e84b-4c73-802f-5f65e5c94a46.jpg?1562640033}
d4d98fc6-da00-4d65-9469-9d2c5b111f2e|Unquenchable Fury||Sorcery|||Each Minotaur can't be blocked this turn except by two or more creatures.|Battle the Horde|Common||Jason Rainville|10|Finishes: nonfoil:<br>Promos: instore:<br>https://scryfall.com/card/tbth/10/unquenchable-fury?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/d/4/d4d98fc6-da00-4d65-9469-9d2c5b111f2e.jpg?1644254317}
