ID|NAME|COST|TYPE|POWER|TOUGHNESS|ORACLE|SET|RARITY|LANG|ARTIST|COLLNUM|TEXT|GATHERERID|TCGID|PROPERTIES
d3fdde92-dc2c-4ed0-b092-926ef9c091ad|Bird||Token Creature - Bird|1|1|Flying<BR><a href="https://api.scryfall.com/cards/d3fdde92-dc2c-4ed0-b092-926ef9c091ad/rulings">Rulings</a>|Dominaria Remastered Tokens|Common||Allen Douglas|1|Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/tdmr/1/bird?utm_source=api">Scryfall</a>|0|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/d/3/d3fdde92-dc2c-4ed0-b092-926ef9c091ad.jpg?1675198602}
caeea28b-c11b-4fa0-a64c-637bc58171cc|Griffin||Token Creature - Griffin|2|2|Flying<BR><a href="https://api.scryfall.com/cards/caeea28b-c11b-4fa0-a64c-637bc58171cc/rulings">Rulings</a>|Dominaria Remastered Tokens|Common||Johann Bodin|2|Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/tdmr/2/griffin?utm_source=api">Scryfall</a>|0|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/c/a/caeea28b-c11b-4fa0-a64c-637bc58171cc.jpg?1675198611}
05a61555-ddb9-4d55-b637-a219d772033d|Cat||Token Creature - Cat|2|1|<BR><a href="https://api.scryfall.com/cards/05a61555-ddb9-4d55-b637-a219d772033d/rulings">Rulings</a>|Dominaria Remastered Tokens|Common||Daren Bader|3|Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/tdmr/3/cat?utm_source=api">Scryfall</a>|0|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/0/5/05a61555-ddb9-4d55-b637-a219d772033d.jpg?1675198619}
34db5e62-4792-4207-b008-7d62bae683a7|Marit Lage||Token Legendary Creature - Avatar|20|20|Flying, indestructible<BR><a href="https://api.scryfall.com/cards/34db5e62-4792-4207-b008-7d62bae683a7/rulings">Rulings</a>|Dominaria Remastered Tokens|Common||Leon Tukker|4|Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/tdmr/4/marit-lage?utm_source=api">Scryfall</a>|0|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/3/4/34db5e62-4792-4207-b008-7d62bae683a7.jpg?1675198627}
c700cb99-1cee-455f-9a36-d7d9a79fed06|Zombie||Token Creature - Zombie|2|2|<BR><a href="https://api.scryfall.com/cards/c700cb99-1cee-455f-9a36-d7d9a79fed06/rulings">Rulings</a>|Dominaria Remastered Tokens|Common||Antonio José Manzanedo|5|Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/tdmr/5/zombie?utm_source=api">Scryfall</a>|0|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/c/7/c700cb99-1cee-455f-9a36-d7d9a79fed06.jpg?1675198635}
57ae1be7-f2f6-4aef-8764-4af5ca963c9e|Elemental||Token Creature - Elemental|3|1|Trample, haste<BR><a href="https://api.scryfall.com/cards/57ae1be7-f2f6-4aef-8764-4af5ca963c9e/rulings">Rulings</a>|Dominaria Remastered Tokens|Common||Victor Adame Minguez|6|Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/tdmr/6/elemental?utm_source=api">Scryfall</a>|0|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/5/7/57ae1be7-f2f6-4aef-8764-4af5ca963c9e.jpg?1675198643}
f9b8316a-ec6d-43de-a1c5-6ef3c5c53146|Goblin||Token Creature - Goblin|1|1|<BR><a href="https://api.scryfall.com/cards/f9b8316a-ec6d-43de-a1c5-6ef3c5c53146/rulings">Rulings</a>|Dominaria Remastered Tokens|Common||Thomas M. Baxa|7|Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/tdmr/7/goblin?utm_source=api">Scryfall</a>|0|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/f/9/f9b8316a-ec6d-43de-a1c5-6ef3c5c53146.jpg?1675198651}
07b58d5f-8a9f-4fd6-83d6-efe3a92e89b2|Cat||Token Creature - Cat|2|2|<BR><a href="https://api.scryfall.com/cards/07b58d5f-8a9f-4fd6-83d6-efe3a92e89b2/rulings">Rulings</a>|Dominaria Remastered Tokens|Common||Izzy|8|Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/tdmr/8/cat?utm_source=api">Scryfall</a>|0|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/0/7/07b58d5f-8a9f-4fd6-83d6-efe3a92e89b2.jpg?1675198658}
cb05000b-0ac3-4856-b25d-c87c19bda451|Elephant||Token Creature - Elephant|3|3|<BR><a href="https://api.scryfall.com/cards/cb05000b-0ac3-4856-b25d-c87c19bda451/rulings">Rulings</a>|Dominaria Remastered Tokens|Common||Lars Grant-West|9|Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/tdmr/9/elephant?utm_source=api">Scryfall</a>|0|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/c/b/cb05000b-0ac3-4856-b25d-c87c19bda451.jpg?1675198666}
e662eefb-c454-44b9-8270-f2229e20024e|Insect||Token Creature - Insect|1|1|<BR><a href="https://api.scryfall.com/cards/e662eefb-c454-44b9-8270-f2229e20024e/rulings">Rulings</a>|Dominaria Remastered Tokens|Common||Anthony S. Waters|10|Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/tdmr/10/insect?utm_source=api">Scryfall</a>|0|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/e/6/e662eefb-c454-44b9-8270-f2229e20024e.jpg?1675198674}
c7bb00e4-7eb0-4f7d-b2c3-8995959a6e6a|Saproling||Token Creature - Saproling|1|1|<BR><a href="https://api.scryfall.com/cards/c7bb00e4-7eb0-4f7d-b2c3-8995959a6e6a/rulings">Rulings</a>|Dominaria Remastered Tokens|Common||Jeff Laubenstein|11|Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/tdmr/11/saproling?utm_source=api">Scryfall</a>|0|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/c/7/c7bb00e4-7eb0-4f7d-b2c3-8995959a6e6a.jpg?1675198683}
