ID|NAME|COST|TYPE|POWER|TOUGHNESS|ORACLE|SET|RARITY|LANG|ARTIST|COLLNUM|TEXT|GATHERERID|TCGID|PROPERTIES
61328aec-ba26-4142-a774-96924303786d|Copy||Token|||(This token can be used to represent a token that's a copy of a permanent.)<BR><a href="https://api.scryfall.com/cards/61328aec-ba26-4142-a774-96924303786d/rulings">Rulings</a>|Lorwyn Eclipsed Commander Tokens|Common||Michele Giorgi|1|Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/tecc/1/copy?utm_source=api">Scryfall</a>|0|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/6/1/61328aec-ba26-4142-a774-96924303786d.jpg?1767794310}
ee285548-04c8-4562-bf66-a0bb53acfe76|Elemental||Token Creature - Elemental|4|4|Flying<BR><a href="https://api.scryfall.com/cards/ee285548-04c8-4562-bf66-a0bb53acfe76/rulings">Rulings</a>|Lorwyn Eclipsed Commander Tokens|Common||Svetlin Velinov|2|Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/tecc/2/elemental?utm_source=api">Scryfall</a>|0|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/e/e/ee285548-04c8-4562-bf66-a0bb53acfe76.jpg?1767954860}
17f001ab-514b-49e7-a657-b2872ad7a1de|Zombie||Token Creature - Zombie|2|2|<BR><a href="https://api.scryfall.com/cards/17f001ab-514b-49e7-a657-b2872ad7a1de/rulings">Rulings</a>|Lorwyn Eclipsed Commander Tokens|Common||Paul Scott Canavan|3|Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/tecc/3/zombie?utm_source=api">Scryfall</a>|0|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/1/7/17f001ab-514b-49e7-a657-b2872ad7a1de.jpg?1767954964}
29e9326a-a435-44c7-939a-8da6ed3c4510|Elf Warrior||Token Creature - Elf Warrior|1|1|<BR><a href="https://api.scryfall.com/cards/29e9326a-a435-44c7-939a-8da6ed3c4510/rulings">Rulings</a>|Lorwyn Eclipsed Commander Tokens|Common||William O'Connor|4|Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/tecc/4/elf-warrior?utm_source=api">Scryfall</a>|0|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/2/9/29e9326a-a435-44c7-939a-8da6ed3c4510.jpg?1767954990}
3db07715-d315-4361-8af5-ce68d20e6c08|Plant||Token Creature - Plant|0|1|<BR><a href="https://api.scryfall.com/cards/3db07715-d315-4361-8af5-ce68d20e6c08/rulings">Rulings</a>|Lorwyn Eclipsed Commander Tokens|Common||Daren Bader|5|Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/tecc/5/plant?utm_source=api">Scryfall</a>|0|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/3/d/3db07715-d315-4361-8af5-ce68d20e6c08.jpg?1767955008}
8f4188d4-a371-49be-ad33-ad87801ba99d|Rhino Warrior||Token Creature - Rhino Warrior|4|4|<BR><a href="https://api.scryfall.com/cards/8f4188d4-a371-49be-ad33-ad87801ba99d/rulings">Rulings</a>|Lorwyn Eclipsed Commander Tokens|Common||Zoltan Boros|6|Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/tecc/6/rhino-warrior?utm_source=api">Scryfall</a>|0|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/8/f/8f4188d4-a371-49be-ad33-ad87801ba99d.jpg?1767955030}
34032448-fe31-44c7-845c-37fea0b8e762|Saproling||Token Creature - Saproling|1|1|<BR><a href="https://api.scryfall.com/cards/34032448-fe31-44c7-845c-37fea0b8e762/rulings">Rulings</a>|Lorwyn Eclipsed Commander Tokens|Common||Brad Rigney|7|Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/tecc/7/saproling?utm_source=api">Scryfall</a>|0|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/3/4/34032448-fe31-44c7-845c-37fea0b8e762.jpg?1767955055}
9a9380a8-8f38-47cd-8648-20626c06b9b3|Snake||Token Creature - Snake|1|1|Deathtouch<BR><a href="https://api.scryfall.com/cards/9a9380a8-8f38-47cd-8648-20626c06b9b3/rulings">Rulings</a>|Lorwyn Eclipsed Commander Tokens|Common||Tyler Jacobson|8|Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/tecc/8/snake?utm_source=api">Scryfall</a>|0|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/9/a/9a9380a8-8f38-47cd-8648-20626c06b9b3.jpg?1767955081}
1ab6cab4-a3a5-4b48-832a-1d486e8094a5|Elemental||Token Creature - Elemental|5|5|<BR><a href="https://api.scryfall.com/cards/1ab6cab4-a3a5-4b48-832a-1d486e8094a5/rulings">Rulings</a>|Lorwyn Eclipsed Commander Tokens|Common||Brad Rigney|9|Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/tecc/9/elemental?utm_source=api">Scryfall</a>|0|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/1/a/1ab6cab4-a3a5-4b48-832a-1d486e8094a5.jpg?1767955096}
7ec88cb2-7a77-45ae-b2c8-f8d09452d619|Elemental||Token Creature - Elemental|*|*|This creature's power and toughness are each equal to the number of creatures you control.<BR><a href="https://api.scryfall.com/cards/7ec88cb2-7a77-45ae-b2c8-f8d09452d619/rulings">Rulings</a>|Lorwyn Eclipsed Commander Tokens|Common||Mark Winters|10|Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/tecc/10/elemental?utm_source=api">Scryfall</a>|0|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/7/e/7ec88cb2-7a77-45ae-b2c8-f8d09452d619.jpg?1767955123}
