ID|NAME|COST|TYPE|POWER|TOUGHNESS|ORACLE|SET|RARITY|LANG|ARTIST|COLLNUM|TEXT|PROPERTIES
cd8586f9-97e2-438d-b74f-1e53c811f314|Eldritch Moon Checklist||Card|||(You can mark this card to represent a meld or double-faced card in your library or hand.)<br>☐ Bruna, the Fading Light {5}{W}{W}<br>☐ Extricator of Sin {2}{W}<br>☐ Gisela, the Broken Blade {2}{W}{W}<br>☐ Lone Rider {1}{W}<br>☐ Curious Homunculus {1}{U}<br>☐ Docent of Perfection {3}{U}{U}<br>☐ Grizzled Angler {2}{U}<br>☐ Graf Rats {1}{B}<br>☐ Midnight Scavengers {4}{B}<br>☐ Voldaren Pariah {3}{B}{B}<br>☐ Conduit of Storms {2}{R}<br>☐ Hanweir Garrison {2}{R}<br>☐ Smoldering Werewolf {2}{R}{R}<br>☐ Vildin-Pack Outcast {4}{R}<br>☐ Kessig Prowler {G}<br>☐ Shrill Howler {2}{G}<br>☐ Tangleclaw Werewolf {2}{G}{G}<br>☐ Ulvenwald Captive {1}{G}<br>☐ Ulrich of the Krallenhorde {3}{R}{G}<br>☐ Cryptolith Fragment {3}<br>☐ Hanweir Battlements|Eldritch Moon Tokens|Common|||CH1|Finishes: nonfoil:<br>Promos: setpromo:<br><br><a href="https://scryfall.com/card/temn/CH1/eldritch-moon-checklist?utm_source=api">Scryfall</a>|{IMAGE_URL=https://cards.scryfall.io/normal/front/c/d/cd8586f9-97e2-438d-b74f-1e53c811f314.jpg?1562636899}
11d25bde-a303-4b06-a3e1-4ad642deae58|Eldrazi Horror||Token Creature - Eldrazi Horror|3|2||Eldritch Moon Tokens|Common||Jason Felix|1|Finishes: nonfoil:<br>Promos: setpromo:<br><br><a href="https://scryfall.com/card/temn/1/eldrazi-horror?utm_source=api">Scryfall</a>|{IMAGE_URL=https://cards.scryfall.io/normal/front/1/1/11d25bde-a303-4b06-a3e1-4ad642deae58.jpg?1562636737}
e4439a8b-ef98-428d-a274-53c660b23afe|Human Wizard||Token Creature - Human Wizard|1|1||Eldritch Moon Tokens|Common||Nils Hamm|2|Finishes: nonfoil:<br>Promos: setpromo:<br><br><a href="https://scryfall.com/card/temn/2/human-wizard?utm_source=api">Scryfall</a>|{IMAGE_URL=https://cards.scryfall.io/normal/front/e/4/e4439a8b-ef98-428d-a274-53c660b23afe.jpg?1562636929}
15f1f43a-cbdb-4d1b-a254-dadcb2469784|Zombie||Token Creature - Zombie|2|2||Eldritch Moon Tokens|Common||Tomasz Jedruszek|3|Finishes: nonfoil:<br>Promos: setpromo:<br><br><a href="https://scryfall.com/card/temn/3/zombie?utm_source=api">Scryfall</a>|{IMAGE_URL=https://cards.scryfall.io/normal/front/1/5/15f1f43a-cbdb-4d1b-a254-dadcb2469784.jpg?1562636743}
06e7f8df-826e-4ba7-9c6c-8c8eb7a61de8|Zombie||Token Creature - Zombie|2|2||Eldritch Moon Tokens|Common||Seb McKinnon|4|Finishes: nonfoil:<br>Promos: setpromo:<br><br><a href="https://scryfall.com/card/temn/4/zombie?utm_source=api">Scryfall</a>|{IMAGE_URL=https://cards.scryfall.io/normal/front/0/6/06e7f8df-826e-4ba7-9c6c-8c8eb7a61de8.jpg?1562636730}
b8710a30-8314-49ef-b995-bd05454095be|Zombie||Token Creature - Zombie|2|2||Eldritch Moon Tokens|Common||Anna Steinbauer|5|Finishes: nonfoil:<br>Promos: setpromo:<br><br><a href="https://scryfall.com/card/temn/5/zombie?utm_source=api">Scryfall</a>|{IMAGE_URL=https://cards.scryfall.io/normal/front/b/8/b8710a30-8314-49ef-b995-bd05454095be.jpg?1562636876}
e44aa879-b63b-497c-9c1b-2333950161fa|Zombie||Token Creature - Zombie|*|*||Eldritch Moon Tokens|Common||Daarken|6|Finishes: nonfoil:<br>Promos: setpromo:<br><br><a href="https://scryfall.com/card/temn/6/zombie?utm_source=api">Scryfall</a>|{IMAGE_URL=https://cards.scryfall.io/normal/front/e/4/e44aa879-b63b-497c-9c1b-2333950161fa.jpg?1562636931}
dbd994fc-f3f0-4c81-86bd-14ca63ec229b|Human||Token Creature - Human|1|1||Eldritch Moon Tokens|Common||Kieran Yanner|7|Finishes: nonfoil:<br>Promos: setpromo:<br><br><a href="https://scryfall.com/card/temn/7/human?utm_source=api">Scryfall</a>|{IMAGE_URL=https://cards.scryfall.io/normal/front/d/b/dbd994fc-f3f0-4c81-86bd-14ca63ec229b.jpg?1562636922}
ce90c48f-74fb-4e87-9e46-7f8c3d79cbb0|Spider||Token Creature - Spider|1|2|Reach|Eldritch Moon Tokens|Common||Christine Choi|8|Finishes: nonfoil:<br>Promos: setpromo:<br><br><a href="https://scryfall.com/card/temn/8/spider?utm_source=api">Scryfall</a>|{IMAGE_URL=https://cards.scryfall.io/normal/front/c/e/ce90c48f-74fb-4e87-9e46-7f8c3d79cbb0.jpg?1562636904}
1512fe7b-5e01-424e-9747-8d4840a5d22a|Liliana, the Last Hope Emblem||Emblem - Liliana|||At the beginning of your end step, create X 2/2 black Zombie creature tokens, where X is two plus the number of Zombies you control.|Eldritch Moon Tokens|Common||Anna Steinbauer|9|Finishes: nonfoil:<br>Promos: setpromo:<br><br><a href="https://scryfall.com/card/temn/9/liliana-the-last-hope-emblem?utm_source=api">Scryfall</a>|{IMAGE_URL=https://cards.scryfall.io/normal/front/1/5/1512fe7b-5e01-424e-9747-8d4840a5d22a.jpg?1562636740}
