ID|NAME|COST|TYPE|POWER|TOUGHNESS|ORACLE|SET|RARITY|LANG|ARTIST|COLLNUM|TEXT|PROPERTIES
09d6521e-438a-4d16-992f-f2ab27b26ce4|Copy||Token|||(This token can be used to represent a token that's a copy of a permanent.)|Edge of Eternities Commander Tokens|Common||Martin de Diego Sádaba|1|Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/teoc/1/copy?utm_source=api">Scryfall</a>|{IMAGE_URL=https://cards.scryfall.io/normal/front/0/9/09d6521e-438a-4d16-992f-f2ab27b26ce4.jpg?1752946393}
30f46500-172a-40ce-9f8e-3738e764e3fa|Shapeshifter||Token Creature - Shapeshifter|*|*|Changeling (This token is every creature type.)<br>Deathtouch|Edge of Eternities Commander Tokens|Common||Carlos Palma Cruchaga|2|Finishes: foil:<br><br><a href="https://scryfall.com/card/teoc/2/shapeshifter?utm_source=api">Scryfall</a>|{IMAGE_URL=https://cards.scryfall.io/normal/front/3/0/30f46500-172a-40ce-9f8e-3738e764e3fa.jpg?1758385022}
2a3d4bf9-2107-4686-8df5-cd7c934d0691|Bird||Token Creature - Bird|2|2|Flying|Edge of Eternities Commander Tokens|Common||Alessandra Pisano|3|Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/teoc/3/bird?utm_source=api">Scryfall</a>|{IMAGE_URL=https://cards.scryfall.io/normal/front/2/a/2a3d4bf9-2107-4686-8df5-cd7c934d0691.jpg?1752946401}
2172a126-2ea6-4b5c-84c2-7879c1982a3a|Insect||Token Creature - Insect|1|1|Flying|Edge of Eternities Commander Tokens|Common||Deruchenko Alexander|4|Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/teoc/4/insect?utm_source=api">Scryfall</a>|{IMAGE_URL=https://cards.scryfall.io/normal/front/2/1/2172a126-2ea6-4b5c-84c2-7879c1982a3a.jpg?1752946407}
3b584d93-5681-4ecd-953c-5ef58307caab|Beast||Token Creature - Beast|3|3||Edge of Eternities Commander Tokens|Common||Dave Allsop|5|Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/teoc/5/beast?utm_source=api">Scryfall</a>|{IMAGE_URL=https://cards.scryfall.io/normal/front/3/b/3b584d93-5681-4ecd-953c-5ef58307caab.jpg?1752946408}
eb243b20-85e6-4eba-9403-42272975e8a5|Beast||Token Creature - Beast|4|4||Edge of Eternities Commander Tokens|Common||Xabi Gaztelua|6|Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/teoc/6/beast?utm_source=api">Scryfall</a>|{IMAGE_URL=https://cards.scryfall.io/normal/front/e/b/eb243b20-85e6-4eba-9403-42272975e8a5.jpg?1752946415}
0b0229d7-8635-4509-b141-12787af32855|Elemental||Token Creature - Elemental|5|3||Edge of Eternities Commander Tokens|Common||Nils Hamm|7|Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/teoc/7/elemental?utm_source=api">Scryfall</a>|{IMAGE_URL=https://cards.scryfall.io/normal/front/0/b/0b0229d7-8635-4509-b141-12787af32855.jpg?1752946416}
5e3552f9-1c22-46f7-b606-c8a59950bf75|Elemental||Token Creature - Elemental|5|5||Edge of Eternities Commander Tokens|Common||Brad Rigney|8|Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/teoc/8/elemental?utm_source=api">Scryfall</a>|{IMAGE_URL=https://cards.scryfall.io/normal/front/5/e/5e3552f9-1c22-46f7-b606-c8a59950bf75.jpg?1752946424}
cf9587a6-7497-4f49-a5d0-a19fdfd969aa|Pest||Token Creature - Pest|1|1|When this creature dies, you gain 1 life.|Edge of Eternities Commander Tokens|Common||Ilse Gort|9|Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/teoc/9/pest?utm_source=api">Scryfall</a>|{IMAGE_URL=https://cards.scryfall.io/normal/front/c/f/cf9587a6-7497-4f49-a5d0-a19fdfd969aa.jpg?1752946424}
15866ed4-1ca3-427f-99ba-ee26ede9ae18|Clue||Token Artifact - Clue|||{2}, Sacrifice this token: Draw a card.|Edge of Eternities Commander Tokens|Common||John Avon|10|Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/teoc/10/clue?utm_source=api">Scryfall</a>|{IMAGE_URL=https://cards.scryfall.io/normal/front/1/5/15866ed4-1ca3-427f-99ba-ee26ede9ae18.jpg?1752946432}
