ID|NAME|COST|TYPE|POWER|TOUGHNESS|ORACLE|SET|RARITY|LANG|ARTIST|COLLNUM|TEXT|GATHERERID|TCGID|PROPERTIES
27d772a9-7542-4ffe-9cd4-e144d129f342|Hydra Head||Creature - Head|0|3|Hero's Reward — When Hydra Head leaves the battlefield, each player gains 2 life.<BR><a href="https://api.scryfall.com/cards/27d772a9-7542-4ffe-9cd4-e144d129f342/rulings">Rulings</a>|Face the Hydra|Common||Richard Wright|1|R$ 0.37 <br>Finishes: nonfoil:<br>Promos: instore:<br><br><a href="https://scryfall.com/card/tfth/1/hydra-head?utm_source=api">Scryfall</a>|0|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/2/7/27d772a9-7542-4ffe-9cd4-e144d129f342.jpg?1734674507}
a76d49f7-2860-4972-ab97-1e798ea017d1|Ravenous Brute Head||Elite Creature - Head|0|6|Hero's Reward — When Ravenous Brute Head leaves the battlefield, each player gains 2 life and draws a card.<BR><a href="https://api.scryfall.com/cards/a76d49f7-2860-4972-ab97-1e798ea017d1/rulings">Rulings</a>|Face the Hydra|Common||Richard Wright|2|R$ 0.91 <br>Finishes: nonfoil:<br>Promos: instore:<br><br><a href="https://scryfall.com/card/tfth/2/ravenous-brute-head?utm_source=api">Scryfall</a>|0|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/a/7/a76d49f7-2860-4972-ab97-1e798ea017d1.jpg?1734674525}
4b90bd09-d6aa-4201-a7fe-78accbcfc4e8|Savage Vigor Head||Elite Creature - Head|0|8|At the beginning of the Hydra's end step, reveal the top card of the Hydra's library and the Hydra casts that card.<br>Hero's Reward — When Savage Vigor Head leaves the battlefield, each player gains 4 life and draws a card.<BR><a href="https://api.scryfall.com/cards/4b90bd09-d6aa-4201-a7fe-78accbcfc4e8/rulings">Rulings</a>|Face the Hydra|Common||Richard Wright|3|R$ 13.82 <br>Finishes: nonfoil:<br>Promos: instore:<br><br><a href="https://scryfall.com/card/tfth/3/savage-vigor-head?utm_source=api">Scryfall</a>|0|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/4/b/4b90bd09-d6aa-4201-a7fe-78accbcfc4e8.jpg?1734674531}
44ef6754-b611-4e52-a04b-dc2c794d2cb8|Shrieking Titan Head||Elite Creature - Head|0|8|At the beginning of the Hydra's end step, each player discards a card.<br>Hero's Reward — When Shrieking Titan Head leaves the battlefield, each player gains 4 life and draws a card.<BR><a href="https://api.scryfall.com/cards/44ef6754-b611-4e52-a04b-dc2c794d2cb8/rulings">Rulings</a>|Face the Hydra|Common||Richard Wright|4|R$ 7.79 <br>Finishes: nonfoil:<br>Promos: instore:<br><br><a href="https://scryfall.com/card/tfth/4/shrieking-titan-head?utm_source=api">Scryfall</a>|0|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/4/4/44ef6754-b611-4e52-a04b-dc2c794d2cb8.jpg?1734674536}
11decc7a-58e7-43f3-acc5-9ec94cce858d|Snapping Fang Head||Elite Creature - Head|0|8|At the beginning of the Hydra's end step, Snapping Fang Head deals 1 damage to each player.<br>Hero's Reward — When Snapping Fang Head leaves the battlefield, each player gains 4 life and draws a card.<BR><a href="https://api.scryfall.com/cards/11decc7a-58e7-43f3-acc5-9ec94cce858d/rulings">Rulings</a>|Face the Hydra|Common||Richard Wright|5|R$ 3.95 <br>Finishes: nonfoil:<br>Promos: instore:<br><br><a href="https://scryfall.com/card/tfth/5/snapping-fang-head?utm_source=api">Scryfall</a>|0|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/1/1/11decc7a-58e7-43f3-acc5-9ec94cce858d.jpg?1734674535}
7b0f9139-6366-4334-b532-1385336f5a04|Disorienting Glower||Sorcery|||Players can't cast spells until the Hydra's next turn.<BR><a href="https://api.scryfall.com/cards/7b0f9139-6366-4334-b532-1385336f5a04/rulings">Rulings</a>|Face the Hydra|Common||Tomasz Jedruszek|6|R$ 0.41 <br>Finishes: nonfoil:<br>Promos: instore:<br><br><a href="https://scryfall.com/card/tfth/6/disorienting-glower?utm_source=api">Scryfall</a>|0|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/7/b/7b0f9139-6366-4334-b532-1385336f5a04.jpg?1562639874}
263da86e-6e10-40fb-bbf0-5a577c63fc0a|Distract the Hydra||Sorcery|||Each player may sacrifice a creature. Each player who sacrificed a creature this way chooses a Head and taps it. Each player who didn't sacrifice a creature loses 3 life.<BR><a href="https://api.scryfall.com/cards/263da86e-6e10-40fb-bbf0-5a577c63fc0a/rulings">Rulings</a>|Face the Hydra|Common||Alex Horley-Orlandelli|7|R$ 0.33 <br>Finishes: nonfoil:<br>Promos: instore:<br><br><a href="https://scryfall.com/card/tfth/7/distract-the-hydra?utm_source=api">Scryfall</a>|0|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/2/6/263da86e-6e10-40fb-bbf0-5a577c63fc0a.jpg?1562639719}
e24e319f-494e-4ea8-8435-1207d18cc86b|Grown from the Stump||Sorcery|||Place exactly two cards named Hydra Head onto the battlefield from the Hydra's graveyard. If you can't, reveal cards from the top of the Hydra's library until you reveal a Head card. Put that card onto the battlefield and the rest into the Hydra's graveyard.<BR><a href="https://api.scryfall.com/cards/e24e319f-494e-4ea8-8435-1207d18cc86b/rulings">Rulings</a>|Face the Hydra|Common||Tomasz Jedruszek|8|R$ 0.32 <br>Finishes: nonfoil:<br>Promos: instore:<br><br><a href="https://scryfall.com/card/tfth/8/grown-from-the-stump?utm_source=api">Scryfall</a>|0|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/e/2/e24e319f-494e-4ea8-8435-1207d18cc86b.jpg?1562640098}
6f85efed-56e7-488f-ac82-8829ad8b64ad|Hydra's Impenetrable Hide||Sorcery|||Each Head gains indestructible until the end of the Hydra's next turn.<BR><a href="https://api.scryfall.com/cards/6f85efed-56e7-488f-ac82-8829ad8b64ad/rulings">Rulings</a>|Face the Hydra|Common||Steve Prescott|9|R$ 0.74 <br>Finishes: nonfoil:<br>Promos: instore:<br><br><a href="https://scryfall.com/card/tfth/9/hydras-impenetrable-hide?utm_source=api">Scryfall</a>|0|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/6/f/6f85efed-56e7-488f-ac82-8829ad8b64ad.jpg?1661624163}
b1f3cf6e-e681-461f-8754-b3e464b150d9|Neck Tangle||Sorcery|||If there are five or more Heads on the battlefield, tap two of them and they don't untap during the Hydra's next untap step. Otherwise, reveal the top card of the Hydra's library and the Hydra casts that card.<BR><a href="https://api.scryfall.com/cards/b1f3cf6e-e681-461f-8754-b3e464b150d9/rulings">Rulings</a>|Face the Hydra|Common||Jesper Ejsing|10|R$ 0.65 <br>Finishes: nonfoil:<br>Promos: instore:<br><br><a href="https://scryfall.com/card/tfth/10/neck-tangle?utm_source=api">Scryfall</a>|0|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/b/1/b1f3cf6e-e681-461f-8754-b3e464b150d9.jpg?1562639988}
