ID|NAME|COST|TYPE|POWER|TOUGHNESS|ORACLE|SET|RARITY|LANG|ARTIST|COLLNUM|TEXT|PROPERTIES
a020dc47-3747-4123-9954-f0e87a858b8c|Copy // Horror||Token||||GRN Guild Kit Tokens|Common||Clint Cearley|1|Finishes: nonfoil:<br><br><a href="https://scryfall.com/card/tgk1/1/copy-horror?utm_source=api">Scryfall</a>|{IMAGE_URL=https://cards.scryfall.io/normal/front/a/0/a020dc47-3747-4123-9954-f0e87a858b8c.jpg?1639374083, FLIPID=-a020dc47-3747-4123-9954-f0e87a858b8c}
-a020dc47-3747-4123-9954-f0e87a858b8c|Copy // Horror (double_faced_token)||Token Creature - Horror|1|1|Flying|GRN Guild Kit Tokens|Common||Adam Paquette|1b|Finishes: nonfoil:<br><br><a href="https://scryfall.com/card/tgk1/1/copy-horror?utm_source=api">Scryfall</a>|{IMAGE_URL=https://cards.scryfall.io/normal/back/a/0/a020dc47-3747-4123-9954-f0e87a858b8c.jpg?1639374083, FLIPID=a020dc47-3747-4123-9954-f0e87a858b8c}
887efa4e-f713-4165-a7e1-b0f00ac81784|Soldier // Soldier||Token Creature - Soldier|1|1|Lifelink|GRN Guild Kit Tokens|Common||John Severin Brassell|2|Finishes: nonfoil:<br><br><a href="https://scryfall.com/card/tgk1/2/soldier-soldier?utm_source=api">Scryfall</a>|{IMAGE_URL=https://cards.scryfall.io/normal/front/8/8/887efa4e-f713-4165-a7e1-b0f00ac81784.jpg?1541007928, FLIPID=-887efa4e-f713-4165-a7e1-b0f00ac81784}
-887efa4e-f713-4165-a7e1-b0f00ac81784|Soldier // Soldier (double_faced_token)||Token Creature - Soldier|1|1||GRN Guild Kit Tokens|Common||David Palumbo|2b|Finishes: nonfoil:<br><br><a href="https://scryfall.com/card/tgk1/2/soldier-soldier?utm_source=api">Scryfall</a>|{IMAGE_URL=https://cards.scryfall.io/normal/back/8/8/887efa4e-f713-4165-a7e1-b0f00ac81784.jpg?1541007928, FLIPID=887efa4e-f713-4165-a7e1-b0f00ac81784}
1d34ff67-24e1-4cf5-b032-8be6b83e0819|Weird // Goblin||Token Creature - Weird|3|3|Defender, flying|GRN Guild Kit Tokens|Common||Hideaki Takamura|3|Finishes: nonfoil:<br><br><a href="https://scryfall.com/card/tgk1/3/weird-goblin?utm_source=api">Scryfall</a>|{IMAGE_URL=https://cards.scryfall.io/normal/front/1/d/1d34ff67-24e1-4cf5-b032-8be6b83e0819.jpg?1752557396, FLIPID=-1d34ff67-24e1-4cf5-b032-8be6b83e0819}
-1d34ff67-24e1-4cf5-b032-8be6b83e0819|Weird // Goblin (double_faced_token)||Token Creature - Goblin|1|1||GRN Guild Kit Tokens|Common||Karl Kopinski|3b|Finishes: nonfoil:<br><br><a href="https://scryfall.com/card/tgk1/3/weird-goblin?utm_source=api">Scryfall</a>|{IMAGE_URL=https://cards.scryfall.io/normal/back/1/d/1d34ff67-24e1-4cf5-b032-8be6b83e0819.jpg?1752557396, FLIPID=1d34ff67-24e1-4cf5-b032-8be6b83e0819}
64f4dc68-060b-4c63-8f43-00f53c52a251|Goblin // Soldier||Token Creature - Goblin|1|1||GRN Guild Kit Tokens|Common||Mark Zug|4|Finishes: nonfoil:<br><br><a href="https://scryfall.com/card/tgk1/4/goblin-soldier?utm_source=api">Scryfall</a>|{IMAGE_URL=https://cards.scryfall.io/normal/front/6/4/64f4dc68-060b-4c63-8f43-00f53c52a251.jpg?1541007299, FLIPID=-64f4dc68-060b-4c63-8f43-00f53c52a251}
-64f4dc68-060b-4c63-8f43-00f53c52a251|Goblin // Soldier (double_faced_token)||Token Creature - Soldier|1|1|Lifelink|GRN Guild Kit Tokens|Common||John Severin Brassell|4b|Finishes: nonfoil:<br><br><a href="https://scryfall.com/card/tgk1/4/goblin-soldier?utm_source=api">Scryfall</a>|{IMAGE_URL=https://cards.scryfall.io/normal/back/6/4/64f4dc68-060b-4c63-8f43-00f53c52a251.jpg?1541007299, FLIPID=64f4dc68-060b-4c63-8f43-00f53c52a251}
c06bcc5b-4ccd-452d-8579-beee6c5cbe98|Saproling // Insect||Token Creature - Saproling|1|1||GRN Guild Kit Tokens|Common||Raoul Vitale|5|Finishes: nonfoil:<br><br><a href="https://scryfall.com/card/tgk1/5/saproling-insect?utm_source=api">Scryfall</a>|{IMAGE_URL=https://cards.scryfall.io/normal/front/c/0/c06bcc5b-4ccd-452d-8579-beee6c5cbe98.jpg?1654766742, FLIPID=-c06bcc5b-4ccd-452d-8579-beee6c5cbe98}
-c06bcc5b-4ccd-452d-8579-beee6c5cbe98|Saproling // Insect (double_faced_token)||Token Creature - Insect|1|1||GRN Guild Kit Tokens|Common||Ben Wootten|5b|Finishes: nonfoil:<br><br><a href="https://scryfall.com/card/tgk1/5/saproling-insect?utm_source=api">Scryfall</a>|{IMAGE_URL=https://cards.scryfall.io/normal/back/c/0/c06bcc5b-4ccd-452d-8579-beee6c5cbe98.jpg?1654766742, FLIPID=c06bcc5b-4ccd-452d-8579-beee6c5cbe98}
f78c0976-83c4-4694-a93f-13046902cdd9|Soldier // Goblin||Token Creature - Soldier|1|1||GRN Guild Kit Tokens|Common||David Palumbo|6|Finishes: nonfoil:<br><br><a href="https://scryfall.com/card/tgk1/6/soldier-goblin?utm_source=api">Scryfall</a>|{IMAGE_URL=https://cards.scryfall.io/normal/front/f/7/f78c0976-83c4-4694-a93f-13046902cdd9.jpg?1541007771, FLIPID=-f78c0976-83c4-4694-a93f-13046902cdd9}
-f78c0976-83c4-4694-a93f-13046902cdd9|Soldier // Goblin (double_faced_token)||Token Creature - Goblin|1|1||GRN Guild Kit Tokens|Common||Mark Zug|6b|Finishes: nonfoil:<br><br><a href="https://scryfall.com/card/tgk1/6/soldier-goblin?utm_source=api">Scryfall</a>|{IMAGE_URL=https://cards.scryfall.io/normal/back/f/7/f78c0976-83c4-4694-a93f-13046902cdd9.jpg?1541007771, FLIPID=f78c0976-83c4-4694-a93f-13046902cdd9}
cc77373d-34d1-475b-ade9-f49bb64bff9c|Saproling // Elf Knight||Token Creature - Saproling|1|1||GRN Guild Kit Tokens|Common||Brad Rigney|8|Finishes: nonfoil:<br><br><a href="https://scryfall.com/card/tgk1/8/saproling-elf-knight?utm_source=api">Scryfall</a>|{IMAGE_URL=https://cards.scryfall.io/normal/front/c/c/cc77373d-34d1-475b-ade9-f49bb64bff9c.jpg?1711240804, FLIPID=-cc77373d-34d1-475b-ade9-f49bb64bff9c}
-cc77373d-34d1-475b-ade9-f49bb64bff9c|Saproling // Elf Knight (double_faced_token)||Token Creature - Elf Knight|2|2|Vigilance|GRN Guild Kit Tokens|Common||Tomasz Jedruszek|8b|Finishes: nonfoil:<br><br><a href="https://scryfall.com/card/tgk1/8/saproling-elf-knight?utm_source=api">Scryfall</a>|{IMAGE_URL=https://cards.scryfall.io/normal/back/c/c/cc77373d-34d1-475b-ade9-f49bb64bff9c.jpg?1711240804, FLIPID=cc77373d-34d1-475b-ade9-f49bb64bff9c}
d0c052ed-c761-4f1d-816b-092cdd6cb0fa|Wurm // Saproling||Token Creature - Wurm|5|5|Trample|GRN Guild Kit Tokens|Common||Anthony Palumbo|9|Finishes: nonfoil:<br><br><a href="https://scryfall.com/card/tgk1/9/wurm-saproling?utm_source=api">Scryfall</a>|{IMAGE_URL=https://cards.scryfall.io/normal/front/d/0/d0c052ed-c761-4f1d-816b-092cdd6cb0fa.jpg?1541007588, FLIPID=-d0c052ed-c761-4f1d-816b-092cdd6cb0fa}
-d0c052ed-c761-4f1d-816b-092cdd6cb0fa|Wurm // Saproling (double_faced_token)||Token Creature - Saproling|1|1||GRN Guild Kit Tokens|Common||Brad Rigney|9b|Finishes: nonfoil:<br><br><a href="https://scryfall.com/card/tgk1/9/wurm-saproling?utm_source=api">Scryfall</a>|{IMAGE_URL=https://cards.scryfall.io/normal/back/d/0/d0c052ed-c761-4f1d-816b-092cdd6cb0fa.jpg?1541007588, FLIPID=d0c052ed-c761-4f1d-816b-092cdd6cb0fa}
d2d19d33-407b-42fc-84de-d8a0642723c1|Elemental // Centaur||Token Creature - Elemental|8|8|Vigilance|GRN Guild Kit Tokens|Common||Yeong-Hao Han|10|Finishes: nonfoil:<br><br><a href="https://scryfall.com/card/tgk1/10/elemental-centaur?utm_source=api">Scryfall</a>|{IMAGE_URL=https://cards.scryfall.io/normal/front/d/2/d2d19d33-407b-42fc-84de-d8a0642723c1.jpg?1541007138, FLIPID=-d2d19d33-407b-42fc-84de-d8a0642723c1}
-d2d19d33-407b-42fc-84de-d8a0642723c1|Elemental // Centaur (double_faced_token)||Token Creature - Centaur|3|3||GRN Guild Kit Tokens|Common||Slawomir Maniak|10b|Finishes: nonfoil:<br><br><a href="https://scryfall.com/card/tgk1/10/elemental-centaur?utm_source=api">Scryfall</a>|{IMAGE_URL=https://cards.scryfall.io/normal/back/d/2/d2d19d33-407b-42fc-84de-d8a0642723c1.jpg?1541007138, FLIPID=d2d19d33-407b-42fc-84de-d8a0642723c1}
2879010f-b752-4808-8531-d24e612de0d9|Voja // Saproling||Token Legendary Creature - Wolf|2|2||GRN Guild Kit Tokens|Common||Richard Sardinha|11|Finishes: nonfoil:<br><br><a href="https://scryfall.com/card/tgk1/11/voja-saproling?utm_source=api">Scryfall</a>|{IMAGE_URL=https://cards.scryfall.io/normal/front/2/8/2879010f-b752-4808-8531-d24e612de0d9.jpg?1541006575, FLIPID=-2879010f-b752-4808-8531-d24e612de0d9}
-2879010f-b752-4808-8531-d24e612de0d9|Voja // Saproling (double_faced_token)||Token Creature - Saproling|1|1||GRN Guild Kit Tokens|Common||Brad Rigney|11b|Finishes: nonfoil:<br><br><a href="https://scryfall.com/card/tgk1/11/voja-saproling?utm_source=api">Scryfall</a>|{IMAGE_URL=https://cards.scryfall.io/normal/back/2/8/2879010f-b752-4808-8531-d24e612de0d9.jpg?1541006575, FLIPID=2879010f-b752-4808-8531-d24e612de0d9}
