ID|NAME|COST|TYPE|POWER|TOUGHNESS|ORACLE|SET|RARITY|LANG|ARTIST|COLLNUM|TEXT|PROPERTIES
24c6175f-22a1-4801-be41-85f70e292a60|Angel||Token Creature - Angel|4|4|Flying|Game Night: Free-for-All Tokens|Common||Magali Villeneuve|1|Finishes: nonfoil:foil:<br>https://scryfall.com/card/tgn3/1/angel?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/2/4/24c6175f-22a1-4801-be41-85f70e292a60.jpg?1675457127}
a625ca5f-d4fd-4baf-8e8e-1db3e3325bcd|Human Soldier||Token Creature - Human Soldier|1|1||Game Night: Free-for-All Tokens|Common||Deruchenko Alexander|2|Finishes: nonfoil:foil:<br>https://scryfall.com/card/tgn3/2/human-soldier?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/a/6/a625ca5f-d4fd-4baf-8e8e-1db3e3325bcd.jpg?1675457134}
9ba7cc07-84ee-4f0e-8d88-fdc02dca0f2e|Soldier||Token Creature - Soldier|1|1||Game Night: Free-for-All Tokens|Common||Svetlin Velinov|3|Finishes: nonfoil:foil:<br>https://scryfall.com/card/tgn3/3/soldier?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/9/b/9ba7cc07-84ee-4f0e-8d88-fdc02dca0f2e.jpg?1675457142}
6efdee86-8a76-4eb7-bd34-f472138e639b|Bird Illusion||Token Creature - Bird Illusion|1|1|Flying|Game Night: Free-for-All Tokens|Common||James Paick|4|Finishes: nonfoil:foil:<br>https://scryfall.com/card/tgn3/4/bird-illusion?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/6/e/6efdee86-8a76-4eb7-bd34-f472138e639b.jpg?1675455659}
a5c325d9-6cfc-4e41-b73d-4a45454d9fad|Drake||Token Creature - Drake|2|2|Flying|Game Night: Free-for-All Tokens|Common||Svetlin Velinov|5|Finishes: nonfoil:foil:<br>https://scryfall.com/card/tgn3/5/drake?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/a/5/a5c325d9-6cfc-4e41-b73d-4a45454d9fad.jpg?1675457149}
548bf09e-1641-4d36-8e12-82b8708c4aae|Demon||Token Creature - Demon|5|5|Flying|Game Night: Free-for-All Tokens|Common||Sidharth Chaturvedi|6|Finishes: nonfoil:foil:<br>https://scryfall.com/card/tgn3/6/demon?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/5/4/548bf09e-1641-4d36-8e12-82b8708c4aae.jpg?1675457156}
06190caa-cade-453d-ac88-4b1ef3e0c16a|Zombie||Token Creature - Zombie|2|2||Game Night: Free-for-All Tokens|Common||Anna Steinbauer|7|Finishes: nonfoil:foil:<br>https://scryfall.com/card/tgn3/7/zombie?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/0/6/06190caa-cade-453d-ac88-4b1ef3e0c16a.jpg?1675457164}
6592849a-3875-42e6-bab8-f1c04b5f58bf|Dragon||Token Creature - Dragon|2|2|Flying<br>{R}: This creature gets +1/+0 until end of turn.|Game Night: Free-for-All Tokens|Common||Lars Grant-West|8|Finishes: nonfoil:foil:<br>https://scryfall.com/card/tgn3/8/dragon?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/6/5/6592849a-3875-42e6-bab8-f1c04b5f58bf.jpg?1675457172}
8fa20b7b-aa8e-44a0-ba27-29727e7a8ff0|Elf Warrior||Token Creature - Elf Warrior|1|1||Game Night: Free-for-All Tokens|Common||William O'Connor|9|Finishes: nonfoil:foil:<br>https://scryfall.com/card/tgn3/9/elf-warrior?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/8/f/8fa20b7b-aa8e-44a0-ba27-29727e7a8ff0.jpg?1675457180}
cfe308a3-4a6d-41a5-8136-4020f98d8bd0|Treasure||Token Artifact - Treasure|||{T}, Sacrifice this token: Add one mana of any color.|Game Night: Free-for-All Tokens|Common||Alayna Danner|10|Finishes: nonfoil:foil:<br>https://scryfall.com/card/tgn3/10/treasure?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/c/f/cfe308a3-4a6d-41a5-8136-4020f98d8bd0.jpg?1675457188}
