ID|NAME|COST|TYPE|POWER|TOUGHNESS|ORACLE|SET|RARITY|LANG|ARTIST|COLLNUM|TEXT|GATHERERID|TCGID|PROPERTIES
7d967a4c-2323-4361-a907-5ca9140d8793|Battlewise Valor|{1}{W}|Instant|||Target creature gets +2/+2 until end of turn. Scry 1. (Look at the top card of your library. You may put that card on the bottom.)<BR><a href="https://api.scryfall.com/cards/7d967a4c-2323-4361-a907-5ca9140d8793/rulings">Rulings</a>|Theros|Common||Zack Stella|1|MID: 373627<br>Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/ths/1/battlewise-valor?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=373627&printed=false">Gatherer</a>|373627|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/7/d/7d967a4c-2323-4361-a907-5ca9140d8793.jpg?1562820440}
55ecd213-2e03-40a8-9323-7b9e6e521a9a|Cavalry Pegasus|{1}{W}|Creature - Pegasus|1|1|Flying<br>Whenever this creature attacks, each attacking Human gains flying until end of turn.<BR><a href="https://api.scryfall.com/cards/55ecd213-2e03-40a8-9323-7b9e6e521a9a/rulings">Rulings</a>|Theros|Common||Kev Walker|2|MID: 373684<br>Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/ths/2/cavalry-pegasus?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=373684&printed=false">Gatherer</a>|373684|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/5/5/55ecd213-2e03-40a8-9323-7b9e6e521a9a.jpg?1562818252}
9fa9a809-eda4-406a-8bce-d2a1c5f06388|Celestial Archon|{3}{W}{W}|Enchantment Creature - Archon|4|4|Bestow {5}{W}{W} (If you cast this card for its bestow cost, it's an Aura spell with enchant creature. It becomes a creature again if it's not attached.)<br>Flying, first strike<br>Enchanted creature gets +4/+4 and has flying and first strike.<BR><a href="https://api.scryfall.com/cards/9fa9a809-eda4-406a-8bce-d2a1c5f06388/rulings">Rulings</a>|Theros|Rare||Matt Stewart|3|MID: 373503<br>Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/ths/3/celestial-archon?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=373503&printed=false">Gatherer</a>|373503|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/9/f/9fa9a809-eda4-406a-8bce-d2a1c5f06388.jpg?1562822728}
a5af083f-5820-4185-ac04-4c4368f7703c|Chained to the Rocks|{W}|Enchantment - Aura|||Enchant Mountain you control<br>When this Aura enters, exile target creature an opponent controls until this Aura leaves the battlefield. (That creature returns under its owner's control.)<BR><a href="https://api.scryfall.com/cards/a5af083f-5820-4185-ac04-4c4368f7703c/rulings">Rulings</a>|Theros|Rare||Aaron Miller|4|MID: 373521<br>Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/ths/4/chained-to-the-rocks?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=373521&printed=false">Gatherer</a>|373521|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/a/5/a5af083f-5820-4185-ac04-4c4368f7703c.jpg?1562823699}
d8ead499-920c-465a-a23d-f08710d7e9bc|Chosen by Heliod|{1}{W}|Enchantment - Aura|||Enchant creature<br>When this Aura enters, draw a card.<br>Enchanted creature gets +0/+2.<BR><a href="https://api.scryfall.com/cards/d8ead499-920c-465a-a23d-f08710d7e9bc/rulings">Rulings</a>|Theros|Common||Zack Stella|5|MID: 373561<br>Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/ths/5/chosen-by-heliod?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=373561&printed=false">Gatherer</a>|373561|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/d/8/d8ead499-920c-465a-a23d-f08710d7e9bc.jpg?1562833065}
e652229d-81fe-4261-bebc-9e405bb2d991|Dauntless Onslaught|{2}{W}|Instant|||Up to two target creatures each get +2/+2 until end of turn.<BR><a href="https://api.scryfall.com/cards/e652229d-81fe-4261-bebc-9e405bb2d991/rulings">Rulings</a>|Theros|Uncommon||Peter Mohrbacher|6|MID: 373525<br>Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/ths/6/dauntless-onslaught?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=373525&printed=false">Gatherer</a>|373525|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/e/6/e652229d-81fe-4261-bebc-9e405bb2d991.jpg?1592576358}
7bc2f3a0-444d-4cad-970f-6c4a63b02cce|Decorated Griffin|{4}{W}|Creature - Griffin|2|3|Flying<br>{1}{W}: Prevent the next 1 combat damage that would be dealt to you this turn.<BR><a href="https://api.scryfall.com/cards/7bc2f3a0-444d-4cad-970f-6c4a63b02cce/rulings">Rulings</a>|Theros|Uncommon||Phill Simmer|7|MID: 373577<br>Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/ths/7/decorated-griffin?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=373577&printed=false">Gatherer</a>|373577|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/7/b/7bc2f3a0-444d-4cad-970f-6c4a63b02cce.jpg?1562820372}
79f46ac0-9e2f-4f9f-beee-0a7914475ac1|Divine Verdict|{3}{W}|Instant|||Destroy target attacking or blocking creature.<BR><a href="https://api.scryfall.com/cards/79f46ac0-9e2f-4f9f-beee-0a7914475ac1/rulings">Rulings</a>|Theros|Common||Raymond Swanland|8|MID: 373648<br>Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/ths/8/divine-verdict?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=373648&printed=false">Gatherer</a>|373648|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/7/9/79f46ac0-9e2f-4f9f-beee-0a7914475ac1.jpg?1562820257}
fd5b1633-c41d-42b1-af1b-4a872077ffbd|Elspeth, Sun's Champion|{4}{W}{W}|Legendary Planeswalker - Elspeth|||+1: Create three 1/1 white Soldier creature tokens.<br>−3: Destroy all creatures with power 4 or greater.<br>−7: You get an emblem with "Creatures you control get +2/+2 and have flying."<BR><a href="https://api.scryfall.com/cards/fd5b1633-c41d-42b1-af1b-4a872077ffbd/rulings">Rulings</a>|Theros|Mythic||Eric Deschamps|9|MID: 373649<br>Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/ths/9/elspeth-suns-champion?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=373649&printed=false">Gatherer</a>|373649|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/f/d/fd5b1633-c41d-42b1-af1b-4a872077ffbd.jpg?1562839369}
71f7f788-2795-46a7-82ae-270f1e9415ca|Ephara's Warden|{3}{W}|Creature - Human Cleric|1|2|{T}: Tap target creature with power 3 or less.<BR><a href="https://api.scryfall.com/cards/71f7f788-2795-46a7-82ae-270f1e9415ca/rulings">Rulings</a>|Theros|Common||Zack Stella|10|MID: 373724<br>Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/ths/10/epharas-warden?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=373724&printed=false">Gatherer</a>|373724|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/7/1/71f7f788-2795-46a7-82ae-270f1e9415ca.jpg?1562819780}
bb914a85-3755-4663-8309-6f6d0319262e|Evangel of Heliod|{4}{W}{W}|Creature - Human Cleric|1|3|When this creature enters, create a number of 1/1 white Soldier creature tokens equal to your devotion to white. (Each {W} in the mana costs of permanents you control counts toward your devotion to white.)<BR><a href="https://api.scryfall.com/cards/bb914a85-3755-4663-8309-6f6d0319262e/rulings">Rulings</a>|Theros|Uncommon||Nils Hamm|11|MID: 373641<br>Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/ths/11/evangel-of-heliod?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=373641&printed=false">Gatherer</a>|373641|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/b/b/bb914a85-3755-4663-8309-6f6d0319262e.jpg?1562827838}
642d9a5c-5697-4747-adce-5a71bcf1c086|Fabled Hero|{1}{W}{W}|Creature - Human Soldier|2|2|Double strike<br>Heroic — Whenever you cast a spell that targets this creature, put a +1/+1 counter on it.<BR><a href="https://api.scryfall.com/cards/642d9a5c-5697-4747-adce-5a71bcf1c086/rulings">Rulings</a>|Theros|Rare||Aaron Miller|12|MID: 373606<br>Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/ths/12/fabled-hero?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=373606&printed=false">Gatherer</a>|373606|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/6/4/642d9a5c-5697-4747-adce-5a71bcf1c086.jpg?1562819107}
251015ed-9408-4941-894a-158551ed2613|Favored Hoplite|{W}|Creature - Human Soldier|1|2|Heroic — Whenever you cast a spell that targets this creature, put a +1/+1 counter on this creature and prevent all damage that would be dealt to it this turn.<BR><a href="https://api.scryfall.com/cards/251015ed-9408-4941-894a-158551ed2613/rulings">Rulings</a>|Theros|Uncommon||Winona Nelson|13|MID: 373596<br>Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/ths/13/favored-hoplite?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=373596&printed=false">Gatherer</a>|373596|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/2/5/251015ed-9408-4941-894a-158551ed2613.jpg?1562815791}
2336faaa-fc6d-4fbb-bdd4-969eae565c72|Gift of Immortality|{2}{W}|Enchantment - Aura|||Enchant creature<br>When enchanted creature dies, return that card to the battlefield under its owner's control. Return this card to the battlefield attached to that creature at the beginning of the next end step.<BR><a href="https://api.scryfall.com/cards/2336faaa-fc6d-4fbb-bdd4-969eae565c72/rulings">Rulings</a>|Theros|Rare||Matt Stewart|14|MID: 373566<br>Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/ths/14/gift-of-immortality?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=373566&printed=false">Gatherer</a>|373566|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/2/3/2336faaa-fc6d-4fbb-bdd4-969eae565c72.jpg?1562815708}
8ed3d16f-f0c6-4080-8913-758208b08234|Glare of Heresy|{1}{W}|Sorcery|||Exile target white permanent.<BR><a href="https://api.scryfall.com/cards/8ed3d16f-f0c6-4080-8913-758208b08234/rulings">Rulings</a>|Theros|Uncommon||Raymond Swanland|15|MID: 373691<br>Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/ths/15/glare-of-heresy?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=373691&printed=false">Gatherer</a>|373691|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/8/e/8ed3d16f-f0c6-4080-8913-758208b08234.jpg?1562821357}
abafabb3-b2e7-4d78-b4b7-d8f701d3ee8b|Gods Willing|{W}|Instant|||Target creature you control gains protection from the color of your choice until end of turn. (It can't be blocked, targeted, dealt damage, enchanted, or equipped by anything of that color.)<br>Scry 1.<BR><a href="https://api.scryfall.com/cards/abafabb3-b2e7-4d78-b4b7-d8f701d3ee8b/rulings">Rulings</a>|Theros|Common||Mark Winters|16|MID: 373516<br>Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/ths/16/gods-willing?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=373516&printed=false">Gatherer</a>|373516|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/a/b/abafabb3-b2e7-4d78-b4b7-d8f701d3ee8b.jpg?1562824643}
e90d01c9-e76e-42ff-b0fa-8b6786242aae|Heliod, God of the Sun|{3}{W}|Legendary Enchantment Creature - God|5|6|Indestructible<br>As long as your devotion to white is less than five, Heliod isn't a creature. (Each {W} in the mana costs of permanents you control counts toward your devotion to white.)<br>Other creatures you control have vigilance.<br>{2}{W}{W}: Create a 2/1 white Cleric enchantment creature token.<BR><a href="https://api.scryfall.com/cards/e90d01c9-e76e-42ff-b0fa-8b6786242aae/rulings">Rulings</a>|Theros|Mythic||Jaime Jones|17|MID: 373524<br>Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/ths/17/heliod-god-of-the-sun?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=373524&printed=false">Gatherer</a>|373524|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/e/9/e90d01c9-e76e-42ff-b0fa-8b6786242aae.jpg?1562836166}
