ID|NAME|COST|TYPE|POWER|TOUGHNESS|ORACLE|SET|RARITY|LANG|ARTIST|COLLNUM|TEXT|PROPERTIES
a0d7d857-2a54-4d0e-a97c-11400053194c|Angel||Token Creature - Angel|4|4|Flying|Innistrad Tokens|Common||Winona Nelson|1|Finishes: nonfoil:<br>Promos: setpromo:<br>https://scryfall.com/card/tisd/1/angel?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/a/0/a0d7d857-2a54-4d0e-a97c-11400053194c.jpg?1562639953}
0dbede5b-8e61-4ed8-bccb-8b54f69cccee|Spirit||Token Creature - Spirit|1|1|Flying|Innistrad Tokens|Common||Kev Walker|2|Finishes: nonfoil:<br>Promos: setpromo:<br>https://scryfall.com/card/tisd/2/spirit?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/0/d/0dbede5b-8e61-4ed8-bccb-8b54f69cccee.jpg?1562639669}
e2020f53-d012-4d26-be13-87ed0f196c53|Homunculus||Token Creature - Homunculus|2|2||Innistrad Tokens|Common||Johann Bodin|3|Finishes: nonfoil:<br>Promos: setpromo:<br>https://scryfall.com/card/tisd/3/homunculus?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/e/2/e2020f53-d012-4d26-be13-87ed0f196c53.jpg?1562640096}
771ae1f8-70b3-40da-8352-421a36c7abb5|Demon||Token Creature - Demon|5|5|Flying|Innistrad Tokens|Common||Kev Walker|4|Finishes: nonfoil:<br>Promos: setpromo:<br>https://scryfall.com/card/tisd/4/demon?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/7/7/771ae1f8-70b3-40da-8352-421a36c7abb5.jpg?1562639865}
5f68c2ab-5131-4620-920f-7ba99522ccf0|Vampire||Token Creature - Vampire|2|2|Flying|Innistrad Tokens|Common||Svetlin Velinov|5|Finishes: nonfoil:<br>Promos: setpromo:<br>https://scryfall.com/card/tisd/5/vampire?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/5/f/5f68c2ab-5131-4620-920f-7ba99522ccf0.jpg?1562639825}
7a49607c-427a-474c-ad77-60cd05844b3c|Wolf||Token Creature - Wolf|1|1|Deathtouch|Innistrad Tokens|Common||Daniel Ljunggren|6|Finishes: nonfoil:<br>Promos: setpromo:<br>https://scryfall.com/card/tisd/6/wolf?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/7/a/7a49607c-427a-474c-ad77-60cd05844b3c.jpg?1562639871}
c9a85357-3cad-4a1e-805b-ea4146d8b05f|Zombie||Token Creature - Zombie|2|2||Innistrad Tokens|Common||Lucas Graciano|7|Finishes: nonfoil:<br>Promos: setpromo:<br>https://scryfall.com/card/tisd/7/zombie?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/c/9/c9a85357-3cad-4a1e-805b-ea4146d8b05f.jpg?1562640041}
afec06c5-28e3-462c-9e15-4b0c405cc810|Zombie||Token Creature - Zombie|2|2||Innistrad Tokens|Common||Christopher Moeller|8|Finishes: nonfoil:<br>Promos: setpromo:<br>https://scryfall.com/card/tisd/8/zombie?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/a/f/afec06c5-28e3-462c-9e15-4b0c405cc810.jpg?1562639981}
8a98d0bf-4106-4ff1-89d4-3f6040b2cd5e|Zombie||Token Creature - Zombie|2|2||Innistrad Tokens|Common||Cynthia Sheppard|9|Finishes: nonfoil:<br>Promos: setpromo:<br>https://scryfall.com/card/tisd/9/zombie?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/8/a/8a98d0bf-4106-4ff1-89d4-3f6040b2cd5e.jpg?1562639909}
1f22cfdb-15af-46b9-b5c9-d0c76d5b15d6|Ooze||Token Creature - Ooze|*|*||Innistrad Tokens|Common||Erica Yang|10|Finishes: nonfoil:<br>Promos: setpromo:<br>https://scryfall.com/card/tisd/10/ooze?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/1/f/1f22cfdb-15af-46b9-b5c9-d0c76d5b15d6.jpg?1658401140}
