ID|NAME|COST|TYPE|POWER|TOUGHNESS|ORACLE|SET|RARITY|LANG|ARTIST|COLLNUM|TEXT|GATHERERID|TCGID|PROPERTIES
5e51f727-5a9b-4bc7-83a9-dbcf1c933e15|Aang's Journey|{2}|Sorcery - Lesson|||Kicker {2} (You may pay an additional {2} as you cast this spell.)<br>Search your library for a basic land card. If this spell was kicked, instead search your library for a basic land card and a Shrine card. Reveal those cards, put them into your hand, then shuffle.<br>You gain 2 life.<BR><a href="https://api.scryfall.com/cards/5e51f727-5a9b-4bc7-83a9-dbcf1c933e15/rulings">Rulings</a>|Avatar: The Last Airbender|Common||Kotakan|1|Finishes: nonfoil:foil:<br>Promos: universesbeyond:<br><br><a href="https://scryfall.com/card/tla/1/aangs-journey?utm_source=api">Scryfall</a>|0|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/5/e/5e51f727-5a9b-4bc7-83a9-dbcf1c933e15.jpg?1764119871}
6c085441-e023-4032-89a0-d24ce5060ac3|Energybending|{2}|Instant - Lesson|||Lands you control gain all basic land types until end of turn.<br>Draw a card.<BR><a href="https://api.scryfall.com/cards/6c085441-e023-4032-89a0-d24ce5060ac3/rulings">Rulings</a>|Avatar: The Last Airbender|Uncommon||Hisashi Momose|2|Finishes: nonfoil:foil:<br>Promos: universesbeyond:<br><br><a href="https://scryfall.com/card/tla/2/energybending?utm_source=api">Scryfall</a>|0|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/6/c/6c085441-e023-4032-89a0-d24ce5060ac3.jpg?1764119878}
9090b055-3406-4fed-a8c6-3f6353a9600e|Zuko's Exile|{5}|Instant - Lesson|||Exile target artifact, creature, or enchantment. Its controller creates a Clue token. (It's an artifact with "{2}, Sacrifice this token: Draw a card.")<BR><a href="https://api.scryfall.com/cards/9090b055-3406-4fed-a8c6-3f6353a9600e/rulings">Rulings</a>|Avatar: The Last Airbender|Common||Eiji Kaneda|3|Finishes: nonfoil:foil:<br>Promos: universesbeyond:<br><br><a href="https://scryfall.com/card/tla/3/zukos-exile?utm_source=api">Scryfall</a>|0|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/9/0/9090b055-3406-4fed-a8c6-3f6353a9600e.jpg?1764119886}
245e008c-e073-443f-9592-6f628c0026ec|Aang, the Last Airbender|{3}{W}|Legendary Creature - Human Avatar Ally|3|2|Flying<br>When Aang enters, airbend up to one other target nonland permanent. (Exile it. While it's exiled, its owner may cast it for {2} rather than its mana cost.)<br>Whenever you cast a Lesson spell, Aang gains lifelink until end of turn.<BR><a href="https://api.scryfall.com/cards/245e008c-e073-443f-9592-6f628c0026ec/rulings">Rulings</a>|Avatar: The Last Airbender|Uncommon||Yueko|4|Finishes: nonfoil:foil:<br>Promos: universesbeyond:<br><br><a href="https://scryfall.com/card/tla/4/aang-the-last-airbender?utm_source=api">Scryfall</a>|0|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/2/4/245e008c-e073-443f-9592-6f628c0026ec.jpg?1764119893}
720fbd87-b1c1-4b3b-97a1-46b943b115e3|Aang's Iceberg|{2}{W}|Enchantment|||Flash<br>When this enchantment enters, exile up to one other target nonland permanent until this enchantment leaves the battlefield.<br>Waterbend {3}: Sacrifice this enchantment. If you do, scry 2. (While paying a waterbend cost, you can tap your artifacts and creatures to help. Each one pays for {1}.)<BR><a href="https://api.scryfall.com/cards/720fbd87-b1c1-4b3b-97a1-46b943b115e3/rulings">Rulings</a>|Avatar: The Last Airbender|Rare||Matteo Bassini|5|Finishes: nonfoil:foil:<br>Promos: universesbeyond:<br><br><a href="https://scryfall.com/card/tla/5/aangs-iceberg?utm_source=api">Scryfall</a>|0|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/7/2/720fbd87-b1c1-4b3b-97a1-46b943b115e3.jpg?1764119900}
99a90d13-891c-45cc-b1d5-6080ebae5862|Airbender Ascension|{1}{W}|Enchantment|||When this enchantment enters, airbend up to one target creature.<br>Whenever a creature you control enters, put a quest counter on this enchantment.<br>At the beginning of your end step, if this enchantment has four or more quest counters on it, exile up to one target creature you control, then return it to the battlefield under its owner's control.<BR><a href="https://api.scryfall.com/cards/99a90d13-891c-45cc-b1d5-6080ebae5862/rulings">Rulings</a>|Avatar: The Last Airbender|Rare||Shiren|6|Finishes: nonfoil:foil:<br>Promos: universesbeyond:<br><br><a href="https://scryfall.com/card/tla/6/airbender-ascension?utm_source=api">Scryfall</a>|0|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/9/9/99a90d13-891c-45cc-b1d5-6080ebae5862.jpg?1764119907}
6b7078e4-2892-4b5f-83ab-90369e0d6dba|Airbender's Reversal|{1}{W}|Instant - Lesson|||Choose one —<br>• Destroy target attacking creature.<br>• Airbend target creature you control. (Exile it. While it's exiled, its owner may cast it for {2} rather than its mana cost.)<BR><a href="https://api.scryfall.com/cards/6b7078e4-2892-4b5f-83ab-90369e0d6dba/rulings">Rulings</a>|Avatar: The Last Airbender|Uncommon||Kotakan|7|Finishes: nonfoil:foil:<br>Promos: universesbeyond:<br><br><a href="https://scryfall.com/card/tla/7/airbenders-reversal?utm_source=api">Scryfall</a>|0|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/6/b/6b7078e4-2892-4b5f-83ab-90369e0d6dba.jpg?1764119914}
e2bcd0a6-e94d-4a21-a334-a57459c1b8cc|Airbending Lesson|{2}{W}|Instant - Lesson|||Airbend target nonland permanent. (Exile it. While it's exiled, its owner may cast it for {2} rather than its mana cost.)<br>Draw a card.<BR><a href="https://api.scryfall.com/cards/e2bcd0a6-e94d-4a21-a334-a57459c1b8cc/rulings">Rulings</a>|Avatar: The Last Airbender|Common||Pisukev|8|Finishes: nonfoil:foil:<br>Promos: universesbeyond:<br><br><a href="https://scryfall.com/card/tla/8/airbending-lesson?utm_source=api">Scryfall</a>|0|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/e/2/e2bcd0a6-e94d-4a21-a334-a57459c1b8cc.jpg?1764119921}
a9b2a843-c6fe-4d19-801e-1538e4381ab0|Appa, Loyal Sky Bison|{4}{W}{W}|Legendary Creature - Bison Ally|4|4|Flying<br>Whenever Appa enters or attacks, choose one —<br>• Target creature you control gains flying until end of turn.<br>• Airbend another target nonland permanent you control. (Exile it. While it's exiled, its owner may cast it for {2} rather than its mana cost.)<BR><a href="https://api.scryfall.com/cards/a9b2a843-c6fe-4d19-801e-1538e4381ab0/rulings">Rulings</a>|Avatar: The Last Airbender|Uncommon||Tomoyo Asatani|9|Finishes: nonfoil:foil:<br>Promos: universesbeyond:<br><br><a href="https://scryfall.com/card/tla/9/appa-loyal-sky-bison?utm_source=api">Scryfall</a>|0|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/a/9/a9b2a843-c6fe-4d19-801e-1538e4381ab0.jpg?1764119928}
829d91e9-4878-4e55-a262-ac0d55b65d4e|Appa, Steadfast Guardian|{2}{W}{W}|Legendary Creature - Bison Ally|3|4|Flash<br>Flying<br>When Appa enters, airbend any number of other target nonland permanents you control. (Exile them. While each one is exiled, its owner may cast it for {2} rather than its mana cost.)<br>Whenever you cast a spell from exile, create a 1/1 white Ally creature token.<BR><a href="https://api.scryfall.com/cards/829d91e9-4878-4e55-a262-ac0d55b65d4e/rulings">Rulings</a>|Avatar: The Last Airbender|Mythic||Maël Ollivier-Henry|10|Finishes: nonfoil:foil:<br>Promos: universesbeyond:<br><br><a href="https://scryfall.com/card/tla/10/appa-steadfast-guardian?utm_source=api">Scryfall</a>|0|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/8/2/829d91e9-4878-4e55-a262-ac0d55b65d4e.jpg?1764119935}
