ID|NAME|COST|TYPE|POWER|TOUGHNESS|ORACLE|SET|RARITY|LANG|ARTIST|COLLNUM|TEXT|PROPERTIES
01c3b739-89b3-4ad8-aab9-76e8f87cf123|Copy||Token|||(This token can be used to represent a token that's a copy of a permanent.)|The Lost Caverns of Ixalan Tokens|Common||Henry Peters|1|Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/tlci/1/copy?utm_source=api">Scryfall</a>|{IMAGE_URL=https://cards.scryfall.io/normal/front/0/1/01c3b739-89b3-4ad8-aab9-76e8f87cf123.jpg?1698873980}
1a0d80ce-9397-4c6d-9a07-31172d46f42a|Angel||Token Creature - Angel|4|4|Flying, vigilance|The Lost Caverns of Ixalan Tokens|Common||Zoltan Boros|2|Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/tlci/2/angel?utm_source=api">Scryfall</a>|{IMAGE_URL=https://cards.scryfall.io/normal/front/1/a/1a0d80ce-9397-4c6d-9a07-31172d46f42a.jpg?1699017102}
cbe7c36a-77b7-4418-9e2d-b6aeea61502e|Gnome Soldier||Token Artifact Creature - Gnome Soldier|*|*|This creature's power and toughness are each equal to the number of artifacts and/or creatures you control.|The Lost Caverns of Ixalan Tokens|Common||Steve Ellis|3|Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/tlci/3/gnome-soldier?utm_source=api">Scryfall</a>|{IMAGE_URL=https://cards.scryfall.io/normal/front/c/b/cbe7c36a-77b7-4418-9e2d-b6aeea61502e.jpg?1717371601}
0484390e-1167-4407-84de-7ddc726e8926|Vampire||Token Creature - Vampire|1|1|Lifelink (Damage dealt by this creature also causes you to gain that much life.)|The Lost Caverns of Ixalan Tokens|Common||Bruno Biazotto|4|Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/tlci/4/vampire?utm_source=api">Scryfall</a>|{IMAGE_URL=https://cards.scryfall.io/normal/front/0/4/0484390e-1167-4407-84de-7ddc726e8926.jpg?1698874036}
f5d353ad-7160-41fa-809c-d76b36478a2a|Merfolk||Token Creature - Merfolk|1|1|Hexproof (This creature can't be the target of spells or abilities your opponents control.)|The Lost Caverns of Ixalan Tokens|Common||Julio Reyna|5|Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/tlci/5/merfolk?utm_source=api">Scryfall</a>|{IMAGE_URL=https://cards.scryfall.io/normal/front/f/5/f5d353ad-7160-41fa-809c-d76b36478a2a.jpg?1698874086}
00841e4b-0995-4fb5-93d6-e177beba4934|Bat||Token Creature - Bat|1|1|Flying|The Lost Caverns of Ixalan Tokens|Common||Steven Russell Black|6|Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/tlci/6/bat?utm_source=api">Scryfall</a>|{IMAGE_URL=https://cards.scryfall.io/normal/front/0/0/00841e4b-0995-4fb5-93d6-e177beba4934.jpg?1698873968}
73ff66e3-ea24-4542-887f-c41abb1759e6|Fungus||Token Creature - Fungus|1|1|This creature can't block.|The Lost Caverns of Ixalan Tokens|Common||Domenico Cava|7|Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/tlci/7/fungus?utm_source=api">Scryfall</a>|{IMAGE_URL=https://cards.scryfall.io/normal/front/7/3/73ff66e3-ea24-4542-887f-c41abb1759e6.jpg?1699017235}
2ec83fe2-173b-4aa6-bfa1-892b092bd1f6|Skeleton Pirate||Token Creature - Skeleton Pirate|2|2||The Lost Caverns of Ixalan Tokens|Common||Izzy|8|Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/tlci/8/skeleton-pirate?utm_source=api">Scryfall</a>|{IMAGE_URL=https://cards.scryfall.io/normal/front/2/e/2ec83fe2-173b-4aa6-bfa1-892b092bd1f6.jpg?1698874014}
ee0702f9-769b-40c0-96a7-508dc8f2652c|Dinosaur||Token Creature - Dinosaur|3|1||The Lost Caverns of Ixalan Tokens|Common||Francisco Miyara|9|Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/tlci/9/dinosaur?utm_source=api">Scryfall</a>|{IMAGE_URL=https://cards.scryfall.io/normal/front/e/e/ee0702f9-769b-40c0-96a7-508dc8f2652c.jpg?1699017321}
2bbb7151-cf71-49bc-8d99-b0230d5465e5|Dinosaur||Token Creature - Dinosaur|3|3||The Lost Caverns of Ixalan Tokens|Common||Loïc Canavaggia|10|Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/tlci/10/dinosaur?utm_source=api">Scryfall</a>|{IMAGE_URL=https://cards.scryfall.io/normal/front/2/b/2bbb7151-cf71-49bc-8d99-b0230d5465e5.jpg?1699017364}
a7e24a8f-3663-47c6-94b1-4525ae9da3b5|Dinosaur Egg||Token Creature - Dinosaur Egg|0|1||The Lost Caverns of Ixalan Tokens|Common||Muhammad Firdaus|11|Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/tlci/11/dinosaur-egg?utm_source=api">Scryfall</a>|{IMAGE_URL=https://cards.scryfall.io/normal/front/a/7/a7e24a8f-3663-47c6-94b1-4525ae9da3b5.jpg?1699017427}
f92f2858-e524-4d23-b947-d4dff20e7f59|Fungus Dinosaur||Token Creature - Fungus Dinosaur|*|*||The Lost Caverns of Ixalan Tokens|Common||Dave Kendall|12|Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/tlci/12/fungus-dinosaur?utm_source=api">Scryfall</a>|{IMAGE_URL=https://cards.scryfall.io/normal/front/f/9/f92f2858-e524-4d23-b947-d4dff20e7f59.jpg?1699017607}
33a88096-dcfd-4acb-a092-b51507edd13e|Golem||Token Artifact Creature - Golem|4|4||The Lost Caverns of Ixalan Tokens|Common||Racrufi|13|Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/tlci/13/golem?utm_source=api">Scryfall</a>|{IMAGE_URL=https://cards.scryfall.io/normal/front/3/3/33a88096-dcfd-4acb-a092-b51507edd13e.jpg?1699017582}
072cd10b-98d3-452e-bf8d-13a75cc3d72e|Spirit||Token Creature - Spirit|3|2||The Lost Caverns of Ixalan Tokens|Common||Milivoj Ćeran|14|Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/tlci/14/spirit?utm_source=api">Scryfall</a>|{IMAGE_URL=https://cards.scryfall.io/normal/front/0/7/072cd10b-98d3-452e-bf8d-13a75cc3d72e.jpg?1699017664}
3005eb0a-5c96-4a07-a6b9-a907d1095cdf|Vampire Demon||Token Creature - Vampire Demon|4|3|Flying|The Lost Caverns of Ixalan Tokens|Common||Nino Vecia|15|Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/tlci/15/vampire-demon?utm_source=api">Scryfall</a>|{IMAGE_URL=https://cards.scryfall.io/normal/front/3/0/3005eb0a-5c96-4a07-a6b9-a907d1095cdf.jpg?1702185136}
6def709a-53b3-4520-9544-74ab6472d256|Gnome||Token Artifact Creature - Gnome|1|1||The Lost Caverns of Ixalan Tokens|Common||Racrufi|16|Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/tlci/16/gnome?utm_source=api">Scryfall</a>|{IMAGE_URL=https://cards.scryfall.io/normal/front/6/d/6def709a-53b3-4520-9544-74ab6472d256.jpg?1699017702}
64839118-09d2-4645-9d3c-f80755ac781f|Map||Token Artifact - Map|||{1}, {T}, Sacrifice this artifact: Target creature you control explores. Activate only as a sorcery. (Reveal the top card of your library. Put that card into your hand if it's a land. Otherwise, put a +1/+1 counter on that creature, then put the card back or put it into your graveyard.)|The Lost Caverns of Ixalan Tokens|Common||Francesca Baerald|17|Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/tlci/17/map?utm_source=api">Scryfall</a>|{IMAGE_URL=https://cards.scryfall.io/normal/front/6/4/64839118-09d2-4645-9d3c-f80755ac781f.jpg?1698873927}
3dfaedeb-f8ec-4f0e-b243-c850770a86f2|Treasure||Token Artifact - Treasure|||{T}, Sacrifice this token: Add one mana of any color.|The Lost Caverns of Ixalan Tokens|Common||Wero Gallo|18|Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/tlci/18/treasure?utm_source=api">Scryfall</a>|{IMAGE_URL=https://cards.scryfall.io/normal/front/3/d/3dfaedeb-f8ec-4f0e-b243-c850770a86f2.jpg?1698873949}
a004f309-5833-4058-ac71-d203c648897f|Punchcard // Punchcard||Card||||The Lost Caverns of Ixalan Tokens|Common|||19|Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/tlci/19/punchcard-punchcard?utm_source=api">Scryfall</a>|{IMAGE_URL=https://cards.scryfall.io/normal/front/a/0/a004f309-5833-4058-ac71-d203c648897f.jpg?1752344260, FLIPID=-a004f309-5833-4058-ac71-d203c648897f}
-a004f309-5833-4058-ac71-d203c648897f|Punchcard // Punchcard (double_faced_token)||Card||||The Lost Caverns of Ixalan Tokens|Common|||19b|Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/tlci/19/punchcard-punchcard?utm_source=api">Scryfall</a>|{IMAGE_URL=https://cards.scryfall.io/normal/back/a/0/a004f309-5833-4058-ac71-d203c648897f.jpg?1752344260, FLIPID=a004f309-5833-4058-ac71-d203c648897f}
