ID|NAME|COST|TYPE|POWER|TOUGHNESS|ORACLE|SET|RARITY|LANG|ARTIST|COLLNUM|TEXT|GATHERERID|TCGID|PROPERTIES
561341f5-3eb1-4f52-8dee-668a60e091be|Bird||Token Creature - Bird|3|3|Flying<br>Whenever this creature attacks, target attacking creature gains flying until end of turn.<BR><a href="https://api.scryfall.com/cards/561341f5-3eb1-4f52-8dee-668a60e091be/rulings">Rulings</a>|Tales of Middle-earth Commander Tokens|Common||Pablo Mendoza|1|Finishes: nonfoil:<br>Promos: universesbeyond:<br><br><a href="https://scryfall.com/card/tltc/1/bird?utm_source=api">Scryfall</a>|0|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/5/6/561341f5-3eb1-4f52-8dee-668a60e091be.jpg?1707450466}
c47259b5-2bc9-42cc-ae64-790f04da70c0|Goat||Token Creature - Goat|0|1|<BR><a href="https://api.scryfall.com/cards/c47259b5-2bc9-42cc-ae64-790f04da70c0/rulings">Rulings</a>|Tales of Middle-earth Commander Tokens|Common||Uriah Voth|2|Finishes: nonfoil:<br>Promos: universesbeyond:<br><br><a href="https://scryfall.com/card/tltc/2/goat?utm_source=api">Scryfall</a>|0|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/c/4/c47259b5-2bc9-42cc-ae64-790f04da70c0.jpg?1686265894}
bbd9ff58-4d38-4d34-9dfc-6f788830297e|Halfling||Tolkien Creature - Halfling|1|1|<BR><a href="https://api.scryfall.com/cards/bbd9ff58-4d38-4d34-9dfc-6f788830297e/rulings">Rulings</a>|Tales of Middle-earth Commander Tokens|Common||Wangjie Li|3|Finishes: nonfoil:<br>Promos: universesbeyond:<br><br><a href="https://scryfall.com/card/tltc/3/halfling?utm_source=api">Scryfall</a>|0|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/b/b/bbd9ff58-4d38-4d34-9dfc-6f788830297e.jpg?1686265881}
68264336-6bfb-44d9-86f5-86ef6433bc2f|Human||Token Creature - Human|1|1|<BR><a href="https://api.scryfall.com/cards/68264336-6bfb-44d9-86f5-86ef6433bc2f/rulings">Rulings</a>|Tales of Middle-earth Commander Tokens|Common||Tyukina Tatiana|4|Finishes: nonfoil:<br>Promos: universesbeyond:<br><br><a href="https://scryfall.com/card/tltc/4/human?utm_source=api">Scryfall</a>|0|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/6/8/68264336-6bfb-44d9-86f5-86ef6433bc2f.jpg?1686258977}
89e87c22-c966-40bb-9465-311cc1655fe2|Soldier||Token Creature - Soldier|1|1|Lifelink<BR><a href="https://api.scryfall.com/cards/89e87c22-c966-40bb-9465-311cc1655fe2/rulings">Rulings</a>|Tales of Middle-earth Commander Tokens|Common||Lixin Yin|5|Finishes: nonfoil:<br>Promos: universesbeyond:<br><br><a href="https://scryfall.com/card/tltc/5/soldier?utm_source=api">Scryfall</a>|0|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/8/9/89e87c22-c966-40bb-9465-311cc1655fe2.jpg?1686264191}
c813d283-c996-4f85-afaa-7702414a1197|Bird||Token Creature - Bird|2|2|Flying<BR><a href="https://api.scryfall.com/cards/c813d283-c996-4f85-afaa-7702414a1197/rulings">Rulings</a>|Tales of Middle-earth Commander Tokens|Common||Audrey Benjaminsen|6|Finishes: nonfoil:<br>Promos: universesbeyond:<br><br><a href="https://scryfall.com/card/tltc/6/bird?utm_source=api">Scryfall</a>|0|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/c/8/c813d283-c996-4f85-afaa-7702414a1197.jpg?1686264248}
9afb58e8-f5a7-49f9-8287-77757bd3268c|Wraith||Token Creature - Wraith|3|3|Menace<BR><a href="https://api.scryfall.com/cards/9afb58e8-f5a7-49f9-8287-77757bd3268c/rulings">Rulings</a>|Tales of Middle-earth Commander Tokens|Common||Wonchun Choi|7|Finishes: nonfoil:<br>Promos: universesbeyond:<br><br><a href="https://scryfall.com/card/tltc/7/wraith?utm_source=api">Scryfall</a>|0|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/9/a/9afb58e8-f5a7-49f9-8287-77757bd3268c.jpg?1709590980}
98ce0500-d9b4-4218-bcc6-dd6194068958|Goblin||Token Creature - Goblin|1|1|<BR><a href="https://api.scryfall.com/cards/98ce0500-d9b4-4218-bcc6-dd6194068958/rulings">Rulings</a>|Tales of Middle-earth Commander Tokens|Common||Zoltan Boros|8|Finishes: nonfoil:<br>Promos: universesbeyond:<br><br><a href="https://scryfall.com/card/tltc/8/goblin?utm_source=api">Scryfall</a>|0|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/9/8/98ce0500-d9b4-4218-bcc6-dd6194068958.jpg?1686264363}
491fc1c3-a46e-4cfd-a749-57f4c96f6aea|Human Knight||Token Creature - Human Knight|2|2|Trample, haste<BR><a href="https://api.scryfall.com/cards/491fc1c3-a46e-4cfd-a749-57f4c96f6aea/rulings">Rulings</a>|Tales of Middle-earth Commander Tokens|Common||Inka Schulz|9|Finishes: nonfoil:<br>Promos: universesbeyond:<br><br><a href="https://scryfall.com/card/tltc/9/human-knight?utm_source=api">Scryfall</a>|0|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/4/9/491fc1c3-a46e-4cfd-a749-57f4c96f6aea.jpg?1709590977}
c622237d-92e5-4efc-aec4-0a18efd6fb38|Beast||Token Creature - Beast|3|3|<BR><a href="https://api.scryfall.com/cards/c622237d-92e5-4efc-aec4-0a18efd6fb38/rulings">Rulings</a>|Tales of Middle-earth Commander Tokens|Common||Warren Mahy|10|Finishes: nonfoil:<br>Promos: universesbeyond:<br><br><a href="https://scryfall.com/card/tltc/10/beast?utm_source=api">Scryfall</a>|0|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/c/6/c622237d-92e5-4efc-aec4-0a18efd6fb38.jpg?1686264549}
023f668a-a8e6-4fcb-98d1-30adf343f050|Elf Warrior||Token Creature - Elf Warrior|1|1|<BR><a href="https://api.scryfall.com/cards/023f668a-a8e6-4fcb-98d1-30adf343f050/rulings">Rulings</a>|Tales of Middle-earth Commander Tokens|Common||Daniel Correia|11|Finishes: nonfoil:<br>Promos: universesbeyond:<br><br><a href="https://scryfall.com/card/tltc/11/elf-warrior?utm_source=api">Scryfall</a>|0|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/0/2/023f668a-a8e6-4fcb-98d1-30adf343f050.jpg?1686264599}
83d61e7f-9eef-48d4-9261-9ff18dfd2a65|Insect||Token Creature - Insect|1|1|Flying, deathtouch<BR><a href="https://api.scryfall.com/cards/83d61e7f-9eef-48d4-9261-9ff18dfd2a65/rulings">Rulings</a>|Tales of Middle-earth Commander Tokens|Common||Oleg Bulakh|12|Finishes: nonfoil:<br>Promos: universesbeyond:<br><br><a href="https://scryfall.com/card/tltc/12/insect?utm_source=api">Scryfall</a>|0|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/8/3/83d61e7f-9eef-48d4-9261-9ff18dfd2a65.jpg?1686264640}
bf661b43-53eb-4e51-8152-420f6d8c925f|Treefolk||Token Creature - Treefolk|*|*|<BR><a href="https://api.scryfall.com/cards/bf661b43-53eb-4e51-8152-420f6d8c925f/rulings">Rulings</a>|Tales of Middle-earth Commander Tokens|Common||Audrey Benjaminsen|13|Finishes: nonfoil:<br>Promos: universesbeyond:<br><br><a href="https://scryfall.com/card/tltc/13/treefolk?utm_source=api">Scryfall</a>|0|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/b/f/bf661b43-53eb-4e51-8152-420f6d8c925f.jpg?1686264692}
