ID|NAME|COST|TYPE|POWER|TOUGHNESS|ORACLE|SET|RARITY|LANG|ARTIST|COLLNUM|TEXT|PROPERTIES
68353af0-9cd0-43c0-9b39-8f904c618e3a|Sliver||Token Creature - Sliver|1|1||Magic 2014 Tokens|Common||Igor Kieryluk|1|Finishes: nonfoil:<br>Promos: setpromo:<br>https://scryfall.com/card/tm14/1/sliver?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/6/8/68353af0-9cd0-43c0-9b39-8f904c618e3a.jpg?1562497271}
826320b7-4ccf-4ace-8c2c-15052b6bad73|Angel||Token Creature - Angel|4|4|Flying|Magic 2014 Tokens|Common||James Ryman|2|Finishes: nonfoil:<br>Promos: setpromo:<br>https://scryfall.com/card/tm14/2/angel?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/8/2/826320b7-4ccf-4ace-8c2c-15052b6bad73.jpg?1562497272}
db41ce71-52df-4bc1-884d-b09419d8dd13|Cat||Token Creature - Cat|2|2||Magic 2014 Tokens|Common||Jesper Ejsing|3|Finishes: nonfoil:<br>Promos: setpromo:<br>https://scryfall.com/card/tm14/3/cat?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/d/b/db41ce71-52df-4bc1-884d-b09419d8dd13.jpg?1562497278}
64e90524-bad8-4d24-85be-9402401e7b42|Goat||Token Creature - Goat|0|1||Magic 2014 Tokens|Common||Adam Paquette|4|Finishes: nonfoil:<br>Promos: setpromo:<br>https://scryfall.com/card/tm14/4/goat?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/6/4/64e90524-bad8-4d24-85be-9402401e7b42.jpg?1562497269}
07d82a8d-4c57-401f-92c3-8fd9ba20174a|Zombie||Token Creature - Zombie|2|2||Magic 2014 Tokens|Common||Lucas Graciano|5|Finishes: nonfoil:<br>Promos: setpromo:<br>https://scryfall.com/card/tm14/5/zombie?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/0/7/07d82a8d-4c57-401f-92c3-8fd9ba20174a.jpg?1562497265}
0efaa5b5-984d-4eff-81b6-9b4989f149eb|Dragon||Token Creature - Dragon|2|2|Flying<br>{R}: This creature gets +1/+0 until end of turn.|Magic 2014 Tokens|Common||Jack Wang|6|Finishes: nonfoil:<br>Promos: setpromo:<br>https://scryfall.com/card/tm14/6/dragon?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/0/e/0efaa5b5-984d-4eff-81b6-9b4989f149eb.jpg?1562497266}
ed37fa8e-5930-4e57-8ead-73894ac40c19|Elemental||Token Creature - Elemental|1|1||Magic 2014 Tokens|Common||Jaime Jones|7|Finishes: nonfoil:<br>Promos: setpromo:<br>https://scryfall.com/card/tm14/7/elemental?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/e/d/ed37fa8e-5930-4e57-8ead-73894ac40c19.jpg?1562497279}
fc7315d5-26d9-4ecc-bca2-b75c6fb12597|Elemental||Token Creature - Elemental|1|1||Magic 2014 Tokens|Common||Winona Nelson|8|Finishes: nonfoil:<br>Promos: setpromo:<br>https://scryfall.com/card/tm14/8/elemental?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/f/c/fc7315d5-26d9-4ecc-bca2-b75c6fb12597.jpg?1562497282}
a8fc2dc9-40df-46d8-98c0-ca4919bd5524|Beast||Token Creature - Beast|3|3||Magic 2014 Tokens|Common||John Donahue|9|Finishes: nonfoil:<br>Promos: setpromo:<br>https://scryfall.com/card/tm14/9/beast?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/a/8/a8fc2dc9-40df-46d8-98c0-ca4919bd5524.jpg?1562497273}
afd66b96-eccb-44ce-9125-063d34af2ff8|Saproling||Token Creature - Saproling|1|1||Magic 2014 Tokens|Common||Brad Rigney|10|Finishes: nonfoil:<br>Promos: setpromo:<br>https://scryfall.com/card/tm14/10/saproling?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/a/f/afd66b96-eccb-44ce-9125-063d34af2ff8.jpg?1562497275}
309f1bd4-78af-4722-9d45-b5f40b001570|Wolf||Token Creature - Wolf|2|2||Magic 2014 Tokens|Common||Lars Grant-West|11|Finishes: nonfoil:<br>Promos: setpromo:<br>https://scryfall.com/card/tm14/11/wolf?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/3/0/309f1bd4-78af-4722-9d45-b5f40b001570.jpg?1562497268}
f327de6e-c9f1-478d-9940-b500df8cef10|Liliana of the Dark Realms Emblem||Emblem - Liliana|||Swamps you control have '{T}: Add {B}{B}{B}{B}.'|Magic 2014 Tokens|Common||D. Alexander Gregory|12|Finishes: nonfoil:<br>Promos: setpromo:<br>https://scryfall.com/card/tm14/12/liliana-of-the-dark-realms-emblem?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/f/3/f327de6e-c9f1-478d-9940-b500df8cef10.jpg?1562497281}
d16429cb-9b00-4411-9ffc-252b38ad0b8c|Garruk, Caller of Beasts Emblem||Emblem - Garruk|||Whenever you cast a creature spell, you may search your library for a creature card, put it onto the battlefield, then shuffle your library.|Magic 2014 Tokens|Common||Karl Kopinski|13|Finishes: nonfoil:<br>Promos: setpromo:<br>https://scryfall.com/card/tm14/13/garruk-caller-of-beasts-emblem?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/d/1/d16429cb-9b00-4411-9ffc-252b38ad0b8c.jpg?1562497276}
