ID|NAME|COST|TYPE|POWER|TOUGHNESS|ORACLE|SET|RARITY|LANG|ARTIST|COLLNUM|TEXT|PROPERTIES
0b14ddd5-7501-46e5-bcc7-e2bbef81b8b0|Eldrazi Spawn||Token Creature - Eldrazi Spawn|0|1|Sacrifice this creature: Add {C}.|Midnight Hunt Commander Tokens|Common||Aleksi Briclot|1|Finishes: nonfoil:<br>https://scryfall.com/card/tmic/1/eldrazi-spawn?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/0/b/0b14ddd5-7501-46e5-bcc7-e2bbef81b8b0.jpg?1641305703}
99c69f77-b0bc-4af0-92f5-18ee18b1aa47|Human Soldier||Token Creature - Human Soldier|1|1||Midnight Hunt Commander Tokens|Common||Deruchenko Alexander|2|Finishes: nonfoil:<br>https://scryfall.com/card/tmic/2/human-soldier?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/9/9/99c69f77-b0bc-4af0-92f5-18ee18b1aa47.jpg?1641305703}
258876ae-bdd2-4103-ba76-849907cf181d|Knight||Token Creature - Knight|2|2|Vigilance|Midnight Hunt Commander Tokens|Common||Matt Stewart|3|Finishes: nonfoil:<br>https://scryfall.com/card/tmic/3/knight?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/2/5/258876ae-bdd2-4103-ba76-849907cf181d.jpg?1641305706}
dd7d1b61-54c3-4d4c-88cd-c7ad7789a8dd|Zombie||Token Creature - Zombie|*|*||Midnight Hunt Commander Tokens|Common||Dave Kendall|4|Finishes: nonfoil:<br>https://scryfall.com/card/tmic/4/zombie?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/d/d/dd7d1b61-54c3-4d4c-88cd-c7ad7789a8dd.jpg?1641305708}
3d13fb9e-6906-47d3-b22d-c8817b2403b3|Zombie||Token Creature - Zombie|2|2||Midnight Hunt Commander Tokens|Common||Anna Steinbauer|5|Finishes: nonfoil:<br>https://scryfall.com/card/tmic/5/zombie?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/3/d/3d13fb9e-6906-47d3-b22d-c8817b2403b3.jpg?1644881162}
a058374a-b2e7-433d-8181-89df14f4a76e|Zombie Army||Token Creature - Zombie Army|0|0||Midnight Hunt Commander Tokens|Common||Tomasz Jedruszek|6|Finishes: nonfoil:<br>https://scryfall.com/card/tmic/6/zombie-army?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/a/0/a058374a-b2e7-433d-8181-89df14f4a76e.jpg?1644881181}
a605be96-abae-4c11-8e7c-6fb87b4d8795|Beast||Token Creature - Beast|3|3||Midnight Hunt Commander Tokens|Common||Jesper Ejsing|7|Finishes: nonfoil:<br>https://scryfall.com/card/tmic/7/beast?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/a/6/a605be96-abae-4c11-8e7c-6fb87b4d8795.jpg?1644881199}
733268ab-9ec0-4838-9a02-5a95dab3a400|Centaur||Token Creature - Centaur|3|3||Midnight Hunt Commander Tokens|Common||Slawomir Maniak|8|Finishes: nonfoil:<br>https://scryfall.com/card/tmic/8/centaur?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/7/3/733268ab-9ec0-4838-9a02-5a95dab3a400.jpg?1641305716}
663b1e39-8a41-4a9d-bfd8-63a71b04f4f9|Elephant||Token Creature - Elephant|3|3||Midnight Hunt Commander Tokens|Common||Lars Grant-West|9|Finishes: nonfoil:<br>https://scryfall.com/card/tmic/9/elephant?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/6/6/663b1e39-8a41-4a9d-bfd8-63a71b04f4f9.jpg?1641305718}
bc651dc2-9a3b-470c-b415-ecce0a725433|Rhino||Token Creature - Rhino|4|4|Trample|Midnight Hunt Commander Tokens|Common||Aaron Miller|10|Finishes: nonfoil:<br>https://scryfall.com/card/tmic/10/rhino?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/b/c/bc651dc2-9a3b-470c-b415-ecce0a725433.jpg?1641305722}
d66113d5-0a11-44bc-9de7-fc662e4dd26a|Snake||Token Creature - Snake|1|1||Midnight Hunt Commander Tokens|Common||Lars Grant-West|11|Finishes: nonfoil:<br>https://scryfall.com/card/tmic/11/snake?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/d/6/d66113d5-0a11-44bc-9de7-fc662e4dd26a.jpg?1644881219}
