ID|NAME|COST|TYPE|POWER|TOUGHNESS|ORACLE|SET|RARITY|LANG|ARTIST|COLLNUM|TEXT|PROPERTIES
c1a41d0d-aaf5-4cb4-a9db-07992c57e436|Giant Warrior||Token Creature - Giant Warrior|5|5||Modern Masters Tokens|Common||Svetlin Velinov|1|Finishes: nonfoil:<br>Promos: setpromo:<br>https://scryfall.com/card/tmma/1/giant-warrior?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/c/1/c1a41d0d-aaf5-4cb4-a9db-07992c57e436.jpg?1562702312}
28adced8-4f86-4dc7-bd21-e20ba403219c|Kithkin Soldier||Token Creature - Kithkin Soldier|1|1||Modern Masters Tokens|Common||Randy Gallegos|2|Finishes: nonfoil:<br>Promos: setpromo:<br>https://scryfall.com/card/tmma/2/kithkin-soldier?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/2/8/28adced8-4f86-4dc7-bd21-e20ba403219c.jpg?1562701976}
c3317ef0-5104-41de-9e7a-2629ad658ae7|Soldier||Token Creature - Soldier|1|1||Modern Masters Tokens|Common||Goran Josic|3|Finishes: nonfoil:<br>Promos: setpromo:<br>https://scryfall.com/card/tmma/3/soldier?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/c/3/c3317ef0-5104-41de-9e7a-2629ad658ae7.jpg?1562702316}
b24ae780-d226-4deb-9a4a-91262763d0cd|Illusion||Token Creature - Illusion|1|1|Flying|Modern Masters Tokens|Common||Véronique Meignaud|4|Finishes: nonfoil:<br>Promos: setpromo:<br>https://scryfall.com/card/tmma/4/illusion?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/b/2/b24ae780-d226-4deb-9a4a-91262763d0cd.jpg?1562702270}
89d7ed94-564b-415c-b590-d89c972384a1|Bat||Token Creature - Bat|1|1|Flying|Modern Masters Tokens|Common||Wayne Reynolds|5|Finishes: nonfoil:<br>Promos: setpromo:<br>https://scryfall.com/card/tmma/5/bat?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/8/9/89d7ed94-564b-415c-b590-d89c972384a1.jpg?1562702181}
33bd708d-dc84-44d3-a563-536ade028bd0|Goblin Rogue||Token Creature - Goblin Rogue|1|1||Modern Masters Tokens|Common||Dave Kendall|6|Finishes: nonfoil:<br>Promos: setpromo:<br>https://scryfall.com/card/tmma/6/goblin-rogue?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/3/3/33bd708d-dc84-44d3-a563-536ade028bd0.jpg?1562702016}
2d833298-a270-4b89-987c-5b6432bbc311|Spider||Token Creature - Spider|2|4|Reach|Modern Masters Tokens|Common||Lars Grant-West|7|Finishes: nonfoil:<br>Promos: setpromo:<br>https://scryfall.com/card/tmma/7/spider?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/2/d/2d833298-a270-4b89-987c-5b6432bbc311.jpg?1562701985}
738dce42-9852-4ced-8e9e-4639fad8b79f|Zombie||Token Creature - Zombie|2|2||Modern Masters Tokens|Common||Bud Cook|8|Finishes: nonfoil:<br>Promos: setpromo:<br>https://scryfall.com/card/tmma/8/zombie?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/7/3/738dce42-9852-4ced-8e9e-4639fad8b79f.jpg?1562702128}
529930fe-a1af-42fb-85a4-4999e787b25b|Dragon||Token Creature - Dragon|4|4|Flying|Modern Masters Tokens|Common||Vance Kovacs|9|Finishes: nonfoil:<br>Promos: setpromo:<br>https://scryfall.com/card/tmma/9/dragon?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/5/2/529930fe-a1af-42fb-85a4-4999e787b25b.jpg?1562702065}
2b1ac66f-4b21-4acf-b51b-41c9d241d971|Goblin||Token Creature - Goblin|1|1||Modern Masters Tokens|Common||Dave Kendall|10|Finishes: nonfoil:<br>Promos: setpromo:<br>https://scryfall.com/card/tmma/10/goblin?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/2/b/2b1ac66f-4b21-4acf-b51b-41c9d241d971.jpg?1562701979}
