ID|NAME|COST|TYPE|POWER|TOUGHNESS|ORACLE|SET|RARITY|LANG|ARTIST|COLLNUM|TEXT|PROPERTIES
f9a7ed9a-25e4-41ad-a53e-d589e923af2c|Eldrazi||Token Creature - Eldrazi|7|7|Annihilator 1 (Whenever this creature attacks, defending player sacrifices a permanent.)|Planechase Anthology Tokens|Common||Vincent Proce|1|Finishes: nonfoil:<br>Promos: setpromo:<br><br><a href="https://scryfall.com/card/tpca/1/eldrazi?utm_source=api">Scryfall</a>|{IMAGE_URL=https://cards.scryfall.io/normal/front/f/9/f9a7ed9a-25e4-41ad-a53e-d589e923af2c.jpg?1562702453}
b71177f3-a7cb-4d38-b8c7-daa5b8266a19|Eldrazi Spawn||Token Creature - Eldrazi Spawn|0|1|Sacrifice this creature: Add {C}.|Planechase Anthology Tokens|Common||Aleksi Briclot|2|Finishes: nonfoil:<br>Promos: setpromo:<br><br><a href="https://scryfall.com/card/tpca/2/eldrazi-spawn?utm_source=api">Scryfall</a>|{IMAGE_URL=https://cards.scryfall.io/normal/front/b/7/b71177f3-a7cb-4d38-b8c7-daa5b8266a19.jpg?1562702289}
86e7507e-cebb-4047-b54a-226648655f2d|Eldrazi Spawn||Token Creature - Eldrazi Spawn|0|1|Sacrifice this creature: Add {C}.|Planechase Anthology Tokens|Common||Mark Tedin|3|Finishes: nonfoil:<br>Promos: setpromo:<br><br><a href="https://scryfall.com/card/tpca/3/eldrazi-spawn?utm_source=api">Scryfall</a>|{IMAGE_URL=https://cards.scryfall.io/normal/front/8/6/86e7507e-cebb-4047-b54a-226648655f2d.jpg?1562702180}
e7a55908-ad02-43f4-8968-cd5598cb05c6|Eldrazi Spawn||Token Creature - Eldrazi Spawn|0|1|Sacrifice this creature: Add {C}.|Planechase Anthology Tokens|Common||Véronique Meignaud|4|Finishes: nonfoil:<br>Promos: setpromo:<br><br><a href="https://scryfall.com/card/tpca/4/eldrazi-spawn?utm_source=api">Scryfall</a>|{IMAGE_URL=https://cards.scryfall.io/normal/front/e/7/e7a55908-ad02-43f4-8968-cd5598cb05c6.jpg?1562702409}
964b7e7f-af5d-495a-80a6-2fc87e35e358|Angel||Token Creature - Angel|4|4|Flying|Planechase Anthology Tokens|Common||Cyril Van Der Haegen|5|Finishes: nonfoil:<br>Promos: setpromo:<br><br><a href="https://scryfall.com/card/tpca/5/angel?utm_source=api">Scryfall</a>|{IMAGE_URL=https://cards.scryfall.io/normal/front/9/6/964b7e7f-af5d-495a-80a6-2fc87e35e358.jpg?1562702208}
37624323-b00f-4096-a3af-115217cfca16|Goat||Token Creature - Goat|0|1||Planechase Anthology Tokens|Common||Terese Nielsen|6|Finishes: nonfoil:<br>Promos: setpromo:<br><br><a href="https://scryfall.com/card/tpca/6/goat?utm_source=api">Scryfall</a>|{IMAGE_URL=https://cards.scryfall.io/normal/front/3/7/37624323-b00f-4096-a3af-115217cfca16.jpg?1562702023}
51544192-095a-457c-8642-fd0ca49952d8|Germ||Token Creature - Germ|0|0||Planechase Anthology Tokens|Common||Igor Kieryluk|7|Finishes: nonfoil:<br>Promos: setpromo:<br><br><a href="https://scryfall.com/card/tpca/7/germ?utm_source=api">Scryfall</a>|{IMAGE_URL=https://cards.scryfall.io/normal/front/5/1/51544192-095a-457c-8642-fd0ca49952d8.jpg?1562702064}
9c6a885f-1471-4827-b4b6-13db766c94bb|Spider||Token Creature - Spider|2|4|Reach|Planechase Anthology Tokens|Common||Lars Grant-West|8|Finishes: nonfoil:<br>Promos: setpromo:<br><br><a href="https://scryfall.com/card/tpca/8/spider?utm_source=api">Scryfall</a>|{IMAGE_URL=https://cards.scryfall.io/normal/front/9/c/9c6a885f-1471-4827-b4b6-13db766c94bb.jpg?1562702222}
1618e130-ccb6-4341-a999-60f61fb39cd6|Zombie||Token Creature - Zombie|2|2||Planechase Anthology Tokens|Common||Dave Kendall|9|Finishes: nonfoil:<br>Promos: setpromo:<br><br><a href="https://scryfall.com/card/tpca/9/zombie?utm_source=api">Scryfall</a>|{IMAGE_URL=https://cards.scryfall.io/normal/front/1/6/1618e130-ccb6-4341-a999-60f61fb39cd6.jpg?1562701915}
276f0298-3af9-4564-ba0f-4bbf139a706a|Dragon||Token Creature - Dragon|5|5|Flying|Planechase Anthology Tokens|Common||Jim Pavelec|10|Finishes: nonfoil:<br>Promos: setpromo:<br><br><a href="https://scryfall.com/card/tpca/10/dragon?utm_source=api">Scryfall</a>|{IMAGE_URL=https://cards.scryfall.io/normal/front/2/7/276f0298-3af9-4564-ba0f-4bbf139a706a.jpg?1562701960}
