ID|NAME|COST|TYPE|POWER|TOUGHNESS|ORACLE|SET|RARITY|LANG|ARTIST|COLLNUM|TEXT|GATHERERID|TCGID|PROPERTIES
78c43047-87f6-4382-874e-02e9628647bd|Copy||Token|||(This token can be used to represent a token that's a copy of a permanent.)<BR><a href="https://api.scryfall.com/cards/78c43047-87f6-4382-874e-02e9628647bd/rulings">Rulings</a>|Fallout Tokens|Common||Monztre|1|Finishes: nonfoil:foil:<br>Promos: universesbeyond:<br><br><a href="https://scryfall.com/card/tpip/1/copy?utm_source=api">Scryfall</a>|0|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/7/8/78c43047-87f6-4382-874e-02e9628647bd.jpg?1711949144}
546bda77-e3a8-4f2a-ba9c-94fb0b9ff183|Human Knight||Token Creature - Human Knight|2|2|This creature gets +2/+2 as long as an artifact entered the battlefield under your control this turn.<BR><a href="https://api.scryfall.com/cards/546bda77-e3a8-4f2a-ba9c-94fb0b9ff183/rulings">Rulings</a>|Fallout Tokens|Common||Wayne Wu|2|Finishes: nonfoil:foil:<br>Promos: universesbeyond:<br><br><a href="https://scryfall.com/card/tpip/2/human-knight?utm_source=api">Scryfall</a>|0|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/5/4/546bda77-e3a8-4f2a-ba9c-94fb0b9ff183.jpg?1708710090}
737741e7-b2b2-4c41-ab7c-4eeaf9f37b71|Human Soldier||Token Creature - Human Soldier|1|1|<BR><a href="https://api.scryfall.com/cards/737741e7-b2b2-4c41-ab7c-4eeaf9f37b71/rulings">Rulings</a>|Fallout Tokens|Common||Viko Menezes|3|Finishes: nonfoil:foil:<br>Promos: universesbeyond:<br><br><a href="https://scryfall.com/card/tpip/3/human-soldier?utm_source=api">Scryfall</a>|0|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/7/3/737741e7-b2b2-4c41-ab7c-4eeaf9f37b71.jpg?1708696956}
af191656-5e62-440f-b63a-705cfed314e7|Soldier||Token Creature - Soldier|1|1|<BR><a href="https://api.scryfall.com/cards/af191656-5e62-440f-b63a-705cfed314e7/rulings">Rulings</a>|Fallout Tokens|Common||Wayne Wu|4|Finishes: nonfoil:foil:<br>Promos: universesbeyond:<br><br><a href="https://scryfall.com/card/tpip/4/soldier?utm_source=api">Scryfall</a>|0|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/a/f/af191656-5e62-440f-b63a-705cfed314e7.jpg?1708711055}
a263a442-8ca6-4c69-a841-4a590ff2e729|Warrior||Token Creature - Warrior|1|1|<BR><a href="https://api.scryfall.com/cards/a263a442-8ca6-4c69-a841-4a590ff2e729/rulings">Rulings</a>|Fallout Tokens|Common||Andreia Ugrai|5|Finishes: nonfoil:foil:<br>Promos: universesbeyond:<br><br><a href="https://scryfall.com/card/tpip/5/warrior?utm_source=api">Scryfall</a>|0|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/a/2/a263a442-8ca6-4c69-a841-4a590ff2e729.jpg?1708716474}
cd66f10d-6fc4-4510-818c-96d29b425052|Alien||Token Creature - Alien|0|0|<BR><a href="https://api.scryfall.com/cards/cd66f10d-6fc4-4510-818c-96d29b425052/rulings">Rulings</a>|Fallout Tokens|Common||Tomasz Zarucki|6|Finishes: nonfoil:foil:<br>Promos: universesbeyond:<br><br><a href="https://scryfall.com/card/tpip/6/alien?utm_source=api">Scryfall</a>|0|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/c/d/cd66f10d-6fc4-4510-818c-96d29b425052.jpg?1708696919}
ba45bc9c-8257-43f8-9ba1-116b9fea90f4|Zombie Mutant||Token Creature - Zombie Mutant|2|2|<BR><a href="https://api.scryfall.com/cards/ba45bc9c-8257-43f8-9ba1-116b9fea90f4/rulings">Rulings</a>|Fallout Tokens|Common||Bartek Fedyczak|7|Finishes: nonfoil:foil:<br>Promos: universesbeyond:<br><br><a href="https://scryfall.com/card/tpip/7/zombie-mutant?utm_source=api">Scryfall</a>|0|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/b/a/ba45bc9c-8257-43f8-9ba1-116b9fea90f4.jpg?1708711508}
02789d01-f939-4515-a6e4-db6aff36f893|Settlement||Token Enchantment - Aura|||Enchant Land<br>Enchanted land has "{T}: Add one mana of any color."<BR><a href="https://api.scryfall.com/cards/02789d01-f939-4515-a6e4-db6aff36f893/rulings">Rulings</a>|Fallout Tokens|Common||Mathias Kollros|8|Finishes: nonfoil:foil:<br>Promos: universesbeyond:<br><br><a href="https://scryfall.com/card/tpip/8/settlement?utm_source=api">Scryfall</a>|0|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/0/2/02789d01-f939-4515-a6e4-db6aff36f893.jpg?1708696638}
f90bb066-79fd-48cd-ab5a-eaed71139b4e|Squirrel||Token Creature - Squirrel|1|1|<BR><a href="https://api.scryfall.com/cards/f90bb066-79fd-48cd-ab5a-eaed71139b4e/rulings">Rulings</a>|Fallout Tokens|Common||Dan Watson|9|Finishes: nonfoil:foil:<br>Promos: universesbeyond:<br><br><a href="https://scryfall.com/card/tpip/9/squirrel?utm_source=api">Scryfall</a>|0|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/f/9/f90bb066-79fd-48cd-ab5a-eaed71139b4e.jpg?1708711084}
aae7bdfe-fe14-4a18-b2b0-16e9175a0441|Soldier||Token Creature - Soldier|1|1|Haste<BR><a href="https://api.scryfall.com/cards/aae7bdfe-fe14-4a18-b2b0-16e9175a0441/rulings">Rulings</a>|Fallout Tokens|Common||Justine Cruz|10|Finishes: nonfoil:foil:<br>Promos: universesbeyond:<br><br><a href="https://scryfall.com/card/tpip/10/soldier?utm_source=api">Scryfall</a>|0|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/a/a/aae7bdfe-fe14-4a18-b2b0-16e9175a0441.jpg?1708696587}
65ff5544-bdf8-43a3-a74d-4a2b7d79245a|Clue||Token Artifact - Clue|||{2}, Sacrifice this token: Draw a card.<BR><a href="https://api.scryfall.com/cards/65ff5544-bdf8-43a3-a74d-4a2b7d79245a/rulings">Rulings</a>|Fallout Tokens|Common||Ashley Mackenzie|11|Finishes: nonfoil:foil:<br>Promos: universesbeyond:<br><br><a href="https://scryfall.com/card/tpip/11/clue?utm_source=api">Scryfall</a>|0|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/6/5/65ff5544-bdf8-43a3-a74d-4a2b7d79245a.jpg?1708696670}
7bc2a0ab-7f64-4f82-b6db-d84194b5d417|Food||Token Artifact - Food|||{2}, {T}, Sacrifice this token: You gain 3 life.<BR><a href="https://api.scryfall.com/cards/7bc2a0ab-7f64-4f82-b6db-d84194b5d417/rulings">Rulings</a>|Fallout Tokens|Common||David Astruga|12|Finishes: nonfoil:foil:<br>Promos: universesbeyond:<br><br><a href="https://scryfall.com/card/tpip/12/food?utm_source=api">Scryfall</a>|0|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/7/b/7bc2a0ab-7f64-4f82-b6db-d84194b5d417.jpg?1708711291}
b8a004f0-b216-41cc-904f-91eea562d485|Food||Token Artifact - Food|||{2}, {T}, Sacrifice this token: You gain 3 life.<BR><a href="https://api.scryfall.com/cards/b8a004f0-b216-41cc-904f-91eea562d485/rulings">Rulings</a>|Fallout Tokens|Common||Bruno Biazotto|13|Finishes: nonfoil:foil:<br>Promos: universesbeyond:<br><br><a href="https://scryfall.com/card/tpip/13/food?utm_source=api">Scryfall</a>|0|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/b/8/b8a004f0-b216-41cc-904f-91eea562d485.jpg?1708711303}
e5d0801a-9565-419f-bb0b-23547c9dd59d|Food||Token Artifact - Food|||{2}, {T}, Sacrifice this token: You gain 3 life.<BR><a href="https://api.scryfall.com/cards/e5d0801a-9565-419f-bb0b-23547c9dd59d/rulings">Rulings</a>|Fallout Tokens|Common||Kamila Szutenberg|14|Finishes: nonfoil:foil:<br>Promos: universesbeyond:<br><br><a href="https://scryfall.com/card/tpip/14/food?utm_source=api">Scryfall</a>|0|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/e/5/e5d0801a-9565-419f-bb0b-23547c9dd59d.jpg?1708711318}
62c4a6f6-6425-4c0c-b35a-880fcab42aad|Junk||Token Artifact - Junk|||{T}, Sacrifice this artifact: Exile the top card of your library. You may play that card this turn. Activate only as a sorcery.<BR><a href="https://api.scryfall.com/cards/62c4a6f6-6425-4c0c-b35a-880fcab42aad/rulings">Rulings</a>|Fallout Tokens|Common||Justine Cruz|15|Finishes: nonfoil:foil:<br>Promos: universesbeyond:<br><br><a href="https://scryfall.com/card/tpip/15/junk?utm_source=api">Scryfall</a>|0|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/6/2/62c4a6f6-6425-4c0c-b35a-880fcab42aad.jpg?1743257964}
76cde21f-2f01-4560-972b-7ecd6740d6de|Robot||Token Artifact Creature - Robot|3|3|<BR><a href="https://api.scryfall.com/cards/76cde21f-2f01-4560-972b-7ecd6740d6de/rulings">Rulings</a>|Fallout Tokens|Common||Sergio Cosmai|16|Finishes: nonfoil:foil:<br>Promos: universesbeyond:<br><br><a href="https://scryfall.com/card/tpip/16/robot?utm_source=api">Scryfall</a>|0|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/7/6/76cde21f-2f01-4560-972b-7ecd6740d6de.jpg?1708711656}
efaadec8-5bf7-4b53-b83e-33d17dc0ed74|Thopter||Token Artifact Creature - Thopter|1|1|Flying<BR><a href="https://api.scryfall.com/cards/efaadec8-5bf7-4b53-b83e-33d17dc0ed74/rulings">Rulings</a>|Fallout Tokens|Common||Victor Harmatiuk|17|Finishes: nonfoil:foil:<br>Promos: universesbeyond:<br><br><a href="https://scryfall.com/card/tpip/17/thopter?utm_source=api">Scryfall</a>|0|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/e/f/efaadec8-5bf7-4b53-b83e-33d17dc0ed74.jpg?1708711346}
cf0d0741-028f-481b-8982-55f36304c343|Treasure||Token Artifact - Treasure|||{T}, Sacrifice this token: Add one mana of any color.<BR><a href="https://api.scryfall.com/cards/cf0d0741-028f-481b-8982-55f36304c343/rulings">Rulings</a>|Fallout Tokens|Common||Rafater|18|Finishes: nonfoil:foil:<br>Promos: universesbeyond:<br><br><a href="https://scryfall.com/card/tpip/18/treasure?utm_source=api">Scryfall</a>|0|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/c/f/cf0d0741-028f-481b-8982-55f36304c343.jpg?1708711393}
1d74d012-66ca-4a0c-9e90-e31e96730d4d|Treasure||Token Artifact - Treasure|||{T}, Sacrifice this token: Add one mana of any color.<BR><a href="https://api.scryfall.com/cards/1d74d012-66ca-4a0c-9e90-e31e96730d4d/rulings">Rulings</a>|Fallout Tokens|Common||Kim Sokol|19|Finishes: nonfoil:foil:<br>Promos: universesbeyond:<br><br><a href="https://scryfall.com/card/tpip/19/treasure?utm_source=api">Scryfall</a>|0|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/1/d/1d74d012-66ca-4a0c-9e90-e31e96730d4d.jpg?1708711412}
ad073c87-42f2-45f0-9613-2cdbd0abf719|Wasteland Survival Guide||Token Artifact - Equipment|||Equipped creature gets +1/+1 for each quest counter among permanents you control.<br>Equip {1}<BR><a href="https://api.scryfall.com/cards/ad073c87-42f2-45f0-9613-2cdbd0abf719/rulings">Rulings</a>|Fallout Tokens|Common||Sergio Cosmai|20|Finishes: nonfoil:foil:<br>Promos: universesbeyond:<br><br><a href="https://scryfall.com/card/tpip/20/wasteland-survival-guide?utm_source=api">Scryfall</a>|0|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/a/d/ad073c87-42f2-45f0-9613-2cdbd0abf719.jpg?1708711704}
2a794202-875f-4397-a8de-9722c8d78448|Energy Reserve||Card|||(Place your energy counters in this area.)<BR><a href="https://api.scryfall.com/cards/2a794202-875f-4397-a8de-9722c8d78448/rulings">Rulings</a>|Fallout Tokens|Common||Rafater|21|Finishes: nonfoil:foil:<br>Promos: universesbeyond:<br><br><a href="https://scryfall.com/card/tpip/21/energy-reserve?utm_source=api">Scryfall</a>|0|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/2/a/2a794202-875f-4397-a8de-9722c8d78448.jpg?1708711465}
0886657d-afb0-4f1f-9af7-960724793077|Radiation||Card|||At the beginning of your precombat main phase, if you have any rad counters, mill that many cards. For each nonland card milled this way, you lose 1 life and a rad counter.<BR><a href="https://api.scryfall.com/cards/0886657d-afb0-4f1f-9af7-960724793077/rulings">Rulings</a>|Fallout Tokens|Common||Skinnyelbows|22|Finishes: nonfoil:<br>Promos: universesbeyond:<br><br><a href="https://scryfall.com/card/tpip/22/radiation?utm_source=api">Scryfall</a>|0|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/0/8/0886657d-afb0-4f1f-9af7-960724793077.jpg?1707358335}
