ID|NAME|COST|TYPE|POWER|TOUGHNESS|ORACLE|SET|RARITY|LANG|ARTIST|COLLNUM|TEXT|GATHERERID|TCGID|PROPERTIES
5f2a2483-d21f-4c31-9a36-ed7c5672894b|Human||Token Creature - Human|1|1|<BR><a href="https://api.scryfall.com/cards/5f2a2483-d21f-4c31-9a36-ed7c5672894b/rulings">Rulings</a>|Ravnica Allegiance Tokens|Common||Bram Sels|1|R$ 0.16 <br>Finishes: nonfoil:<br><br><a href="https://scryfall.com/card/trna/1/human?utm_source=api">Scryfall</a>|0|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/5/f/5f2a2483-d21f-4c31-9a36-ed7c5672894b.jpg?1572892480}
ccc3d8da-9005-44d9-bb10-18cdac7a32f5|Illusion||Token Creature - Illusion|0|2|Whenever this creature blocks a creature, that creature doesn't untap during its controller's next untap step.<BR><a href="https://api.scryfall.com/cards/ccc3d8da-9005-44d9-bb10-18cdac7a32f5/rulings">Rulings</a>|Ravnica Allegiance Tokens|Common||Kev Walker|2|R$ 0.15 <br>Finishes: nonfoil:<br><br><a href="https://scryfall.com/card/trna/2/illusion?utm_source=api">Scryfall</a>|0|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/c/c/ccc3d8da-9005-44d9-bb10-18cdac7a32f5.jpg?1572892488}
27b69e52-f394-4863-943b-239e96b5cc95|Zombie||Token Creature - Zombie|2|2|<BR><a href="https://api.scryfall.com/cards/27b69e52-f394-4863-943b-239e96b5cc95/rulings">Rulings</a>|Ravnica Allegiance Tokens|Common||Jason A. Engle|3|R$ 0.18 <br>Finishes: nonfoil:<br><br><a href="https://scryfall.com/card/trna/3/zombie?utm_source=api">Scryfall</a>|0|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/2/7/27b69e52-f394-4863-943b-239e96b5cc95.jpg?1572892495}
993613a6-09a9-45a5-b35f-5a5fdb6d14ec|Goblin||Token Creature - Goblin|1|1|<BR><a href="https://api.scryfall.com/cards/993613a6-09a9-45a5-b35f-5a5fdb6d14ec/rulings">Rulings</a>|Ravnica Allegiance Tokens|Common||Svetlin Velinov|4|R$ 0.17 <br>Finishes: nonfoil:<br><br><a href="https://scryfall.com/card/trna/4/goblin?utm_source=api">Scryfall</a>|0|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/9/9/993613a6-09a9-45a5-b35f-5a5fdb6d14ec.jpg?1572892502}
5fc993a7-a1ce-4403-a0a0-2afc9f9eca42|Centaur||Token Creature - Centaur|3|3|<BR><a href="https://api.scryfall.com/cards/5fc993a7-a1ce-4403-a0a0-2afc9f9eca42/rulings">Rulings</a>|Ravnica Allegiance Tokens|Common||Sidharth Chaturvedi|5|R$ 0.07 <br>Finishes: nonfoil:<br><br><a href="https://scryfall.com/card/trna/5/centaur?utm_source=api">Scryfall</a>|0|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/5/f/5fc993a7-a1ce-4403-a0a0-2afc9f9eca42.jpg?1572892510}
495d3391-6311-418e-b55a-10c0af751026|Frog Lizard||Token Creature - Frog Lizard|3|3|<BR><a href="https://api.scryfall.com/cards/495d3391-6311-418e-b55a-10c0af751026/rulings">Rulings</a>|Ravnica Allegiance Tokens|Common||Jack Wang|6|R$ 0.32 <br>Finishes: nonfoil:<br><br><a href="https://scryfall.com/card/trna/6/frog-lizard?utm_source=api">Scryfall</a>|0|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/4/9/495d3391-6311-418e-b55a-10c0af751026.jpg?1572892517}
0260e0ae-bf09-430a-a449-c16219d84b63|Ooze||Token Creature - Ooze|2|2|<BR><a href="https://api.scryfall.com/cards/0260e0ae-bf09-430a-a449-c16219d84b63/rulings">Rulings</a>|Ravnica Allegiance Tokens|Common||Lake Hurwitz|7|R$ 0.23 <br>Finishes: nonfoil:<br><br><a href="https://scryfall.com/card/trna/7/ooze?utm_source=api">Scryfall</a>|0|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/0/2/0260e0ae-bf09-430a-a449-c16219d84b63.jpg?1572892523}
87ec9ade-1e06-43c9-97df-55465cabdf32|Beast||Token Creature - Beast|4|4|Trample<BR><a href="https://api.scryfall.com/cards/87ec9ade-1e06-43c9-97df-55465cabdf32/rulings">Rulings</a>|Ravnica Allegiance Tokens|Common||Winona Nelson|8|R$ 0.13 <br>Finishes: nonfoil:<br><br><a href="https://scryfall.com/card/trna/8/beast?utm_source=api">Scryfall</a>|0|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/8/7/87ec9ade-1e06-43c9-97df-55465cabdf32.jpg?1572892529}
f82ba894-7b10-45ae-9322-60ef85a2869d|Sphinx||Token Creature - Sphinx|4|4|Flying, vigilance<BR><a href="https://api.scryfall.com/cards/f82ba894-7b10-45ae-9322-60ef85a2869d/rulings">Rulings</a>|Ravnica Allegiance Tokens|Common||Scott Murphy|9|R$ 0.12 <br>Finishes: nonfoil:<br><br><a href="https://scryfall.com/card/trna/9/sphinx?utm_source=api">Scryfall</a>|0|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/f/8/f82ba894-7b10-45ae-9322-60ef85a2869d.jpg?1572892536}
45b3bdd7-b093-4bfd-8a9a-965e72bfefb3|Spirit||Token Creature - Spirit|1|1|Flying<BR><a href="https://api.scryfall.com/cards/45b3bdd7-b093-4bfd-8a9a-965e72bfefb3/rulings">Rulings</a>|Ravnica Allegiance Tokens|Common||Josh Hass|10|R$ 0.09 <br>Finishes: nonfoil:<br><br><a href="https://scryfall.com/card/trna/10/spirit?utm_source=api">Scryfall</a>|0|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/4/5/45b3bdd7-b093-4bfd-8a9a-965e72bfefb3.jpg?1572892542}
8dd768c3-f278-41f8-b329-8403391d6326|Thopter||Token Artifact Creature - Thopter|1|1|Flying<BR><a href="https://api.scryfall.com/cards/8dd768c3-f278-41f8-b329-8403391d6326/rulings">Rulings</a>|Ravnica Allegiance Tokens|Common||Darren Tan|11|R$ 0.18 <br>Finishes: nonfoil:<br><br><a href="https://scryfall.com/card/trna/11/thopter?utm_source=api">Scryfall</a>|0|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/8/d/8dd768c3-f278-41f8-b329-8403391d6326.jpg?1572892549}
0559f9f3-eff0-465d-93c1-e875a8afe87f|Treasure||Token Artifact - Treasure|||{T}, Sacrifice this token: Add one mana of any color.<BR><a href="https://api.scryfall.com/cards/0559f9f3-eff0-465d-93c1-e875a8afe87f/rulings">Rulings</a>|Ravnica Allegiance Tokens|Common||Mark Behm|12|R$ 0.25 <br>Finishes: nonfoil:<br><br><a href="https://scryfall.com/card/trna/12/treasure?utm_source=api">Scryfall</a>|0|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/0/5/0559f9f3-eff0-465d-93c1-e875a8afe87f.jpg?1572892555}
44717d19-d8c2-45ba-9904-00c0c79ee0c3|Domri, Chaos Bringer Emblem||Emblem - Domri|||At the beginning of each end step, create a 4/4 red and green Beast creature token with trample.<BR><a href="https://api.scryfall.com/cards/44717d19-d8c2-45ba-9904-00c0c79ee0c3/rulings">Rulings</a>|Ravnica Allegiance Tokens|Common||Zack Stella|13|R$ 0.11 <br>Finishes: nonfoil:<br><br><a href="https://scryfall.com/card/trna/13/domri-chaos-bringer-emblem?utm_source=api">Scryfall</a>|0|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/4/4/44717d19-d8c2-45ba-9904-00c0c79ee0c3.jpg?1572892563}
