ID|NAME|COST|TYPE|POWER|TOUGHNESS|ORACLE|SET|RARITY|LANG|ARTIST|COLLNUM|TEXT|PROPERTIES
113619|Amrou Scout|{1}{W}|Creature - Kithkin Rebel Scout|2|1|{4}, {T}: Search your library for a Rebel permanent card with mana value 3 or less, put it onto the battlefield, then shuffle.|Time Spiral|Common||Quinton Hoover|1|MID: 113619<br>Finishes: nonfoil:foil:<br>https://scryfall.com/card/tsp/1/amrou-scout?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/e/a/ea3e05e5-1340-4010-b39b-3571a5829840.jpg?1562944341}
113509|Amrou Seekers|{2}{W}|Creature - Kithkin Rebel|2|2|This creature can't be blocked except by artifact creatures and/or white creatures.|Time Spiral|Common||Quinton Hoover|2|MID: 113509<br>Finishes: nonfoil:foil:<br>https://scryfall.com/card/tsp/2/amrou-seekers?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/8/b/8bc2a06d-54f7-436f-b32a-4a8daa199fb8.jpg?1562924565}
110504|Angel's Grace|{W}|Instant|||Split second (As long as this spell is on the stack, players can't cast spells or activate abilities that aren't mana abilities.)<br>You can't lose the game this turn and your opponents can't win the game this turn. Until end of turn, damage that would reduce your life total to less than 1 reduces it to 1 instead.|Time Spiral|Rare||Mark Zug|3|MID: 110504<br>Finishes: nonfoil:foil:<br>https://scryfall.com/card/tsp/3/angels-grace?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/5/8/580cb5be-fa59-4eb9-8808-7d2943fb6413.jpg?1562913383}
122082|Benalish Cavalry|{1}{W}|Creature - Human Knight|2|2|Flanking (Whenever a creature without flanking blocks this creature, the blocking creature gets -1/-1 until end of turn.)|Time Spiral|Common||Paolo Parente|4|MID: 122082<br>Finishes: nonfoil:foil:<br>https://scryfall.com/card/tsp/4/benalish-cavalry?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/1/0/1013ca9c-1d29-42f6-8665-92f98d076ff8.jpg?1562898365}
113614|Castle Raptors|{4}{W}|Creature - Bird Soldier|3|3|Flying<br>As long as this creature is untapped, it gets +0/+2.|Time Spiral|Common||Christopher Moeller|5|MID: 113614<br>Finishes: nonfoil:foil:<br>https://scryfall.com/card/tsp/5/castle-raptors?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/d/4/d4a3ed1e-f07e-486d-8a44-b2fbfaffa547.jpg?1562939958}
108903|Cavalry Master|{2}{W}{W}|Creature - Human Knight|3|3|Flanking (Whenever a creature without flanking blocks this creature, the blocking creature gets -1/-1 until end of turn.)<br>Other creatures you control with flanking have flanking. (Each instance of flanking triggers separately.)|Time Spiral|Uncommon||Thomas M. Baxa|6|MID: 108903<br>Finishes: nonfoil:foil:<br>https://scryfall.com/card/tsp/6/cavalry-master?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/f/7/f7b19194-87bf-432c-8d34-91dd9520cbd2.jpg?1562947328}
126281|Celestial Crusader|{2}{W}{W}|Creature - Spirit|2|2|Flash<br>Split second (As long as this spell is on the stack, players can't cast spells or activate abilities that aren't mana abilities.)<br>Flying<br>Other white creatures get +1/+1.|Time Spiral|Uncommon||Jim Murray|7|MID: 126281<br>Finishes: nonfoil:foil:<br>https://scryfall.com/card/tsp/7/celestial-crusader?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/7/f/7f5624d6-2c27-4c7a-8001-73edb2512ffb.jpg?1562921858}
110525|Children of Korlis|{W}|Creature - Human Rebel Cleric|1|1|Sacrifice this creature: You gain life equal to the life you've lost this turn. (Damage causes loss of life.)|Time Spiral|Common||Quinton Hoover|8|MID: 110525<br>Finishes: nonfoil:foil:<br>https://scryfall.com/card/tsp/8/children-of-korlis?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/2/2/221a5895-bc21-4f10-b5fc-a4980fde843e.jpg?1562902185}
110502|Chronosavant|{5}{W}|Creature - Giant|5|5|{1}{W}: Return this card from your graveyard to the battlefield tapped. You skip your next turn.|Time Spiral|Rare||Pete Venters|9|MID: 110502<br>Finishes: nonfoil:foil:<br>https://scryfall.com/card/tsp/9/chronosavant?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/d/6/d6264d4f-adf1-4d7b-b17a-fd7122e9b2cd.jpg?1562940310}
113507|Cloudchaser Kestrel|{1}{W}{W}|Creature - Bird|2|2|Flying<br>When this creature enters, destroy target enchantment.<br>{W}: Target permanent becomes white until end of turn.|Time Spiral|Common||Daren Bader|10|MID: 113507<br>Finishes: nonfoil:foil:<br>https://scryfall.com/card/tsp/10/cloudchaser-kestrel?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/8/7/87003295-fd7c-489a-b724-b76eef187b57.jpg?1562923478}
113518|D'Avenant Healer|{1}{W}{W}|Creature - Human Cleric Archer|1|2|{T}: This creature deals 1 damage to target attacking or blocking creature.<br>{T}: Prevent the next 1 damage that would be dealt to any target this turn.|Time Spiral|Common||Michael Sutfin|11|MID: 113518<br>Finishes: nonfoil:foil:<br>https://scryfall.com/card/tsp/11/davenant-healer?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/d/e/deac6492-ce39-4137-8418-6169d3b1b632.jpg?1562941960}
116728|Detainment Spell|{W}|Enchantment - Aura|||Enchant creature<br>Enchanted creature's activated abilities can't be activated.<br>{1}{W}: Attach this Aura to target creature.|Time Spiral|Common||Darrell Riche|12|MID: 116728<br>Finishes: nonfoil:foil:<br>https://scryfall.com/card/tsp/12/detainment-spell?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/c/4/c467446b-0168-4c7d-9ab6-57ad8b664877.jpg?1562936528}
108814|Divine Congregation|{3}{W}|Sorcery|||You gain 2 life for each creature target player controls.<br>Suspend 5—{1}{W} (Rather than cast this card from your hand, you may pay {1}{W} and exile it with five time counters on it. At the beginning of your upkeep, remove a time counter. When the last is removed, you may cast it without paying its mana cost.)|Time Spiral|Common||Jeremy Jarvis|13|MID: 108814<br>Finishes: nonfoil:foil:<br>https://scryfall.com/card/tsp/13/divine-congregation?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/9/f/9f781071-e9bc-49ee-ac94-23490134b909.jpg?1562928694}
108887|Duskrider Peregrine|{5}{W}|Creature - Bird|3|3|Flying, protection from black<br>Suspend 3—{1}{W} (Rather than cast this card from your hand, you may pay {1}{W} and exile it with three time counters on it. At the beginning of your upkeep, remove a time counter. When the last is removed, you may cast it without paying its mana cost. It has haste.)|Time Spiral|Uncommon||Una Fricker|14|MID: 108887<br>Finishes: nonfoil:foil:<br>https://scryfall.com/card/tsp/14/duskrider-peregrine?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/b/f/bfad8c3e-e459-477c-b602-34df2dda1efe.jpg?1562935537}
116379|Errant Doomsayers|{1}{W}|Creature - Human Rebel|1|1|{T}: Tap target creature with toughness 2 or less.|Time Spiral|Common||Liz Danforth|15|MID: 116379<br>Finishes: nonfoil:foil:<br>https://scryfall.com/card/tsp/15/errant-doomsayers?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/6/1/61a2daf3-4d66-43f8-beda-285d85eefb57.jpg?1562915362}
110507|Evangelize|{4}{W}|Sorcery|||Buyback {2}{W}{W} (You may pay an additional {2}{W}{W} as you cast this spell. If you do, put this card into your hand as it resolves.)<br>Gain control of target creature of an opponent's choice they control.|Time Spiral|Rare||Randy Elliott|16|MID: 110507<br>Finishes: nonfoil:foil:<br>https://scryfall.com/card/tsp/16/evangelize?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/0/f/0f58e1aa-587c-4f89-9552-1128c8c2da1a.jpg?1562898171}
108846|Flickering Spirit|{3}{W}|Creature - Spirit|2|2|Flying<br>{3}{W}: Exile this creature, then return it to the battlefield under its owner's control.|Time Spiral|Common||Alex Horley-Orlandelli|17|MID: 108846<br>Finishes: nonfoil:foil:<br>https://scryfall.com/card/tsp/17/flickering-spirit?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/6/4/64ef9188-737e-4cc6-b3a5-95aafddcf665.jpg?1562916115}
106652|Foriysian Interceptor|{3}{W}|Creature - Human Soldier|0|5|Flash (You may cast this spell any time you could cast an instant.)<br>Defender<br>This creature can block an additional creature each combat.|Time Spiral|Common||Anson Maddocks|18|MID: 106652<br>Finishes: nonfoil:foil:<br>https://scryfall.com/card/tsp/18/foriysian-interceptor?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/8/3/833a3622-9f24-47a3-816f-1732c0e077d0.jpg?1562922673}
116732|Fortify|{2}{W}|Instant|||Choose one —<br>• Creatures you control get +2/+0 until end of turn.<br>• Creatures you control get +0/+2 until end of turn.|Time Spiral|Common||Christopher Moeller|19|MID: 116732<br>Finishes: nonfoil:foil:<br>https://scryfall.com/card/tsp/19/fortify?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/f/d/fd063dc7-a35c-44c9-9f8d-b7bb2dc95bec.jpg?1562948609}
108819|Gaze of Justice|{W}|Sorcery|||As an additional cost to cast this spell, tap three untapped white creatures you control.<br>Exile target creature.<br>Flashback {5}{W} (You may cast this card from your graveyard for its flashback cost and any additional costs. Then exile it.)|Time Spiral|Common||John Avon|20|MID: 108819<br>Finishes: nonfoil:foil:<br>https://scryfall.com/card/tsp/20/gaze-of-justice?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/2/4/24d565ec-541d-429e-ab45-58db16c2f41d.jpg?1562902767}
110514|Griffin Guide|{2}{W}|Enchantment - Aura|||Enchant creature<br>Enchanted creature gets +2/+2 and has flying.<br>When enchanted creature dies, create a 2/2 white Griffin creature token with flying.|Time Spiral|Uncommon||Jim Nelson|21|MID: 110514<br>Finishes: nonfoil:foil:<br>https://scryfall.com/card/tsp/21/griffin-guide?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/e/1/e19a15d9-5899-4b84-9c00-345b19df53ae.jpg?1562942578}
108889|Gustcloak Cavalier|{3}{W}{W}|Creature - Human Knight|2|2|Flanking (Whenever a creature without flanking blocks this creature, the blocking creature gets -1/-1 until end of turn.)<br>Whenever this creature attacks, you may tap target creature.<br>Whenever this creature becomes blocked, you may untap this creature and remove it from combat.|Time Spiral|Uncommon||Stuart Griffin|22|MID: 108889<br>Finishes: nonfoil:foil:<br>https://scryfall.com/card/tsp/22/gustcloak-cavalier?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/c/3/c36a5462-3a21-4d64-af92-b541b425cdf5.jpg?1562936301}
108900|Icatian Crier|{2}{W}|Creature - Human Spellshaper|1|1|{1}{W}, {T}, Discard a card: Create two 1/1 white Citizen creature tokens.|Time Spiral|Common||Michael Phillippi|23|MID: 108900<br>Finishes: nonfoil:foil:<br>https://scryfall.com/card/tsp/23/icatian-crier?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/5/2/523ab784-c77e-4b78-99fc-b5d7ed985d76.jpg?1562912153}
109741|Ivory Giant|{5}{W}{W}|Creature - Giant|3|4|When this creature enters, tap all nonwhite creatures.<br>Suspend 5—{W} (Rather than cast this card from your hand, you may pay {W} and exile it with five time counters on it. At the beginning of your upkeep, remove a time counter. When the last is removed, you may cast it without paying its mana cost. It has haste.)|Time Spiral|Common||Jeff Miracola|24|MID: 109741<br>Finishes: nonfoil:foil:<br>https://scryfall.com/card/tsp/24/ivory-giant?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/7/2/72eb30d9-a826-4f29-ae2a-6873997674a7.jpg?1562919129}
113571|Jedit's Dragoons|{5}{W}|Creature - Cat Soldier|2|5|Vigilance<br>When this creature enters, you gain 4 life.|Time Spiral|Common||John Matson|25|MID: 113571<br>Finishes: nonfoil:foil:<br>https://scryfall.com/card/tsp/25/jedits-dragoons?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/e/2/e29cc9e5-29b7-4e3c-a0cd-46265b0f74ac.jpg?1562942816}
118907|Knight of the Holy Nimbus|{W}{W}|Creature - Human Rebel Knight|2|2|Flanking (Whenever a creature without flanking blocks this creature, the blocking creature gets -1/-1 until end of turn.)<br>If this creature would be destroyed, regenerate it. (Tap it, remove it from combat, and heal all damage on it.)<br>{2}: This creature can't be regenerated this turn. Only your opponents may activate this ability.|Time Spiral|Uncommon||Wayne England|26|MID: 118907<br>Finishes: nonfoil:foil:<br>https://scryfall.com/card/tsp/26/knight-of-the-holy-nimbus?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/8/f/8fdeb716-4632-4895-b771-0ebd59c868d5.jpg?1562925305}
