ID|NAME|COST|TYPE|POWER|TOUGHNESS|ORACLE|SET|RARITY|LANG|ARTIST|COLLNUM|TEXT|PROPERTIES
scry_8cd96dce-0cc4-4417-bec1-863b2c44f844|Copy||Token|||(This token can be used to represent a token that's a copy of a permanent.)|Doctor Who Tokens|Common||Xabi Gaztelua|1|Finishes: nonfoil:foil:<br>https://scryfall.com/card/twho/1/copy?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/8/c/8cd96dce-0cc4-4417-bec1-863b2c44f844.jpg?1696546791}
scry_92520769-1e59-45d0-bfe9-cbaf80a4591e|Alien||Token Creature - Alien|2|2||Doctor Who Tokens|Common||John Tedrick|2|Finishes: nonfoil:foil:<br>https://scryfall.com/card/twho/2/alien?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/9/2/92520769-1e59-45d0-bfe9-cbaf80a4591e.jpg?1696547113}
scry_68243f3e-c311-47cf-b1f4-583625919a2c|Alien Rhino||Token Creature - Alien Rhino|4|4||Doctor Who Tokens|Common||Svetlin Velinov|3|Finishes: nonfoil:foil:<br>https://scryfall.com/card/twho/3/alien-rhino?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/6/8/68243f3e-c311-47cf-b1f4-583625919a2c.jpg?1696547723}
scry_5e29c393-6d89-481d-8f33-19c61c46621a|Horse||Token Creature - Horse|2|2|Doctors you control have horsemanship. (They can't be blocked except by creatures with horsemanship.)|Doctor Who Tokens|Common||Anton Solovianchyk|4|Finishes: nonfoil:foil:<br>https://scryfall.com/card/twho/4/horse?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/5/e/5e29c393-6d89-481d-8f33-19c61c46621a.jpg?1696547202}
scry_d9ed2bb3-93b9-43a3-8b4a-97dc746f3d2b|Human||Token Creature - Human|1|1|Doctor spells you cast cost {1} less to cast.|Doctor Who Tokens|Common||Tyukina Tatiana|5|Finishes: nonfoil:foil:<br>https://scryfall.com/card/twho/5/human?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/d/9/d9ed2bb3-93b9-43a3-8b4a-97dc746f3d2b.jpg?1696546576}
scry_abaff2e5-32b2-404b-a4a9-2612062f6499|Human||Token Creature - Human|1|1|Ward {2} (Whenever this creature becomes the target of a spell or ability an opponent controls, counter it unless that player pays {2}.)|Doctor Who Tokens|Common||Ekaterina Burmak|6|Finishes: nonfoil:foil:<br>https://scryfall.com/card/twho/6/human?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/a/b/abaff2e5-32b2-404b-a4a9-2612062f6499.jpg?1708159088}
scry_4d1bb221-bf45-4ce2-b38e-b121859235ad|Human Noble||Token Creature - Human Noble|1|1|Vanishing 3<br>Prevent all damage that would be dealt to this creature.|Doctor Who Tokens|Common||Torgeir Fjereide|7|Finishes: nonfoil:foil:<br>https://scryfall.com/card/twho/7/human-noble?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/4/d/4d1bb221-bf45-4ce2-b38e-b121859235ad.jpg?1696547649}
scry_93c2a3ff-a2f6-40c1-a246-0041c6145fc0|Soldier||Token Creature - Soldier|1|1||Doctor Who Tokens|Common||Thanh Tuấn|8|Finishes: nonfoil:foil:<br>https://scryfall.com/card/twho/8/soldier?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/9/3/93c2a3ff-a2f6-40c1-a246-0041c6145fc0.jpg?1696546926}
scry_41567b9a-80cf-44fc-9c82-5a5f95014428|Warrior||Token Creature - Warrior|1|1||Doctor Who Tokens|Common||Kieran Yanner|9|Finishes: nonfoil:foil:<br>https://scryfall.com/card/twho/9/warrior?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/4/1/41567b9a-80cf-44fc-9c82-5a5f95014428.jpg?1696625023}
scry_297fc694-08f6-4477-b898-60ec641a0757|Fish||Token Creature - Fish|1|1||Doctor Who Tokens|Common||Svetlin Velinov|10|Finishes: nonfoil:foil:<br>https://scryfall.com/card/twho/10/fish?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/2/9/297fc694-08f6-4477-b898-60ec641a0757.jpg?1696547039}
scry_b65e872a-ba16-4df2-9214-60019fd6456a|Alien Angel||Token Artifact Creature - Alien Angel|2|2|First strike, vigilance<br>Whenever an opponent casts a creature spell, this permanent isn't a creature until end of turn.|Doctor Who Tokens|Common||Yuliya Litvinova|11|Finishes: nonfoil:foil:<br>https://scryfall.com/card/twho/11/alien-angel?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/b/6/b65e872a-ba16-4df2-9214-60019fd6456a.jpg?1697475733}
scry_f176f6ec-1ff8-4cd4-b7a6-b95830532f6a|Dalek||Token Artifact Creature - Dalek|3|3|Menace|Doctor Who Tokens|Common||David Astruga|12|Finishes: nonfoil:foil:<br>https://scryfall.com/card/twho/12/dalek?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/f/1/f176f6ec-1ff8-4cd4-b7a6-b95830532f6a.jpg?1696625378}
scry_3a8b8e1c-ea36-4b5a-91a0-a15d109cc25a|Human Rogue||Token Creature - Human Rogue|2|2||Doctor Who Tokens|Common||David Astruga|13|Finishes: nonfoil:foil:<br>https://scryfall.com/card/twho/13/human-rogue?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/3/a/3a8b8e1c-ea36-4b5a-91a0-a15d109cc25a.jpg?1696625230}
