ID|NAME|COST|TYPE|POWER|TOUGHNESS|ORACLE|SET|RARITY|LANG|ARTIST|COLLNUM|TEXT|PROPERTIES
4b0c59f8-b407-47e7-8885-8c968f4ceecf|Bird||Token Creature - Bird|1|1|Flying|Wilds of Eldraine Tokens|Common||Kisung Koh|1|Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/twoe/1/bird?utm_source=api">Scryfall</a>|{IMAGE_URL=https://cards.scryfall.io/normal/front/4/b/4b0c59f8-b407-47e7-8885-8c968f4ceecf.jpg?1692880921}
50240867-3a3e-4a8d-9569-816ab4a3671a|Human||Token Creature - Human|1|1||Wilds of Eldraine Tokens|Common||Julia Griffin|2|Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/twoe/2/human?utm_source=api">Scryfall</a>|{IMAGE_URL=https://cards.scryfall.io/normal/front/5/0/50240867-3a3e-4a8d-9569-816ab4a3671a.jpg?1692830746}
f4035134-a162-4651-86c5-ae006b6e0e20|Knight||Token Creature - Knight|2|2|Vigilance|Wilds of Eldraine Tokens|Common||Dominik Mayer|3|Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/twoe/3/knight?utm_source=api">Scryfall</a>|{IMAGE_URL=https://cards.scryfall.io/normal/front/f/4/f4035134-a162-4651-86c5-ae006b6e0e20.jpg?1692880673}
d80435c8-9a41-47cb-be84-784a278adcae|Mouse||Token Creature - Mouse|1|1||Wilds of Eldraine Tokens|Common||Kisung Koh|4|Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/twoe/4/mouse?utm_source=api">Scryfall</a>|{IMAGE_URL=https://cards.scryfall.io/normal/front/d/8/d80435c8-9a41-47cb-be84-784a278adcae.jpg?1692880772}
0f9a993f-1f2b-4b17-b415-e975b7873e18|Faerie||Token Creature - Faerie|1|1|Flying<br>This creature can block only creatures with flying.|Wilds of Eldraine Tokens|Common||Alessandra Pisano|5|Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/twoe/5/faerie?utm_source=api">Scryfall</a>|{IMAGE_URL=https://cards.scryfall.io/normal/front/0/f/0f9a993f-1f2b-4b17-b415-e975b7873e18.jpg?1692880732}
858428ee-3a9c-4dfc-84c2-751e59df2ed7|Nightmare||Token Creature - Nightmare|1|1|At the beginning of combat on your turn, if a card was put into exile this turn, put a +1/+1 counter on this creature.|Wilds of Eldraine Tokens|Common||Raymond Swanland|6|Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/twoe/6/nightmare?utm_source=api">Scryfall</a>|{IMAGE_URL=https://cards.scryfall.io/normal/front/8/5/858428ee-3a9c-4dfc-84c2-751e59df2ed7.jpg?1692880636}
1e0205f2-25c1-403b-b408-56e3f2d63b4d|Rat||Token Creature - Rat|1|1|This token can't block.|Wilds of Eldraine Tokens|Common||Kim Sokol|7|Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/twoe/7/rat?utm_source=api">Scryfall</a>|{IMAGE_URL=https://cards.scryfall.io/normal/front/1/e/1e0205f2-25c1-403b-b408-56e3f2d63b4d.jpg?1692495795}
a2d33cf3-c803-4e90-9d4b-fa34136b600e|Beast||Token Creature - Beast|3|3||Wilds of Eldraine Tokens|Common||Vincent Christiaens|8|Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/twoe/8/beast?utm_source=api">Scryfall</a>|{IMAGE_URL=https://cards.scryfall.io/normal/front/a/2/a2d33cf3-c803-4e90-9d4b-fa34136b600e.jpg?1701988973}
ff615495-a230-484e-a858-ead84f880bdd|Elemental||Token Creature - Elemental|4|4||Wilds of Eldraine Tokens|Common||Camille Alquier|9|Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/twoe/9/elemental?utm_source=api">Scryfall</a>|{IMAGE_URL=https://cards.scryfall.io/normal/front/f/f/ff615495-a230-484e-a858-ead84f880bdd.jpg?1701989022}
ab4f83dd-94c0-4594-8e72-611eb76fa4e2|Food||Token Artifact - Food|||{2}, {T}, Sacrifice this token: You gain 3 life.|Wilds of Eldraine Tokens|Common||Ovidio Cartagena|10|Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/twoe/10/food?utm_source=api">Scryfall</a>|{IMAGE_URL=https://cards.scryfall.io/normal/front/a/b/ab4f83dd-94c0-4594-8e72-611eb76fa4e2.jpg?1692880877}
0eaec411-0590-4662-ac88-11bb0008d69c|Food||Token Artifact - Food|||{2}, {T}, Sacrifice this token: You gain 3 life.|Wilds of Eldraine Tokens|Common||Gaboleps|11|Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/twoe/11/food?utm_source=api">Scryfall</a>|{IMAGE_URL=https://cards.scryfall.io/normal/front/0/e/0eaec411-0590-4662-ac88-11bb0008d69c.jpg?1692880842}
29a40362-be01-4a16-9c98-0761fffb2560|Food||Token Artifact - Food|||{2}, {T}, Sacrifice this token: You gain 3 life.|Wilds of Eldraine Tokens|Common||Irvin Rodriguez|12|Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/twoe/12/food?utm_source=api">Scryfall</a>|{IMAGE_URL=https://cards.scryfall.io/normal/front/2/9/29a40362-be01-4a16-9c98-0761fffb2560.jpg?1692880853}
f67727b7-819c-4e96-aa8e-1e01ecaf9f33|Food||Token Artifact - Food|||{2}, {T}, Sacrifice this token: You gain 3 life.|Wilds of Eldraine Tokens|Common||Jokubas Uogintas|13|Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/twoe/13/food?utm_source=api">Scryfall</a>|{IMAGE_URL=https://cards.scryfall.io/normal/front/f/6/f67727b7-819c-4e96-aa8e-1e01ecaf9f33.jpg?1692880891}
73cbf189-a79b-4dca-8b29-33aef6306b5a|Treasure||Token Artifact - Treasure|||{T}, Sacrifice this token: Add one mana of any color.|Wilds of Eldraine Tokens|Common||Zezhou Chen|14|Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/twoe/14/treasure?utm_source=api">Scryfall</a>|{IMAGE_URL=https://cards.scryfall.io/normal/front/7/3/73cbf189-a79b-4dca-8b29-33aef6306b5a.jpg?1692880797}
6b8a810b-8538-41c3-a792-dbd1a1845faa|Monster // Sorcerer||Token Enchantment - Aura Role|||Enchant creature<br>Enchanted creature gets +1/+1 and has trample.|Wilds of Eldraine Tokens|Common||Rovina Cai|15|Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/twoe/15/monster-sorcerer?utm_source=api">Scryfall</a>|{IMAGE_URL=https://cards.scryfall.io/normal/front/6/b/6b8a810b-8538-41c3-a792-dbd1a1845faa.jpg?1694737457, FLIPID=-6b8a810b-8538-41c3-a792-dbd1a1845faa}
