ID|NAME|COST|TYPE|POWER|TOUGHNESS|ORACLE|SET|RARITY|LANG|ARTIST|COLLNUM|TEXT|PROPERTIES
93b690ef-9fcb-42be-bbee-6aad516534a5|Charm School|{2}{W}|Enchantment|||As this enchantment enters, choose a color and balance this enchantment on your head.<br>Prevent all damage that would be dealt to you by sources of the chosen color.<br>When this enchantment falls off your head, sacrifice this enchantment.|Unglued|Uncommon||Kaja Foglio|1|MID: 9741<br>Finishes: nonfoil:<br><br><a href="https://scryfall.com/card/ugl/1/charm-school?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=9741&printed=false">Gatherer</a>|{IMAGE_URL=https://cards.scryfall.io/normal/front/9/3/93b690ef-9fcb-42be-bbee-6aad516534a5.jpg?1562799124, GATHERERID=9741}
d01a114f-3349-4a62-bfad-0dc33b78a53f|The Cheese Stands Alone|{4}{W}{W}|Enchantment|||When you control no permanents other than The Cheese Stands Alone and have no cards in hand, you win the game.|Unglued|Rare||Randy Elliott|2|MID: 9773<br>Finishes: nonfoil:<br><br><a href="https://scryfall.com/card/ugl/2/the-cheese-stands-alone?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=9773&printed=false">Gatherer</a>|{IMAGE_URL=https://cards.scryfall.io/normal/front/d/0/d01a114f-3349-4a62-bfad-0dc33b78a53f.jpg?1562799163, GATHERERID=9773}
ebbdbd92-ec36-4fe9-b75d-13f55574db5e|Double Dip|{4}{W}|Instant|||Choose another player. You gain 5 life. At the beginning of the first upkeep in your next game with that player, you gain 5 life.|Unglued|Common||D. Alexander Gregory|3|MID: 5726<br>Finishes: nonfoil:<br><br><a href="https://scryfall.com/card/ugl/3/double-dip?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=5726&printed=false">Gatherer</a>|{IMAGE_URL=https://cards.scryfall.io/normal/front/e/b/ebbdbd92-ec36-4fe9-b75d-13f55574db5e.jpg?1720467978, GATHERERID=5726}
2757b582-d995-45f9-9482-0792b0f0784d|Get a Life|{W}|Instant|||Target player and each of that player's teammates exchange life totals.|Unglued|Uncommon||Melissa A. Benson|4|MID: 9743<br>Finishes: nonfoil:<br><br><a href="https://scryfall.com/card/ugl/4/get-a-life?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=9743&printed=false">Gatherer</a>|{IMAGE_URL=https://cards.scryfall.io/normal/front/2/7/2757b582-d995-45f9-9482-0792b0f0784d.jpg?1562799080, GATHERERID=9743}
5979237f-ff41-4e87-b2e4-d09b81eca2dc|I'm Rubber, You're Glue|{W}{W}|Enchantment|||When you speak in non-rhyming sentences, sacrifice this enchantment.<br>Say "I'm rubber, you're glue. Everything bounces off me and sticks to you": Change the target of target spell or ability that targets only you.|Unglued|Rare||Claymore J. Flapdoodle|5|MID: 9774<br>Finishes: nonfoil:<br><br><a href="https://scryfall.com/card/ugl/5/im-rubber-youre-glue?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=9774&printed=false">Gatherer</a>|{IMAGE_URL=https://cards.scryfall.io/normal/front/5/9/5979237f-ff41-4e87-b2e4-d09b81eca2dc.jpg?1562799099, GATHERERID=9774}
bd53daa7-9130-4187-9e53-1075c6ab67d0|Knight of the Hokey Pokey|{W}{W}|Creature - Knight|2|2|First strike<br>{1}{W}, Do the Hokey Pokey: Prevent all damage a source of your choice would deal to this creature this turn. (To do the Hokey Pokey, choose an arm, a leg, or your whole self and put it in. Put it out. Put it in. Shake it all about. You do the Hokey Pokey! Turn yourself around.)|Unglued|Common||Kev Walker|6|MID: 9742<br>Finishes: nonfoil:<br><br><a href="https://scryfall.com/card/ugl/6/knight-of-the-hokey-pokey?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=9742&printed=false">Gatherer</a>|{IMAGE_URL=https://cards.scryfall.io/normal/front/b/d/bd53daa7-9130-4187-9e53-1075c6ab67d0.jpg?1562799152, GATHERERID=9742}
b39db7a3-028e-4c01-8ff9-64d2a1397379|Lexivore|{3}{W}|Creature - Beast|2|3|Whenever this creature deals damage to a player, destroy target permanent other than this creature with the most lines of text in its text box. (If two or more cards are tied, target any one of them.)|Unglued|Uncommon||Daniel Gelon|7|MID: 9760<br>Finishes: nonfoil:<br><br><a href="https://scryfall.com/card/ugl/7/lexivore?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=9760&printed=false">Gatherer</a>|{IMAGE_URL=https://cards.scryfall.io/normal/front/b/3/b39db7a3-028e-4c01-8ff9-64d2a1397379.jpg?1562799143, GATHERERID=9760}
14fb0d87-b086-4546-8f7f-786cb0b7b2f5|Look at Me, I'm the DCI|{5}{W}{W}|Sorcery|||Ban a card other than a basic land card for the rest of the match. (All cards with that name in any zone or sideboard are removed from the match.)|Unglued|Rare||Mark Rosewater|8|MID: 9771<br>Finishes: nonfoil:<br><br><a href="https://scryfall.com/card/ugl/8/look-at-me-im-the-dci?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=9771&printed=false">Gatherer</a>|{IMAGE_URL=https://cards.scryfall.io/normal/front/1/4/14fb0d87-b086-4546-8f7f-786cb0b7b2f5.jpg?1562799065, GATHERERID=9771}
cfd1edbc-ea37-42c4-8fb9-deac011372b5|Mesa Chicken|{W}{W}|Creature - Bird|2|2|Stand up, Flap your arms, Cluck like a chicken: This creature gains flying until end of turn.|Unglued|Common||Kev Walker|9|MID: 5725<br>Finishes: nonfoil:<br><br><a href="https://scryfall.com/card/ugl/9/mesa-chicken?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=5725&printed=false">Gatherer</a>|{IMAGE_URL=https://cards.scryfall.io/normal/front/c/f/cfd1edbc-ea37-42c4-8fb9-deac011372b5.jpg?1691495588, GATHERERID=5725}
747ff5d4-69cd-447e-a18d-edcf583d0539|Miss Demeanor|{3}{W}|Creature - Lady of Proper Etiquette|3|1|Flying, first strike<br>At the beginning of each other player's upkeep, you may compliment that player on their game play. If you don't, sacrifice this creature.|Unglued|Uncommon||Matthew D. Wilson|10|MID: 9745<br>Finishes: nonfoil:<br><br><a href="https://scryfall.com/card/ugl/10/miss-demeanor?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=9745&printed=false">Gatherer</a>|{IMAGE_URL=https://cards.scryfall.io/normal/front/7/4/747ff5d4-69cd-447e-a18d-edcf583d0539.jpg?1562799115, GATHERERID=9745}
ba42881b-9275-4b54-a17f-dec87d21a270|Once More with Feeling|{W}{W}{W}{W}|Sorcery|||Exile all permanents and all cards from all graveyards. Each player shuffles their hand into their library, then draws seven cards. Each player's life total becomes 10. Exile Once More with Feeling.<br>DCI ruling — A deck can have only one card named Once More with Feeling.|Unglued|Rare||Terese Nielsen|11|MID: 9772<br>Finishes: nonfoil:<br><br><a href="https://scryfall.com/card/ugl/11/once-more-with-feeling?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=9772&printed=false">Gatherer</a>|{IMAGE_URL=https://cards.scryfall.io/normal/front/b/a/ba42881b-9275-4b54-a17f-dec87d21a270.jpg?1720467991, GATHERERID=9772}
79624ebe-7110-486d-82ff-b64c662dc6de|Prismatic Wardrobe|{W}|Sorcery|||Destroy target nonartifact, nonland permanent that doesn't share a color with clothing worn by its controller.|Unglued|Common||D. Alexander Gregory|12|MID: 9744<br>Finishes: nonfoil:<br><br><a href="https://scryfall.com/card/ugl/12/prismatic-wardrobe?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=9744&printed=false">Gatherer</a>|{IMAGE_URL=https://cards.scryfall.io/normal/front/7/9/79624ebe-7110-486d-82ff-b64c662dc6de.jpg?1593865843, GATHERERID=9744}
97cfc18c-ed01-4016-86a2-162d7bc1bf33|Sex Appeal|{W}|Instant|||Prevent the next 3 damage that would be dealt this turn to any number of targets, divided as you choose. If there are more people in the room of a different gender than you are as you cast this spell, prevent the next 6 damage this way instead.|Unglued|Common||Matthew D. Wilson|13|MID: 5755<br>Finishes: nonfoil:<br><br><a href="https://scryfall.com/card/ugl/13/sex-appeal?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=5755&printed=false">Gatherer</a>|{IMAGE_URL=https://cards.scryfall.io/normal/front/9/7/97cfc18c-ed01-4016-86a2-162d7bc1bf33.jpg?1562799126, GATHERERID=5755}
43417d07-725e-4c3d-99d2-bbbfbdeee770|Bureaucracy|{3}{U}{U}|Enchantment|||Pursuant to subsection 3.1(4) of Richard's Rules of Order, at the beginning of the upkeep of each participant in this game of the Magic: The Gathering® trading card game (hereafter known as "PLAYER"), that PLAYER performs all actions in the sequence of previously added actions (hereafter known as "ACTION QUEUE"), in the order those actions were added, then adds another action to the end of the ACTION QUEUE. All actions must be simple physical or verbal actions that a player can perform while sitting in a chair, without jeopardizing the health and security of said PLAYER.<br>When any PLAYER does not perform all the prescribed actions in the correct order, sacrifice this enchantment and said PLAYER discards their complement of cards in hand (hereafter known as "HAND").|Unglued|Rare||Mark Zug|14|MID: 9778<br>Finishes: nonfoil:<br><br><a href="https://scryfall.com/card/ugl/14/bureaucracy?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=9778&printed=false">Gatherer</a>|{IMAGE_URL=https://cards.scryfall.io/normal/front/4/3/43417d07-725e-4c3d-99d2-bbbfbdeee770.jpg?1562799091, GATHERERID=9778}
e24d4fba-cf12-4ad3-bca3-6824dbc639af|Censorship|{U}|Enchantment|||As this enchantment enters, choose a word.<br>Whenever a player says the chosen word, this enchantment deals 2 damage to that player.|Unglued|Uncommon||Matthew D. Wilson|15|MID: 9747<br>Finishes: nonfoil:<br><br><a href="https://scryfall.com/card/ugl/15/censorship?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=9747&printed=false">Gatherer</a>|{IMAGE_URL=https://cards.scryfall.io/normal/front/e/2/e24d4fba-cf12-4ad3-bca3-6824dbc639af.jpg?1562799173, GATHERERID=9747}
cc70457a-34dc-48a1-8643-4a78c1e6f2d3|Checks and Balances|{2}{U}|Enchantment|||Cast this spell only if there are three or more players in the game.<br>Whenever a player casts a spell, each of that player's opponents may discard a card. If they do, counter that spell.|Unglued|Uncommon||David A. Cherry|16|MID: 9746<br>Finishes: nonfoil:<br><br><a href="https://scryfall.com/card/ugl/16/checks-and-balances?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=9746&printed=false">Gatherer</a>|{IMAGE_URL=https://cards.scryfall.io/normal/front/c/c/cc70457a-34dc-48a1-8643-4a78c1e6f2d3.jpg?1562799158, GATHERERID=9746}
3fcefcab-8988-47e8-89bb-9b76f14c9d8b|Chicken à la King|{1}{U}{U}|Creature - Bird Noble|2|2|Whenever a 6 is rolled on a six-sided die, put a +1/+1 counter on each Bird. (You may roll dice only when instructed to.)<br>Tap an untapped Bird you control: Roll a six-sided die. (Like now.)|Unglued|Rare||Mark Zug|17|MID: 9749<br>Finishes: nonfoil:<br><br><a href="https://scryfall.com/card/ugl/17/chicken-%C3%A0-la-king?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=9749&printed=false">Gatherer</a>|{IMAGE_URL=https://cards.scryfall.io/normal/front/3/f/3fcefcab-8988-47e8-89bb-9b76f14c9d8b.jpg?1562799089, GATHERERID=9749}
349ba052-10f7-4612-91b7-a1528c188ec3|Clambassadors|{3}{U}|Creature - Clamfolk|4|4|Whenever this creature deals damage to a player, choose an artifact, creature, or land you control. That player gains control of that permanent.|Unglued|Common||Randy Elliott|18|MID: 5763<br>Finishes: nonfoil:<br><br><a href="https://scryfall.com/card/ugl/18/clambassadors?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=5763&printed=false">Gatherer</a>|{IMAGE_URL=https://cards.scryfall.io/normal/front/3/4/349ba052-10f7-4612-91b7-a1528c188ec3.jpg?1562799085, GATHERERID=5763}
b57e1b62-df2b-48dc-9cb1-d86c9d3ab986|Clam-I-Am|{2}{U}|Creature - Clamfolk|2|2|If you roll a 3 on a six-sided die, you may reroll that die.|Unglued|Common||Randy Elliott|19|MID: 5770<br>Finishes: nonfoil:<br><br><a href="https://scryfall.com/card/ugl/19/clam-i-am?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=5770&printed=false">Gatherer</a>|{IMAGE_URL=https://cards.scryfall.io/normal/front/b/5/b57e1b62-df2b-48dc-9cb1-d86c9d3ab986.jpg?1595053626, GATHERERID=5770}
1c2953cd-1b7e-41aa-959f-fb7ba2964bfb|Clam Session|{1}{U}{U}|Creature - Clamfolk|2|5|As this creature enters, choose a word.<br>At the beginning of your upkeep, you may sing at least six words of a song, at least one of which is the chosen word. If you don't, sacrifice this creature. You can't repeat a song.|Unglued|Common||Randy Elliott|20|MID: 5824<br>Finishes: nonfoil:<br><br><a href="https://scryfall.com/card/ugl/20/clam-session?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=5824&printed=false">Gatherer</a>|{IMAGE_URL=https://cards.scryfall.io/normal/front/1/c/1c2953cd-1b7e-41aa-959f-fb7ba2964bfb.jpg?1562799071, GATHERERID=5824}
9ad6b646-a2b2-4817-856c-580a5953d87e|Common Courtesy|{2}{U}{U}|Enchantment|||Whenever a player casts a spell without asking your permission while casting it, counter that spell.<br>When a player asks you permission to cast a spell and you refuse, counter that spell and sacrifice this enchantment.|Unglued|Uncommon||Mike Raabe|21|MID: 9748<br>Finishes: nonfoil:<br><br><a href="https://scryfall.com/card/ugl/21/common-courtesy?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=9748&printed=false">Gatherer</a>|{IMAGE_URL=https://cards.scryfall.io/normal/front/9/a/9ad6b646-a2b2-4817-856c-580a5953d87e.jpg?1562799130, GATHERERID=9748}
