ID|NAME|COST|TYPE|POWER|TOUGHNESS|ORACLE|SET|RARITY|LANG|ARTIST|COLLNUM|TEXT|PROPERTIES
c63ba2da-6dea-44ac-8439-527222da565b|Angelic Curator|{1}{W}|Creature - Angel Spirit|1|1|Flying, protection from artifacts|Urza's Legacy|Common||Greg Staples|1|MID: 12354<br>Finishes: nonfoil:foil:<br>https://scryfall.com/card/ulg/1/angelic-curator?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/c/6/c63ba2da-6dea-44ac-8439-527222da565b.jpg?1562864223}
3fb6d738-f6a8-4626-8103-68e63874eda4|Blessed Reversal|{1}{W}|Instant|||You gain 3 life for each creature attacking you.|Urza's Legacy|Rare||Pete Venters|2|MID: 12366<br>Finishes: nonfoil:foil:<br>https://scryfall.com/card/ulg/2/blessed-reversal?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/3/f/3fb6d738-f6a8-4626-8103-68e63874eda4.jpg?1562862798}
43d590d2-cfa3-43d1-9e65-bc68b5a2a3ee|Burst of Energy|{W}|Instant|||Untap target permanent.|Urza's Legacy|Common||Mark Brill|3|MID: 13806<br>Finishes: nonfoil:foil:<br>https://scryfall.com/card/ulg/3/burst-of-energy?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/4/3/43d590d2-cfa3-43d1-9e65-bc68b5a2a3ee.jpg?1562862800}
3a113f0c-8249-427b-979b-10898ec66a3a|Cessation|{2}{W}|Enchantment - Aura|||Enchant creature<br>Enchanted creature can't attack.<br>When this Aura is put into a graveyard from the battlefield, return it to its owner's hand.|Urza's Legacy|Common||Mark Zug|4|MID: 12359<br>Finishes: nonfoil:foil:<br>https://scryfall.com/card/ulg/4/cessation?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/3/a/3a113f0c-8249-427b-979b-10898ec66a3a.jpg?1562862792}
9c8e8719-8c33-429d-8b95-b7f813888850|Defender of Law|{2}{W}|Creature - Human Knight|2|1|Flash<br>Protection from red|Urza's Legacy|Common||Carl Critchlow|5|MID: 12353<br>Finishes: nonfoil:foil:<br>https://scryfall.com/card/ulg/5/defender-of-law?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/9/c/9c8e8719-8c33-429d-8b95-b7f813888850.jpg?1562863764}
985b5c60-8a5e-4473-ba43-583aef50f19e|Devout Harpist|{W}|Creature - Human|1|1|{T}: Destroy target Aura attached to a creature.|Urza's Legacy|Common||Rebecca Guay|6|MID: 12813<br>Finishes: nonfoil:foil:<br>https://scryfall.com/card/ulg/6/devout-harpist?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/9/8/985b5c60-8a5e-4473-ba43-583aef50f19e.jpg?1562863759}
05c89d61-3c2e-4d70-86d6-f70eba3d327f|Erase|{W}|Instant|||Exile target enchantment.|Urza's Legacy|Common||Ron Spears|7|MID: 12941<br>Finishes: nonfoil:foil:<br>https://scryfall.com/card/ulg/7/erase?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/0/5/05c89d61-3c2e-4d70-86d6-f70eba3d327f.jpg?1562862305}
f31d7d1b-a219-4653-be99-a885bc9b2e2f|Expendable Troops|{1}{W}|Creature - Human Soldier|2|1|{T}, Sacrifice this creature: It deals 2 damage to target attacking or blocking creature.|Urza's Legacy|Common||Carl Critchlow|8|MID: 12356<br>Finishes: nonfoil:foil:<br>https://scryfall.com/card/ulg/8/expendable-troops?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/f/3/f31d7d1b-a219-4653-be99-a885bc9b2e2f.jpg?1562864246}
7cc6478f-4ae5-4f26-baa9-b28e992f962e|Hope and Glory|{1}{W}|Instant|||Untap two target creatures. Each of them gets +1/+1 until end of turn.|Urza's Legacy|Uncommon||Heather Hudson|9|MID: 12942<br>Finishes: nonfoil:foil:<br>https://scryfall.com/card/ulg/9/hope-and-glory?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/7/c/7cc6478f-4ae5-4f26-baa9-b28e992f962e.jpg?1562863288}
bee0ee84-6c22-4649-b621-e3fdb08bbe45|Iron Will|{W}|Instant|||Target creature gets +0/+4 until end of turn.<br>Cycling {2} ({2}, Discard this card: Draw a card.)|Urza's Legacy|Common||Val Mayerik|10|MID: 12358<br>Finishes: nonfoil:foil:<br>https://scryfall.com/card/ulg/10/iron-will?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/b/e/bee0ee84-6c22-4649-b621-e3fdb08bbe45.jpg?1562864217}
