ID|NAME|COST|TYPE|POWER|TOUGHNESS|ORACLE|SET|RARITY|LANG|ARTIST|COLLNUM|TEXT|GATHERERID|TCGID|PROPERTIES
d25ff6aa-a01d-49f2-926f-8f5457143b5c|Adorable Kitten|{W}|Host Creature - Cat|1|1|When this creature enters, roll a six-sided die. You gain life equal to the result.<BR><a href="https://api.scryfall.com/cards/d25ff6aa-a01d-49f2-926f-8f5457143b5c/rulings">Rulings</a>|Unsanctioned|Common||Andrea Radeck|1|MID: 479485<br>Finishes: nonfoil:<br><br><a href="https://scryfall.com/card/und/1/adorable-kitten?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=479485&printed=false">Gatherer</a>|479485|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/d/2/d25ff6aa-a01d-49f2-926f-8f5457143b5c.jpg?1583542840}
a3da3387-454c-4c09-b78f-6fcc36c426ce|AWOL|{2}{W}|Instant|||Exile target attacking creature. Then remove it from the game. Then put it into the absolutely-removed-from-the-freaking-game-forever zone.<BR><a href="https://api.scryfall.com/cards/a3da3387-454c-4c09-b78f-6fcc36c426ce/rulings">Rulings</a>|Unsanctioned|Common||Stephen Tappin|2|MID: 479401<br>Finishes: nonfoil:<br><br><a href="https://scryfall.com/card/und/2/awol?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=479401&printed=false">Gatherer</a>|479401|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/a/3/a3da3387-454c-4c09-b78f-6fcc36c426ce.jpg?1583542842}
caa7c80e-86bf-4156-8370-d40f864c3704|Emcee|{2}{W}|Creature - Human Rogue|0|1|Whenever another creature enters, you may stand up and say in a deep, booming voice, "Presenting . . . " and that creature's name. If you do, put a +1/+1 counter on that creature.<BR><a href="https://api.scryfall.com/cards/caa7c80e-86bf-4156-8370-d40f864c3704/rulings">Rulings</a>|Unsanctioned|Uncommon||Quinton Hoover|3|MID: 479402<br>Finishes: nonfoil:<br><br><a href="https://scryfall.com/card/und/3/emcee?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=479402&printed=false">Gatherer</a>|479402|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/c/a/caa7c80e-86bf-4156-8370-d40f864c3704.jpg?1583965342}
abce5940-e84f-4f9f-89a9-13da1cd7fd43|Flavor Judge|{1}{W}|Creature - Bird Advisor|2|2|{T}: Choose target spell or ability that targets a permanent you control. Then ask a person outside the game if the story of what will happen makes sense. If they say no, sacrifice this creature and counter that spell or ability.<BR><a href="https://api.scryfall.com/cards/abce5940-e84f-4f9f-89a9-13da1cd7fd43/rulings">Rulings</a>|Unsanctioned|Rare||Mike Burns|4|MID: 479403<br>Finishes: nonfoil:<br><br><a href="https://scryfall.com/card/und/4/flavor-judge?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=479403&printed=false">Gatherer</a>|479403|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/a/b/abce5940-e84f-4f9f-89a9-13da1cd7fd43.jpg?1583965349}
440c3e8b-d9c6-46cd-9f39-86db077fb89d|Frankie Peanuts|{2}{W}{W}|Legendary Creature - Elephant Rogue|2|3|At the beginning of your upkeep, you may ask target player a yes-or-no question. If you do, that player answers the question truthfully and abides by that answer if able until end of turn.<BR><a href="https://api.scryfall.com/cards/440c3e8b-d9c6-46cd-9f39-86db077fb89d/rulings">Rulings</a>|Unsanctioned|Rare||Thomas M. Baxa|5|MID: 479404<br>Finishes: nonfoil:<br><br><a href="https://scryfall.com/card/und/5/frankie-peanuts?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=479404&printed=false">Gatherer</a>|479404|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/4/4/440c3e8b-d9c6-46cd-9f39-86db077fb89d.jpg?1583965356}
d40eb8f1-7dec-47cd-99dd-b6147ad5593d|GO TO JAIL|{W}|Enchantment|||When this enchantment enters, exile target creature an opponent controls until this enchantment leaves the battlefield.<br>At the beginning of the upkeep of the exiled card's owner, that player rolls two six-sided dice. If they roll doubles, sacrifice this enchantment.<BR><a href="https://api.scryfall.com/cards/d40eb8f1-7dec-47cd-99dd-b6147ad5593d/rulings">Rulings</a>|Unsanctioned|Common||Marco Teixeira|6|MID: 479405<br>Finishes: nonfoil:<br><br><a href="https://scryfall.com/card/und/6/go-to-jail?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=479405&printed=false">Gatherer</a>|479405|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/d/4/d40eb8f1-7dec-47cd-99dd-b6147ad5593d.jpg?1583965363}
7cdb8d36-92e3-43b5-b9ce-79cb8d2bfd76|Humming-||Creature - Bird|+2|+3|Flying<br>Whenever you attack with two or more creatures,<br>Augment {3}{W} ({3}{W}, Reveal this card from your hand: Combine it with target host. Augment only as a sorcery.)<BR><a href="https://api.scryfall.com/cards/7cdb8d36-92e3-43b5-b9ce-79cb8d2bfd76/rulings">Rulings</a>|Unsanctioned|Common||Mark Behm|7|MID: 479486<br>Finishes: nonfoil:<br><br><a href="https://scryfall.com/card/und/7/humming-?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=479486&printed=false">Gatherer</a>|479486|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/7/c/7cdb8d36-92e3-43b5-b9ce-79cb8d2bfd76.jpg?1583542843}
89d81b09-aa21-4206-bdc5-21819e36d9b3|Knight of the Hokey Pokey|{W}{W}|Creature - Knight|2|2|First strike<br>{1}{W}, Do the Hokey Pokey: Prevent all damage a source of your choice would deal to this creature this turn. (To do the Hokey Pokey, choose an arm, a leg, or your whole self and put it in. Put it out. Put it in. Shake it all about. You do the Hokey Pokey! Turn yourself around.)<BR><a href="https://api.scryfall.com/cards/89d81b09-aa21-4206-bdc5-21819e36d9b3/rulings">Rulings</a>|Unsanctioned|Common||Kev Walker|8|MID: 479406<br>Finishes: nonfoil:<br><br><a href="https://scryfall.com/card/und/8/knight-of-the-hokey-pokey?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=479406&printed=false">Gatherer</a>|479406|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/8/9/89d81b09-aa21-4206-bdc5-21819e36d9b3.jpg?1583965370}
aaee15d7-db3d-4aa2-ab04-b883ff41d12a|Look at Me, I'm R&D|{2}{W}|Enchantment|||As this enchantment enters, choose a number and a second number one higher or one lower than the first number.<br>All instances of the first chosen number in the full text of each permanent, spell, and card in any zone are changed to the second chosen number.<BR><a href="https://api.scryfall.com/cards/aaee15d7-db3d-4aa2-ab04-b883ff41d12a/rulings">Rulings</a>|Unsanctioned|Rare|||9|MID: 479407<br>Finishes: nonfoil:<br>Promos: playtest:<br><br><a href="https://scryfall.com/card/und/9/look-at-me-im-r&d?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=479407&printed=false">Gatherer</a>|479407|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/a/a/aaee15d7-db3d-4aa2-ab04-b883ff41d12a.jpg?1739794530}
4fa69802-c392-4004-9d58-ad1fc42de0bd|Look at Me, I'm the DCI|{5}{W}{W}|Sorcery|||Ban a card other than a basic land card for the rest of the match. (All cards with that name in any zone or sideboard are removed from the match.)<BR><a href="https://api.scryfall.com/cards/4fa69802-c392-4004-9d58-ad1fc42de0bd/rulings">Rulings</a>|Unsanctioned|Rare||Mark Rosewater|10|MID: 479408<br>Finishes: nonfoil:<br><br><a href="https://scryfall.com/card/und/10/look-at-me-im-the-dci?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=479408&printed=false">Gatherer</a>|479408|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/4/f/4fa69802-c392-4004-9d58-ad1fc42de0bd.jpg?1583965377}
