ID|NAME|COST|TYPE|POWER|TOUGHNESS|ORACLE|SET|RARITY|LANG|ARTIST|COLLNUM|TEXT|PROPERTIES
fe7d1839-7180-4b4c-8ddb-7df24573f740|Absolute Grace|{1}{W}|Enchantment|||All creatures have protection from black.|Urza's Saga|Uncommon||Jeff Miracola|1|MID: 5716<br>Finishes: nonfoil:<br><br><a href="https://scryfall.com/card/usg/1/absolute-grace?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=5716&printed=false">Gatherer</a>|{IMAGE_URL=https://cards.scryfall.io/normal/front/f/e/fe7d1839-7180-4b4c-8ddb-7df24573f740.jpg?1562948889, GATHERERID=5716}
59d1f05b-f165-47c7-8a78-3b60ee3298ca|Absolute Law|{1}{W}|Enchantment|||All creatures have protection from red.|Urza's Saga|Uncommon||Mark Zug|2|MID: 8437<br>Finishes: nonfoil:<br><br><a href="https://scryfall.com/card/usg/2/absolute-law?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=8437&printed=false">Gatherer</a>|{IMAGE_URL=https://cards.scryfall.io/normal/front/5/9/59d1f05b-f165-47c7-8a78-3b60ee3298ca.jpg?1562913728, GATHERERID=8437}
907bf221-a1bf-41ab-9b7e-e5a64c385642|Angelic Chorus|{3}{W}{W}|Enchantment|||Whenever a creature you control enters, you gain life equal to its toughness.|Urza's Saga|Rare||Ron Spencer|3|MID: 5714<br>Finishes: nonfoil:<br><br><a href="https://scryfall.com/card/usg/3/angelic-chorus?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=5714&printed=false">Gatherer</a>|{IMAGE_URL=https://cards.scryfall.io/normal/front/9/0/907bf221-a1bf-41ab-9b7e-e5a64c385642.jpg?1562925444, GATHERERID=5714}
f50a4378-8b14-484c-b285-09cc4c4e1b3c|Angelic Page|{1}{W}|Creature - Angel Spirit|1|1|Flying<br>{T}: Target attacking or blocking creature gets +1/+1 until end of turn.|Urza's Saga|Common||Rebecca Guay|4|MID: 5781<br>Finishes: nonfoil:<br><br><a href="https://scryfall.com/card/usg/4/angelic-page?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=5781&printed=false">Gatherer</a>|{IMAGE_URL=https://cards.scryfall.io/normal/front/f/5/f50a4378-8b14-484c-b285-09cc4c4e1b3c.jpg?1562946716, GATHERERID=5781}
3d454961-1ab3-442b-935d-68c25b56aea0|Brilliant Halo|{1}{W}|Enchantment - Aura|||Enchant creature<br>Enchanted creature gets +1/+2.<br>When this Aura is put into a graveyard from the battlefield, return it to its owner's hand.|Urza's Saga|Common||Randy Gallegos|5|MID: 9890<br>Finishes: nonfoil:<br><br><a href="https://scryfall.com/card/usg/5/brilliant-halo?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=9890&printed=false">Gatherer</a>|{IMAGE_URL=https://cards.scryfall.io/normal/front/3/d/3d454961-1ab3-442b-935d-68c25b56aea0.jpg?1562907725, GATHERERID=9890}
294d21dc-5c76-4449-936f-9b7541d37c86|Catastrophe|{4}{W}{W}|Sorcery|||Destroy all lands or all creatures. Creatures destroyed this way can't be regenerated.|Urza's Saga|Rare||Andrew Robinson|6|MID: 5637<br>Finishes: nonfoil:<br><br><a href="https://scryfall.com/card/usg/6/catastrophe?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=5637&printed=false">Gatherer</a>|{IMAGE_URL=https://cards.scryfall.io/normal/front/2/9/294d21dc-5c76-4449-936f-9b7541d37c86.jpg?1562903769, GATHERERID=5637}
c7cdb977-7d5b-4050-bb01-181f6b363de7|Clear|{1}{W}|Instant|||Destroy target enchantment.<br>Cycling {2} ({2}, Discard this card: Draw a card.)|Urza's Saga|Uncommon||Andrew Robinson|7|MID: 5692<br>Finishes: nonfoil:<br><br><a href="https://scryfall.com/card/usg/7/clear?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=5692&printed=false">Gatherer</a>|{IMAGE_URL=https://cards.scryfall.io/normal/front/c/7/c7cdb977-7d5b-4050-bb01-181f6b363de7.jpg?1562937199, GATHERERID=5692}
80b7923b-eb1c-49ce-8250-a1ea6efbb56e|Congregate|{3}{W}|Instant|||Target player gains 2 life for each creature on the battlefield.|Urza's Saga|Common||Mark Zug|8|MID: 9702<br>Finishes: nonfoil:<br><br><a href="https://scryfall.com/card/usg/8/congregate?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=9702&printed=false">Gatherer</a>|{IMAGE_URL=https://cards.scryfall.io/normal/front/8/0/80b7923b-eb1c-49ce-8250-a1ea6efbb56e.jpg?1562922151, GATHERERID=9702}
fdd76db0-1a67-4965-81a5-1d8d86b63971|Defensive Formation|{W}|Enchantment|||Rather than the attacking player, you assign the combat damage of each creature attacking you. You can divide that creature's combat damage as you choose among any of the creatures blocking it.|Urza's Saga|Uncommon||Greg Staples|9|MID: 5588<br>Finishes: nonfoil:<br><br><a href="https://scryfall.com/card/usg/9/defensive-formation?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=5588&printed=false">Gatherer</a>|{IMAGE_URL=https://cards.scryfall.io/normal/front/f/d/fdd76db0-1a67-4965-81a5-1d8d86b63971.jpg?1562948771, GATHERERID=5588}
83fa36d2-0a60-40a5-a182-a63e1e65b2bd|Disciple of Grace|{1}{W}|Creature - Human Cleric|1|2|Protection from black<br>Cycling {2} ({2}, Discard this card: Draw a card.)|Urza's Saga|Common||Robh Ruppel|10|MID: 5634<br>Finishes: nonfoil:<br><br><a href="https://scryfall.com/card/usg/10/disciple-of-grace?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=5634&printed=false">Gatherer</a>|{IMAGE_URL=https://cards.scryfall.io/normal/front/8/3/83fa36d2-0a60-40a5-a182-a63e1e65b2bd.jpg?1562922861, GATHERERID=5634}
