ID|NAME|COST|TYPE|POWER|TOUGHNESS|ORACLE|SET|RARITY|LANG|ARTIST|COLLNUM|TEXT|PROPERTIES
63e00d79-cc6c-41ad-ab2c-0a6596e0e5b7|Armageddon|{3}{W}|Sorcery|||Destroy all lands.|From the Vault: Annihilation|Mythic||Chris Rahn|1|MID: 386284<br>Finishes: foil:<br><br><a href="https://scryfall.com/card/v14/1/armageddon?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=386284&printed=false">Gatherer</a>|{IMAGE_URL=https://cards.scryfall.io/normal/front/6/3/63e00d79-cc6c-41ad-ab2c-0a6596e0e5b7.jpg?1559503993, GATHERERID=386284}
edb86d0d-e6cf-4988-a03e-26d52d78d929|Burning of Xinye|{4}{R}{R}|Sorcery|||You destroy four lands you control, then target opponent destroys four lands they control. Then Burning of Xinye deals 4 damage to each creature.|From the Vault: Annihilation|Mythic||Yang Hong|2|MID: 386285<br>Finishes: foil:<br><br><a href="https://scryfall.com/card/v14/2/burning-of-xinye?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=386285&printed=false">Gatherer</a>|{IMAGE_URL=https://cards.scryfall.io/normal/front/e/d/edb86d0d-e6cf-4988-a03e-26d52d78d929.jpg?1559507012, GATHERERID=386285}
3ed0d87b-1ce8-452b-9558-fa1923407f16|Cataclysm|{2}{W}{W}|Sorcery|||Each player chooses from among the permanents they control an artifact, a creature, an enchantment, and a land, then sacrifices the rest.|From the Vault: Annihilation|Mythic||Eric Deschamps|3|MID: 386286<br>Finishes: foil:<br><br><a href="https://scryfall.com/card/v14/3/cataclysm?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=386286&printed=false">Gatherer</a>|{IMAGE_URL=https://cards.scryfall.io/normal/front/3/e/3ed0d87b-1ce8-452b-9558-fa1923407f16.jpg?1559618030, GATHERERID=386286}
8d2542e7-70b0-4feb-831d-fa610d8f33c7|Child of Alara|{W}{U}{B}{R}{G}|Legendary Creature - Avatar|6|6|Trample<br>When Child of Alara dies, destroy all nonland permanents. They can't be regenerated.|From the Vault: Annihilation|Mythic||Steve Argyle|4|MID: 386287<br>Finishes: foil:<br><br><a href="https://scryfall.com/card/v14/4/child-of-alara?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=386287&printed=false">Gatherer</a>|{IMAGE_URL=https://cards.scryfall.io/normal/front/8/d/8d2542e7-70b0-4feb-831d-fa610d8f33c7.jpg?1572315209, GATHERERID=386287}
1fe36d82-e59e-41f1-ab71-90c7336a28ff|Decree of Annihilation|{8}{R}{R}|Sorcery|||Exile all artifacts, creatures, and lands from the battlefield, all cards from all graveyards, and all cards from all hands.<br>Cycling {5}{R}{R} ({5}{R}{R}, Discard this card: Draw a card.)<br>When you cycle this card, destroy all lands.|From the Vault: Annihilation|Mythic||John Avon|5|MID: 386288<br>Finishes: foil:<br><br><a href="https://scryfall.com/card/v14/5/decree-of-annihilation?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=386288&printed=false">Gatherer</a>|{IMAGE_URL=https://cards.scryfall.io/normal/front/1/f/1fe36d82-e59e-41f1-ab71-90c7336a28ff.jpg?1559792129, GATHERERID=386288}
8fecd098-bbf2-44f1-b9f1-7b93ea660880|Firespout|{2}{R/G}|Sorcery|||Firespout deals 3 damage to each creature without flying if {R} was spent to cast this spell and 3 damage to each creature with flying if {G} was spent to cast this spell. (Do both if {R}{G} was spent.)|From the Vault: Annihilation|Mythic||Raymond Swanland|6|MID: 386289<br>Finishes: foil:<br><br><a href="https://scryfall.com/card/v14/6/firespout?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=386289&printed=false">Gatherer</a>|{IMAGE_URL=https://cards.scryfall.io/normal/front/8/f/8fecd098-bbf2-44f1-b9f1-7b93ea660880.jpg?1559966438, GATHERERID=386289}
cf9d6522-567d-4357-a5de-25eaf8e9cac3|Fracturing Gust|{2}{G/W}{G/W}{G/W}|Instant|||Destroy all artifacts and enchantments. You gain 2 life for each permanent destroyed this way.|From the Vault: Annihilation|Mythic||Michael Sutfin|7|MID: 386290<br>Finishes: foil:<br><br><a href="https://scryfall.com/card/v14/7/fracturing-gust?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=386290&printed=false">Gatherer</a>|{IMAGE_URL=https://cards.scryfall.io/normal/front/c/f/cf9d6522-567d-4357-a5de-25eaf8e9cac3.jpg?1560029548, GATHERERID=386290}
c91aca0c-677f-4ad3-9c32-049cd5d49a54|Living Death|{3}{B}{B}|Sorcery|||Each player exiles all creature cards from their graveyard, then sacrifices all creatures they control, then puts all cards they exiled this way onto the battlefield.|From the Vault: Annihilation|Mythic||Mark Winters|8|MID: 386291<br>Finishes: foil:<br><br><a href="https://scryfall.com/card/v14/8/living-death?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=386291&printed=false">Gatherer</a>|{IMAGE_URL=https://cards.scryfall.io/normal/front/c/9/c91aca0c-677f-4ad3-9c32-049cd5d49a54.jpg?1560049223, GATHERERID=386291}
50845867-20a7-433c-b97e-081276bc739f|Martial Coup|{X}{W}{W}|Sorcery|||Create X 1/1 white Soldier creature tokens. If X is 5 or more, destroy all other creatures.|From the Vault: Annihilation|Mythic||Greg Staples|9|MID: 386292<br>Finishes: foil:<br><br><a href="https://scryfall.com/card/v14/9/martial-coup?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=386292&printed=false">Gatherer</a>|{IMAGE_URL=https://cards.scryfall.io/normal/front/5/0/50845867-20a7-433c-b97e-081276bc739f.jpg?1560134550, GATHERERID=386292}
d1392e68-fe1e-400f-9412-9ae11079b08c|Rolling Earthquake|{X}{R}|Sorcery|||Rolling Earthquake deals X damage to each creature without horsemanship and each player.|From the Vault: Annihilation|Mythic||Yang Hong|10|MID: 386293<br>Finishes: foil:<br><br><a href="https://scryfall.com/card/v14/10/rolling-earthquake?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=386293&printed=false">Gatherer</a>|{IMAGE_URL=https://cards.scryfall.io/normal/front/d/1/d1392e68-fe1e-400f-9412-9ae11079b08c.jpg?1560226941, GATHERERID=386293}
ec94adb9-277a-4237-b8ca-ad2f52a1d832|Smokestack|{4}|Artifact|||At the beginning of your upkeep, you may put a soot counter on this artifact.<br>At the beginning of each player's upkeep, that player sacrifices a permanent of their choice for each soot counter on this artifact.|From the Vault: Annihilation|Mythic||Daniel Ljunggren|11|MID: 386294<br>Finishes: foil:<br><br><a href="https://scryfall.com/card/v14/11/smokestack?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=386294&printed=false">Gatherer</a>|{IMAGE_URL=https://cards.scryfall.io/normal/front/e/c/ec94adb9-277a-4237-b8ca-ad2f52a1d832.jpg?1560311137, GATHERERID=386294}
dda84c94-bc11-4af6-9fa0-a5af5c8c1d30|Terminus|{4}{W}{W}|Sorcery|||Put all creatures on the bottom of their owners' libraries.<br>Miracle {W} (You may cast this card for its miracle cost when you draw it if it's the first card you drew this turn.)|From the Vault: Annihilation|Mythic||James Paick|12|MID: 386295<br>Finishes: foil:<br><br><a href="https://scryfall.com/card/v14/12/terminus?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=386295&printed=false">Gatherer</a>|{IMAGE_URL=https://cards.scryfall.io/normal/front/d/d/dda84c94-bc11-4af6-9fa0-a5af5c8c1d30.jpg?1560396695, GATHERERID=386295}
7c353e83-4b63-4bc6-b029-273d2eca1f75|Upheaval|{4}{U}{U}|Sorcery|||Return all permanents to their owners' hands.|From the Vault: Annihilation|Mythic||Kev Walker|13|MID: 386296<br>Finishes: foil:<br><br><a href="https://scryfall.com/card/v14/13/upheaval?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=386296&printed=false">Gatherer</a>|{IMAGE_URL=https://cards.scryfall.io/normal/front/7/c/7c353e83-4b63-4bc6-b029-273d2eca1f75.jpg?1560483464, GATHERERID=386296}
6fecf6d4-faa8-4d55-97a8-e05eca1d384f|Virtue's Ruin|{2}{B}|Sorcery|||Destroy all white creatures.|From the Vault: Annihilation|Mythic||Mike Dringenberg|14|MID: 386297<br>Finishes: foil:<br><br><a href="https://scryfall.com/card/v14/14/virtues-ruin?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=386297&printed=false">Gatherer</a>|{IMAGE_URL=https://cards.scryfall.io/normal/front/6/f/6fecf6d4-faa8-4d55-97a8-e05eca1d384f.jpg?1560572437, GATHERERID=386297}
98890cd7-ebd5-4fea-814e-4f612abfe3a5|Wrath of God|{2}{W}{W}|Sorcery|||Destroy all creatures. They can't be regenerated.|From the Vault: Annihilation|Mythic||Willian Murai|15|MID: 386298<br>Finishes: foil:<br><br><a href="https://scryfall.com/card/v14/15/wrath-of-god?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=386298&printed=false">Gatherer</a>|{IMAGE_URL=https://cards.scryfall.io/normal/front/9/8/98890cd7-ebd5-4fea-814e-4f612abfe3a5.jpg?1560576455, GATHERERID=386298}
