ID|NAME|COST|TYPE|POWER|TOUGHNESS|ORACLE|SET|RARITY|LANG|ARTIST|COLLNUM|TEXT|PROPERTIES
3708|Archangel|{5}{W}{W}|Creature - Angel|5|5|Flying, vigilance|Visions|Rare||Christopher Rush|1|MID: 3708<br>Finishes: nonfoil:<br>https://scryfall.com/card/vis/1/archangel?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/3/6/368144bf-d415-48ab-a957-9d7ac1ceb353.jpg?1562277438}
3709|Daraja Griffin|{3}{W}|Creature - Griffin|2|2|Flying<br>Sacrifice this creature: Destroy target black creature.|Visions|Uncommon||Stuart Griffin|2|MID: 3709<br>Finishes: nonfoil:<br>https://scryfall.com/card/vis/2/daraja-griffin?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/2/f/2f7afcaa-9df8-4dd6-89ad-bc2e15f1ec4b.jpg?1562277428}
3710|Equipoise|{2}{W}|Enchantment|||At the beginning of your upkeep, for each land target player controls in excess of the number you control, choose a land that player controls, then the chosen permanents phase out. Repeat this process for artifacts and creatures. (While they're phased out, they're treated as though they don't exist. They phase in before that player untaps during their next untap step.)|Visions|Rare||Adam Rex|3|MID: 3710<br>Finishes: nonfoil:<br>https://scryfall.com/card/vis/3/equipoise?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/5/3/53783312-3551-4361-ab02-c9651ce2a926.jpg?1562277662}
3711|Eye of Singularity|{3}{W}|World Enchantment|||When this enchantment enters, destroy each permanent with the same name as another permanent, except for basic lands. They can't be regenerated.<br>Whenever a permanent other than a basic land enters, destroy all other permanents with that name. They can't be regenerated.|Visions|Rare||Eric Peterson|4|MID: 3711<br>Finishes: nonfoil:<br>https://scryfall.com/card/vis/4/eye-of-singularity?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/f/a/fa84e4ad-738a-4d23-a84c-06c39ff4200b.jpg?1562279120}
3712|Freewind Falcon|{1}{W}|Creature - Bird|1|1|Flying, protection from red|Visions|Common||Una Fricker|5|MID: 3712<br>Finishes: nonfoil:<br>https://scryfall.com/card/vis/5/freewind-falcon?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/3/3/33dc0244-319c-4e15-9083-8d21ad0364d8.jpg?1562277435}
3713|Gossamer Chains|{W}{W}|Enchantment|||Return this enchantment to its owner's hand: Prevent all combat damage that would be dealt by target unblocked creature this turn.|Visions|Common||Steve Luke|6|MID: 3713<br>Finishes: nonfoil:<br>https://scryfall.com/card/vis/6/gossamer-chains?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/e/9/e9917a29-c6b4-4e0a-a301-21868bd27e17.jpg?1562279106}
3714|Honorable Passage|{1}{W}|Instant|||The next time a source of your choice would deal damage to any target this turn, prevent that damage. If damage from a red source is prevented this way, Honorable Passage deals that much damage to the source's controller.|Visions|Uncommon||Jeff Miracola|7|MID: 3714<br>Finishes: nonfoil:<br>https://scryfall.com/card/vis/7/honorable-passage?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/6/5/6559d301-98bd-40a9-abf4-1079d7283214.jpg?1562277679}
3715|Hope Charm|{W}|Instant|||Choose one —<br>• Target creature gains first strike until end of turn.<br>• Target player gains 2 life.<br>• Destroy target Aura.|Visions|Common||Greg Spalenka|8|MID: 3715<br>Finishes: nonfoil:<br>https://scryfall.com/card/vis/8/hope-charm?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/a/1/a1a8980f-07ab-49b7-b83d-f394952ced57.jpg?1562278163}
3716|Infantry Veteran|{W}|Creature - Human Soldier|1|1|{T}: Target attacking creature gets +1/+1 until end of turn.|Visions|Common||Christopher Rush|9|MID: 3716<br>Finishes: nonfoil:<br>https://scryfall.com/card/vis/9/infantry-veteran?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/0/3/0350470b-feea-4e15-bdf0-850b71dbeea6.jpg?1562276951}
3717|Jamuraan Lion|{2}{W}|Creature - Cat|3|1|{W}, {T}: Target creature can't block this turn.|Visions|Common||Stuart Griffin|10|MID: 3717<br>Finishes: nonfoil:<br>https://scryfall.com/card/vis/10/jamuraan-lion?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/b/f/bfc681f5-9fff-48b6-98d9-e85c85e582a3.jpg?1562278630}
3718|Knight of Valor|{2}{W}|Creature - Human Knight|2|2|Flanking (Whenever a creature without flanking blocks this creature, the blocking creature gets -1/-1 until end of turn.)<br>{1}{W}: Each creature without flanking blocking this creature gets -1/-1 until end of turn. Activate only once each turn.|Visions|Common||Jeff Miracola|11|MID: 3718<br>Finishes: nonfoil:<br>https://scryfall.com/card/vis/11/knight-of-valor?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/2/5/25aa80ae-bb17-4e52-a269-efe75cf4c041.jpg?1562277415}
3719|Longbow Archer|{W}{W}|Creature - Human Soldier Archer|2|2|First strike; reach (This creature can block creatures with flying.)|Visions|Uncommon||Eric Peterson|12|MID: 3719<br>Finishes: nonfoil:<br>https://scryfall.com/card/vis/12/longbow-archer?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/e/2/e2ee185d-f5ae-4b1d-90a4-840182f87ab8.jpg?1562279093}
3720|Miraculous Recovery|{4}{W}|Instant|||Return target creature card from your graveyard to the battlefield. Put a +1/+1 counter on it.|Visions|Uncommon||Brian Horton|13|MID: 3720<br>Finishes: nonfoil:<br>https://scryfall.com/card/vis/13/miraculous-recovery?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/7/6/76fecb31-790a-4454-918e-5aeb253021f0.jpg?1562277694}
3721|Parapet|{1}{W}|Enchantment|||You may cast this spell as though it had flash. If you cast it any time a sorcery couldn't have been cast, the controller of the permanent it becomes sacrifices it at the beginning of the next cleanup step.<br>Creatures you control get +0/+1.|Visions|Common||Mark Poole|14|MID: 3721<br>Finishes: nonfoil:<br>https://scryfall.com/card/vis/14/parapet?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/a/7/a7bbcaa9-edbf-48ad-bcd2-65e8fb9bb938.jpg?1562278169}
3722|Peace Talks|{1}{W}|Sorcery|||This turn and next turn, creatures can't attack, and players and permanents can't be the targets of spells or activated abilities.|Visions|Uncommon||Roger Raupp|15|MID: 3722<br>Finishes: nonfoil:<br>https://scryfall.com/card/vis/15/peace-talks?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/2/1/21da279d-a723-4902-bf84-dfe2c569d4c8.jpg?1562276986}
3723|Relic Ward|{1}{W}|Enchantment - Aura|||You may cast this spell as though it had flash. If you cast it any time a sorcery couldn't have been cast, the controller of the permanent it becomes sacrifices it at the beginning of the next cleanup step.<br>Enchant artifact<br>Enchanted artifact has shroud. (It can't be the target of spells or abilities.)|Visions|Uncommon||John Coulthart|16|MID: 3723<br>Finishes: nonfoil:<br>https://scryfall.com/card/vis/16/relic-ward?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/f/0/f0459667-b7da-43bd-b981-0e515432d147.jpg?1562279110}
3724|Remedy|{1}{W}|Instant|||Prevent the next 5 damage that would be dealt this turn to any number of targets, divided as you choose.|Visions|Common||Zina Saunders|17|MID: 3724<br>Finishes: nonfoil:<br>https://scryfall.com/card/vis/17/remedy?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/2/a/2a0b7162-4422-4dfb-a6ca-8d89fa74e6dc.jpg?1562277420}
3725|Resistance Fighter|{W}|Creature - Human Soldier|1|1|Sacrifice this creature: Prevent all combat damage target creature would deal this turn.|Visions|Common||Cecil Fernando|18|MID: 3725<br>Finishes: nonfoil:<br>https://scryfall.com/card/vis/18/resistance-fighter?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/2/1/21250bdb-9431-41b3-9fef-d66a4d3f6ecd.jpg?1562276984}
3726|Retribution of the Meek|{2}{W}|Sorcery|||Destroy all creatures with power 4 or greater. They can't be regenerated.|Visions|Rare||Nathalie Hertz|19|MID: 3726<br>Finishes: nonfoil:<br>https://scryfall.com/card/vis/19/retribution-of-the-meek?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/8/6/860b8633-1bfc-426a-8666-5e6a584d4525.jpg?1587857186}
3727|Righteous Aura|{1}{W}|Enchantment|||{W}, Pay 2 life: The next time a source of your choice would deal damage to you this turn, prevent that damage.|Visions|Common||Jeff Miracola|20|MID: 3727<br>Finishes: nonfoil:<br>https://scryfall.com/card/vis/20/righteous-aura?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/f/e/fed82843-2853-42d3-bcf6-b831032b7a69.jpg?1562279125}
3728|Sun Clasp|{1}{W}|Enchantment - Aura|||Enchant creature<br>Enchanted creature gets +1/+3.<br>{W}: Return enchanted creature to its owner's hand.|Visions|Common||John Coulthart|21|MID: 3728<br>Finishes: nonfoil:<br>https://scryfall.com/card/vis/21/sun-clasp?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/e/3/e3f1fb74-bc08-4c3b-9fbe-da6973aaeaa2.jpg?1688131302}
3729|Teferi's Honor Guard|{2}{W}|Creature - Human Knight|2|2|Flanking (Whenever a creature without flanking blocks this creature, the blocking creature gets -1/-1 until end of turn.)<br>{U}{U}: This creature phases out. (While it's phased out, it's treated as though it doesn't exist. It phases in before you untap during your next untap step.)|Visions|Uncommon||Cecil Fernando|22|MID: 3729<br>Finishes: nonfoil:<br>https://scryfall.com/card/vis/22/teferis-honor-guard?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/4/1/4177d5bf-db48-4bbf-bbd4-ee6313031920.jpg?1562277453}
3730|Tithe|{W}|Instant|||Search your library for a Plains card. If target opponent controls more lands than you, you may search your library for an additional Plains card. Reveal those cards, put them into your hand, then shuffle.|Visions|Rare||Jon J Muth|23|MID: 3730<br>Finishes: nonfoil:<br>https://scryfall.com/card/vis/23/tithe?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/a/a/aae08938-e563-4322-b2eb-db81913ea730.jpg?1562278172}
3731|Warrior's Honor|{2}{W}|Instant|||Creatures you control get +1/+1 until end of turn.|Visions|Common||D. Alexander Gregory|24|MID: 3731<br>Finishes: nonfoil:<br>https://scryfall.com/card/vis/24/warriors-honor?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/7/b/7babd273-3e20-4cf9-bf21-c602eb729fc5.jpg?1562278133}
3732|Zhalfirin Crusader|{1}{W}{W}|Creature - Human Knight|2|2|Flanking (Whenever a creature without flanking blocks this creature, the blocking creature gets -1/-1 until end of turn.)<br>{1}{W}: The next 1 damage that would be dealt to this creature this turn is dealt to any target instead.|Visions|Rare||Alan Rabinowitz|25|MID: 3732<br>Finishes: nonfoil:<br>https://scryfall.com/card/vis/25/zhalfirin-crusader?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/d/8/d8ed802f-6e54-4fed-a71e-6d404c2c664b.jpg?1562278651}
3633|Betrayal|{U}|Enchantment - Aura|||Enchant creature an opponent controls<br>Whenever enchanted creature becomes tapped, you draw a card.|Visions|Common||Gary Leach|26|MID: 3633<br>Finishes: nonfoil:<br>https://scryfall.com/card/vis/26/betrayal?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/7/f/7f9b5c75-882e-4fe4-827f-584080e91485.jpg?1562278139}
3634|Breezekeeper|{3}{U}|Creature - Djinn|4|4|Flying<br>Phasing (This phases in or out before you untap during each of your untap steps. While it's phased out, it's treated as though it doesn't exist.)|Visions|Common||Adam Rex|27|MID: 3634<br>Finishes: nonfoil:<br>https://scryfall.com/card/vis/27/breezekeeper?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/b/e/beaefa77-6e4a-4724-a443-fa6b45803db5.jpg?1562278629}
3635|Chronatog|{1}{U}|Creature - Atog|1|2|{0}: This creature gets +3/+3 until end of turn. You skip your next turn. Activate only once each turn.|Visions|Rare||Christopher Rush|28|MID: 3635<br>Finishes: nonfoil:<br>https://scryfall.com/card/vis/28/chronatog?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/0/5/05ada02f-04e9-4269-b04a-97a7eaac2c46.jpg?1562276952}
3636|Cloud Elemental|{2}{U}|Creature - Elemental|2|3|Flying<br>This creature can block only creatures with flying.|Visions|Common||Adam Rex|29|MID: 3636<br>Finishes: nonfoil:<br>https://scryfall.com/card/vis/29/cloud-elemental?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/4/f/4f2a5146-cf2e-40c0-b498-06e611343196.jpg?1562277658}
3637|Desertion|{3}{U}{U}|Instant|||Counter target spell. If an artifact or creature spell is countered this way, put that card onto the battlefield under your control instead of into its owner's graveyard.|Visions|Rare||Richard Kane Ferguson|30|MID: 3637<br>Finishes: nonfoil:<br>https://scryfall.com/card/vis/30/desertion?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/9/a/9a2a1779-af08-4a9a-aba4-e6892ce2332c.jpg?1562278155}
3638|Dream Tides|{2}{U}{U}|Enchantment|||Creatures don't untap during their controllers' untap steps.<br>At the beginning of each player's upkeep, that player may choose any number of tapped nongreen creatures they control and pay {2} for each creature chosen this way. If the player does, untap those creatures.|Visions|Uncommon||Jerry Tiritilli|31|MID: 3638<br>Finishes: nonfoil:<br>https://scryfall.com/card/vis/31/dream-tides?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/3/b/3bd292a0-ec08-4250-8d75-0802e985d6e6.jpg?1562277448}
3639|Flooded Shoreline|{U}{U}|Enchantment|||{U}{U}, Return two Islands you control to their owner's hand: Return target creature to its owner's hand.|Visions|Rare||Romas Kukalis|32|MID: 3639<br>Finishes: nonfoil:<br>https://scryfall.com/card/vis/32/flooded-shoreline?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/4/9/49db9f58-380f-496e-9d3d-6776d30fb564.jpg?1587913226}
