ID|NAME|COST|TYPE|POWER|TOUGHNESS|ORACLE|SET|RARITY|LANG|ARTIST|COLLNUM|TEXT|PROPERTIES
2b86b538-0766-440d-a2cd-f5d5bfcfb010|Millicent, Restless Revenant|{5}{W}{U}|Legendary Creature - Spirit Soldier|4|4|Affinity for Spirits (This spell costs {1} less to cast for each Spirit you control.)<br>Flying<br>Whenever Millicent or another nontoken Spirit you control dies or deals combat damage to a player, create a 1/1 white Spirit creature token with flying.|Crimson Vow Commander|Mythic||Denman Rooke|1|MID: 547249<br>Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/voc/1/millicent-restless-revenant?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=547249&printed=false">Gatherer</a>|{IMAGE_URL=https://cards.scryfall.io/normal/front/2/b/2b86b538-0766-440d-a2cd-f5d5bfcfb010.jpg?1641600129, GATHERERID=547249}
8f54c6ce-fde4-47ef-a106-5c68b4397f99|Strefan, Maurer Progenitor|{2}{B}{R}|Legendary Creature - Vampire Noble|3|2|Flying<br>At the beginning of your end step, create a Blood token for each player who lost life this turn.<br>Whenever Strefan attacks, you may sacrifice two Blood tokens. If you do, you may put a Vampire card from your hand onto the battlefield tapped and attacking. It gains indestructible until end of turn.|Crimson Vow Commander|Mythic||Chris Rallis|2|MID: 547250<br>Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/voc/2/strefan-maurer-progenitor?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=547250&printed=false">Gatherer</a>|{IMAGE_URL=https://cards.scryfall.io/normal/front/8/f/8f54c6ce-fde4-47ef-a106-5c68b4397f99.jpg?1641600044, GATHERERID=547250}
70cf8d2b-5220-4fe9-b39d-6700f0b27cca|Donal, Herald of Wings|{2}{U}{U}|Legendary Creature - Human Wizard|3|3|Whenever you cast a nonlegendary creature spell with flying, you may copy it, except the copy is a 1/1 Spirit in addition to its other types. Do this only once each turn. (The copy becomes a token.)|Crimson Vow Commander|Mythic||Wayne Reynolds|3|MID: 547229<br>Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/voc/3/donal-herald-of-wings?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=547229&printed=false">Gatherer</a>|{IMAGE_URL=https://cards.scryfall.io/normal/front/7/0/70cf8d2b-5220-4fe9-b39d-6700f0b27cca.jpg?1641655880, GATHERERID=547229}
a148447f-e3bd-4a49-a802-4d489f3c50d9|Timothar, Baron of Bats|{4}{B}{B}|Legendary Creature - Vampire Noble|4|4|Ward—Discard a card.<br>Whenever another nontoken Vampire you control dies, you may pay {1} and exile it. If you do, create a 1/1 black Bat creature token with flying. It gains "When this token deals combat damage to a player, sacrifice it and return the exiled card to the battlefield tapped."|Crimson Vow Commander|Mythic||Jason A. Engle|4|MID: 547230<br>Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/voc/4/timothar-baron-of-bats?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=547230&printed=false">Gatherer</a>|{IMAGE_URL=https://cards.scryfall.io/normal/front/a/1/a148447f-e3bd-4a49-a802-4d489f3c50d9.jpg?1641655854, GATHERERID=547230}
c86bdb28-9b0c-426d-b603-cc10cd301cc6|Drogskol Reinforcements|{3}{W}|Creature - Spirit Soldier|2|2|Melee (Whenever this creature attacks, it gets +1/+1 until end of turn for each opponent you attacked this combat.)<br>Other Spirits you control have melee.<br>Prevent all noncombat damage that would be dealt to Spirits you control.|Crimson Vow Commander|Rare||Antonio José Manzanedo|5|MID: 546969<br>Finishes: nonfoil:<br><br><a href="https://scryfall.com/card/voc/5/drogskol-reinforcements?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=546969&printed=false">Gatherer</a>|{IMAGE_URL=https://cards.scryfall.io/normal/front/c/8/c86bdb28-9b0c-426d-b603-cc10cd301cc6.jpg?1641600223, GATHERERID=546969}
b0193151-0f5f-457b-a6b2-08f66b53c9b2|Haunted Library|{1}{W}|Enchantment|||Whenever a creature an opponent controls dies, you may pay {1}. If you do, create a 1/1 white Spirit creature token with flying.|Crimson Vow Commander|Rare||Justyna Dura|6|MID: 546970<br>Finishes: nonfoil:<br><br><a href="https://scryfall.com/card/voc/6/haunted-library?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=546970&printed=false">Gatherer</a>|{IMAGE_URL=https://cards.scryfall.io/normal/front/b/0/b0193151-0f5f-457b-a6b2-08f66b53c9b2.jpg?1641600251, GATHERERID=546970}
5b3947c1-f497-4407-ae29-287a490cceee|Priest of the Blessed Graf|{2}{W}|Creature - Human Cleric|1|2|At the beginning of your end step, create X 1/1 white Spirit creature tokens with flying, where X is the number of opponents who control more lands than you.|Crimson Vow Commander|Rare||Irina Nordsol|7|MID: 546971<br>Finishes: nonfoil:<br><br><a href="https://scryfall.com/card/voc/7/priest-of-the-blessed-graf?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=546971&printed=false">Gatherer</a>|{IMAGE_URL=https://cards.scryfall.io/normal/front/5/b/5b3947c1-f497-4407-ae29-287a490cceee.jpg?1641600285, GATHERERID=546971}
c434e774-c908-46b9-ba18-52e1efe092de|Rhoda, Geist Avenger|{3}{W}|Legendary Creature - Human Soldier|3|3|Partner with Timin, Youthful Geist (When this creature enters, target player may put Timin into their hand from their library, then shuffle.)<br>Vigilance<br>Whenever a creature an opponent controls becomes tapped, if it isn't being declared as an attacker, put a +1/+1 counter on Rhoda.|Crimson Vow Commander|Rare||Randy Vargas|8|MID: 546972<br>Finishes: nonfoil:<br><br><a href="https://scryfall.com/card/voc/8/rhoda-geist-avenger?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=546972&printed=false">Gatherer</a>|{IMAGE_URL=https://cards.scryfall.io/normal/front/c/4/c434e774-c908-46b9-ba18-52e1efe092de.jpg?1641600313, GATHERERID=546972}
30cb1c3f-19d4-47d3-960e-f2de828e6feb|Storm of Souls|{4}{W}{W}|Sorcery|||Return all creature cards from your graveyard to the battlefield. Each of them is a 1/1 Spirit with flying in addition to its other types. Exile Storm of Souls.|Crimson Vow Commander|Rare||Liiga Smilshkalne|9|MID: 546973<br>Finishes: nonfoil:<br><br><a href="https://scryfall.com/card/voc/9/storm-of-souls?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=546973&printed=false">Gatherer</a>|{IMAGE_URL=https://cards.scryfall.io/normal/front/3/0/30cb1c3f-19d4-47d3-960e-f2de828e6feb.jpg?1641600345, GATHERERID=546973}
ded1c959-454c-4336-8eb5-0160c49d895d|Sudden Salvation|{2}{W}{W}|Instant|||Choose up to three target permanent cards in graveyards that were put there from the battlefield this turn. Return them to the battlefield tapped under their owners' control. You draw a card for each opponent who controls one or more of those permanents.|Crimson Vow Commander|Rare||Cristi Balanescu|10|MID: 546974<br>Finishes: nonfoil:<br><br><a href="https://scryfall.com/card/voc/10/sudden-salvation?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=546974&printed=false">Gatherer</a>|{IMAGE_URL=https://cards.scryfall.io/normal/front/d/e/ded1c959-454c-4336-8eb5-0160c49d895d.jpg?1641600377, GATHERERID=546974}
