ID|NAME|COST|TYPE|POWER|TOUGHNESS|ORACLE|SET|RARITY|LANG|ARTIST|COLLNUM|TEXT|GATHERERID|TCGID|PROPERTIES
bd091f3e-5fcc-4d12-b0c3-3b6340ab01d8|Adamant Will|{1}{W}|Instant|||Target creature gets +2/+2 and gains indestructible until end of turn. (Damage and effects that say "destroy" don't destroy it.)<BR><a href="https://api.scryfall.com/cards/bd091f3e-5fcc-4d12-b0c3-3b6340ab01d8/rulings">Rulings</a>|Innistrad: Crimson Vow|Common||Irina Nordsol|1|R$ 0.05 F$ 0.16<br>MID: 540828<br>Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/vow/1/adamant-will?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=540828&printed=false">Gatherer</a>|540828|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/b/d/bd091f3e-5fcc-4d12-b0c3-3b6340ab01d8.jpg?1643585797}
41d81b88-c19b-4148-89ba-ae8fb53843e1|Angelic Quartermaster|{3}{W}{W}|Creature - Angel Soldier|3|3|Flying<br>When this creature enters, put a +1/+1 counter on each of up to two other target creatures.<BR><a href="https://api.scryfall.com/cards/41d81b88-c19b-4148-89ba-ae8fb53843e1/rulings">Rulings</a>|Innistrad: Crimson Vow|Uncommon||PINDURSKI|2|R$ 0.15 F$ 0.23<br>MID: 540829<br>Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/vow/2/angelic-quartermaster?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=540829&printed=false">Gatherer</a>|540829|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/4/1/41d81b88-c19b-4148-89ba-ae8fb53843e1.jpg?1643585829}
2004a20c-e434-4691-8ef2-740846ce6a51|Arm the Cathars|{1}{W}{W}|Sorcery|||Until end of turn, target creature gets +3/+3, up to one other target creature gets +2/+2, and up to one other target creature gets +1/+1. Those creatures gain vigilance until end of turn.<BR><a href="https://api.scryfall.com/cards/2004a20c-e434-4691-8ef2-740846ce6a51/rulings">Rulings</a>|Innistrad: Crimson Vow|Uncommon||Zoltan Boros|3|R$ 0.13 F$ 0.09<br>MID: 540830<br>Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/vow/3/arm-the-cathars?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=540830&printed=false">Gatherer</a>|540830|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/2/0/2004a20c-e434-4691-8ef2-740846ce6a51.jpg?1643585856}
b3e5dbbe-ca99-41a5-901d-511b9f3ccea6|Bride's Gown|{1}{W}|Artifact - Equipment|||Equipped creature gets +2/+0. It gets an additional +0/+2 and has first strike as long as an Equipment named Groom's Finery is attached to a creature you control.<br>Equip {2} ({2}: Attach to target creature you control. Equip only as a sorcery.)<BR><a href="https://api.scryfall.com/cards/b3e5dbbe-ca99-41a5-901d-511b9f3ccea6/rulings">Rulings</a>|Innistrad: Crimson Vow|Uncommon||Eric Deschamps|4|R$ 0.07 F$ 0.21<br>MID: 540831<br>Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/vow/4/brides-gown?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=540831&printed=false">Gatherer</a>|540831|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/b/3/b3e5dbbe-ca99-41a5-901d-511b9f3ccea6.jpg?1643585881}
46764e49-64da-4a94-b61c-75e006b2c5a9|By Invitation Only|{3}{W}{W}|Sorcery|||Choose a number between 0 and 13. Each player sacrifices that many creatures of their choice.<BR><a href="https://api.scryfall.com/cards/46764e49-64da-4a94-b61c-75e006b2c5a9/rulings">Rulings</a>|Innistrad: Crimson Vow|Rare||Micah Epstein|5|R$ 0.20 F$ 0.38<br>MID: 540832<br>Finishes: nonfoil:foil:<br>StorySpotlight: true<br><br><a href="https://scryfall.com/card/vow/5/by-invitation-only?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=540832&printed=false">Gatherer</a>|540832|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/4/6/46764e49-64da-4a94-b61c-75e006b2c5a9.jpg?1643585907}
c00731eb-69fe-42f3-9919-66a4cdec00f7|Cemetery Protector|{2}{W}{W}|Creature - Human Soldier|3|4|Flash<br>When this creature enters, exile a card from a graveyard.<br>Whenever you play a land or cast a spell, if it shares a card type with the exiled card, create a 1/1 white Human creature token.<BR><a href="https://api.scryfall.com/cards/c00731eb-69fe-42f3-9919-66a4cdec00f7/rulings">Rulings</a>|Innistrad: Crimson Vow|Mythic||Chris Rallis|6|R$ 0.58 F$ 0.90<br>MID: 540833<br>Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/vow/6/cemetery-protector?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=540833&printed=false">Gatherer</a>|540833|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/c/0/c00731eb-69fe-42f3-9919-66a4cdec00f7.jpg?1643585934}
13031fb6-9d5a-4add-9a86-28b2a9373fd2|Circle of Confinement|{1}{W}|Enchantment|||When this enchantment enters, exile target creature an opponent controls with mana value 3 or less until this enchantment leaves the battlefield.<br>Whenever an opponent casts a Vampire spell with the same name as a card exiled with this enchantment, you gain 2 life.<BR><a href="https://api.scryfall.com/cards/13031fb6-9d5a-4add-9a86-28b2a9373fd2/rulings">Rulings</a>|Innistrad: Crimson Vow|Uncommon||Lorenzo Mastroianni|7|R$ 0.07 F$ 0.13<br>MID: 540834<br>Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/vow/7/circle-of-confinement?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=540834&printed=false">Gatherer</a>|540834|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/1/3/13031fb6-9d5a-4add-9a86-28b2a9373fd2.jpg?1643585961}
a1d27617-2d3d-44a1-b93f-0694253b6774|Dawnhart Geist|{1}{W}|Creature - Spirit Warlock|1|3|Whenever you cast an enchantment spell, you gain 2 life.<BR><a href="https://api.scryfall.com/cards/a1d27617-2d3d-44a1-b93f-0694253b6774/rulings">Rulings</a>|Innistrad: Crimson Vow|Uncommon||Artur Treffner|8|R$ 0.09 F$ 0.17<br>MID: 540835<br>Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/vow/8/dawnhart-geist?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=540835&printed=false">Gatherer</a>|540835|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/a/1/a1d27617-2d3d-44a1-b93f-0694253b6774.jpg?1643585990}
a7fc0939-6286-44de-a727-c83bfd3fa752|Distracting Geist // Clever Distraction|{2}{W}|Creature - Spirit|2|1|Whenever this creature attacks, tap target creature defending player controls.<br>Disturb {4}{W} (You may cast this card from your graveyard transformed for its disturb cost.)<BR><a href="https://api.scryfall.com/cards/a7fc0939-6286-44de-a727-c83bfd3fa752/rulings">Rulings</a>|Innistrad: Crimson Vow|Uncommon||Andrew Mar|9|R$ 0.06 F$ 0.08<br>MID: 540836 // 540837<br>Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/vow/9/distracting-geist-clever-distraction?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=540836&printed=false">Gatherer</a>|540836|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/a/7/a7fc0939-6286-44de-a727-c83bfd3fa752.jpg?1643586051, FLIPID=-a7fc0939-6286-44de-a727-c83bfd3fa752}
-a7fc0939-6286-44de-a727-c83bfd3fa752|Distracting Geist // Clever Distraction (transform)||Enchantment - Aura|||Enchant creature<br>Enchanted creature has "Whenever this creature attacks, tap target creature defending player controls."<br>If Clever Distraction would be put into a graveyard from anywhere, exile it instead.<BR><a href="https://api.scryfall.com/cards/a7fc0939-6286-44de-a727-c83bfd3fa752/rulings">Rulings</a>|Innistrad: Crimson Vow|Uncommon||Andrew Mar|9b|MID: 540837 // 540836<br>Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/vow/9/distracting-geist-clever-distraction?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=540836&printed=false">Gatherer</a>|0|0|{IMAGE_URL=https://cards.scryfall.io/normal/back/a/7/a7fc0939-6286-44de-a727-c83bfd3fa752.jpg?1643586051, FLIPID=a7fc0939-6286-44de-a727-c83bfd3fa752}
f88e269e-ff3d-4775-8520-5b7a6dddf23d|Drogskol Infantry // Drogskol Armaments|{1}{W}|Creature - Spirit Soldier|2|2|Disturb {3}{W} (You may cast this card from your graveyard transformed for its disturb cost.)<BR><a href="https://api.scryfall.com/cards/f88e269e-ff3d-4775-8520-5b7a6dddf23d/rulings">Rulings</a>|Innistrad: Crimson Vow|Common||Cristi Balanescu|10|R$ 0.04 F$ 0.05<br>MID: 540838 // 540839<br>Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/vow/10/drogskol-infantry-drogskol-armaments?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=540838&printed=false">Gatherer</a>|540838|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/f/8/f88e269e-ff3d-4775-8520-5b7a6dddf23d.jpg?1643586120, FLIPID=-f88e269e-ff3d-4775-8520-5b7a6dddf23d}
-f88e269e-ff3d-4775-8520-5b7a6dddf23d|Drogskol Infantry // Drogskol Armaments (transform)||Enchantment - Aura|||Enchant creature<br>Enchanted creature gets +2/+2.<br>If Drogskol Armaments would be put into a graveyard from anywhere, exile it instead.<BR><a href="https://api.scryfall.com/cards/f88e269e-ff3d-4775-8520-5b7a6dddf23d/rulings">Rulings</a>|Innistrad: Crimson Vow|Common||Cristi Balanescu|10b|MID: 540839 // 540838<br>Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/vow/10/drogskol-infantry-drogskol-armaments?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=540838&printed=false">Gatherer</a>|0|0|{IMAGE_URL=https://cards.scryfall.io/normal/back/f/8/f88e269e-ff3d-4775-8520-5b7a6dddf23d.jpg?1643586120, FLIPID=f88e269e-ff3d-4775-8520-5b7a6dddf23d}
61c7d889-8cc0-4e80-b6d5-d41961820224|Estwald Shieldbasher|{3}{W}|Creature - Human Soldier|4|2|Whenever this creature attacks, you may pay {1}. If you do, it gains indestructible until end of turn. (Damage and effects that say "destroy" don't destroy it.)<BR><a href="https://api.scryfall.com/cards/61c7d889-8cc0-4e80-b6d5-d41961820224/rulings">Rulings</a>|Innistrad: Crimson Vow|Common||Wayne Reynolds|11|R$ 0.05 F$ 0.04<br>MID: 540840<br>Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/vow/11/estwald-shieldbasher?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=540840&printed=false">Gatherer</a>|540840|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/6/1/61c7d889-8cc0-4e80-b6d5-d41961820224.jpg?1643586147}
db791fb6-b0ff-4ded-bd3d-9447cf398312|Faithbound Judge // Sinner's Judgment|{1}{W}{W}|Creature - Spirit Soldier|4|4|Defender, flying, vigilance<br>At the beginning of your upkeep, if this creature has two or fewer judgment counters on it, put a judgment counter on it.<br>As long as this creature has three or more judgment counters on it, it can attack as though it didn't have defender.<br>Disturb {5}{W}{W}<BR><a href="https://api.scryfall.com/cards/db791fb6-b0ff-4ded-bd3d-9447cf398312/rulings">Rulings</a>|Innistrad: Crimson Vow|Mythic||Svetlin Velinov|12|R$ 0.56 F$ 0.79<br>MID: 540841 // 540842<br>Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/vow/12/faithbound-judge-sinners-judgment?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=540841&printed=false">Gatherer</a>|540841|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/d/b/db791fb6-b0ff-4ded-bd3d-9447cf398312.jpg?1739658304, FLIPID=-db791fb6-b0ff-4ded-bd3d-9447cf398312}
-db791fb6-b0ff-4ded-bd3d-9447cf398312|Faithbound Judge // Sinner's Judgment (transform)||Enchantment - Aura Curse|||Enchant player<br>At the beginning of your upkeep, put a judgment counter on this Aura. Then if there are three or more judgment counters on it, enchanted player loses the game.<br>If Sinner's Judgment would be put into a graveyard from anywhere, exile it instead.<BR><a href="https://api.scryfall.com/cards/db791fb6-b0ff-4ded-bd3d-9447cf398312/rulings">Rulings</a>|Innistrad: Crimson Vow|Mythic||Svetlin Velinov|12b|MID: 540842 // 540841<br>Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/vow/12/faithbound-judge-sinners-judgment?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=540841&printed=false">Gatherer</a>|0|0|{IMAGE_URL=https://cards.scryfall.io/normal/back/d/b/db791fb6-b0ff-4ded-bd3d-9447cf398312.jpg?1739658304, FLIPID=db791fb6-b0ff-4ded-bd3d-9447cf398312}
9597b163-5c6b-4f64-b1f1-5f1fa2e23e5d|Fierce Retribution|{1}{W}|Instant|||Cleave {5}{W} (You may cast this spell for its cleave cost. If you do, remove the words in square brackets.)<br>Destroy target [attacking] creature.<BR><a href="https://api.scryfall.com/cards/9597b163-5c6b-4f64-b1f1-5f1fa2e23e5d/rulings">Rulings</a>|Innistrad: Crimson Vow|Common||Sidharth Chaturvedi|13|R$ 0.05 F$ 0.04<br>MID: 540843<br>Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/vow/13/fierce-retribution?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=540843&printed=false">Gatherer</a>|540843|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/9/5/9597b163-5c6b-4f64-b1f1-5f1fa2e23e5d.jpg?1643586258}
db9d80f7-9742-4437-a9f4-6717a678f935|Fleeting Spirit|{1}{W}|Creature - Spirit|3|1|{W}, Exile three cards from your graveyard: This creature gains first strike until end of turn.<br>Discard a card: Exile this creature. Return it to the battlefield under its owner's control at the beginning of the next end step.<BR><a href="https://api.scryfall.com/cards/db9d80f7-9742-4437-a9f4-6717a678f935/rulings">Rulings</a>|Innistrad: Crimson Vow|Uncommon||Evyn Fong|14|R$ 0.09 F$ 0.10<br>MID: 540844<br>Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/vow/14/fleeting-spirit?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=540844&printed=false">Gatherer</a>|540844|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/d/b/db9d80f7-9742-4437-a9f4-6717a678f935.jpg?1643586284}
5317077b-370e-41a9-9162-c713362fd7f4|Gryff Rider|{2}{W}|Creature - Human Knight|2|1|Flying<br>Training (Whenever this creature attacks with another creature with greater power, put a +1/+1 counter on this creature.)<BR><a href="https://api.scryfall.com/cards/5317077b-370e-41a9-9162-c713362fd7f4/rulings">Rulings</a>|Innistrad: Crimson Vow|Common||Yongjae Choi|15|R$ 0.06 F$ 0.04<br>MID: 540845<br>Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/vow/15/gryff-rider?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=540845&printed=false">Gatherer</a>|540845|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/5/3/5317077b-370e-41a9-9162-c713362fd7f4.jpg?1643586321}
